Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Scottie Scheffler,-,-,-,5,-,17,-,6,3,10,-,-,-,-,-,-,-,-,-,-,15,-,1,4,11300,13/2,Bet 365,Further details,1
Rory McIlroy,-,-,-,-,2,1,-,66,-,24,-,21,-,-,-,11,27,4,1,6,5,10,13,2,10600,17/2,Bet 365,Further details,21
Patrick Cantlay,-,-,-,12,-,52,56,11,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,10000,14/1,Bet 365,Further details,36
Viktor Hovland,-,-,-,22,-,-,-,58,-,19,-,-,-,-,-,-,-,-,-,40,42,49,2,10,9900,12/1,Bet 365,Further details,36
Xander Schauffele,-,-,-,10,-,3,9,54,-,4,-,-,-,-,-,-,-,-,-,-,24,-,-,39,9800,12/1,Bet 365,Further details,25
Ludvig Aberg,-,-,-,47,30,-,9,2,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,24,9500,18/1,Bet 365,Further details,25
Jordan Spieth,-,-,-,3,-,-,-,39,6,DQ,-,-,-,-,-,-,-,-,-,-,-,4,-,4,9400,20/1,Bet 365,Further details,30
Sam Burns,-,-,-,33,-,6,-,10,3,10,-,-,-,-,-,-,-,-,49,54,36,MC,9,MC,9300,20/1,Bet 365,Further details,30
Max Homa,-,-,-,14,-,-,13,66,MC,16,-,-,-,-,-,-,-,-,-,-,24,10,17,14,9200,20/1,Bet 365,Further details,8
Collin Morikawa,-,-,-,5,-,-,MC,14,-,19,-,-,-,-,-,-,-,-,64,-,9,-,-,MC,9100,18/1,Bet 365,Further details,MC
Justin Thomas,-,-,-,-,-,3,-,6,12,MC,-,-,-,-,-,49,-,-,-,-,-,-,-,21,9000,25/1,Bet 365,Further details,12
Will Zalatoris,-,-,-,-,MC,34,13,-,-,2,-,-,-,-,-,-,-,-,-,-,-,10,38,53,8900,30/1,Bet 365,Further details,4
Tommy Fleetwood,-,-,-,47,1,14,-,31,-,10,-,-,-,-,-,-,-,10,26,3,MC,10,20,61,8800,28/1,Bet 365,Further details,MC
Cameron Young,-,-,-,33,-,3,-,70,8,16,-,4,-,-,-,-,-,-,-,-,-,-,13,10,8700,25/1,Bet 365,Further details,36
Matthew Fitzpatrick,-,-,-,14,MC,-,-,58,15,MC,-,21,-,-,MC,-,27,13,MC,2,9,10,9,14,8600,33/1,Bet 365,Further details,MC
Wyndham Clark,-,-,-,29,-,39,-,1,41,MC,-,-,-,-,-,-,-,-,-,-,68,MC,-,34,8500,50/1,Bet 365,Further details,2
Hideki Matsuyama,-,-,-,58,30,-,13,71,22,1,-,-,-,-,-,21,6,45,49,33,56,18,20,MC,8400,45/1,Bet 365,Further details,12
Tom Kim,-,-,-,45,-,MC,-,31,17,24,-,62,-,-,-,-,-,-,-,-,-,-,-,34,8300,40/1,Bet 365,Further details,52
Jason Day,-,-,-,10,-,34,MC,6,-,9,-,-,-,45,-,17,1,23,22,-,WD,31,-,10,8200,40/1,Bet 365,Further details,36
Sahith Theegala,-,-,-,2,MC,-,64,20,5,37,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,8100,45/1,Bet 365,Further details,6
Sungjae Im,-,-,-,5,-,25,MC,66,66,44,-,MC,-,-,-,-,-,-,-,3,3,21,20,21,8000,50/1,Bet 365,Further details,18
Russell Henley,-,-,-,52,4,-,-,58,-,24,-,41,-,MC,MC,49,MC,45,-,-,-,-,13,53,8000,50/1,Bet 365,Further details,4
Matthieu Pavon,-,MC,-,-,7,39,1,3,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,7900,75/1,Bet 365,Further details,52
JT Poston,-,-,-,5,6,11,-,20,MC,10,-,66,-,-,-,-,-,-,-,66,MC,MC,-,-,7900,50/1,Bet 365,Further details,55
Corey Conners,-,-,-,33,57,-,-,31,28,24,-,41,-,-,-,-,-,-,-,MC,MC,3,11,21,7800,60/1,Bet 365,Further details,18
Chris Kirk,-,-,-,1,18,47,-,26,-,MC,-,28,-,16,60,MC,12,MC,13,15,-,8,5,39,7800,60/1,Bet 365,Further details,44
Siwoo Kim,-,-,-,25,42,25,-,14,12,44,-,-,-,-,-,-,63,49,MC,MC,MC,WD,26,39,7700,55/1,Bet 365,Further details,30
