Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Scottie Scheffler,1,-,-,-,-,-,-,9,25,3,-,-,-,-,-,-,-,-,-,15,-,1,4,1,16/5,Bet 365,Further details
Wyndham Clark,17,-,-,15,-,MC,-,73,16,31,-,-,-,-,-,-,-,-,-,68,MC,-,34,2,50/1,Bet 365,Further details
Shane Lowry,-,-,-,-,-,-,MC,2,-,39,-,11,-,-,MC,-,-,MC,MC,-,MC,-,67,3,50/1,Bet 365,Further details
Russell Henley,19,-,-,30,10,-,-,5,-,39,-,6,-,MC,49,MC,45,-,-,-,-,13,53,4,40/1,Bet 365,Further details
Will Zalatoris,18,-,-,26,-,12,-,48,-,24,-,-,-,-,-,-,-,-,-,-,10,38,53,4,45/1,Bet 365,Further details
Sahith Theegala,8,-,-,36,37,-,52,53,57,17,-,-,-,-,-,-,-,-,-,-,-,MC,14,6,90/1,Bet 365,Further details
Max Homa,14,-,-,26,-,-,WD,53,MC,MC,-,-,-,-,-,-,-,-,-,24,10,17,14,8,150/1,Bet 365,Further details
An Byeong-Hun,-,-,-,32,MC,-,-,22,73,MC,-,MC,-,-,-,36,49,14,10,56,43,-,WD,8,100/1,Bet 365,Further details
Brian Harman,12,-,-,58,21,MC,-,53,25,17,-,32,-,MC,MC,17,13,54,MC,MC,-,-,MC,12,100/1,Bet 365,Further details
Tom Hoge,-,-,-,8,45,29,-,17,MC,54,-,67,-,-,-,-,-,26,-,15,MC,32,MC,12,250/1,Bet 365,Further details
Hideki Matsuyama,-,-,-,1,16,-,32,48,25,13,-,-,-,-,21,6,45,49,33,56,18,20,MC,12,25/1,Bet 365,Further details
Justin Thomas,3,-,-,26,-,2,-,48,6,9,-,-,-,-,49,-,-,-,-,-,-,-,21,12,20/1,Bet 365,Further details
Nick Taylor,-,-,-,48,1,12,-,33,25,9,-,-,-,-,35,-,-,MC,-,56,MC,32,MC,12,125/1,Bet 365,Further details
Cameron Davis,-,-,-,13,MC,18,-,5,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,18,150/1,Bet 365,Further details
Corey Conners,6,-,-,5,MC,-,-,65,74,24,-,-,-,-,-,-,-,-,MC,MC,3,11,21,18,50/1,Bet 365,Further details
Sungjae Im,9,-,-,3,-,MC,4,33,57,MC,-,MC,-,-,-,-,-,-,3,3,21,20,21,18,45/1,Bet 365,Further details
Harris English,-,-,-,-,MC,43,1,73,-,24,-,-,-,14,29,MC,MC,22,68,9,26,-,2,21,100/1,Bet 365,Further details
Rory McIlroy,-,-,-,-,-,4,-,1,-,17,-,-,-,-,11,27,4,1,6,5,10,13,2,21,17/2,Bet 365,Further details
Eric Cole,-,-,-,52,5,68,68,22,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,MC,21,300/1,Bet 365,Further details
Patrick Rodgers,-,-,-,-,MC,70,56,22,MC,3,25,18,-,-,-,20,MC,7,46,24,57,38,MC,25,90/1,Bet 365,Further details
Ludvig Aberg,6,-,-,5,-,-,42,WD,-,1,-,-,-,-,-,-,-,-,-,-,-,-,24,25,14/1,Bet 365,Further details
Xander Schauffele,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,39,25,16/1,Bet 365,Further details
Sam Burns,14,-,-,8,-,29,-,22,49,24,-,-,-,-,-,-,-,49,54,36,MC,9,MC,30,50/1,Bet 365,Further details
Siwoo Kim,-,-,-,32,MC,51,MC,12,21,24,-,-,-,-,-,63,49,MC,MC,MC,WD,26,39,30,70/1,Bet 365,Further details
Lucas Glover,-,-,-,-,21,MC,-,3,MC,31,-,MC,-,14,MC,27,7,49,10,MC,66,74,MC,30,125/1,Bet 365,Further details
Mackenzie Hughes,6,-,-,-,MC,58,-,40,36,52,-,MC,-,-,-,-,MC,54,-,-,-,-,61,30,250/1,Bet 365,Further details
Jason Day,19,-,-,40,-,3,32,13,-,50,-,-,-,-,17,1,23,22,-,WD,31,-,10,36,70/1,Bet 365,Further details
Keegan Bradley,5,-,-,15,6,-,15,65,-,34,-,-,-,2,49,36,34,26,46,42,10,11,10,36,50/1,Bet 365,Further details
Patrick Cantlay,11,-,-,15,-,5,-,33,-,5,-,-,-,-,-,-,-,-,-,-,-,-,4,36,25/1,Bet 365,Further details
Viktor Hovland,-,-,-,36,-,MC,-,22,-,MC,-,-,-,-,-,-,-,-,40,42,49,2,10,36,50/1,Bet 365,Further details
Austin Eckroat,-,-,-,15,MC,-,MC,13,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,36,175/1,Bet 365,Further details
Cameron Young,13,-,-,8,-,MC,-,72,12,MC,-,MC,-,-,-,-,-,-,-,-,-,13,10,36,100/1,Bet 365,Further details
MinWoo Lee,-,-,-,-,-,17,-,17,12,48,-,11,-,-,-,-,-,-,-,-,-,MC,MC,44,80/1,Bet 365,Further details
Christiaan Bezuidenhout,6,36,-,40,-,MC,-,40,4,39,-,42,-,-,-,-,-,-,-,18,7,20,MC,44,125/1,Bet 365,Further details
Chris Kirk,-,-,-,44,MC,34,-,62,MC,-,-,56,-,60,MC,12,MC,13,15,-,8,5,39,44,200/1,Bet 365,Further details
Stephan Jaeger,-,-,-,36,3,-,MC,40,-,44,6,-,-,-,-,-,-,-,-,-,-,52,-,44,125/1,Bet 365,Further details
