Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Keith Mitchell,-,59,-,58,-,48,MC,20,-,-,42,MC,-,-,-,-,-,-,-,-,-,-,-,-,10900,18/1,Bet 365,Further details,MC
Stephan Jaeger,18,27,11,50,68,24,-,-,64,9,13,-,-,-,-,-,-,-,-,62,MC,-,42,22,10700,16/1,Bet 365,Further details,34
Taylor Pendrith,30,MC,-,29,-,60,65,MC,MC,14,-,6,-,-,-,-,-,-,-,-,-,-,13,11,10400,18/1,Bet 365,Further details,MC
Vincent Norrman,18,-,8,-,48,-,MC,MC,MC,24,-,1,-,-,-,-,-,-,-,-,-,-,-,-,10100,25/1,Bet 365,Further details,25
Mark Hubbard,18,27,-,75,9,30,6,-,MC,MC,6,-,-,-,MC,-,MC,20,18,-,-,-,43,4,9900,25/1,Bet 365,Further details,10
Patrick Rodgers,10,MC,-,29,57,30,-,32,MC,-,MC,MC,-,-,-,39,3,59,-,37,59,19,13,-,9700,22/1,Bet 365,Further details,2
J.J Spaun,-,27,-,MC,63,30,-,-,MC,33,-,-,-,-,-,-,-,-,29,3,46,48,MC,-,9500,22/1,Bet 365,Further details,10
Beau Hossler,10,47,-,40,70,24,-,-,MC,MC,26,-,-,-,-,-,-,-,-,-,35,21,MC,-,9400,22/1,Bet 365,Further details,6
Sam Bennett,-,-,-,-,-,63,20,43,MC,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9300,33/1,Bet 365,Further details,MC
Nick Hardy,-,68,-,MC,48,MC,-,20,38,MC,21,-,-,-,-,-,-,-,-,30,-,-,-,13,9200,30/1,Bet 365,Further details,63
Chez Reavie,49,MC,-,40,40,58,25,-,4,29,35,-,-,-,-,-,-,44,-,-,-,-,43,1,9100,33/1,Bet 365,Further details,55
Justin Suh,-,59,MC,26,16,41,-,27,56,78,-,-,-,-,-,-,-,-,-,-,MC,21,MC,-,9000,30/1,Bet 365,Further details,34
Akshay Bhatia,4,43,-,-,56,MC,68,-,-,MC,35,9,-,-,-,-,-,-,-,-,-,-,MC,-,8900,28/1,Bet 365,Further details,1
Rico Hoey,MC^,-,-,2^,1^,MC^,-,MC^,11^,32^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8800,TBC,Bet 365,Further details,20
Nicholas Lindheim,-,-,-,-,-,27^,-,-,3^,-,-,-,-,-,-,-,-,-,MC,57,41,-,-,-,8700,35/1,Bet 365,Further details,NR
Ryan Palmer,-,35,8,-,MC,-,-,-,33,33,MC,-,-,-,-,-,-,-,9,26,7,-,-,-,8500,40/1,Bet 365,Further details,MC
Harry Hall,10,MC,83,-,3,-,34,-,56,MC,-,60,-,-,-,-,-,-,-,-,-,-,-,-,8400,40/1,Bet 365,Further details,MC
Ryo Hisatsune,MC,16,10,-,55,MC,27,-,-,15,8,58,-,-,-,-,-,-,-,-,-,-,-,-,8300,TBC,Bet 365,Further details,10
Peter Kuest,-,-,14,-,-,-,57,-,-,4,17,MC,-,-,-,-,-,-,-,-,-,65,-,-,8200,40/1,Bet 365,Further details,59
Sam Stevens,-,47,34,72,29,41,-,43,MC,74,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,8100,35/1,Bet 365,Further details,39
MJ Daffue,MC,47,MC,-,MC,MC,38,-,-,24,35,16,-,-,-,-,-,-,-,-,-,MC,49,-,8000,50/1,Bet 365,Further details,34
Seonghyeon Kim,24,MC,50,-,MC,41,25,-,MC,74,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,8000,35/1,Bet 365,Further details,MC
Luke List,MC,MC,34,-,57,16,-,MC,33,WD,-,35,-,-,49,-,-,MC,29,-,-,-,-,-,7900,50/1,Bet 365,Further details,NR
Cameron Champ,8,MC,50,-,63,-,MC,-,MC,MC,51,-,-,-,-,-,-,-,-,-,-,-,-,-,7900,50/1,Bet 365,Further details,17
Nathan Kimsey,-,-,-,-,-,-,-,-,-,MC,10,2,-,-,-,-,-,-,-,-,-,-,-,-,7800,60/1,Bet 365,Further details,25
Matthew NeSmith,-,35,30,23,48,MC,-,-,MC,MC,35,-,-,-,-,-,-,-,-,-,-,57,-,-,7800,50/1,Bet 365,Further details,28
Niklas Norgaard Moller,MC,23,-,-,21,44,21,-,59,7,35,33,-,-,-,-,-,-,-,-,-,-,-,MC,7800,60/1,Bet 365,Further details,MC
Marcel Schneider,38,MC,-,-,48,33,-,-,14,MC,58,25,-,-,-,-,-,-,-,-,-,-,-,-,7700,66/1,Bet 365,Further details,MC
Maximilian Kieffer,-,5,41,-,21,2,MC,-,3,57,-,42,-,-,-,-,-,-,-,-,-,-,-,-,7700,75/1,Bet 365,Further details,60
Grayson Murray,MC,-,MC,1^,MC^,3^,MC,-,41^,32^,6,7,-,-,-,-,-,-,-,-,-,-,-,MC,7700,50/1,Bet 365,Further details,MC
Greyson Sigg,18,MC,MC,-,MC,-,38,-,19,56,13,-,-,-,-,-,-,-,-,-,-,-,15,26,7600,50/1,Bet 365,Further details,MC
Matthieu Pavon,52,32,-,-,39,20,-,MC,7,-,17,MC,-,-,-,-,-,-,-,-,-,-,-,31,7600,75/1,Bet 365,Further details,MC
Andrew Novak,49,-,67,-,40,-,9,-,MC,MC,42,33,-,-,-,-,-,-,-,-,-,-,-,-,7600,60/1,Bet 365,Further details,MC
David Lipsky,60,MC,MC,-,16,12,MC,-,56,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7600,66/1,Bet 365,Further details,34
Harry Higgs,MC,-,MC,-,MC,-,12,-,-,52,57,MC,-,-,-,-,-,-,-,-,-,-,-,11,7500,125/1,Bet 365,Further details,MC
Justin Lower,-,MC,43,-,57,MC,25,-,MC,8,-,44,-,-,MC,-,-,-,-,-,-,-,-,16,7500,80/1,Bet 365,Further details,MC
Chad Ramey,-,35,50,-,12,MC,MC,-,38,17,42,44,-,-,-,-,-,-,-,-,-,-,-,60,7500,75/1,Bet 365,Further details,17
Carson Young,15,MC,14,-,21,-,43,MC,15,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7500,80/1,Bet 365,Further details,43
Marcus Helligkilde,2,MC,MC,-,60,52,MC,-,-,72,35,MC,-,-,-,-,-,-,-,-,-,-,-,13,7400,90/1,Bet 365,Further details,MC
Trevor Cone,70,MC,23,-,MC^,MC^,68,-,-,40,MC,3,-,-,-,-,-,-,-,-,-,-,-,-,7400,66/1,Bet 365,Further details,66
Clement Sordet,7,9,MC,-,48,39,-,-,MC,MC,MC,52,-,-,-,-,-,-,-,-,-,-,-,-,7400,TBC,Bet 365,Further details,MC
Jeong Weon Ko,10,53,15,-,MC,44,-,-,MC,77,68,MC,-,-,-,-,-,-,-,-,-,-,-,-,7400,TBC,Bet 365,Further details,MC
Aaron Baddeley,39,-,23,-,21,-,MC,-,-,MC,31,MC,-,-,MC,MC,MC,17,64,26,-,MC,23,MC,7400,90/1,Bet 365,Further details,MC
Sean Crocker,-,53,MC,-,48,DQ,2,-,14,MC,WD,19,-,-,-,-,-,-,-,-,-,-,-,13,7300,80/1,Bet 365,Further details,10
Scott Jamieson,3,47,-,-,MC,29,-,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,22,7300,100/1,Bet 365,Further details,MC
Charley Hoffman,55,-,MC,-,-,-,-,49,MC,64,-,MC,-,-,-,-,-,-,-,-,-,25,-,31,7300,90/1,Bet 365,Further details,31
Marcus Kinhult,21,-,22,-,29,-,41,-,52,68,-,14,-,-,-,-,-,-,-,-,-,-,-,-,7300,80/1,Bet 365,Further details,20
Erik Van Rooyen,33,MC,MC,-,MC,-,MC,-,MC,MC,MC,68,-,-,-,-,-,-,-,-,-,-,1,-,7300,110/1,Bet 365,Further details,6
Chesson Hadley,-,MC,MC,-,-,-,43,-,24,33,MC,-,-,-,-,-,-,MC,MC,-,-,17,54,31,7200,100/1,Bet 365,Further details,6
Scott Piercy,39,MC,19,-,40,-,57,-,WD,-,WD,MC,-,-,-,-,-,-,-,-,-,-,3,65,7200,90/1,Bet 365,Further details,MC
Adam Long,18,MC,50,-,MC,MC,57,-,MC,MC,MC,16,-,-,-,-,-,-,-,-,-,-,-,-,7200,110/1,Bet 365,Further details,MC
Marty Dou Zecheng,49,-,5,-,63,-,MC,-,52,17,MC,44,-,-,-,-,-,-,-,-,-,-,-,-,7200,110/1,Bet 365,Further details,39
Andy Sullivan,10,MC,MC,-,39,39,52,-,MC,15,17,MC,-,-,-,-,-,-,-,-,-,-,-,-,7200,125/1,Bet 365,Further details,47
Ryan Gerard,33,MC,MC,-,MC^,-,43,56,-,56,26,MC,-,-,-,-,-,-,-,-,-,-,-,-,7200,110/1,Bet 365,Further details,5
Tano Goya,60,-,50,-,MC^,MC^,-,-,-,MC,26,40,-,-,-,-,-,-,-,-,-,-,-,-,7100,110/1,Bet 365,Further details,55
Carl Yuan,55,-,MC,-,-,-,18,-,MC,14,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,7100,80/1,Bet 365,Further details,34
Edoardo Molinari,-,MC,59,-,48,39,MC,-,18,49,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,39
Julien Guerrier,52,3,-,-,39,2,21,-,-,MC,30,MC,-,-,-,-,-,-,-,-,-,-,-,-,7100,110/1,Bet 365,Further details,3
Troy Merritt,-,MC,MC,-,MC,MC,-,-,MC,17,17,MC,-,-,-,-,-,-,MC,-,2,2,51,-,7100,100/1,Bet 365,Further details,50
Sebastian Soderberg,MC,9,-,-,48,-,27,-,MC,MC,35,42,-,-,-,-,-,-,-,-,-,-,-,MC,7100,110/1,Bet 365,Further details,10
