Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Adam Scott,-,-,-,MC,7,-,-,-,MC^,41,-,-,-,-,-,-,-,10700,Further details,16/1,Bet 365,Further details,5
Thomas Detry,-,-,-,23,33,35,-,-,-,51,-,38,-,-,-,22,2,10500,Further details,18/1,Bet 365,Further details,MC
Brendon Todd,41,-,-,-,6,-,-,-,-,-,-,-,-,1,MC,-,-,10300,Further details,18/1,Bet 365,Further details,20
Akshay Bhatia,-,-,-,-,MC,-,-,43,35,21,-,10,-,-,-,-,17,10000,Further details,18/1,Bet 365,Further details,20
Lucas Herbert,-,-,-,-,30,-,-,28,MC,-,-,31,-,-,-,1,-,9800,Further details,20/1,Bet 365,Further details,30
Alexander Noren,-,-,-,-,MC,-,-,43,3,48,-,-,-,15,-,-,-,9600,Further details,22/1,Bet 365,Further details,2
Lucas Glover,22,20,-,-,-,-,-,-,-,-,-,59,-,-,-,-,63,9500,Further details,20/1,Bet 365,Further details,45
Benjamin Griffin,-,-,-,-,-,-,-,2,MC,64,-,23,-,-,-,-,3,9300,Further details,20/1,Bet 365,Further details,37
Luke List,-,-,-,-,25,-,-,1,18,-,-,45,-,-,53,-,-,9200,Further details,25/1,Bet 365,Further details,20
Taylor Pendrith,-,-,-,-,MC,-,-,-,3,-,-,15,-,-,-,5,-,9100,Further details,25/1,Bet 365,Further details,8
Doug Ghim,-,-,-,-,17,-,-,MC,MC,-,-,15,-,MC,14,-,MC,9000,Further details,33/1,Bet 365,Further details,MC
Alex Smalley,-,-,-,-,-,-,-,16,61,-,-,-,-,-,-,12,11,8900,Further details,25/1,Bet 365,Further details,30
Mark Hubbard,-,-,-,-,17,-,-,6,MC,31,-,MC,-,41,-,22,MC,8800,Further details,30/1,Bet 365,Further details,20
Nick Hardy,-,-,-,-,MC,-,-,35,55,41,-,23,-,-,-,MC,23,8600,Further details,33/1,Bet 365,Further details,45
Ryan Palmer,-,-,-,-,MC,-,-,68,MC,-,-,5,-,-,-,-,-,8500,Further details,33/1,Bet 365,Further details,8
Davis Riley,-,-,-,-,-,-,-,MC,28,31,-,MC,-,-,-,7,-,8400,Further details,35/1,Bet 365,Further details,45
Stewart Cink,16^,-,-,-,MC,7^,-,-,MC,-,-,MC,-,-,4,-,-,8300,Further details,40/1,Bet 365,Further details,7
Dylan Wu,-,-,-,-,14,-,-,MC,MC,59,-,-,-,-,-,46,49,8200,Further details,45/1,Bet 365,Further details,30
Brandon Wu,-,-,-,-,-,-,-,62,-,51,-,54,-,-,-,34,35,8100,Further details,50/1,Bet 365,Further details,30
MJ Daffue,-,-,-,-,MC,-,-,MC,MC,-,-,38,-,-,-,-,29,8000,Further details,50/1,Bet 365,Further details,MC
Vincent Whaley,-,-,-,-,25,-,-,28,13,-,-,59,-,-,MC,7,-,8000,Further details,50/1,Bet 365,Further details,8
Lanto Griffin,MC^,-,-,-,MC,-,-,28,13,-,-,54,-,18,-,-,-,7900,Further details,50/1,Bet 365,Further details,53
Peter Kuest,-,-,-,-,MC,-,-,25,MC,-,-,MC,-,-,-,-,-,7900,Further details,55/1,Bet 365,Further details,53
Kevin Yu,-,-,-,-,MC,-,-,MC,MC,59,-,MC,-,-,-,-,3,7800,Further details,50/1,Bet 365,Further details,30
Troy Merritt,-,-,-,-,7,-,-,9,64,-,-,65,-,-,40,-,-,7800,Further details,60/1,Bet 365,Further details,72
C.T. Pan,-,-,-,-,MC,-,-,9,WD,-,-,MC,-,-,-,-,44,7700,Further details,60/1,Bet 365,Further details,MC
Matthias Schmid,-,MC,24,79,MC,-,-,MC,26,2,-,38,-,-,-,-,61,7700,Further details,60/1,Bet 365,Further details,3
Justin Lower,-,-,-,-,45,-,-,MC,MC,41,-,23,-,-,-,17,8,7600,Further details,60/1,Bet 365,Further details,20
Adam Long,-,-,-,-,MC,-,-,35,35,-,-,23,-,-,-,-,44,7600,Further details,66/1,Bet 365,Further details,13
Harry Hall,-,-,-,-,45,-,-,MC,26,21,-,MC,-,-,-,MC,63,7600,Further details,66/1,Bet 365,Further details,MC
Marty Dou Zecheng,-,-,-,-,MC,-,-,12,MC,-,-,MC,-,-,-,-,17,7500,Further details,66/1,Bet 365,Further details,65
Martin Laird,-,-,-,-,19,-,-,56,MC,-,-,31,-,-,-,-,-,7500,Further details,70/1,Bet 365,Further details,59
Kramer Hickok,-,-,-,-,MC,-,-,35,MC,-,-,15,-,15,8,30,MC,7500,Further details,60/1,Bet 365,Further details,13
Patton Kizzire,-,-,-,-,56,-,-,MC,46,-,-,15,-,-,-,-,-,7400,Further details,70/1,Bet 365,Further details,37
Ryan Moore,-,-,-,-,45,-,-,MC,13,-,-,38,-,-,-,-,-,7400,Further details,80/1,Bet 365,Further details,5
Peter Malnati,-,-,-,-,11,-,-,51,MC,-,-,59,-,-,21,7,-,7400,Further details,80/1,Bet 365,Further details,37
David Lipsky,-,-,-,-,30,-,-,51,MC,51,-,MC,-,-,-,MC,-,7400,Further details,75/1,Bet 365,Further details,13
Andrew Novak,-,-,-,-,MC,-,-,MC,MC,51,-,-,-,-,-,MC,17,7300,Further details,70/1,Bet 365,Further details,45
Russell Knox,-,-,-,-,30,-,-,28,MC,-,-,69,-,11,16,12,49,7300,Further details,80/1,Bet 365,Further details,76
Ben Martin,-,-,-,-,MC,-,-,16,MC,-,-,MC,-,-,MC,51,49,7300,Further details,66/1,Bet 365,Further details,27
Sam Bennett,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,7300,Further details,75/1,Bet 365,Further details,MC
Carl Yuan,-,-,-,-,68,-,-,6,52,-,-,MC,-,-,-,-,-,7300,Further details,80/1,Bet 365,Further details,4
Austin Smotherman,-,-,-,-,MC,-,-,MC,35,-,-,23,-,-,-,MC,23,7200,Further details,90/1,Bet 365,Further details,59
Austin Cook,-,-,-,-,56,-,-,68,MC,-,-,10,-,-,-,MC,44,7200,Further details,110/1,Bet 365,Further details,13
Kelly Kraft,-,-,-,-,25,-,-,16,23,-,-,71,-,-,MC,-,-,7200,Further details,125/1,Bet 365,Further details,53
Scott Piercy,-,-,-,-,MC,-,-,MC,42,-,-,23,-,-,14,-,MC,7200,Further details,110/1,Bet 365,Further details,27
Henrik Norlander,-,-,-,-,MC,-,-,2,35,-,-,MC,-,28,MC,-,MC,7200,Further details,80/1,Bet 365,Further details,MC
Nicolas Echavarria,-,-,-,-,MC,-,-,-,MC,-,-,31,-,-,-,-,23,7100,Further details,90/1,Bet 365,Further details,76
Charley Hoffman,-,-,-,-,MC,-,-,MC,MC,-,-,MC,-,-,MC,-,29,7100,Further details,90/1,Bet 365,Further details,45
Robert Streb,-,-,-,-,MC,-,-,35,MC,-,-,MC,-,35,55,-,29,7100,Further details,110/1,Bet 365,Further details,65
Camilo Villegas,45^,43^,-,-,MC^,37^,-,MC,-,-,-,2,-,-,55,34,54,7100,Further details,100/1,Bet 365,Further details,1
Nick Dunlap,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,50/1,Bet 365,Further details,MC
Brent Grant,-,-,-,-,MC,-,-,MC,35,-,-,38,-,-,-,-,35,7000,Further details,140/1,Bet 365,Further details,MC
Cameron Percy,-,-,-,-,MC,-,-,43,-,-,-,59,-,48,26,MC,35,7000,Further details,150/1,Bet 365,Further details,72
Tano Goya,-,-,-,-,MC,-,-,MC,61,-,-,31,-,-,-,-,44,7000,Further details,125/1,Bet 365,Further details,MC
Doc Redman,-,-,-,-,MC,-,-,56,66,-,-,MC,-,35,4,-,-,7000,Further details,110/1,Bet 365,Further details,13
Jimmy Walker,-,-,-,-,30,-,-,43,MC,-,-,MC,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details,MC
Hank Lebioda,MC^,-,-,-,19,-,-,35,-,-,-,-,-,3,16,MC,MC,7000,Further details,125/1,Bet 365,Further details,MC
Harrison Endycott,-,-,-,-,MC,-,-,28,56,-,-,MC,-,-,-,-,10,6900,Further details,175/1,Bet 365,Further details,MC
Sean O'Hair,45^,MC^,-,-,MC,-,-,MC,-,-,-,-,-,-,-,22,11,6900,Further details,175/1,Bet 365,Further details,37
Fabian Gomez,51^,MC^,-,-,MC^,MC^,-,2^,-,-,-,-,-,7,MC,MC,17,6900,Further details,150/1,Bet 365,Further details,MC
Seungyul Noh,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,30,35,6900,Further details,110/1,Bet 365,Further details,72
Kevin Tway,-,-,-,-,MC,-,-,MC,MC,-,-,54,-,-,40,-,MC,6900,Further details,125/1,Bet 365,Further details,MC
Brice Garnett,-,-,-,-,52,-,-,MC,-,-,-,MC,-,-,21,-,MC,6900,Further details,125/1,Bet 365,Further details,30
David Lingmerth,-,-,-,-,-,-,-,-,-,73,-,MC,-,MC,-,57,11,6800,Further details,150/1,Bet 365,Further details,76
Richy Werenski,-,-,-,-,66,-,-,65,MC,-,-,45,-,-,-,-,23,6800,Further details,200/1,Bet 365,Further details,69
Jason Dufner,-,-,-,-,19,-,-,MC,66,-,-,45,-,-,58,MC,-,6800,Further details,175/1,Bet 365,Further details,MC
Ryan Gerard,-,-,-,-,MC,-,-,MC,-,-,-,MC,-,-,-,-,-,6800,Further details,140/1,Bet 365,Further details,69
Satoshi Kodaira,-,MC^,36^,-,30,-,-,MC,-,12,-,MC,-,-,-,-,-,6800,Further details,175/1,Bet 365,Further details,13
Kevin Chappell,-,-,-,-,MC,-,-,28,-,-,-,-,-,-,-,-,MC,6800,Further details,150/1,Bet 365,Further details,45
Max Mcgreevy,-,-,-,-,MC,-,-,MC,MC,-,-,31,-,-,-,62,8,6700,Further details,175/1,Bet 365,Further details,53
Brian Gay,12^,30^,-,14^,MC,10^,-,MC,5^,11^,-,MC,-,3,1,12,11,6700,Further details,175/1,Bet 365,Further details,37
Augusto Nunez,-,-,-,-,MC,-,-,MC,MC,-,-,MC,-,-,-,-,67,6700,Further details,150/1,Bet 365,Further details,63
Ryan Armour,-,-,-,-,MC,-,-,MC,MC,-,-,73,-,8,8,67,MC,6700,Further details,150/1,Bet 365,Further details,53
Jonas Blixt,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,MC,6700,Further details,250/1,Bet 365,Further details,MC
Cody Gribble,-,-,-,-,MC,-,-,43,-,-,-,MC,-,-,-,-,MC,6700,Further details,200/1,Bet 365,Further details,45
Kevin Roy,MC^,-,-,-,MC,-,-,MC,MC,-,-,MC,-,-,-,-,MC,6700,Further details,175/1,Bet 365,Further details,8
Scott Harrington,-,-,-,-,30,-,-,35,MC,-,-,MC,-,53,MC,-,29,6600,Further details,225/1,Bet 365,Further details,MC
Martin Trainer,-,-,-,-,30,-,-,MC,-,-,-,15,-,-,-,MC,MC,6600,Further details,300/1,Bet 365,Further details,81
Chris Stroud,-,-,-,-,MC,-,-,71,-,-,-,-,-,-,-,MC,MC,6600,Further details,200/1,Bet 365,Further details,MC
Wesley Bryan,-,-,-,-,MC,-,-,62,-,-,-,-,-,-,MC,-,MC,6600,Further details,350/1,Bet 365,Further details,37
William Mcgirt,MC^,-,-,-,64,-,-,71,-,-,-,-,-,-,-,-,MC,6600,Further details,350/1,Bet 365,Further details,59
Harry Higgs,-,-,-,-,MC,-,-,68,MC,-,-,MC,-,2,-,-,MC,6600,Further details,175/1,Bet 365,Further details,MC
Matthias Schwab,-,-,-,-,11,-,-,MC,63,-,-,MC,-,-,-,51,MC,6600,Further details,250/1,Bet 365,Further details,53
Tyson Alexander,-,-,-,-,30,-,-,MC,MC,76,-,MC,-,-,-,-,44,6500,Further details,275/1,Bet 365,Further details,8
Trevor Werbylo,-,-,-,-,MC,-,-,MC,56,68,-,-,-,-,-,-,59,6500,Further details,350/1,Bet 365,Further details,MC
Chase Johnson,-,-,-,-,-,-,-,-,-,-,-,69,-,-,-,-,-,6500,Further details,400/1,Bet 365,Further details,MC
Chris Baker,-,-,-,-,-,-,-,56,-,-,-,-,-,31,MC,-,-,6500,Further details,300/1,Bet 365,Further details,MC
Sunghoon Kang,-,MC^,-,-,65,-,-,MC,-,-,-,-,-,-,-,-,MC,6500,Further details,300/1,Bet 365,Further details,MC
Kyle Westmoreland,MC^,MC^,-,-,MC,-,-,56,MC,-,-,MC,-,-,-,-,MC,6500,Further details,300/1,Bet 365,Further details,37
Trevor Cone,-,-,-,-,MC,-,-,73,MC,-,-,MC,-,-,-,-,MC,6500,Further details,250/1,Bet 365,Further details,MC
Jonathan Byrd,-,-,-,-,MC,-,-,MC,-,-,-,MC,-,MC,53,20,35,6400,Further details,300/1,Bet 365,Further details,MC
Scott Brown,MC^,MC^,-,-,MC,-,-,MC,-,-,-,-,-,-,-,39,62,6400,Further details,450/1,Bet 365,Further details,MC
Paul Haley II,-,-,-,-,MC,-,-,MC,MC,-,-,67,-,-,-,-,-,6400,Further details,500/1,Bet 365,Further details,MC
Martin Contini,MC^,68^,-,-,26^,MC^,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,400/1,Bet 365,Further details,65
Dylan Frittelli,-,-,-,-,MC,-,-,56,MC,-,-,MC,-,-,-,22,-,6400,Further details,275/1,Bet 365,Further details,MC
D.J. Trahan,-,-,-,-,25,-,-,MC,-,-,-,-,-,24,45,-,MC,6400,Further details,400/1,Bet 365,Further details,59
Ryan Brehm,-,-,-,-,-,-,-,MC,MC,-,-,MC,-,51,26,-,MC,6400,Further details,500/1,Bet 365,Further details,20
Tommy Gainey,-,MC^,-,-,MC,-,-,51,MC,-,-,-,-,MC,MC,MC,WD,6400,Further details,600/1,Bet 365,Further details,MC
Nick Watney,-,-,-,-,MC,-,-,MC,MC,-,-,MC,-,-,MC,46,11,6300,Further details,2000/1,Bet 365,Further details,80
Ben Crane,-,-,-,-,56,-,-,MC,-,-,-,-,-,18,-,67,49,6300,Further details,750/1,Bet 365,Further details,MC
Brian Stuard,-,-,-,-,MC,-,-,MC,MC,-,-,45,-,51,MC,MC,54,6300,Further details,1000/1,Bet 365,Further details,37
Derek Ernst,-,-,-,-,MC,-,-,-,-,-,-,-,-,53,MC,-,-,6300,Further details,750/1,Bet 365,Further details,MC
Kyle Wilshire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-,6300,Further details,600/1,Bet 365,Further details,MC
Andrew Landry,-,-,-,-,45,-,-,56,MC,-,-,MC,-,-,-,-,-,6300,Further details,750/1,Bet 365,Further details,45
Jim Herman,-,-,-,-,MC,-,-,77,WD,-,-,MC,-,-,-,-,-,6300,Further details,600/1,Bet 365,Further details,72
Michael Gligic,MC^,-,-,-,MC,-,-,62,MC,-,-,MC,-,53,11,-,MC,6300,Further details,500/1,Bet 365,Further details,MC
Greg Chalmers,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,MC,65,6200,Further details,500/1,Bet 365,Further details,MC
Derek Lamely,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,1500/1,Bet 365,Further details,MC
Fred Biondi,MC^,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,6200,Further details,2000/1,Bet 365,Further details,13
George Bryan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,500/1,Bet 365,Further details,69
Ted Potter Jr,-,-,-,-,MC,-,-,75,-,-,-,-,-,-,-,MC,-,6200,Further details,2000/1,Bet 365,Further details,65
Bo Van Pelt,MC^,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,MC,6200,Further details,2500/1,Bet 365,Further details,MC
David Hearn,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,39,MC,6200,Further details,250/1,Bet 365,Further details,MC
Ricky Barnes,-,-,-,-,MC,-,-,MC,-,-,-,-,-,53,63,MC,MC,6200,Further details,1500/1,Bet 365,Further details,MC
Arjun Atwal,-,-,-,-,MC,3^,-,42^,-,56^,-,-,-,41,MC,71,49,6100,Further details,2500/1,Bet 365,Further details,MC
Danny Guise,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,1000/1,Bet 365,Further details,MC
George McNeill,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,6100,Further details,1500/1,Bet 365,Further details,MC
Kevin Stadler,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,MC,-,6100,Further details,4000/1,Bet 365,Further details,76
Kyle Stanley,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,65,-,-,6100,Further details,1500/1,Bet 365,Further details,30
D.A. Points,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,45,67,MC,6100,Further details,2000/1,Bet 365,Further details,20
Robert Garrigus,-,-,-,-,-,-,-,-,-,-,-,-,-,64,WD,46,MC,6100,Further details,1500/1,Bet 365,Further details,27
Andy Zhang,60^,-,15^,-,-,-,5^,-,-,-,-,-,-,-,-,-,-,6000,Further details,2000/1,Bet 365,Further details,MC
Eric West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details,MC
Jeff Overton,23^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details,MC
Oliver Betschart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details,MC
Richard S. Johnson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6000,Further details,4000/1,Bet 365,Further details,MC
Scott Roy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,4000/1,Bet 365,Further details,MC
Greg Koch,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6000,Further details,2500/1,Bet 365,Further details,63
Michael Sims,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,MC,6000,Further details,2500/1,Bet 365,Further details,MC
Brian Davis,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,Further details,TBC,Bet 365,Further details,MC
Matt Every,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,WD,-,-,Further details,TBC,Bet 365,Further details,NR
