Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 Odds,Bookmaker,New Account Offer
Justin Lower,-,-,-,7,-,-,28,MC,MC,56,-,2,-,-,-,17,8,20,25/1,Bet 365,Further details
Carson Young,-,-,-,MC,-,-,48,11,MC,37,-,2,-,-,-,-,MC,-,35/1,Bet 365,Further details
Joe Highsmith,-,-,-,13,-,-,55,6,16,-,-,5,-,-,-,-,-,-,40/1,Bet 365,Further details
David Lipsky,-,-,-,2,-,-,MC,MC,41,-,-,6,-,-,-,MC,-,13,66/1,Bet 365,Further details
Wesley Bryan,-,-,-,13,-,-,37,21,-,-,-,6,-,-,MC,-,MC,37,70/1,Bet 365,Further details
Nicolas Echavarria,-,-,-,MC,-,-,MC,11,MC,1,-,6,-,-,-,-,23,76,40/1,Bet 365,Further details
Garrick Higgo,-,-,-,26,-,-,MC,MC,54,-,-,6,-,-,-,34,29,-,100/1,Bet 365,Further details
Maverick McNealy,-,-,-,MC,-,-,MC,-,16,WD,-,6,-,35,21,-,-,-,16/1,Bet 365,Further details
Kevin Chappell,-,-,-,26,-,-,-,MC,MC,-,-,12,-,-,-,-,MC,45,100/1,Bet 365,Further details
Dylan Wu,-,-,-,MC,-,-,MC,69,MC,-,-,14,-,-,-,46,49,30,80/1,Bet 365,Further details
Jacob Bridgeman,-,-,-,MC,-,-,11,46,29,-,-,14,-,-,-,-,-,-,33/1,Bet 365,Further details
Joel Dahmen,-,-,-,50,-,-,MC,40,WD,41,-,14,-,-,-,-,-,-,70/1,Bet 365,Further details
Daniel Berger,-,-,-,MC,-,-,7,35,39,-,-,20,-,-,-,-,-,-,33/1,Bet 365,Further details
Doug Ghim,-,-,-,47,-,-,33,25,2,27,-,20,-,MC,14,-,MC,MC,20/1,Bet 365,Further details
Benjamin Griffin,-,-,-,-,-,-,37,11,MC,22,-,24,-,-,-,-,3,37,18/1,Bet 365,Further details
Lucas Glover,-,-,-,13,-,-,3,3,-,-,-,24,-,-,-,-,63,45,25/1,Bet 365,Further details
Kelly Kraft,-,-,-,MC,-,-,-,MC,-,-,-,24,-,-,MC,-,-,53,150/1,Bet 365,Further details
Kevin Streelman,-,-,-,MC,-,-,42,3,MC,-,-,24,-,-,-,-,-,-,75/1,Bet 365,Further details
Patrick Rodgers,-,-,-,37,-,-,MC,11,-,67,-,24,-,MC,59,4,3,-,25/1,Bet 365,Further details
Ryan McCormick,-,-,-,MC,-,-,MC,MC,16,-,-,24,-,-,-,-,-,-,200/1,Bet 365,Further details
Brandon Wu,-,-,-,13,-,-,55,MC,MC,-,-,30,-,-,-,34,35,30,125/1,Bet 365,Further details
Nick Hardy,-,-,-,50,-,-,28,8,MC,-,-,30,-,-,-,MC,23,45,45/1,Bet 365,Further details
Michael Kim,-,-,-,MC,-,-,MC,MC,5,-,-,30,-,-,MC,MC,MC,-,45/1,Bet 365,Further details
Sam Ryder,-,-,-,MC,-,-,MC,40,MC,-,-,30,-,MC,-,-,MC,-,90/1,Bet 365,Further details
Henrik Norlander,-,53,8,61,-,-,28,8,MC,-,-,30,-,28,MC,-,MC,MC,50/1,Bet 365,Further details
Alex Smalley,-,-,-,MC,-,-,5,25,65,-,-,39,-,-,-,12,11,30,45/1,Bet 365,Further details
Chesson Hadley,-,-,-,50,-,-,55,64,MC,-,-,39,-,-,16,-,17,-,66/1,Bet 365,Further details
Martin Laird,-,-,-,47,-,-,48,MC,MC,-,-,42,-,-,-,-,-,59,100/1,Bet 365,Further details
Tom Whitney,-,-,-,47,-,-,MC,11,MC,-,-,42,-,-,-,-,-,-,200/1,Bet 365,Further details
Tyson Alexander,-,-,-,MC,-,-,MC,54,MC,-,-,45,-,-,-,-,44,8,300/1,Bet 365,Further details
Seungyul Noh,46^,-,-,12^,MC^,-,18^,MC,-,-,-,45,-,-,-,30,35,72,75/1,Bet 365,Further details
"Blaine Hale, Jr.",-,-,-,37,-,-,MC,MC,MC,-,-,45,-,-,-,-,-,-,500/1,Bet 365,Further details
Hayden Springer,-,-,-,MC,-,-,8,MC,MC,-,-,45,-,-,-,-,-,-,66/1,Bet 365,Further details
Josh Teater,-,-,-,61,-,-,MC,MC,-,-,-,45,-,11,MC,-,-,-,500/1,Bet 365,Further details
Justin Suh,-,-,-,37,-,-,MC,46,46,-,-,45,-,-,MC,-,-,-,70/1,Bet 365,Further details
Rico Hoey,-,-,-,37,-,-,68,21,3,22,-,45,-,-,-,-,-,-,40/1,Bet 365,Further details
Zac Blair,-,-,-,13,-,-,MC,66,61,46,-,45,-,57,-,-,-,-,100/1,Bet 365,Further details
Vincent Whaley,-,-,-,MC,-,-,16,67,16,-,-,55,-,-,MC,7,-,8,60/1,Bet 365,Further details
Nate Lashley,-,-,-,MC,-,-,55,61,29,16,-,55,-,-,-,-,35,-,75/1,Bet 365,Further details
Kevin Tway,-,-,-,13,-,-,MC,35,-,-,-,57,-,-,40,-,MC,MC,80/1,Bet 365,Further details
David Skinns,-,-,-,44,-,-,37,MC,66,76,-,58,-,-,-,34,-,-,100/1,Bet 365,Further details
Joseph Bramlett,-,-,-,MC,-,-,63,21,52,-,-,58,-,31,45,MC,MC,-,80/1,Bet 365,Further details
Dylan Frittelli,MC,39,MC,MC,MC,61,MC,57,-,-,-,59,-,-,-,22,-,MC,TBC,Bet 365,Further details
Lanto Griffin,-,-,-,61,-,-,-,54,29,-,-,60,-,18,-,-,-,53,90/1,Bet 365,Further details
Chad Ramey,-,-,-,58,-,-,WD,21,23,46,-,60,-,-,-,17,MC,-,70/1,Bet 365,Further details
Robby Shelton IV,-,-,-,MC,-,-,MC,MC,MC,-,-,60,-,MC,-,-,23,-,175/1,Bet 365,Further details
Ryan Brehm,-,-,-,MC,-,-,MC,MC,MC,-,-,64,-,51,26,-,MC,20,500/1,Bet 365,Further details
Aaron Baddeley,-,-,-,50,-,-,MC,MC,MC,-,-,64,-,-,MC,-,6,-,300/1,Bet 365,Further details
Taylor Montgomery,-,-,-,MC,-,-,WD,MC,MC,-,-,64,-,-,-,-,-,-,225/1,Bet 365,Further details
Adam Long,MC^,-,-,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,44,13,TBC,Bet 365,Further details
Brendon Todd,-,-,-,44,-,-,-,-,MC,75,-,-,-,1,MC,-,-,20,33/1,Bet 365,Further details
D.A. Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,67,MC,20,2000/1,Bet 365,Further details
Mark Hubbard,-,-,-,MC,MC,-,63,MC,14,41,-,-,-,41,-,22,MC,20,40/1,Bet 365,Further details
Kevin Yu,-,-,-,-,-,-,1,-,MC,16,-,-,-,-,-,-,3,30,40/1,Bet 365,Further details
Peter Malnati,-,-,-,-,MC,-,MC,MC,MC,-,-,-,-,-,21,7,-,37,200/1,Bet 365,Further details
Andrew Novak,-,-,-,-,-,-,23,MC,MC,16,-,-,-,-,-,MC,17,45,30/1,Bet 365,Further details
Cody Gribble,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,MC,45,500/1,Bet 365,Further details
William Mcgirt,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,59,TBC,Bet 365,Further details
Greg Koch,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,63,2500/1,Bet 365,Further details
Robert Streb,46^,-,-,MC^,-,-,-,-,-,-,-,-,-,35,55,-,29,65,TBC,Bet 365,Further details
Richy Werenski,36^,-,-,55^,13^,-,25^,-,-,-,-,-,-,-,-,-,23,69,175/1,Bet 365,Further details
Russell Knox,-,-,-,MC,-,-,-,-,-,-,-,-,-,11,16,12,49,76,TBC,Bet 365,Further details
Nick Watney,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,46,11,80,1000/1,Bet 365,Further details
Andrew Putnam,-,-,-,44,-,-,25,-,16,27,-,-,-,-,21,-,-,-,28/1,Bet 365,Further details
Ben Kohles,-,-,-,64,-,-,16,46,MC,56,-,-,-,-,-,39,-,-,66/1,Bet 365,Further details
Bill Haas,24^,-,-,MC,-,-,55,-,-,-,-,-,-,-,MC,-,MC,-,400/1,Bet 365,Further details
Brandt Snedeker,-,-,-,26,-,-,16,-,-,-,-,-,-,-,-,-,-,-,225/1,Bet 365,Further details
Camiko Smith,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,2500/1,Bet 365,Further details
Christo Lamprecht,MC^,-,-,MC^,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Connor Jones,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Egor Eroshenko,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000/1,Bet 365,Further details
Ethan Cairns,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000/1,Bet 365,Further details
Francesco Molinari,-,-,MC,-,WD,-,-,MC,59,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
George Bryan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Graeme Robertson,MC^,-,1^,-,5^,2^,-,2^,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Greyson Sigg,-,-,-,4,-,-,MC,11,23,-,-,-,-,-,-,22,11,-,40/1,Bet 365,Further details
James Hahn,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Kevin Kisner,-,-,-,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Luke Schniederjans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,750/1,Bet 365,Further details
Mackenzie Hughes,-,-,-,4,-,-,8,-,-,-,-,-,-,-,-,-,-,-,16/1,Bet 365,Further details
Michael Herrera,-,-,11^,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Miles Russell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Nick Jones,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000/1,Bet 365,Further details
Nick Taylor,-,-,-,MC,-,-,-,25,54,33,-,-,-,-,-,MC,23,-,33/1,Bet 365,Further details
Ryo Hisatsune,-,-,77,MC,MC,-,MC,25,-,46,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Samuel Stevens,-,-,-,37,-,-,37,-,23,22,-,-,-,-,-,-,MC,-,25/1,Bet 365,Further details
Sangmoon Bae,-,-,-,37,-,-,-,-,-,MC^,WD^,-,-,58,MC,65,MC,-,TBC,Bet 365,Further details
Seamus Power,-,-,-,26,-,-,11,11,MC,13,-,-,-,31,37,12,1,-,14/1,Bet 365,Further details
Tyler Collet,54^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Ben Crane,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,67,49,MC,1000/1,Bet 365,Further details
Chris Baker,MC^,-,-,35^,57^,-,-,-,-,-,-,-,-,31,MC,-,-,MC,500/1,Bet 365,Further details
Eric West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,4000/1,Bet 365,Further details
Jonathan Byrd,MC^,-,-,60^,-,-,-,-,-,-,-,-,-,MC,53,20,35,MC,TBC,Bet 365,Further details
MJ Daffue,-,MC,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,29,MC,500/1,Bet 365,Further details
Sunghoon Kang,37,MC,MC,MC,-,69,64,MC,MC,MC,-,-,-,-,-,-,MC,MC,TBC,Bet 365,Further details
Tommy Gainey,MC^,-,-,MC^,70^,-,44^,-,-,-,-,-,-,MC,MC,MC,WD,MC,TBC,Bet 365,Further details
Marty Dou Zecheng,-,-,-,MC^,-,-,-,-,-,-,-,2^,-,-,-,-,17,65,TBC,Bet 365,Further details
Camilo Villegas,-,-,-,MC,-,-,MC,MC,54,-,-,MC,-,-,55,34,54,1,300/1,Bet 365,Further details
Matthias Schmid,-,-,17,58,40,-,16,5,3,-,-,MC,-,-,-,-,61,3,28/1,Bet 365,Further details
Carl Yuan,-,-,-,MC,-,-,MC,11,MC,-,-,MC,-,-,-,-,-,4,250/1,Bet 365,Further details
Ryan Moore,-,-,-,MC,-,-,-,MC,34,-,-,MC,-,-,-,-,-,5,100/1,Bet 365,Further details
Austin Cook,MC^,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,MC,44,13,500/1,Bet 365,Further details
Scott Piercy,-,-,-,-,-,-,-,54,16,-,-,MC,-,-,14,-,MC,27,150/1,Bet 365,Further details
Sean O'Hair,MC^,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,22,11,37,350/1,Bet 365,Further details
Austin Smotherman,64^,-,-,7,-,-,42,MC,-,-,-,MC,-,-,-,MC,23,59,100/1,Bet 365,Further details
Troy Merritt,-,-,-,MC,-,-,MC,MC,MC,-,-,MC,-,-,40,-,-,72,200/1,Bet 365,Further details
Martin Trainer,-,-,-,MC,-,-,MC,MC,-,-,-,MC,-,-,-,MC,MC,81,1000/1,Bet 365,Further details
Adrien Dumont de Chassart,-,-,-,MC,-,-,55,MC,MC,-,-,MC,-,-,-,-,-,-,300/1,Bet 365,Further details
Alejandro Tosti,-,-,-,MC,-,-,MC,43,9,-,-,MC,-,-,-,-,-,-,150/1,Bet 365,Further details
Benjamin Taylor,-,-,-,MC,-,-,MC,MC,46,-,-,MC,-,28,49,-,57,-,400/1,Bet 365,Further details
Callum Tarren,-,-,-,MC,-,-,61,MC,MC,-,-,MC,-,-,-,WD,MC,-,250/1,Bet 365,Further details
Cameron Champ,-,-,-,MC,-,-,MC,46,WD,-,-,MC,-,-,-,-,-,-,125/1,Bet 365,Further details
Chez Reavie,-,-,-,32,-,-,MC,54,MC,-,-,MC,-,-,-,-,-,-,125/1,Bet 365,Further details
Erik Barnes,-,-,-,WD,-,-,MC,60,-,-,-,MC,-,-,-,MC,MC,-,1000/1,Bet 365,Further details
Hayden Buckley,-,-,-,MC,-,-,MC,MC,MC,-,-,MC,-,-,-,71,-,-,225/1,Bet 365,Further details
Jhonattan Vegas,-,-,-,32,-,-,23,-,52,11,-,MC,-,-,59,-,-,-,33/1,Bet 365,Further details
Kevin Dougherty,-,-,-,64,-,-,MC,MC,MC,-,-,MC,-,-,-,-,-,-,350/1,Bet 365,Further details
KyoungHoon Lee,-,-,-,MC,-,-,23,46,5,63,-,MC,-,58,62,-,-,-,66/1,Bet 365,Further details
Matthew Nesmith,-,-,-,MC,-,-,48,MC,MC,-,-,MC,-,-,-,MC,-,-,110/1,Bet 365,Further details
Norman Xiong,-,-,-,MC,-,-,MC,63,29,-,-,MC,-,-,-,-,-,-,150/1,Bet 365,Further details
Paul Barjon,-,-,-,MC,-,-,33,MC,MC,-,-,MC,-,-,-,-,-,-,750/1,Bet 365,Further details
Pierceson Coody,-,-,-,58,-,-,MC,MC,39,-,-,MC,-,-,-,-,-,-,80/1,Bet 365,Further details
