Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Rory McIlroy,-,7,9,2,7,-,-,1,6,-,-,3,-,1,59,8,4,42,58,5,19,12,4,8,12100,15/2,Bet 365,Further details,4
Scottie Scheffler,3,3,-,3,4,-,-,3,23,-,-,31,-,-,-,-,-,-,-,-,-,20,22,3,11600,15/2,Bet 365,Further details,2
Jon Rahm,-,16,-,10,MC,-,-,-,2,-,-,37,-,-,-,-,-,-,5,24,5,1,9,8,11200,9/1,Bet 365,Further details,31
Patrick Cantlay,-,30,-,14,4,-,-,MC,33,-,-,2,-,-,-,-,-,-,9,55,2,12,1,1,10500,10/1,Bet 365,Further details,15
Viktor Hovland,16,1,-,19,29,-,-,25,13,-,-,13,-,-,-,-,-,-,-,-,-,40,17,35,10300,16/1,Bet 365,Further details,1
Xander Schauffele,-,24,-,10,19,-,-,42,17,-,-,24,-,-,-,-,-,-,20,3,19,25,49,3,10100,16/1,Bet 365,Further details,8
Jordan Spieth,MC,5,-,MC,-,-,-,MC,23,-,-,6,-,-,16,8,13,9,7,55,37,-,34,19,10000,25/1,Bet 365,Further details,34
Collin Morikawa,29,WD,-,14,MC,2,-,-,MC,-,-,13,-,-,-,-,-,-,-,-,48,20,63,44,9800,22/1,Bet 365,Further details,25
Tommy Fleetwood,MC,-,2,5,MC,-,-,6,10,-,-,3,-,-,-,-,-,-,-,8,11,-,-,-,9700,20/1,Bet 365,Further details,25
Max Homa,9,-,-,MC,MC,21,-,12,10,-,-,6,-,-,-,-,-,-,-,-,61,59,63,23,9500,22/1,Bet 365,Further details,5
Hideki Matsuyama,-,16,-,32,13,MC,-,-,13,30,MC,16,-,-,-,20,7,24,47,15,3,3,46,35,9400,33/1,Bet 365,Further details,WD
Sungjae Im,MC,41,-,MC,29,24,-,MC,20,MC,14,6,-,-,-,-,-,-,-,-,11,56,3,15,9300,33/1,Bet 365,Further details,7
Rickie Fowler,6,9,-,5,13,1,-,42,23,-,-,58,-,41,39,4,4,59,2,8,11,-,-,-,9200,33/1,Bet 365,Further details,25
Lucas Glover,-,MC,20,-,MC,4,6,5,-,MC,1,1,-,-,-,-,-,-,12,-,7,-,38,66,9100,35/1,Bet 365,Further details,22
Tyrrell Hatton,-,12,3,27,-,-,-,6,20,-,-,43,-,-,-,-,-,-,-,29,-,16,-,23,9000,30/1,Bet 365,Further details,34
Corey Conners,-,MC,20,MC,9,-,-,19,52,-,-,6,-,-,-,-,-,-,-,-,7,33,22,5,8900,45/1,Bet 365,Further details,10
Wyndham Clark,-,12,-,1,29,-,-,25,33,-,-,66,-,-,-,-,-,-,-,-,31,-,-,64,8800,40/1,Bet 365,Further details,15
Tom Kim,-,MC,-,8,38,MC,-,6,2,-,-,24,-,-,-,-,-,-,-,-,-,-,-,54,8700,33/1,Bet 365,Further details,10
Jason Day,-,MC,-,MC,45,-,-,-,2,-,-,52,-,-,4,WD,1,WD,4,24,52,64,-,-,8600,33/1,Bet 365,Further details,45
Cameron Young,-,MC,57,32,60,-,6,-,8,MC,-,31,-,-,-,-,-,-,-,-,-,-,-,23,8500,40/1,Bet 365,Further details,15
Sam Burns,6,16,MC,32,-,-,-,19,MC,-,14,52,-,-,-,-,-,-,-,-,-,-,8,19,8400,40/1,Bet 365,Further details,15
Tony Finau,MC,-,-,32,45,MC,-,-,MC,7,-,64,-,-,-,-,47,66,7,8,4,5,15,28,8300,40/1,Bet 365,Further details,37
Russell Henley,16,16,-,14,19,-,35,-,MC,-,2,6,-,-,39,59,49,-,47,-,-,25,60,35,8200,33/1,Bet 365,Further details,8
Brian Harman,29,MC,-,43,2,9,-,12,1,-,-,31,-,41,-,43,53,13,40,68,-,12,29,35,8100,45/1,Bet 365,Further details,5
Matthew Fitzpatrick,-,9,20,17,49,-,-,MC,41,-,-,66,-,-,-,-,-,-,-,-,-,6,-,48,8000,40/1,Bet 365,Further details,2
Justin Rose,12,-,8,MC,-,4,-,MC,MC,-,-,20,-,16,33,35,13,24,2,2,52,-,-,-,7900,66/1,Bet 365,Further details,22
Cameron Davis,MC,MC,-,MC,33,17,-,MC,-,10,7,6,-,-,-,-,-,-,-,-,-,-,29,35,7800,66/1,Bet 365,Further details,40
JT Poston,MC,38,-,MC,MC,-,6,6,41,2,7,24,-,-,-,-,-,-,-,-,16,59,-,35,7700,60/1,Bet 365,Further details,22
Siwoo Kim,29,4,-,39,MC,-,-,-,MC,-,33,16,-,-,-,-,-,20,58,41,28,-,29,67,7600,60/1,Bet 365,Further details,31
An Byeong-Hun,21,24,-,-,MC,MC,51,3,23,-,2,37,-,-,-,-,-,-,-,29,28,12,-,-,7500,66/1,Bet 365,Further details,43
Emiliano Grillo,1,48,-,MC,15,-,MC,-,6,10,-,20,-,-,-,-,-,32,58,61,31,-,46,19,7400,60/1,Bet 365,Further details,31
Sepp Straka,29,16,-,MC,38,64,1,-,2,MC,-,63,-,-,-,-,-,-,-,-,-,-,-,28,7300,70/1,Bet 365,Further details,37
Taylor Moore,MC,-,-,MC,MC,4,MC,-,MC,-,22,5,-,-,-,-,-,-,-,-,-,-,-,44,7200,90/1,Bet 365,Further details,49
Keegan Bradley,-,30,-,MC,1,21,-,-,MC,-,-,43,-,59,16,WD,28,-,27,1,43,-,60,58,7100,60/1,Bet 365,Further details,29
Sahith Theegala,-,58,38,27,52,-,-,MC,MC,MC,-,13,-,-,-,-,-,-,-,-,-,-,-,15,7000,80/1,Bet 365,Further details,15
Adam Hadwin,-,MC,12,59,-,2,MC,-,-,MC,MC,16,-,-,-,-,-,-,40,19,43,40,-,44,6900,80/1,Bet 365,Further details,44
Andrew Putnam,29,5,-,43,45,-,-,42,55,-,27,24,-,-,-,-,-,-,-,16,43,-,-,23,6800,100/1,Bet 365,Further details,10
Denny Mccarthy,MC,2,-,20,7,-,6,-,MC,-,MC,66,-,-,-,-,-,-,-,-,-,-,-,28,6700,80/1,Bet 365,Further details,10
Brendon Todd,57,WD,34,-,MC,56,2,-,49,-,7,43,-,-,-,36,23,-,-,-,-,8,-,-,6600,90/1,Bet 365,Further details,41
Adam Schenk,2,7,-,MC,MC,7,4,-,MC,-,64,6,-,-,-,-,-,-,-,-,-,-,-,-,6500,125/1,Bet 365,Further details,34
Harris English,12,52,-,8,60,-,-,-,MC,-,33,52,-,-,50,31,19,47,-,-,-,40,26,-,6400,90/1,Bet 365,Further details,10
Eric Cole,MC,24,6,39,24,-,42,60,-,30,14,31,-,-,-,-,-,-,-,-,-,-,-,-,6300,100/1,Bet 365,Further details,25
Adam Svensson,-,MC,MC,60,MC,40,21,-,-,37,7,37,-,-,-,-,-,-,-,-,-,-,-,-,6200,110/1,Bet 365,Further details,15
Lee Hodges,29,12,25,-,MC,MC,-,12,MC,1,-,31,-,-,-,-,-,-,-,-,-,-,-,-,6100,150/1,Bet 365,Further details,45
Chris Kirk,MC,MC,-,MC,-,14,21,-,MC,-,MC,16,-,12,24,36,60,10,-,41,-,-,48,61,6000,150/1,Bet 365,Further details,29
Nick Taylor,MC,-,1,MC,-,-,MC,19,MC,-,-,24,-,-,-,-,-,-,-,-,-,51,-,-,5900,175/1,Bet 365,Further details,47
Seamus Power,-,41,-,MC,MC,-,13,WD,MC,-,-,66,-,-,-,-,-,-,-,-,-,-,-,65,5800,150/1,Bet 365,Further details,48
Tom Hoge,52,65,-,MC,60,MC,-,19,MC,20,-,43,-,-,-,-,-,-,-,-,-,65,49,48,5700,200/1,Bet 365,Further details,21
Kurt Kitayama,29,MC,-,MC,MC,-,-,54,60,-,-,52,-,-,-,-,-,-,-,-,-,-,-,19,5600,140/1,Bet 365,Further details,41
Patrick Rodgers,57,30,-,32,MC,-,MC,MC,2,37,MC,52,-,-,-,-,-,-,-,-,-,-,-,-,5500,150/1,Bet 365,Further details,37
