Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,12,-,4,1,-,4,-,10,11,-,-,-,-,-,-,22,-,-,-,-,35,47,15,11900,9/2,Bet 365,Further details,5
Tyrrell Hatton,40,-,4,2,-,59,MC,34,19,-,-,3,-,-,-,-,-,-,-,-,-,-,-,10100,16/1,Bet 365,Further details,5
Hideki Matsuyama,MC,-,MC,5,-,31,15,16,-,-,-,-,-,-,-,-,-,-,-,16,23,39,3,9800,25/1,Bet 365,Further details,23
Tom Kim,45,-,34,51,-,31,-,16,MC,7^^,-,23,-,-,-,-,-,-,-,-,-,-,17,9600,18/1,Bet 365,Further details,34
Jason Day,9,-,10,19,-,5,-,39,-,-,-,MC,-,9,27,-,-,-,2,-,-,MC,51,9400,18/1,Bet 365,Further details,1
Kyounghoon Lee,MC,-,53,MC,19,59,-,23,41,-,-,8,-,-,-,-,-,-,-,-,72,1,1,9300,25/1,Bet 365,Further details,50
Adam Scott,65,-,31,71,-,31,-,39,31,-,-,5,-,MC,-,-,-,-,-,9,-,-,32,9200,33/1,Bet 365,Further details,8
Siwoo Kim,MC,-,39,27,-,17,39,29,MC,7^^,-,43,-,-,-,-,-,-,-,-,-,55,MC,9100,40/1,Bet 365,Further details,2
Matt Kuchar,8,MC,-,MC,-,9,3,-,19,-,-,23,-,15,33,7,39,3,9,MC,-,17,12,9000,28/1,Bet 365,Further details,43
Seamus Power,14,-,72,MC,-,31,-,46,MC,-,-,18,-,-,-,-,-,-,57,MC,79,9,17,8900,40/1,Bet 365,Further details,19
Maverick McNealy,-,-,-,60,36,52,-,-,MC,-,60,-,-,-,-,-,-,-,-,42,-,-,32,8800,40/1,Bet 365,Further details,MC
Taylor Montgomery,MC,-,39,44,-,17,22,-,MC,19^^,-,MC,-,-,-,-,-,-,-,-,-,-,-,8700,40/1,Bet 365,Further details,50
An Byeong-Hun,-,21,WD,35,45,-,6,-,-,13^^,33,MC,-,-,-,-,-,-,5,-,-,-,-,8600,45/1,Bet 365,Further details,14
Tom Hoge,14,-,MC,3,-,59,-,MC,MC,13^^,-,-,-,-,-,-,MC,49,55,-,67,MC,17,8500,45/1,Bet 365,Further details,43
Minwoo Lee,-,26,MC,6,-,31,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8400,35/1,Bet 365,Further details,MC
Aaron Wise,-,29,MC,MC,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,1,43,55,51,8300,40/1,Bet 365,Further details,50
Stephan Jaeger,40,14,-,44,27,-,-,-,MC,-,18,27,-,-,-,-,-,-,-,MC,17,-,38,8200,50/1,Bet 365,Further details,11
Adam Hadwin,66,-,MC,13,MC,31,-,-,MC,2^^,-,MC,-,-,-,-,71,58,-,-,-,-,MC,8100,50/1,Bet 365,Further details,34
Christiaan Bezuidenhout,58,42,MC,13,-,59,28,-,19,MC,-,-,-,-,-,-,-,-,-,-,-,-,12,8000,70/1,Bet 365,Further details,23
Davis Riley,-,29,8,MC,19,28,WD,-,MC,1^^,-,MC,-,-,-,-,-,-,-,-,29,-,9,7900,55/1,Bet 365,Further details,MC
Joseph Bramlett,-,55,MC,MC,36,-,MC,-,-,26^^,10,40,-,-,-,-,-,-,-,-,-,7,51,7900,70/1,Bet 365,Further details,19
Brandon Wu,MC,14,-,19,MC,-,58,-,MC,26^^,3,-,-,-,-,-,-,-,-,-,-,-,51,7800,70/1,Bet 365,Further details,23
William Gordon,-,42,70,54,36,-,MC,-,-,MC^^,24,MC,-,-,-,-,-,-,-,-,-,MC,-,7800,55/1,Bet 365,Further details,70
Scott Stallings,MC,-,MC,69,-,31,-,26,56,MC^^,-,-,-,MC,-,-,-,34,20,-,MC,3,25,7700,66/1,Bet 365,Further details,MC
Alex Smalley,MC,-,MC,65,27,-,MC,-,MC,-,MC,18,-,-,-,-,-,-,-,-,-,-,-,7700,80/1,Bet 365,Further details,NR
Sam Stevens,-,MC,15,-,MC,3,2,-,MC,MC^^,-,47,-,-,-,-,-,-,-,-,-,-,-,7600,80/1,Bet 365,Further details,34
Justin Suh,40,5,24,6,45,31,-,-,73,23^^,-,59,-,-,-,-,-,-,-,-,-,-,-,7600,80/1,Bet 365,Further details,MC
Seonghyeon Kim,33,63,39,MC,45,-,15,-,-,13^^,24,MC,-,-,-,-,-,-,-,-,-,-,-,7600,75/1,Bet 365,Further details,50
Aaron Rai,29,MC,53,19,-,-,28,-,48,13^^,MC,MC,-,-,-,-,-,-,-,-,-,-,46,7500,110/1,Bet 365,Further details,MC
Michael Kim,-,MC,5,-,45,26,46,-,-,19^^,30,7,-,-,-,-,-,34,40,MC,MC,67,-,7500,80/1,Bet 365,Further details,MC
Benjamin Griffin,-,21,14,35,45,31,MC,-,31,MC^^,-,MC,-,-,-,-,-,-,-,-,-,-,-,7500,70/1,Bet 365,Further details,MC
Luke List,29,-,MC,MC,MC,-,39,-,MC,23^^,MC,MC,-,-,MC,-,-,MC,-,-,-,61,MC,7500,90/1,Bet 365,Further details,34
Matthew Nesmith,MC,-,39,MC,-,-,MC,-,59,4^^,-,35,-,-,-,-,-,-,-,-,-,-,51,7400,125/1,Bet 365,Further details,30
Eric Cole,-,2,MC,27,MC,-,39,-,MC^,MC^^,5,MC,-,-,-,-,-,-,-,-,-,-,-,7400,80/1,Bet 365,Further details,23
Dylan Wu,-,10,48,35,58,16,39,-,-,MC^^,15,21,-,-,-,-,-,-,-,-,-,-,MC,7400,100/1,Bet 365,Further details,MC
Mackenzie Hughes,50,-,61,MC,-,5,-,29,MC,-,-,MC,-,-,-,-,-,-,-,-,MC,-,MC,7400,80/1,Bet 365,Further details,14
Mark Hubbard,MC,42,-,35,MC,29,MC,-,11,MC^^,18,27,-,-,-,-,55,MC,MC,-,-,34,32,7300,90/1,Bet 365,Further details,NR
Cameron Champ,MC,-,-,-,MC,-,MC,MC,MC,-,8,MC,-,-,-,-,-,-,-,-,-,55,38,7300,80/1,Bet 365,Further details,50
Adam Schenk,50,42,31,MC,2,-,MC,-,31,-,-,MC,-,-,-,-,-,-,-,59,MC,34,79,7300,75/1,Bet 365,Further details,MC
Patton Kizzire,MC,-,MC,65,10,-,64,-,31,26^^,MC,MC,-,-,-,-,-,-,-,-,-,3,83,7300,110/1,Bet 365,Further details,30
Garrick Higgo,-,29,MC,44,58,-,64,-,48,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,7300,90/1,Bet 365,Further details,30
Nate Lashley,20,-,3,60,MC,-,MC,-,31,-,39,27,-,-,-,-,-,-,-,32,29,MC,17,7200,125/1,Bet 365,Further details,23
MJ Daffue,-,21,64,-,19,29,15,-,-,26^^,MC,47,-,-,-,-,-,-,-,-,-,MC,-,7200,110/1,Bet 365,Further details,MC
Vincent Norrman,-,63,21,-,MC,16,MC,-,-,9^^,18,-,-,-,-,-,-,-,-,-,-,-,-,7200,100/1,Bet 365,Further details,8
Davis Thompson,MC,-,53,68,-,31,-,-,63,MC^^,-,MC,-,-,-,-,-,-,-,-,-,-,-,7200,90/1,Bet 365,Further details,70
Harry Hall,-,74,7,-,MC,13,28,-,-,MC^^,10,MC,-,-,-,-,-,-,-,-,-,-,-,7200,100/1,Bet 365,Further details,83
Robby Shelton IV,-,21,39,MC,MC,-,15,-,-,MC^^,MC,MC,-,-,-,-,-,-,MC,-,-,-,-,7200,110/1,Bet 365,Further details,43
Ryan Palmer,-,MC,53,MC,-,-,MC,-,MC,MC^^,-,35,-,9,33,22,10,MC,27,MC,43,47,5,7100,110/1,Bet 365,Further details,8
Austin Smotherman,MC,-,-,35,36,-,MC,-,67,MC^^,5,MC,-,-,-,-,-,-,MC,-,-,-,25,7100,150/1,Bet 365,Further details,MC
David Lipsky,62,-,65,MC,36,-,-,-,MC,13^^,60,MC,-,-,-,-,-,-,-,-,-,-,25,7100,150/1,Bet 365,Further details,MC
Tyler Duncan,33,3,-,54,MC,3,58,-,MC,34^^,-,MC,-,-,-,-,-,-,-,26,5,MC,59,7100,150/1,Bet 365,Further details,MC
Jimmy Walker,-,49,-,-,MC,-,22,-,25,MC^^,15,14,-,29,27,37,2,24,-,6,MC,MC,-,7100,110/1,Bet 365,Further details,74
Erik van Rooyen,-,MC,32,-,10,56,MC,-,MC,26^^,33,MC,-,-,-,-,-,-,-,-,-,MC,-,7100,125/1,Bet 365,Further details,MC
Charley Hoffman,-,MC,MC,-,MC,MC,22,-,-,19^^,55,-,-,41,8,-,2,12,40,-,-,-,MC,7100,125/1,Bet 365,Further details,MC
