Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Jordan Spieth,6,DQ,-,-,30,MC,MC,-,10,MC,39,-,-,-,68,37,30,18,MC,21,29,9,2,-,10900,Further details,16/1,Bet 365,Further details
Jason Day,-,9,-,-,36,35,-,MC,-,30,18,-,-,9,27,-,-,-,2,-,-,MC,51,1,10400,Further details,20/1,Bet 365,Further details
Will Zalatoris,-,2,-,-,4,MC,-,74,-,9,44,MC^^,-,-,-,-,-,MC,-,MC,-,17,MC,-,10000,Further details,22/1,Bet 365,Further details
Siwoo Kim,12,44,-,-,30,6,-,17,-,30,18,-,-,-,-,-,-,-,-,-,-,55,MC,2,9800,Further details,18/1,Bet 365,Further details
Sungjae Im,66,44,-,MC,18,31,MC,-,-,MC,12,1^,-,-,-,-,-,-,-,-,83,-,-,-,9700,Further details,28/1,Bet 365,Further details
Adam Scott,8,19,-,-,MC,45,-,-,14,22,-,-,-,MC,-,-,-,-,-,9,-,-,32,8,9600,Further details,28/1,Bet 365,Further details
Alexander Noren,53,-,-,9,-,19,-,11,14,-,23,-,-,-,-,-,-,-,-,-,35,21,12,-,9500,Further details,25/1,Bet 365,Further details
MinWoo Lee,71,-,-,2,44,54,MC,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,9400,Further details,28/1,Bet 365,Further details
An Byeong-Hun,66,16,-,21,8,MC,-,-,MC,16,67,-,-,-,-,-,-,-,5,-,-,-,-,14,9300,Further details,30/1,Bet 365,Further details
Stephan Jaeger,-,-,3,MC,44,MC,-,1,-,MC,18,-,-,-,-,-,-,-,-,MC,17,-,38,11,9200,Further details,30/1,Bet 365,Further details
Tom Hoge,17,8,-,28,12,54,-,14,-,-,18,MC^^,-,-,-,-,MC,49,55,-,67,MC,17,43,9100,Further details,35/1,Bet 365,Further details
Tom Kim,17,24,-,62,52,WD,-,-,MC,30,18,-,-,-,-,-,-,-,-,-,-,-,17,34,9000,Further details,30/1,Bet 365,Further details
Keith Mitchell,17,-,19,9,-,73,17,MC,14,-,-,28^^,-,-,-,-,-,-,-,3,59,26,76,-,8800,Further details,40/1,Bet 365,Further details
Thomas Detry,28,-,MC,MC,-,62,17,2,-,-,28,8^^,-,-,-,-,-,-,-,-,-,-,-,-,8700,Further details,40/1,Bet 365,Further details
Mackenzie Hughes,-,31,MC,-,30,26,3,14,-,-,39,-,-,-,-,-,-,-,-,-,MC,-,MC,14,8600,Further details,45/1,Bet 365,Further details
Adam Schenk,17,MC,-,56,MC,19,33,-,5,12,49,-,-,-,-,-,-,-,-,59,MC,34,79,MC,8500,Further details,40/1,Bet 365,Further details
Patrick Rodgers,-,MC,6,-,25,MC,MC,74,WD,-,5,-,-,-,-,-,MC,46,27,53,-,47,32,-,8400,Further details,55/1,Bet 365,Further details
Kyounghoon Lee,MC,-,MC,4,-,MC,9,31,MC,-,40,11^^,-,-,-,-,-,-,-,-,72,1,1,50,8300,Further details,50/1,Bet 365,Further details
Maverick McNealy,6,-,13,41,-,9,45,-,58,-,-,MC^^,-,-,-,-,-,-,-,42,-,-,32,MC,8200,Further details,55/1,Bet 365,Further details
