Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Rory McIlroy,21,19,-,-,3,22,33,1^^,-,1,12,-,-,-,-,-,-,-,-,-,-,1,1,9,12100,Further details,15/4,Bet 365,Further details
Sahith Theegala,6,9,-,28,-,45,2,MC^^,-,52,12,-,-,-,-,-,-,-,-,-,-,-,53,38,10500,Further details,20/1,Bet 365,Further details
Tommy Fleetwood,MC,35,-,-,7,3,49,-,-,13,26,-,-,-,-,-,-,-,-,-,6,-,-,2,10300,Further details,18/1,Bet 365,Further details
Shane Lowry,3,19,29,-,-,43,64,1^^,-,47,6,-,-,-,-,-,-,-,-,MC,12,2,10,43,10100,Further details,20/1,Bet 365,Further details
Alexander Noren,-,19,-,11,14,-,23,-,3,24,12,-,-,-,-,-,-,-,-,-,-,63,-,-,9900,Further details,25/1,Bet 365,Further details
Cameron Young,36,54,2,-,-,9,62,-,-,34,63,-,-,-,-,-,-,-,-,-,-,-,-,57,9800,Further details,28/1,Bet 365,Further details
Corey Conners,18,13,-,-,25,35,44,11^^,-,13,26,-,-,-,-,MC,MC,MC,80,-,MC,MC,6,20,9500,Further details,22/1,Bet 365,Further details
Sam Burns,30,45,MC,-,-,MC,44,-,-,13,MC,-,-,-,-,-,-,-,-,-,-,-,4,MC,9400,Further details,25/1,Bet 365,Further details
Maverick Mcnealy,-,9,45,-,58,-,-,MC^^,41,-,23,17,-,-,-,-,-,-,-,-,-,-,-,MC,9200,Further details,35/1,Bet 365,Further details
Adam Scott,MC,45,-,-,14,22,-,-,30,29,MC,12,-,-,-,-,-,-,-,-,-,-,-,-,9000,Further details,33/1,Bet 365,Further details
Aaron Rai,23,35,MC,7,58,-,MC,23^^,4,-,39,32,-,-,-,-,-,-,-,-,-,-,13,3,8900,Further details,45/1,Bet 365,Further details
Keith Mitchell,-,73,17,MC,14,-,-,28^^,20,-,MC,37,-,-,-,-,-,-,-,-,65,-,7,MC,8700,Further details,40/1,Bet 365,Further details
Tom Kim,52,WD,-,-,MC,30,18,-,52,47,26,24,-,-,-,-,-,-,-,-,-,-,-,-,8600,Further details,40/1,Bet 365,Further details
Adam Hadwin,52,MC,5,-,-,53,42,10^^,-,52,60,-,-,4,MC,MC,53,7,49,MC,MC,6,35,12,8500,Further details,40/1,Bet 365,Further details
Mackenzie Hughes,30,26,3,14,-,-,39,-,41,6,MC,-,-,-,MC,MC,-,-,-,32,8,14,28,MC,8300,Further details,40/1,Bet 365,Further details
Erik van Rooyen,25,MC,-,-,MC,55,33,-,-,4,53,-,-,-,-,-,-,-,-,-,-,20,-,MC,8200,Further details,45/1,Bet 365,Further details
Akshay Bhatia,-,MC,17,11,1,35,18,-,-,42,MC,MC,-,-,-,-,-,-,-,-,-,-,-,68,8100,Further details,50/1,Bet 365,Further details
Nick Taylor,12,26,64,-,-,MC,49,10^^,-,43,MC,-,-,MC,MC,-,-,56,MC,MC,71,27,28,1,8000,Further details,50/1,Bet 365,Further details
Mark Hubbard,-,31,-,31,25,-,36,3^^,52,-,26,65,-,-,-,-,-,MC,49,62,-,-,44,6,7900,Further details,66/1,Bet 365,Further details
Davis Thompson,-,MC,MC,21,45,-,18,23^^,MC,2,-,17,-,-,-,-,-,-,-,-,-,-,-,-,7800,Further details,60/1,Bet 365,Further details
Daniel Berger,MC,-,MC,45,-,-,50,MC^^,13,36,-,45,-,-,-,-,-,-,-,-,-,35,-,-,7700,Further details,66/1,Bet 365,Further details
Taylor Pendrith,-,MC,MC,36,MC,-,11,11^^,1,10,MC,-,-,-,-,-,43,MC,-,-,-,-,-,65,7600,Further details,50/1,Bet 365,Further details
Matt Wallace,-,MC,17,MC,-,-,-,36^^,4,20,43,-,-,-,-,-,-,-,-,-,-,-,35,-,7600,Further details,80/1,Bet 365,Further details
Kevin Yu,-,MC,MC,-,39,-,MC,28^^,MC,4,-,61,-,-,-,-,-,-,-,-,-,-,-,-,7500,Further details,75/1,Bet 365,Further details
