Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Rory McIlroy,-,-,-,-,-,2,1,-,66,-,24,-,-,WD,2,MC,MC,-,59,-,-,-,-,-,12200,15/2,Bet 365,Further details,21
Cameron Young,15,-,-,-,33,-,3,-,70,8,16,-,-,-,-,-,-,-,-,-,-,-,16,-,10700,22/1,Bet 365,Further details,4
Matthew Fitzpatrick,4,-,-,-,14,MC,-,-,58,15,MC,-,-,-,-,-,MC,68,-,-,-,-,-,-,10600,28/1,Bet 365,Further details,21
Russell Henley,-,-,-,-,52,4,-,-,58,-,24,-,-,13,1,44,MC,43,24,20,8,3,-,-,10200,25/1,Bet 365,Further details,41
Tom Kim,-,-,-,-,45,-,MC,-,31,17,24,-,-,-,-,-,-,-,-,-,-,-,-,-,10100,30/1,Bet 365,Further details,62
Eric Cole,-,-,-,-,14,13,21,MC,14,49,10,-,-,-,-,-,-,-,-,-,-,-,-,2,9900,30/1,Bet 365,Further details,MC
JT Poston,-,-,-,-,5,6,11,-,20,MC,10,-,-,-,-,-,-,27,-,36,35,MC,42,63,9800,28/1,Bet 365,Further details,66
Sungjae Im,-,-,-,-,5,-,25,MC,66,66,44,-,-,-,-,-,-,-,-,51,1,8,MC,42,9700,28/1,Bet 365,Further details,MC
MinWoo Lee,3,-,-,-,-,-,21,43,-,71,-,-,-,-,-,-,-,-,-,-,-,-,-,26,9600,30/1,Bet 365,Further details,2
An Byeong-Hun,-,-,-,-,4,2,-,-,31,66,16,-,-,-,-,-,-,-,5,36,4,MC,-,21,9500,33/1,Bet 365,Further details,21
Chris Kirk,-,-,-,-,1,18,47,-,26,-,MC,-,-,51,12,MC,MC,-,33,MC,MC,25,7,1,9400,33/1,Bet 365,Further details,28
Shane Lowry,-,-,-,-,-,-,MC,25,-,60,-,-,-,-,-,-,53,-,49,-,21,36,2,5,9300,35/1,Bet 365,Further details,4
Daniel Berger,-,-,-,-,-,-,39,MC,-,28,-,-,-,-,-,2,MC,MC,29,36,4,-,4,-,9200,35/1,Bet 365,Further details,MC
Corey Conners,-,-,-,-,33,57,-,-,31,28,24,-,-,-,-,-,-,-,59,-,MC,-,-,-,9100,45/1,Bet 365,Further details,41
