Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Austin Eckroat,-,-,-,-,15,MC,-,MC,13,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,1,45/1,Bet 365,Further details
Erik van Rooyen,-,24,42,-,-,30,MC,MC,40,MC,-,59,-,-,-,-,-,-,-,MC,60,-,MC,2,100/1,Bet 365,Further details
MinWoo Lee,27,-,-,-,-,-,17,-,17,12,48,-,-,-,-,-,-,-,-,-,-,-,26,2,33/1,Bet 365,Further details
Jake Knapp,-,-,-,-,56,-,MC,32,33,44,17,25,-,-,-,-,-,-,-,-,-,-,-,4,66/1,Bet 365,Further details
Cameron Young,-,13,-,-,8,-,MC,-,72,12,MC,-,-,-,-,-,-,-,-,-,-,16,-,4,35/1,Bet 365,Further details
Shane Lowry,-,-,-,-,-,-,-,MC,2,-,39,-,-,-,-,53,-,49,-,21,36,2,5,4,20/1,Bet 365,Further details
David Skinns,-,-,-,-,-,MC,MC,MC,-,49,-,MC,-,-,-,-,-,-,-,-,-,MC,-,4,500/1,Bet 365,Further details
Kyounghoon Lee,-,-,-,-,-,MC,MC,9,-,67,-,MC,-,-,-,-,-,-,7,38,MC,48,-,4,110/1,Bet 365,Further details
Peter Malnati,-,-,-,-,53,MC,MC,MC,-,49,-,68,-,-,-,MC,MC,49,36,MC,MC,-,MC,9,750/1,Bet 365,Further details
Andrew Novak,-,-,-,-,-,MC,MC,3,13,MC,13,-,-,-,-,-,-,57,-,-,-,MC,29,9,50/1,Bet 365,Further details
Billy Horschel,-,-,-,-,51,MC,21,-,9,MC,MC,-,-,MC,MC,8,4,MC,16,42,-,16,42,9,50/1,Bet 365,Further details
Keith Mitchell,-,-,-,-,-,30,21,-,33,25,-,-,-,-,-,-,-,MC,1,MC,53,9,-,9,35/1,Bet 365,Further details
Victor Perez,MC,-,-,-,-,-,34,MC,-,MC,-,72,-,-,-,-,-,-,-,-,-,-,-,16,125/1,Bet 365,Further details
Doug Ghim,-,-,-,-,-,72,21,MC,68,49,-,-,-,-,-,-,-,-,-,MC,MC,MC,-,16,80/1,Bet 365,Further details
Benjamin Silverman,-,-,-,-,-,69,MC,MC,-,16,-,MC,-,-,-,-,-,MC,36,-,-,-,MC,16,150/1,Bet 365,Further details
