Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Nicolai Hojgaard,2,31,-,39,52,-,MC,MC,-,-,75,16,-,-,-,-,-,-,-,MC,2,10500,Further details,16/1,Bet 365,Further details
Alexander Noren,-,26,53,-,-,9,-,19,-,11,14,-,-,-,-,-,-,-,-,-,-,10200,Further details,14/1,Bet 365,Further details
Aaron Rai,33,-,MC,-,19,-,23,35,MC,7,58,-,-,-,-,-,-,-,-,MC,-,9900,Further details,20/1,Bet 365,Further details
Billy Horschel,MC,-,41,-,-,9,-,MC,12,7,MC,-,-,-,-,-,-,-,-,-,-,9700,Further details,20/1,Bet 365,Further details
Doug Ghim,13,-,12,-,8,16,-,16,67,MC,MC,-,-,-,-,-,-,MC,-,-,16,9500,Further details,28/1,Bet 365,Further details
Kevin Yu,6,58,MC,MC,-,9,-,MC,MC,-,39,-,-,-,-,-,-,-,-,-,-,9300,Further details,30/1,Bet 365,Further details
Nate Lashley,3,-,MC,-,MC,MC,MC,13,-,21,39,-,-,-,1,28,MC,4,28,15,-,9100,Further details,30/1,Bet 365,Further details
Samuel Stevens,43,-,28,-,MC,MC,18,MC,64,57,14,-,-,-,-,-,-,-,-,-,3,8900,Further details,40/1,Bet 365,Further details
Mark Hubbard,20,4,53,-,48,64,-,31,-,31,25,-,-,-,-,-,-,-,-,MC,29,8700,Further details,33/1,Bet 365,Further details
Ben Martin,37,-,MC,-,-,MC,42,31,67,-,7,-,-,-,-,-,-,52,9,2,8,8500,Further details,40/1,Bet 365,Further details
Joel Dahmen,MC,-,41,-,-,MC,49,11,49,MC,MC,-,-,11,-,13,12,-,1,WD,50,8300,Further details,50/1,Bet 365,Further details
Bud Cauley,35^,-,65,-,-,21,-,-,MC,45,39,-,-,-,-,-,-,-,-,-,-,8100,Further details,45/1,Bet 365,Further details
Davis Thompson,MC,-,15,-,24,47,-,MC,MC,21,45,-,-,-,-,-,-,-,-,-,-,8000,Further details,33/1,Bet 365,Further details
Nick Hardy,37,47,66,MC,-,MC,-,MC,MC,57,25,-,-,-,-,-,MC,-,-,MC,13,7800,Further details,40/1,Bet 365,Further details
Benjamin Griffin,MC,58,28,37,-,MC,55,MC,17,36,39,-,-,-,-,-,-,-,-,-,-,7600,Further details,35/1,Bet 365,Further details
Victor Perez,MC,-,MC,-,52,16,3,-,MC,17,45,-,-,-,-,-,-,-,-,MC,-,7600,Further details,33/1,Bet 365,Further details
Taylor Pendrith,9,-,-,-,MC,MC,-,MC,MC,36,MC,-,-,-,-,-,-,-,34,-,70,7500,Further details,66/1,Bet 365,Further details
Kyounghoon Lee,MC,-,MC,-,MC,4,-,MC,9,31,MC,-,-,61,8,-,26,MC,-,-,-,7500,Further details,40/1,Bet 365,Further details
Daniel Berger,MC,-,28,-,-,MC,MC,-,MC,45,-,-,-,-,-,-,-,-,-,-,-,7400,Further details,40/1,Bet 365,Further details
Tyler Duncan,MC,-,53,-,MC,MC,23,64,MC,-,51,-,-,33,3,MC,59,-,48,28,3,7300,Further details,50/1,Bet 365,Further details
Chan Kim,MC,-,-,-,8,28,61,68,67,53,14,-,-,-,-,-,-,-,-,-,-,7300,Further details,45/1,Bet 365,Further details
Michael Kim,37,-,MC,-,MC,MC,23,MC,33,64,MC,-,-,-,-,43,-,MC,MC,-,26,7200,Further details,60/1,Bet 365,Further details
Sam Ryder,MC,31,MC,MC,-,21,-,16,33,64,MC,-,-,2,12,MC,-,52,2,-,-,7200,Further details,40/1,Bet 365,Further details
Joseph Bramlett,25,-,MC,-,38,41,-,MC,17,36,MC,-,-,-,-,-,-,41,13,-,-,7100,Further details,50/1,Bet 365,Further details
Justin Lower,43,-,53,-,3,MC,36,MC,WD,28,25,-,-,-,-,-,-,-,-,15,MC,7100,Further details,50/1,Bet 365,Further details
Max Greyserman,MC,-,-,-,WD,47,15,-,33,7,MC,-,-,-,-,-,-,-,-,-,-,7000,Further details,50/1,Bet 365,Further details
Matthias Schmid,MC,-,MC,-,MC,MC,10,26,17,21,69,-,-,-,-,-,-,-,-,-,MC,7000,Further details,50/1,Bet 365,Further details
Garrick Higgo,MC,-,49,-,60,16,32,WD,-,69,33,-,-,-,-,-,-,-,-,-,-,6900,Further details,50/1,Bet 365,Further details
Greyson Sigg,MC,-,MC,-,19,56,-,MC,45,45,MC,-,-,-,-,-,-,-,9,25,-,6900,Further details,50/1,Bet 365,Further details
Jhonattan Vegas,MC,-,22,-,60,-,-,-,MC,36,MC,-,-,-,-,-,26,MC,18,4,-,6900,Further details,40/1,Bet 365,Further details
Martin Trainer,MC^,MC^,8^,-,19,5^,MC,5^,-,MC,MC^,-,-,-,MC,-,-,MC,56,7,22,6800,Further details,80/1,Bet 365,Further details
Thriston Lawrence,MC,-,49,-,19,10,2,-,65,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,50/1,Bet 365,Further details
Seonghyeon Kim,50,31,28,-,MC,67,MC,MC,61,45,14,-,-,-,-,-,-,-,-,-,-,6700,Further details,50/1,Bet 365,Further details
Justin Suh,77,-,22,-,MC,MC,MC,MC,33,MC,-,-,-,-,-,-,-,14,28,-,-,6700,Further details,50/1,Bet 365,Further details
Jimmy Stanger,MC,-,-,-,38,35,6,35,MC,-,MC,-,-,-,-,-,-,-,-,-,-,6700,Further details,66/1,Bet 365,Further details
Peter Kuest,47^,MC^,MC^,-,-,MC^,MC^,-,-,-,10,-,-,-,-,-,-,-,-,-,-,6600,Further details,66/1,Bet 365,Further details
Carl Yuan,MC,-,WD,-,52,MC,-,MC,5,MC,58,-,-,-,-,-,-,-,-,-,-,6600,Further details,60/1,Bet 365,Further details
Chad Ramey,78,-,MC,-,33,35,-,MC,MC,17,MC,-,-,-,-,-,-,-,-,1,WD,6600,Further details,55/1,Bet 365,Further details
Mac Meissner,MC,-,-,-,MC,53,23,-,26,MC,10,-,-,-,-,-,-,-,-,-,-,6500,Further details,80/1,Bet 365,Further details
Joe Highsmith,33,-,-,-,MC,MC,6,-,MC,21,51,-,-,-,-,-,-,-,-,-,-,6500,Further details,66/1,Bet 365,Further details
Alex Fitzpatrick,16,MC,42,-,19,-,-,-,21,MC,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,66/1,Bet 365,Further details
Jacob Bridgeman,70,-,-,-,MC,28,23,-,MC,21,MC,-,-,-,-,-,-,-,-,-,-,6500,Further details,60/1,Bet 365,Further details
Ricky Barnes,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,60,MC,41,MC,MC,7,6400,Further details,500/1,Bet 365,Further details
Benjamin Silverman,56,-,-,-,13,16,42,MC,MC,36,81,-,-,MC,41,-,12,-,-,-,-,6400,Further details,66/1,Bet 365,Further details
Alex Smalley,MC,75,-,MC,MC,MC,-,MC,MC,MC,MC,-,-,-,-,-,-,14,22,2,-,6400,Further details,66/1,Bet 365,Further details
Charley Hoffman,56,-,2,50,MC,-,-,MC,MC,-,69,-,-,-,-,-,-,14,34,-,MC,6400,Further details,80/1,Bet 365,Further details
MJ Daffue,-,-,-,-,65,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,29,6300,Further details,200/1,Bet 365,Further details
Rico Hoey,MC,-,-,-,MC,56,32,-,54,MC,14,-,-,-,-,-,-,-,-,-,-,6300,Further details,66/1,Bet 365,Further details
Hayden Springer,33,-,-,-,38,-,3,-,72,MC,58,-,-,-,-,-,-,-,-,-,-,6300,Further details,80/1,Bet 365,Further details
Christopher Gotterup,50,-,MC,-,WD,35,MC,-,61,57,MC,-,-,-,-,-,-,-,-,-,-,6300,Further details,66/1,Bet 365,Further details
Carson Young,56,-,41,-,8,56,-,MC,54,MC,MC,-,-,-,-,-,-,-,-,-,38,6200,Further details,90/1,Bet 365,Further details
Lanto Griffin,64,-,MC,-,48,-,-,-,-,57,51,-,-,-,MC,28,-,-,-,-,-,6200,Further details,100/1,Bet 365,Further details
Parker Coody,25,-,-,-,24,47,MC,-,67,MC,58,-,-,-,-,-,-,-,-,-,-,6200,Further details,80/1,Bet 365,Further details
Vincent Whaley,MC,-,MC,-,MC,-,18,-,54,MC,69,-,-,-,-,-,-,28,28,28,-,6200,Further details,90/1,Bet 365,Further details
Austin Smotherman,4^,-,MC^,-,52,-,68,-,-,-,9^,-,-,-,-,-,-,-,-,MC,-,6200,Further details,90/1,Bet 365,Further details
Kevin Chappell,-,21^,49,-,MC,-,23,-,-,MC,33,-,-,-,-,-,-,MC,-,15,16,6100,Further details,100/1,Bet 365,Further details
Henrik Norlander,-,-,20^,-,13,-,15,-,-,MC,MC^,-,-,-,-,-,-,MC,-,-,22,6100,Further details,100/1,Bet 365,Further details
Brandon Wu,-,47,MC,-,13,MC,42,MC,-,MC,MC,-,-,-,-,-,-,-,MC,28,-,6100,Further details,90/1,Bet 365,Further details
Jorge Campillo,37,MC,5,-,19,53,MC,-,49,MC,MC,-,-,-,-,-,-,-,-,-,-,6100,Further details,100/1,Bet 365,Further details
Kevin Dougherty,50,-,-,-,38,MC,MC,-,45,45,MC,-,-,-,-,-,-,-,-,-,-,6100,Further details,80/1,Bet 365,Further details
Chez Reavie,MC,-,MC,-,MC,-,-,MC,12,MC,33,-,-,-,-,-,-,-,-,-,-,6000,Further details,125/1,Bet 365,Further details
Francesco Molinari,73,-,-,-,MC,MC,-,54,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,100/1,Bet 365,Further details
Nicolas Echavarria,MC,-,MC,-,24,21,15,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,6000,Further details,100/1,Bet 365,Further details
Ryan Palmer,-,-,-,-,52,MC,-,-,54,74,MC,-,-,-,-,-,-,-,-,-,-,6000,Further details,125/1,Bet 365,Further details
Troy Merritt,MC,-,MC,-,58,47,23,MC,MC,-,MC,-,-,-,-,35,-,-,34,-,-,6000,Further details,110/1,Bet 365,Further details
Bill Haas,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,44,24,5900,Further details,450/1,Bet 365,Further details
Paul Haley II,-,65^,-,-,-,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,35,5900,Further details,600/1,Bet 365,Further details
Sunghoon Kang,MC,MC,42,-,-,MC^,MC,-,MC,MC,MC^,-,-,-,-,-,-,-,-,MC,38,5900,Further details,TBC,Bet 365,Further details
David Lipsky,MC,-,MC,-,MC,41,-,42,MC,MC,58,-,-,-,-,-,22,-,-,7,-,5900,Further details,100/1,Bet 365,Further details
Matthew NeSmith,MC,-,71,-,MC,MC,-,26,MC,MC,MC,-,-,-,-,-,-,41,-,-,-,5900,Further details,125/1,Bet 365,Further details
Tyson Alexander,56,-,53,-,MC,16,-,MC,MC,64,14,-,-,-,-,-,-,-,-,-,26,5800,Further details,125/1,Bet 365,Further details
Kevin Tway,-,-,MC^,-,-,-,32,-,MC,-,37^,-,-,11,-,28,-,41,-,-,38,5800,Further details,125/1,Bet 365,Further details
Rafael Campos,20,-,35^,-,38,-,18,-,MC,MC,MC,-,-,MC,3,MC,MC,MC,2,28,38,5800,Further details,100/1,Bet 365,Further details
Ben Kohles,MC,-,MC,-,WD,MC,3,MC,MC,-,78,-,-,MC,41,-,-,-,-,28,-,5800,Further details,125/1,Bet 365,Further details
Roger Sloan,MC,-,-,-,MC,-,55,-,49,45,MC,-,-,MC,68,-,MC,MC,22,MC,-,5800,Further details,125/1,Bet 365,Further details
Jonathan Byrd,-,16^,20^,-,-,-,MC,-,-,-,-,-,-,-,30,54,4,28,63,36,16,5700,Further details,200/1,Bet 365,Further details
Scott Piercy,MC^,MC^,MC^,-,MC,-,42,-,-,-,32^,-,-,-,-,60,-,-,-,-,29,5700,Further details,125/1,Bet 365,Further details
Erik Compton,MC^,11^,MC^,-,-,MC^,47^,-,-,-,MC^,-,-,-,30,-,-,-,-,-,29,5700,Further details,750/1,Bet 365,Further details
Cody Gribble,MC^,69^,MC^,-,-,-,23,-,-,MC,-,-,-,MC,-,-,-,-,-,-,50,5700,Further details,400/1,Bet 365,Further details
Harrison Endycott,MC,16,42,-,MC,-,42,-,MC,64,MC,-,-,-,-,-,-,-,-,-,58,5700,Further details,150/1,Bet 365,Further details
Hayden Buckley,MC,77,28,-,-,MC,-,MC,61,MC,MC,-,-,-,-,-,-,-,-,13,-,5700,Further details,150/1,Bet 365,Further details
