Player,12,11,10,9,8,7,6,5,4,3,2,1,-,1,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Danny Willett,9,-,-,-,-,MC,45,-,47,MC,-,42,-,42,-,-,-,-,-,8,36,-,-,100/1,Bet 365,Further details
Chan Kim,42,-,MC,-,17,32,16,MC,MC,39,5,-,-,-,-,-,-,-,-,-,-,-,6,28/1,Bet 365,Further details
Chad Ramey,48,-,MC,-,34,MC,26,MC,MC,47,5,-,-,-,-,-,-,-,-,-,1,WD,50,55/1,Bet 365,Further details
Thorbjorn Olesen,27,MC,-,-,49,MC,-,-,36,MC,5,-,-,-,-,-,-,-,-,-,-,-,-,25/1,Bet 365,Further details
Henrik Norlander,MC,-,MC,-,13,MC,40,MC,16,MC,12,-,-,-,-,-,-,-,MC,-,-,22,36,40/1,Bet 365,Further details
Alejandro Tosti,MC,-,-,-,10,68,MC,MC,MC,5,12,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Keith Mitchell,-,33,25,-,-,42,-,MC,54,18,12,-,-,-,MC,-,2,-,61,-,-,-,-,16/1,Bet 365,Further details
Nate Lashley,WD,-,MC,-,MC,MC,-,MC,64,27,12,-,-,-,-,1,28,MC,4,28,15,-,MC,55/1,Bet 365,Further details
Chandler Phillips,70,-,49,-,34,MC,-,61,42,32,18,-,-,-,-,-,-,-,-,-,-,-,-,60/1,Bet 365,Further details
Emiliano Grillo,WD,-,76,-,65,MC,-,67,22,47,18,-,-,-,-,-,50,-,21,6,MC,70,-,45/1,Bet 365,Further details
Harry Hall,-,58,MC,-,34,MC,-,MC,54,18,26,-,-,-,-,-,-,-,-,-,-,13,-,20/1,Bet 365,Further details
Matt Wallace,MC,-,44,-,MC,MC,26,-,MC,MC,26,-,-,-,-,-,-,-,-,-,-,1,-,33/1,Bet 365,Further details
Harry Higgs,63,-,-,-,74,MC,26,-,MC,MC,30,-,-,-,-,-,-,-,-,-,-,38,43,110/1,Bet 365,Further details
Quade Cummins,MC,-,-,-,32,32,16,-,MC,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Steven Fisk,63,-,MC,-,17,MC,4,-,28,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
William Mouw,66,-,-,-,MC,MC,6,-,MC,47,33,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Benjamin Griffin,MC,69,36,44,4,4,45,MC,MC,18,40,-,-,-,-,-,-,-,-,-,-,-,14,16/1,Bet 365,Further details
Lanto Griffin,9,-,MC,-,25,-,72,MC,MC,MC,40,-,-,-,-,MC,28,-,-,-,-,-,36,80/1,Bet 365,Further details
Kevin Roy,WD,-,-,-,17,MC,6,MC,MC,MC,40,-,-,-,-,-,-,-,-,-,-,50,-,60/1,Bet 365,Further details
Carson Young,MC,-,57,-,MC,MC,10,54,-,-,40,-,-,-,-,-,-,-,-,-,-,38,MC,60/1,Bet 365,Further details
Adam Svensson,MC,-,36,-,59,MC,MC,MC,MC,67,47,-,-,-,MC,6,-,MC,-,-,MC,-,-,66/1,Bet 365,Further details
Aldrich Potgieter,15,-,-,-,2,-,MC,MC,MC,MC,47,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Ben Martin,-,40^,MC,-,45,MC,-,-,MC,MC,52,-,-,-,-,-,-,-,52,9,2,8,55,70/1,Bet 365,Further details
John Pak,56,-,-,-,17,-,MC,-,64,69,52,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Matthew Riedel,MC,-,-,-,MC,65,26,-,MC,61,52,-,-,-,-,-,-,-,-,-,-,-,-,110/1,Bet 365,Further details
Mac Meissner,52,-,MC,-,MC,MC,-,42,28,39,52,-,-,-,-,-,-,-,-,-,-,-,MC,55/1,Bet 365,Further details
Noah Goodwin,63,-,-,-,49,-,12,-,42,MC,56,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
