Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Justin Lower,56,-,2,5,MC,-,-,-,-,-,37,3,-,-,-,-,-,-,-,-,-,MC,MC,43,90/1,Bet 365,Further details
Jason Day,-,-,-,-,8,-,19,-,-,40,-,3,-,2,1,MC,MC,1,5,16,MC,3,7,MC,25/1,Bet 365,Further details
Niklas Norgaard Moller,-,-,10,40,-,-,48,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Charley Hoffman,65,-,30,-,-,-,-,-,-,-,59,5,-,7,MC,43,54,35,MC,9,WD,-,MC,56,70/1,Bet 365,Further details
Benjamin Griffin,22,-,24,8,15,-,-,-,-,-,45,7,-,-,-,-,-,-,-,-,-,-,31,MC,40/1,Bet 365,Further details
Max Greyserman,2,-,4,-,-,-,-,-,-,24,-,7,-,-,-,-,-,-,-,-,-,-,-,MC,25/1,Bet 365,Further details
Taylor Moore,11,-,MC,-,35,-,-,-,-,-,MC,7,-,-,-,-,-,-,-,-,-,MC,11,70,90/1,Bet 365,Further details
Camilo Villegas,-,-,MC,47,MC,-,-,-,-,-,MC,7,-,75,27,MC,54,77,-,-,WD,67,MC,-,500/1,Bet 365,Further details
Alex Smalley,-,-,39,29,MC,-,-,-,-,-,16,11,-,-,-,-,-,-,-,-,-,56,37,MC,66/1,Bet 365,Further details
Mark Hubbard,41,-,-,3,35,-,-,-,-,-,21,12,-,-,61,MC,-,-,-,-,-,MC,-,20,55/1,Bet 365,Further details
Frankie Capan III,-,-,-,-,-,-,-,-,-,-,45,12,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Will Zalatoris,41,-,-,-,-,-,18,-,-,26,-,12,-,-,-,-,-,MC,-,-,7,2,MC,13,22/1,Bet 365,Further details
Beau Hossler,56,-,20,-,-,-,-,-,-,-,-,12,-,-,-,-,49,35,57,9,MC,MC,MC,6,50/1,Bet 365,Further details
Kevin Roy,-,-,-,-,-,-,-,-,-,-,45,18,-,-,-,-,-,-,-,-,-,-,MC,-,125/1,Bet 365,Further details
Trey Mullinax,-,-,MC,-,MC,-,-,-,-,-,-,18,-,-,-,-,49,MC,25,78,-,MC,31,-,300/1,Bet 365,Further details
Harry Hall,13,-,14,-,-,-,-,-,-,8,10,21,-,-,-,-,-,-,-,MC,-,-,MC,MC,55/1,Bet 365,Further details
Doug Ghim,27,-,20,MC,42,-,-,-,-,-,72,21,-,-,-,-,-,-,20,MC,37,34,MC,13,66/1,Bet 365,Further details
Jacob Bridgeman,-,-,14,12,MC,-,-,-,-,-,MC,21,-,-,-,-,-,-,-,-,-,-,-,70,150/1,Bet 365,Further details
Daniel Berger,-,-,20,62,2,-,-,-,-,-,MC,21,-,-,24,MC,MC,-,MC,-,-,20,-,MC,60/1,Bet 365,Further details
J.J Spaun,6,-,30,-,MC,-,-,-,-,-,3,29,-,-,-,-,9,23,MC,30,MC,34,MC,MC,50/1,Bet 365,Further details
Vincent Norrman,-,-,-,-,-,-,-,-,-,-,37,29,-,-,-,-,-,-,-,-,-,-,44,56,175/1,Bet 365,Further details
Carson Young,37,-,2,62,35,-,-,-,-,-,MC,29,-,-,-,-,-,-,-,-,-,-,MC,56,125/1,Bet 365,Further details
Lee Hodges,16,-,-,-,5,-,-,-,-,-,10,34,-,-,-,-,-,-,-,-,-,MC,MC,MC,110/1,Bet 365,Further details
Victor Perez,33,-,-,-,34,MC,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,MC,125/1,Bet 365,Further details
Lanto Griffin,-,-,60,12,68,-,-,-,-,-,MC,34,-,-,-,-,-,12,-,MC,7,30,37,64,175/1,Bet 365,Further details
Harry Higgs,-,-,30,-,34,11,-,-,-,-,MC,34,-,-,-,-,-,-,-,9,65,MC,44,-,400/1,Bet 365,Further details
Quade Cummins,-,-,-,-,-,-,-,-,-,-,MC,34,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Ryan Palmer,-,-,MC,-,-,-,-,-,-,-,MC,34,-,-,-,-,-,2,13,21,2,16,62,-,400/1,Bet 365,Further details
Akshay Bhatia,-,-,-,2^,-,-,4,-,-,32,-,37,-,-,-,-,-,-,-,-,-,-,-,13,40/1,Bet 365,Further details
Sam Ryder,-,-,30,5,MC,-,-,-,-,-,21,43,-,-,-,-,-,MC,43,MC,10,MC,4,MC,150/1,Bet 365,Further details
Ryo Hisatsune,46,-,-,29,17,-,55,-,-,-,65,43,-,-,-,-,-,-,-,-,-,-,-,33,200/1,Bet 365,Further details
Matteo Manassero,-,-,59,30,-,-,43,-,-,-,-,43,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Michael Kim,-,-,30,12,11,-,-,-,-,-,MC,43,-,MC,-,31,54,23,MC,-,53,-,44,37,90/1,Bet 365,Further details
Harris English,-,-,14,-,60,-,-,-,-,-,MC,43,-,-,2,31,14,8,MC,71,MC,-,MC,64,90/1,Bet 365,Further details
Ricky Castillo,-,-,-,-,-,-,-,-,-,-,MC,43,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
