Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Scottie Scheffler,-,-,1,-,-,-,5,-,17,-,6,3,-,-,-,-,-,-,MC,-,30,20,7,12,11500,15/2,Bet 365,Further details,10
Rory McIlroy,22,-,-,-,-,-,-,2,1,-,66,-,-,-,-,-,20,-,20,4,5,MC,10,29,11200,8/1,Bet 365,Further details,24
Xander Schauffele,-,-,-,-,-,-,10,-,3,9,54,-,-,-,-,-,-,-,9,15,23,15,13,33,10100,12/1,Bet 365,Further details,4
Viktor Hovland,2,-,10,-,-,-,22,-,-,-,58,-,-,-,-,-,-,-,-,-,-,5,4,20,10000,12/1,Bet 365,Further details,19
Max Homa,-,-,13,-,-,-,14,-,-,13,66,MC,-,-,MC,MC,-,-,-,37,5,1,10,2,9800,16/1,Bet 365,Further details,16
Collin Morikawa,-,-,7,-,-,-,5,-,-,MC,14,-,-,-,-,-,-,-,-,-,26,43,2,6,9500,20/1,Bet 365,Further details,19
Patrick Cantlay,-,-,-,-,-,-,12,-,52,56,11,-,-,MC,-,-,-,-,4,15,17,15,33,3,9300,16/1,Bet 365,Further details,4
Ludvig Aberg,1,-,-,-,-,-,47,30,-,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,9200,22/1,Bet 365,Further details,19
Justin Thomas,-,-,3,-,-,-,-,-,3,-,6,12,-,-,-,41,54,39,9,2,MC,MC,6,20,9100,25/1,Bet 365,Further details,MC
Jordan Spieth,-,-,6,-,-,-,3,-,-,-,39,6,-,-,12,4,MC,22,9,51,59,15,26,MC,9000,28/1,Bet 365,Further details,DQ
Tony Finau,-,-,4,-,-,-,38,-,25,6,47,-,-,-,-,56,MC,MC,2,15,51,2,33,20,8900,25/1,Bet 365,Further details,19
Tommy Fleetwood,2,-,-,-,-,-,47,1,14,-,31,-,-,-,-,-,-,-,37,28,-,-,-,20,8800,28/1,Bet 365,Further details,10
Sam Burns,-,-,16,-,-,-,33,-,6,-,10,3,-,-,-,-,-,-,-,MC,23,3,MC,MC,8700,25/1,Bet 365,Further details,10
Sahith Theegala,31^,-,-,-,-,-,2,MC,-,64,20,5,-,-,-,-,-,49,-,-,-,-,48,6,8600,40/1,Bet 365,Further details,37
Cameron Young,38,-,15,-,-,-,33,-,3,-,70,8,-,-,-,-,-,-,-,-,-,-,2,20,8500,40/1,Bet 365,Further details,16
Matthew Fitzpatrick,27,-,4,-,-,-,14,MC,-,-,58,15,-,-,-,-,-,-,-,-,30,5,-,MC,8400,40/1,Bet 365,Further details,MC
Wyndham Clark,37^,-,19,-,-,-,29,-,39,-,1,41,-,-,-,-,-,-,-,-,17,8,-,33,8300,50/1,Bet 365,Further details,MC
Adam Scott,-,6,4,-,-,-,-,-,7,-,20,8,-,10,-,-,2,11,53,7,1,38,4,65,8200,40/1,Bet 365,Further details,19
Tom Kim,15,-,-,-,-,-,45,-,MC,-,31,17,-,-,-,-,-,-,-,-,-,-,-,45,8100,35/1,Bet 365,Further details,24
Jason Day,-,-,11,-,-,-,10,-,34,MC,6,-,-,-,-,-,-,64,-,-,MC,-,-,9,8000,45/1,Bet 365,Further details,9
Sungjae Im,-,-,-,-,-,-,5,-,25,MC,66,66,-,-,-,-,-,-,-,MC,MC,-,33,56,8000,40/1,Bet 365,Further details,44
Will Zalatoris,-,-,20,-,-,-,-,MC,34,13,-,-,-,-,-,MC,-,-,-,-,-,15,26,4,7900,50/1,Bet 365,Further details,2
Keegan Bradley,-,-,13,-,-,-,45,2,-,43,11,-,-,16,20,4,MC,34,MC,51,MC,60,48,MC,7900,50/1,Bet 365,Further details,MC
Nicolai Hojgaard,1,-,-,-,-,-,-,25,7,2,31,-,-,-,-,-,-,-,-,-,-,-,-,-,7800,45/1,Bet 365,Further details,39
JT Poston,44,-,-,-,-,-,5,6,11,-,20,MC,-,-,-,-,-,17,-,28,30,43,MC,MC,7800,50/1,Bet 365,Further details,10
Eric Cole,3,-,-,-,-,-,14,13,21,MC,14,49,-,-,-,-,-,-,-,-,-,-,-,-,7700,50/1,Bet 365,Further details,10
Russell Henley,13,-,-,-,-,-,52,4,-,-,58,-,-,MC,MC,61,-,-,-,44,17,38,33,MC,7700,40/1,Bet 365,Further details,24
An Byeong-Hun,-,-,-,-,-,-,4,2,-,-,31,66,-,-,-,-,-,55,-,-,-,-,-,-,7600,50/1,Bet 365,Further details,16
Siwoo Kim,71,-,-,-,-,-,25,42,25,-,14,12,-,-,-,-,MC,MC,MC,3,37,MC,73,MC,7600,66/1,Bet 365,Further details,44
Denny McCarthy,5,-,-,-,-,-,43,24,-,-,26,22,-,-,-,-,-,-,-,MC,37,MC,-,14,7500,80/1,Bet 365,Further details,39
Chris Kirk,28,-,-,-,-,-,1,18,47,-,26,-,-,33,-,-,MC,-,-,-,-,-,-,-,7500,66/1,Bet 365,Further details,MC
Rickie Fowler,-,-,17,-,-,-,56,-,MC,-,47,MC,-,-,MC,-,-,-,-,-,-,20,55,20,7400,80/1,Bet 365,Further details,35
Hideki Matsuyama,10^,-,-,-,-,-,58,30,-,13,71,22,-,-,23,4,11,MC,-,9,5,MC,39,MC,7400,75/1,Bet 365,Further details,1
Corey Conners,44,-,-,-,-,-,33,57,-,-,31,28,-,-,-,-,-,-,-,-,MC,MC,MC,61,7300,66/1,Bet 365,Further details,24
Brian Harman,44,-,8,-,-,-,5,18,70,-,54,60,-,51,3,MC,72,MC,-,51,47,43,-,MC,7300,80/1,Bet 365,Further details,44
Nick Taylor,-,-,-,-,-,-,52,7,MC,-,71,1,-,-,-,MC,26,55,41,33,MC,20,-,33,7200,80/1,Bet 365,Further details,39
Cameron Davis,-,7,42,-,-,-,52,30,MC,-,20,-,-,-,-,-,-,-,-,MC,-,43,48,MC,7200,66/1,Bet 365,Further details,49
Sepp Straka,22,-,2,-,-,-,12,-,-,MC,26,-,-,-,-,-,-,-,-,-,MC,43,15,45,7100,90/1,Bet 365,Further details,MC
Adam Hadwin,-,-,-,-,-,-,14,MC,6,-,39,MC,-,-,-,22,16,34,6,75,26,26,MC,66,7100,80/1,Bet 365,Further details,4
