Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2016,2017,2018,2019,2020,2021,2021*,2022,2023,2024,2025,2025 Odds,Bookmaker,New Account Offer
Harris English,-,60,-,-,-,-,-,MC,43,1,73,-,-,31,14,8,MC,71,MC,3,-,MC,64,1,55/1,Bet 365,Further details
Samuel Stevens,67,42,-,-,-,-,-,59,51,2,17,44,-,-,-,-,-,-,-,-,-,13,43,2,66/1,Bet 365,Further details
Andrew Novak,2,35,-,-,-,-,-,MC,MC,3,13,MC,-,-,-,-,-,-,-,-,70,69,MC,3,80/1,Bet 365,Further details
Sungjae Im,-,-,-,9,-,-,3,-,MC,4,33,57,-,-,-,-,52,36,32,35,6,4,MC,4,28/1,Bet 365,Further details
Taylor Pendrith,19^,-,-,-,-,-,13,45,-,7,9,-,-,-,-,-,-,-,-,MC,16,60,9,7,30/1,Bet 365,Further details
Thomas Detry,-,-,-,36,-,-,5,53,-,15,48,1,-,-,-,-,-,-,-,MC,-,37,20,15,55/1,Bet 365,Further details
Beau Hossler,-,-,-,-,-,-,-,-,12,15,69,32,-,-,49,35,57,9,MC,-,MC,MC,6,15,TBC,Bet 365,Further details
Keegan Bradley,-,-,-,5,-,-,15,6,-,15,65,-,-,MC,4,5,35,16,-,-,65,2,43,15,50/1,Bet 365,Further details
J.J Spaun,-,MC,-,-,-,-,-,3,29,15,33,WD,-,-,9,23,MC,30,MC,MC,34,MC,MC,15,80/1,Bet 365,Further details
Hideki Matsuyama,2^,-,-,-,-,-,1,16,-,32,48,25,-,MC,33,12,3,45,53,26,30,9,13,32,20/1,Bet 365,Further details
Jake Knapp,-,68,-,-,-,-,56,-,MC,32,33,44,-,-,-,-,-,-,-,-,-,-,3,32,TBC,Bet 365,Further details
Jason Day,-,8,-,19,-,-,40,-,3,32,13,-,-,MC,MC,1,5,16,MC,-,3,7,MC,32,35/1,Bet 365,Further details
Ludvig Aberg,-,17,-,6,-,-,5,-,-,42,WD,-,-,-,-,-,-,-,-,-,-,-,9,42,18/1,Bet 365,Further details
