Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Jordan Spieth,MC,39,-,MC,29,43,37,-,MC,41,63,-,-,58,1,7,1,-,-,-,-,-,-,-,10500,Further details,16/1,Bet 365,Further details
Sepp Straka,16,5,11^^,-,8,MC,5,-,5,56,23,-,-,-,-,-,-,-,-,-,26,MC,-,1,10400,Further details,16/1,Bet 365,Further details
Sungjae Im,MC,12,1^,-,4,MC,9,-,8,MC,3,-,-,-,-,-,-,-,-,-,26,47,-,-,10300,Further details,16/1,Bet 365,Further details
Aaron Rai,-,MC,23^^,4,-,39,32,14,-,19,-,2,-,-,-,-,-,-,-,-,-,-,-,-,10000,Further details,20/1,Bet 365,Further details
Maverick McNealy,-,-,MC^^,41,-,23,17,7,-,-,-,44,-,-,-,-,-,-,44,-,-,18,8,-,9800,Further details,22/1,Bet 365,Further details
Davis Thompson,-,18,23^^,MC,2,-,17,MC,27,9,-,2,-,-,-,-,-,-,-,-,-,-,-,31,9600,Further details,25/1,Bet 365,Further details
Denny McCarthy,45,28,-,-,6,MC,24,-,39,32,31,-,-,-,-,-,-,-,-,34,MC,MC,6,6,9500,Further details,22/1,Bet 365,Further details
Jason Day,30,18,-,59,4,43,-,-,33,MC,44,-,-,-,-,-,-,-,-,-,-,-,-,-,9400,Further details,28/1,Bet 365,Further details
Keith Mitchell,-,-,28^^,20,-,MC,37,10,-,-,-,MC,-,-,-,-,-,-,-,7,-,MC,-,42,9200,Further details,28/1,Bet 365,Further details
JT Poston,30,5,-,-,60,MC,12,-,22,32,55,-,-,-,-,-,-,-,64,65,MC,MC,1,6,9100,Further details,30/1,Bet 365,Further details
Samuel Stevens,-,40,4^^,62,10,-,MC,14,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,MC,9000,Further details,40/1,Bet 365,Further details
