Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Tony Finau,-,4,-,-,-,38,-,25,6,47,-,19,-,-,-,-,-,-,-,-,-,2,1,12000,6/1,Bet 365,Further details,13
Emiliano Grillo,-,-,-,-,-,43,7,-,20,14,22,44,-,-,-,-,-,-,-,-,-,33,5,11100,20/1,Bet 365,Further details,33
Nicolai Hojgaard,-,-,-,-,-,-,25,7,2,31,-,39,-,-,-,-,-,-,-,-,-,-,33,10700,18/1,Bet 365,Further details,52
Thorbjorn Olesen,-,-,-,-,-,-,8,21,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10300,25/1,Bet 365,Further details,46
Thomas Detry,-,-,-,-,-,-,-,MC,20,4,28,-,-,-,-,-,-,-,-,-,-,-,-,10100,28/1,Bet 365,Further details,MC
Keith Mitchell,-,-,-,-,-,-,30,9,MC,54,17,-,-,-,-,-,5,-,-,-,-,-,-,9900,28/1,Bet 365,Further details,19
Stephan Jaeger,-,-,-,-,-,-,18,52,3,71,-,-,-,-,-,-,-,-,-,-,-,15,18,9800,22/1,Bet 365,Further details,3
Patrick Rodgers,-,16,-,-,-,14,24,-,9,79,-,MC,-,-,-,-,-,-,-,-,-,10,10,9700,30/1,Bet 365,Further details,6
Taylor Pendrith,-,-,-,-,-,-,10,MC,9,-,-,-,-,-,-,-,-,-,-,-,-,-,30,9600,28/1,Bet 365,Further details,MC
Erik Van Rooyen,-,-,32,-,-,22,52,25,-,20,MC,-,-,-,-,-,-,-,-,-,-,-,33,9500,35/1,Bet 365,Further details,8
Mackenzie Hughes,-,-,-,-,-,25,-,-,64,71,-,31,-,-,-,-,-,-,-,-,-,-,-,9400,50/1,Bet 365,Further details,MC
Ryan Fox,-,-,-,-,-,-,14,31,MC,-,41,-,-,-,-,-,-,-,-,-,-,-,-,9300,35/1,Bet 365,Further details,MC
Ryo Hisatsune,13,8,-,-,-,-,30,11,33,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,9200,45/1,Bet 365,Further details,48
Brandon Wu,-,-,-,-,-,-,18,MC,-,47,MC,-,-,-,-,-,-,-,-,-,-,2,3,9100,33/1,Bet 365,Further details,13
Mark Hubbard,-,-,-,-,-,-,57,47,20,4,53,-,-,-,-,-,-,-,-,-,-,51,18,9000,45/1,Bet 365,Further details,48
Davis Thompson,-,-,-,-,-,-,57,21,MC,-,15,-,-,-,-,-,-,-,-,-,-,-,-,8900,35/1,Bet 365,Further details,24
Doug Ghim,-,-,-,-,-,-,MC,MC,13,-,12,-,-,-,-,-,-,-,-,-,-,33,MC,8800,45/1,Bet 365,Further details,8
Jake Knapp,-,-,-,-,-,-,70,MC,3,-,28,-,-,-,-,-,-,-,-,-,-,-,-,8700,35/1,Bet 365,Further details,1
Cameron Champ,-,-,-,-,-,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,6,8,8600,50/1,Bet 365,Further details,24
Aaron Rai,-,-,-,-,-,-,57,MC,33,-,MC,-,-,-,-,-,-,-,-,-,-,24,MC,8500,50/1,Bet 365,Further details,19
Charley Hoffman,-,-,-,-,-,-,42,MC,56,-,2,50,-,-,-,-,-,-,-,-,-,-,55,8400,66/1,Bet 365,Further details,MC
Justin Suh,-,-,-,-,-,-,MC,MC,77,-,22,-,-,-,-,-,-,-,-,-,-,-,-,8300,50/1,Bet 365,Further details,MC
Michael Kim,-,-,-,-,-,-,42,6,37,-,MC,-,-,-,-,-,-,-,-,-,-,-,30,8200,60/1,Bet 365,Further details,MC
Maverick Mcnealy,-,-,-,-,-,-,57,MC,37,39,6,-,-,-,-,-,-,-,-,-,-,-,60,8100,60/1,Bet 365,Further details,13
