Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Patrick Rodgers,17,-,-,-,-,-,MC,70,56,22,MC,3,-,-,-,-,-,-,-,-,-,10,10,6,22/1,Bet 365,Further details
Akshay Bhatia,-,-,4,-,-,32,-,37,-,22,32,9,-,-,-,-,-,-,-,-,-,-,4,-,14/1,Bet 365,Further details
Michael Kim,11,-,-,-,-,-,MC,43,MC,-,2,13,-,-,-,-,-,-,-,-,-,-,30,MC,28/1,Bet 365,Further details
Jake Knapp,68,-,-,-,-,56,-,MC,32,33,44,17,-,-,-,-,-,-,-,-,-,-,-,1,35/1,Bet 365,Further details
Kevin Yu,11,-,-,-,-,44,-,MC,MC,64,16,17,-,-,-,-,-,-,-,-,-,-,-,-,35/1,Bet 365,Further details
Samuel Stevens,42,-,-,-,-,-,59,51,2,17,44,31,-,-,-,-,-,-,-,27,9,-,-,MC,22/1,Bet 365,Further details
Aaron Rai,-,-,14,-,-,15,-,-,MC,40,-,37,-,-,-,-,-,-,-,-,-,24,MC,19,30/1,Bet 365,Further details
Stephan Jaeger,-,-,-,-,-,36,3,-,MC,40,-,44,-,-,-,-,-,-,-,-,-,15,18,3,25/1,Bet 365,Further details
Benjamin Griffin,15,-,-,-,-,-,45,7,MC,69,36,44,-,-,-,-,-,-,-,-,-,MC,-,-,30/1,Bet 365,Further details
Sami Valimaki,-,-,63,-,-,-,-,MC,15,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,2,125/1,Bet 365,Further details
C.T. Pan,-,-,-,-,-,-,21,-,-,-,57,-,-,-,-,-,-,-,-,-,-,29,-,3,45/1,Bet 365,Further details
Justin Lower,MC,-,-,-,-,-,37,3,MC,62,-,-,-,-,-,-,-,-,-,-,-,64,-,3,45/1,Bet 365,Further details
Carson Young,35,-,-,-,-,-,MC,29,MC,-,57,-,-,-,-,-,-,-,-,-,-,-,15,8,60/1,Bet 365,Further details
Chan Kim,-,-,-,-,-,-,53,MC,42,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,8,60/1,Bet 365,Further details
Erik Van Rooyen,-,-,24,42,-,-,30,MC,MC,40,MC,-,-,-,-,-,-,-,-,-,-,-,33,8,55/1,Bet 365,Further details
Alvaro Ortiz Becerra,-,-,-,-,-,-,27^,-,-,MC^,MC^,-,-,-,MC,-,-,-,21,MC,1,42,MC,13,500/1,Bet 365,Further details
Benjamin Silverman,-,-,-,-,-,-,69,MC,MC,-,16,-,-,-,-,-,-,-,-,-,-,-,-,13,66/1,Bet 365,Further details
Henrik Norlander,17,-,-,-,-,-,37,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,13,110/1,Bet 365,Further details
Greyson Sigg,MC,-,-,-,-,-,70,MC,9,-,32,-,-,-,-,-,-,-,-,-,-,33,18,19,50/1,Bet 365,Further details
Aaron Baddeley,MC,-,-,-,-,-,76,MC,32,-,-,-,-,-,-,-,-,-,-,-,-,MC,39,24,600/1,Bet 365,Further details
Chandler Phillips,11,-,-,-,-,-,MC,MC,70,-,49,-,-,-,-,-,-,-,-,-,-,-,-,24,80/1,Bet 365,Further details
Chesson Hadley,-,-,-,-,-,-,-,MC,-,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,24,TBC,Bet 365,Further details
Dylan Wu,MC,-,-,-,-,-,15^,-,MC,2^,MC^,-,-,-,-,-,-,-,-,-,-,MC,15,24,TBC,Bet 365,Further details
Chad Ramey,MC,-,-,-,-,-,MC,MC,48,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,33,150/1,Bet 365,Further details
Emiliano Grillo,-,-,-,-,-,-,MC,MC,WD,-,76,-,-,-,-,-,-,-,-,-,-,33,5,33,80/1,Bet 365,Further details
Harry Hall,-,-,-,-,-,8,10,21,-,58,MC,-,-,-,-,-,-,-,-,-,-,-,10,33,28/1,Bet 365,Further details
Matt Wallace,53,-,-,-,-,-,-,45,MC,-,44,-,-,-,-,-,-,-,-,-,-,67,MC,33,50/1,Bet 365,Further details
