Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,-,-,8,2,-,1,41,1,-,-,-,-,-,-,-,-,-,-,-,-,8,21,23,12800,Further details,5/1,Bet 365,Further details
Bryson DeChambeau,26^^,27^^,-,2,-,-,18^^,1,3^^,-,-,9^^,-,-,-,-,-,-,MC,51,MC,33,8,60,11500,Further details,16/1,Bet 365,Further details
Rory McIlroy,1^^,-,1,12,-,4,15,2,-,-,-,4,-,60,MC,1,-,5,4,2,MC,46,3,6,11400,Further details,15/2,Bet 365,Further details
Xander Schauffele,23^^,-,2,1,-,-,8,7,13,-,-,15,-,-,-,-,-,-,20,2,41,26,15,17,11200,Further details,12/1,Bet 365,Further details
Jon Rahm,3^^,10^^,-,MC,-,-,WD^^,-,3^^,-,-,10^^,-,-,-,-,-,59,44,MC,11,3,34,2,10400,Further details,22/1,Bet 365,Further details
Ludvig Aberg,-,-,-,MC,-,-,5,12,27,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,10100,Further details,14/1,Bet 365,Further details
Collin Morikawa,23^^,-,16,4,4,-,2,14,13,-,-,4,-,-,-,-,-,-,-,-,-,1,MC,MC,9900,Further details,16/1,Bet 365,Further details
Viktor Hovland,-,-,24,3,-,-,15,MC,20,-,-,46,-,-,-,-,-,-,-,-,-,12,4,13,9700,Further details,25/1,Bet 365,Further details
Tyrrell Hatton,14^^,5^^,-,63,-,-,18^^,26,1^^,-,-,3^^,-,-,MC,MC,MC,5,MC,51,6,MC,11,20,9500,Further details,22/1,Bet 365,Further details
Tommy Fleetwood,-,-,13,26,-,21,20,16,15,-,-,34,-,-,-,MC,MC,MC,27,12,2,33,4,10,9300,Further details,20/1,Bet 365,Further details
Patrick Cantlay,23^^,-,29,53,-,-,MC,3,5,-,-,-,-,-,-,-,-,-,-,12,41,MC,8,33,9100,Further details,40/1,Bet 365,Further details
