Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Wyndham Clark,-,-,-,-,-,17,-,-,15,-,MC,-,-,-,-,-,-,-,61,18,-,65,-,1,TBC,TBC,Further details
Ludvig Aberg,-,-,-,17,-,6,-,-,5,-,-,42,-,-,-,-,-,-,-,-,-,-,-,2,TBC,TBC,Further details
Matthieu Pavon,-,-,-,-,-,17,-,-,48,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,3,TBC,TBC,Further details
Thomas Detry,-,13,-,-,-,36,-,-,5,53,-,15,-,-,-,-,-,-,-,-,-,-,37,4,TBC,TBC,Further details
Mark Hubbard,-,-,3,35,-,-,-,-,-,21,12,68,-,-,MC,26,62,-,-,MC,55,33,20,4,TBC,TBC,Further details
Jason Day,-,-,-,8,-,19,-,-,40,-,3,32,-,64,4,11,5,2,4,4,7,24,-,6,TBC,TBC,Further details
Justin Thomas,-,-,-,-,-,3,-,-,26,-,2,-,-,MC,-,-,-,-,-,-,-,-,-,6,TBC,TBC,Further details
Scottie Scheffler,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,TBC,TBC,Further details
Tom Hoge,-,45,-,-,-,-,-,-,8,45,29,-,-,-,MC,41,39,MC,MC,60,12,1,48,6,TBC,TBC,Further details
Sam Burns,-,-,-,-,-,14,-,-,8,-,29,-,-,-,-,-,-,-,-,-,39,-,-,10,TBC,TBC,Further details
Keegan Bradley,-,-,-,-,-,5,-,-,15,6,-,15,-,-,-,-,-,-,-,-,-,-,-,11,TBC,TBC,Further details
Patrick Cantlay,-,-,-,-,-,11,-,-,15,-,5,-,-,-,-,-,48,35,-,11,3,4,-,11,TBC,TBC,Further details
Justin Rose,-,68,34,18^,-,-,-,-,-,-,-,MC,-,-,-,6,39,-,-,-,-,62,1,11,TBC,TBC,Further details
Beau Hossler,-,20,-,-,-,-,-,-,-,-,12,15,-,-,-,-,MC,43,MC,38,47,3,11,14,TBC,TBC,Further details
Eric Cole,-,-,-,15,-,-,-,-,52,5,68,68,-,-,-,-,-,-,-,-,-,-,15,14,TBC,TBC,Further details
Collin Morikawa,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,TBC,TBC,Further details
Peter Malnati,-,-,MC,MC,-,-,-,-,53,MC,MC,MC,-,MC,-,66,MC,35,MC,11,MC,42,4,14,TBC,TBC,Further details
SiWoo Kim,-,-,-,WD,-,-,-,-,32,MC,51,MC,-,-,-,35,MC,-,4,MC,MC,-,-,14,TBC,TBC,Further details
Emiliano Grillo,-,-,-,-,-,-,-,-,-,MC,MC,WD,-,-,-,-,-,-,-,-,-,-,-,14,TBC,TBC,Further details
Sahith Theegala,-,-,-,-,-,8,-,-,36,37,-,52,-,-,-,-,-,-,-,-,-,65,-,20,TBC,TBC,Further details
Adam Scott,-,46,3,-,-,-,-,-,15,-,37,-,-,-,-,-,-,MC,61,-,-,-,-,20,TBC,TBC,Further details
Cameron Davis,-,-,-,6,MC,-,-,-,13,MC,18,-,-,-,-,-,-,MC,59,38,14,-,-,20,TBC,TBC,Further details
Christiaan Bezuidenhout,-,-,-,-,-,6,36,-,40,-,MC,-,-,-,-,-,-,-,-,-,-,14,-,20,TBC,TBC,Further details
JT Poston,-,-,-,5,-,-,-,-,40,MC,12,-,-,-,-,-,66,68,-,-,-,-,-,20,TBC,TBC,Further details
Erik Van Rooyen,-,64,-,-,-,24,42,-,-,30,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,20,TBC,TBC,Further details
Chris Kirk,-,-,-,MC,-,-,-,-,44,MC,34,-,-,61,MC,-,39,MC,-,MC,16,MC,-,26,TBC,TBC,Further details
