Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jon Rahm,-,39,WD,-,31,-,1,15,-,2,-,-,-,-,-,-,-,-,58,4,MC,13,8,48,11400,15/2,Bet 365,Further details,50
Scottie Scheffler,-,4,1,-,4,-,10,11,-,-,-,5,-,-,-,-,-,-,-,-,-,4,8,MC,11200,15/2,Bet 365,Further details,2
Rory McIlroy,-,2,MC,-,3,-,MC,-,-,-,47,-,-,1,8,1,17,MC,22,50,8,33,49,8,10700,12/1,Bet 365,Further details,7
Collin Morikawa,-,MC,13,-,28,-,10,31,MC^^,-,MC,-,-,-,-,-,-,-,-,-,-,1,8,55,10300,33/1,Bet 365,Further details,26
Brooks Koepka,27^,-,-,24^^,-,1^^,2,-,11^^,3^^,-,-,-,-,70,15,5,4,13,1,1,29,2,55,10100,20/1,Bet 365,Further details,1
Xander Schauffele,-,39,19,-,5,-,10,4,4^^,-,2,-,-,-,-,-,-,-,MC,35,16,10,MC,13,9900,16/1,Bet 365,Further details,18
Patrick Cantlay,-,4,19,-,9,-,14,3,4^^,-,21,-,-,-,-,-,-,-,33,27,3,43,23,MC,9700,18/1,Bet 365,Further details,9
Jordan Spieth,-,4,19,3,31,-,4,2,-,-,MC,-,-,-,MC,MC,2,13,28,12,3,71,30,34,9600,45/1,Bet 365,Further details,29
Tony Finau,-,24,19,-,17,-,26,31,-,1,23,-,-,-,-,-,10,MC,44,42,64,4,8,30,9500,20/1,Bet 365,Further details,72
Justin Thomas,-,21,60,10,-,-,MC,25,-,-,14,-,-,-,-,-,18,66,1,6,-,37,MC,1,9400,25/1,Bet 365,Further details,65
Cameron Smith,5^,-,-,24^^,-,26^^,34,-,3^^,7^^,-,-,-,-,-,-,25,-,MC,56,64,43,59,13,9300,33/1,Bet 365,Further details,9
Cameron Young,-,10,51,-,2,-,7,51,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,3,9200,28/1,Bet 365,Further details,MC
Viktor Hovland,-,10,3,-,31,-,7,59,-,-,43,-,-,-,-,-,-,-,-,-,-,33,30,41,9100,28/1,Bet 365,Further details,2
Sungjae Im,42,21,6,-,17,-,16,7,6^^,-,8,1^,-,-,-,-,-,-,-,42,MC,MC,17,-,9000,33/1,Bet 365,Further details,MC
