Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jon Rahm,-,1,-,8,-,-,-,1,-,1,7,-,-,-,-,-,5,-,16,11,10,9,13,10,11000,8/1,Bet 365,Further details,3
Rory McIlroy,-,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,13,-,10800,8/1,Bet 365,Further details,32
Scottie Scheffler,9,-,-,2,-,-,-,7,-,11,-,-,-,-,-,-,-,-,-,-,-,MC,7,1,10300,14/1,Bet 365,Further details,1
Tony Finau,1,-,-,7,-,-,-,7,-,16,9,-,-,-,-,-,22,MC,MC,MC,MC,2,-,MC,10100,20/1,Bet 365,Further details,14
Xander Schauffele,-,-,-,4,-,-,-,WD,-,3,13,-,-,-,-,-,-,-,-,17,10,16,2,3,10000,16/1,Bet 365,Further details,10
Max Homa,-,-,-,17,4^^,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,26,6,42,14,9900,22/1,Bet 365,Further details,39
Justin Thomas,-,-,-,5,-,-,-,25,-,-,25,-,-,-,-,-,17,MC,MC,17,3,3,13,8,9800,22/1,Bet 365,Further details,4
Collin Morikawa,-,-,-,6,-,-,-,2,-,-,3,-,-,-,-,-,-,-,-,-,-,25,-,-,9700,20/1,Bet 365,Further details,MC
Patrick Cantlay,-,-,-,-,-,-,-,16,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9500,20/1,Bet 365,Further details,MC
Hideki Matsuyama,WD,-,-,-,-,-,-,21,48,-,9,-,-,-,-,4,2,1,1,WD,15,16,42,8,9400,33/1,Bet 365,Further details,29
Viktor Hovland,-,23,-,1,-,-,-,18,-,-,-,13,-,-,-,-,-,-,-,-,-,MC,-,MC,9300,33/1,Bet 365,Further details,42
Sungjae Im,-,-,-,8,-,-,-,13,MC,18,4,-,-,-,-,-,-,-,-,-,7,34,17,-,9200,28/1,Bet 365,Further details,6
Tom Kim,-,4^,-,10,-,-,-,5,MC,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9100,30/1,Bet 365,Further details,50
Matthew Fitzpatrick,-,5,-,13,-,-,-,7,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,10,9000,35/1,Bet 365,Further details,29
Cameron Young,-,-,-,3,7^^,-,-,13,-,26,-,2^,-,-,-,-,-,-,-,-,-,-,-,26,8900,30/1,Bet 365,Further details,64
Jordan Spieth,-,-,-,15,-,-,-,13,MC,-,-,63,-,-,-,-,7,-,9,MC,-,MC,4,60,8700,35/1,Bet 365,Further details,6
Sam Burns,WD,-,-,12,-,-,-,32,-,11,-,-,-,-,-,-,-,-,-,-,MC,MC,22,MC,8600,50/1,Bet 365,Further details,6
Sahith Theegala,22,2,-,-,1^^,-,-,33,-,54,4,-,-,-,-,-,-,-,-,-,-,-,-,3,8500,45/1,Bet 365,Further details,39
Tyrrell Hatton,-,2,-,-,-,-,-,-,-,7,38,-,-,-,-,-,-,-,-,-,15,-,-,-,8400,55/1,Bet 365,Further details,6
Taylor Montgomery,57,15,-,-,-,-,-,-,12,5,31,-,-,-,-,-,-,-,-,-,-,-,-,-,8300,55/1,Bet 365,Further details,MC
Shane Lowry,-,23,-,18,-,-,-,-,-,28,MC,-,-,-,-,-,-,6,16,65,-,-,-,-,8200,60/1,Bet 365,Further details,MC
Tommy Fleetwood,1,5,-,20,-,-,-,-,-,38,59,-,-,-,-,-,-,-,-,-,-,-,-,-,8100,66/1,Bet 365,Further details,MC
Rickie Fowler,-,-,-,-,-,-,-,-,-,54,11,-,-,26,MC,MC,46,2,4,11,1,37,MC,MC,8000,66/1,Bet 365,Further details,10
Jason Day,16,MC,-,-,10^^,-,-,-,-,18,7,-,-,-,57,-,-,-,-,-,-,-,MC,-,7900,55/1,Bet 365,Further details,5
Billy Horschel,-,-,-,13,10^^,-,-,30,MC,-,-,-,-,-,11,MC,30,24,24,43,39,9,53,6,7800,75/1,Bet 365,Further details,32
SiWoo Kim,35,-,-,-,-,-,-,-,1,22,25,-,-,-,-,-,-,67,MC,62,MC,MC,50,26,7800,66/1,Bet 365,Further details,23
Keegan Bradley,-,-,-,-,-,-,-,34,MC,-,2,-,-,15,24,MC,17,24,MC,43,67,49,22,26,7700,66/1,Bet 365,Further details,20
Corey Conners,-,11^,-,16,8^^,-,-,18,12,-,-,-,-,-,-,-,-,-,-,-,-,45,17,38,7700,70/1,Bet 365,Further details,50
Alexander Noren,4,2,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,21,44,-,-,6,7600,60/1,Bet 365,Further details,MC
Aaron Wise,22,35^,-,-,-,-,-,18,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,66,MC,7600,90/1,Bet 365,Further details,MC
Seamus Power,-,5,-,-,-,-,-,25,-,20,-,15,-,-,-,-,-,-,-,-,MC,-,-,MC,7600,70/1,Bet 365,Further details,20
Tom Hoge,-,MC,-,-,1^^,-,-,3,41,32,-,48,-,-,-,-,-,-,-,MC,44,25,MC,14,7500,80/1,Bet 365,Further details,MC
KyoungHoon Lee,-,-,-,-,8^^,-,-,7,27,MC,-,-,-,-,-,-,-,-,-,-,-,MC,2,38,7500,80/1,Bet 365,Further details,42
Maverick McNealy,27,-,-,-,10^^,-,-,-,7,-,31,WD,-,-,-,-,-,-,-,-,-,-,-,-,7500,80/1,Bet 365,Further details,WD
Keith Mitchell,9,39,-,-,12^^,-,-,-,MC,22,-,4,-,-,-,-,-,-,-,-,73,16,MC,10,7400,80/1,Bet 365,Further details,42
