Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Nick Taylor,-,MC,-,-,-,-,-,48,1,12,-,33,-,-,59,65,MC,52,MC,49,MC,MC,2,1,60/1,Bet 365,Further details
Charley Hoffman,30,-,-,-,-,-,-,-,59,5,25,-,-,61,53,51,24,26,20,40,MC,67,14,2,100/1,Bet 365,Further details
Scottie Scheffler,-,-,-,-,1,-,-,-,-,-,-,9,-,-,-,-,-,-,-,MC,7,1,1,3,3/1,Bet 365,Further details
Sam Burns,-,-,-,-,14,-,-,8,-,29,-,22,-,-,-,-,-,-,MC,MC,22,MC,6,3,25/1,Bet 365,Further details
Sahith Theegala,-,-,-,-,8,-,-,36,37,-,52,53,-,-,-,-,-,-,-,-,-,3,39,5,40/1,Bet 365,Further details
Maverick McNealy,6,17,1,-,-,-,-,8,45,-,52,40,-,-,-,-,-,-,-,-,-,-,WD,6,50/1,Bet 365,Further details
Jordan Spieth,-,-,-,-,-,-,-,-,-,-,-,69,-,-,7,-,9,MC,-,MC,4,60,6,6,60/1,Bet 365,Further details
Andrew Novak,-,2,35,-,-,-,-,-,MC,MC,3,13,-,-,-,-,-,-,-,-,-,-,-,8,80/1,Bet 365,Further details
Cameron Young,-,-,-,-,13,-,-,8,-,MC,-,72,-,-,-,-,-,-,-,-,-,26,64,8,70/1,Bet 365,Further details
Kurt Kitayama,-,-,-,-,-,-,-,-,37,58,MC,-,-,-,-,-,-,-,-,-,-,-,23,8,60/1,Bet 365,Further details
SiWoo Kim,-,-,WD,-,-,-,-,32,MC,51,MC,12,-,-,-,67,MC,62,MC,MC,50,26,23,12,66/1,Bet 365,Further details
Justin Thomas,-,-,-,-,3,-,-,26,-,2,-,48,-,-,17,MC,MC,17,3,3,13,8,4,12,11/1,Bet 365,Further details
Doug Ghim,20,MC,42,-,-,-,-,-,72,21,MC,68,-,-,-,-,-,-,-,-,-,49,MC,12,110/1,Bet 365,Further details
Matthew Fitzpatrick,-,-,-,-,-,-,-,24,-,-,-,48,-,-,-,-,-,-,-,-,-,10,29,15,66/1,Bet 365,Further details
Davis Thompson,-,-,60,-,-,-,-,36,MC,51,-,58,-,-,-,-,-,-,-,-,-,-,MC,15,66/1,Bet 365,Further details
Tom Kim,-,-,MC^,-,2,-,-,-,65,MC,-,7,-,-,-,-,-,-,-,-,-,-,50,17,33/1,Bet 365,Further details
Tom Hoge,45,-,-,-,-,-,-,8,45,29,-,17,-,-,-,-,-,MC,44,25,MC,14,MC,17,75/1,Bet 365,Further details
Keith Mitchell,MC,-,MC,-,-,-,-,-,30,21,-,33,-,-,-,-,-,-,73,16,MC,10,42,17,75/1,Bet 365,Further details
Adam Schenk,MC,-,53,-,-,-,-,-,6,WD,25,-,-,-,-,-,-,-,55,MC,MC,MC,23,17,200/1,Bet 365,Further details
Hideki Matsuyama,-,2^,-,-,-,-,-,1,16,-,32,48,-,4,2,1,1,WD,15,16,42,8,29,22,16/1,Bet 365,Further details
Denny McCarthy,-,-,25,-,-,-,-,46,16,-,-,58,-,-,-,-,-,-,33,59,MC,MC,MC,22,75/1,Bet 365,Further details
Brendon Todd,-,57,MC,-,-,-,-,-,MC,WD,-,78,-,-,-,56,-,-,-,-,22,26,MC,22,500/1,Bet 365,Further details
Emiliano Grillo,-,-,-,-,-,-,-,-,MC,MC,WD,-,-,-,-,45,63,57,33,MC,22,MC,MC,22,350/1,Bet 365,Further details
Samuel Stevens,6,67,42,-,-,-,-,-,59,51,2,17,-,-,-,-,-,-,-,-,-,-,-,28,90/1,Bet 365,Further details
Jake Knapp,-,-,68,-,-,-,-,56,-,MC,32,33,-,-,-,-,-,-,-,-,-,-,-,28,150/1,Bet 365,Further details
Christiaan Bezuidenhout,-,-,-,-,6,36,-,40,-,MC,-,40,-,-,-,-,-,-,-,-,-,-,MC,28,150/1,Bet 365,Further details
Thomas Detry,13,-,-,-,36,-,-,5,53,-,15,48,-,-,-,-,-,-,-,-,-,-,-,28,90/1,Bet 365,Further details
Corey Conners,-,-,-,-,6,-,-,5,MC,-,-,65,-,-,-,-,-,-,-,45,17,38,50,28,35/1,Bet 365,Further details
