Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,-,-,-,-,-,9,25,3,-,-,11,-,-,-,-,-,-,-,-,MC,55,1,1,9/2,Bet 365,Further details
Wyndham Clark,-,-,15,-,MC,-,73,16,31,-,-,22,-,-,-,-,-,-,-,-,MC,MC,27,2,55/1,Bet 365,Further details
Brian Harman,-,-,58,21,MC,-,53,25,17,-,32,40,-,MC,MC,8,54,53,MC,8,3,63,44,2,90/1,Bet 365,Further details
Xander Schauffele,-,-,30,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,2,MC,MC,MC,19,2,22/1,Bet 365,Further details
Matthew Fitzpatrick,-,-,24,-,-,-,48,MC,49,-,-,22,-,-,-,-,MC,MC,46,41,9,MC,MC,5,100/1,Bet 365,Further details
Siwoo Kim,-,-,32,MC,51,MC,12,21,24,-,-,19,-,-,-,-,23,1,63,56,9,WD,27,6,60/1,Bet 365,Further details
Hideki Matsuyama,-,-,1,16,-,32,48,25,13,-,-,22,-,-,23,17,7,22,MC,8,MC,-,5,6,28/1,Bet 365,Further details
Ludvig Aberg,-,-,5,-,-,42,WD,-,1,-,-,22,-,-,-,-,-,-,-,-,-,-,-,8,16/1,Bet 365,Further details
Maverick McNealy,-,-,8,45,-,52,40,9,2,-,-,MC,-,-,-,-,-,-,-,-,MC,46,60,9,60/1,Bet 365,Further details
Sahith Theegala,-,-,36,37,-,52,53,57,17,-,-,MC,-,-,-,-,-,-,-,-,-,MC,74,9,90/1,Bet 365,Further details
Joel Dahmen,-,-,-,MC,MC,9,-,MC,-,6,32,-,-,-,-,-,-,-,-,12,MC,33,60,11,150/1,Bet 365,Further details
Corey Conners,-,-,5,MC,-,-,65,74,24,-,-,3,-,-,-,-,-,-,-,41,7,26,MC,13,50/1,Bet 365,Further details
Christiaan Bezuidenhout,36,-,40,-,MC,-,40,4,39,-,42,19,-,-,-,-,-,-,-,-,41,-,13,13,90/1,Bet 365,Further details
Nate Lashley,-,-,-,37,MC,WD,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,71,-,60,13,1000/1,Bet 365,Further details
Sepp Straka,-,-,15,30,1,-,7,15,MC,-,11,5,-,-,-,-,-,-,-,-,MC,9,65,16,50/1,Bet 365,Further details
Doug Ghim,-,-,-,72,21,MC,68,49,-,-,11,-,-,-,-,-,-,-,-,-,29,6,MC,16,100/1,Bet 365,Further details
Sam Ryder,-,-,-,21,43,25,-,36,-,59,48,-,-,-,-,-,-,-,-,MC,MC,60,44,16,300/1,Bet 365,Further details
Shane Lowry,-,-,-,-,-,MC,2,-,39,-,11,7,-,-,-,MC,16,MC,46,MC,8,13,35,19,35/1,Bet 365,Further details
Rory McIlroy,-,-,-,-,4,-,1,-,17,-,-,15,-,8,6,8,12,35,MC,1,MC,33,MC,19,17/2,Bet 365,Further details
Adam Schenk,-,-,-,6,WD,25,-,25,-,-,MC,45,-,-,-,-,-,-,-,-,MC,MC,MC,19,350/1,Bet 365,Further details
Kurt Kitayama,-,-,-,37,58,MC,-,49,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,19,100/1,Bet 365,Further details
Harris English,-,-,-,MC,43,1,73,-,24,-,-,MC,-,33,MC,MC,MC,MC,MC,MC,-,-,MC,19,150/1,Bet 365,Further details
Matthias Schmid,59,-,-,MC,MC,25,-,MC,-,MC,18,6,-,-,-,-,-,-,-,-,-,-,-,26,250/1,Bet 365,Further details
Chris Kirk,-,-,44,MC,34,-,62,MC,-,-,56,22,-,55,13,13,WD,12,46,56,48,MC,MC,26,250/1,Bet 365,Further details
Mackenzie Hughes,-,-,-,MC,58,-,40,36,52,-,MC,22,-,-,-,-,-,16,57,-,MC,MC,MC,26,200/1,Bet 365,Further details
Nick Taylor,-,-,48,1,12,-,33,25,9,-,-,31,-,-,-,73,MC,-,79,16,48,-,MC,26,140/1,Bet 365,Further details
Sungjae Im,-,-,3,-,MC,4,33,57,MC,-,MC,19,-,-,-,-,-,-,-,MC,17,55,6,31,50/1,Bet 365,Further details
Mark Hubbard,-,-,-,21,12,68,73,MC,MC,-,MC,-,-,-,-,-,-,MC,-,-,MC,-,35,31,450/1,Bet 365,Further details
Taylor Moore,-,-,-,MC,7,56,22,9,-,34,42,-,-,-,-,-,-,-,-,-,-,MC,35,31,150/1,Bet 365,Further details
Jason Day,-,-,40,-,3,32,13,-,50,-,-,8,-,19,-,MC,1,60,5,8,35,MC,19,35,55/1,Bet 365,Further details
