Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Brice Garnett,-,-,-,48,30,34,-,-,67,-,-,11,-,-,72,38,26,-,-,20,5,7,48,1,33/1,Bet 365,Further details
Hayden Springer,-,-,-,-,-,-,6,-,MC,-,45,-,-,-,-,-,-,-,-,-,-,-,-,3,40/1,Bet 365,Further details
Adrien Dumont de Chassart,-,-,-,-,-,-,MC,24,8,-,-,16^,-,-,-,-,-,-,-,-,-,-,-,6,50/1,Bet 365,Further details
Ben Kohles,-,-,-,-,53,21,-,-,MC,-,25,MC,-,39,MC,-,-,-,-,-,-,16,-,6,40/1,Bet 365,Further details
Norman Xiong,MC^,-,-,-,-,MC,40,MC^,65^,-,-,53^,-,-,-,-,-,-,-,-,-,-,-,9,175/1,Bet 365,Further details
Matthias Schmid,-,59,-,-,MC,MC,25,-,MC,-,MC,18,-,-,-,-,-,-,-,-,-,-,33,10,30/1,Bet 365,Further details
Austin Cook,-,-,-,-,31^,-,MC^,11^,49^,-,-,-,-,-,-,-,-,-,-,44,-,61,MC,10,600/1,Bet 365,Further details
Martin Laird,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,10,80/1,Bet 365,Further details
Henrik Norlander,-,-,-,-,37,MC,MC,-,MC,-,13,MC,-,57,-,-,39,-,-,44,-,-,15,15,50/1,Bet 365,Further details
Vincent Whaley,-,-,-,-,72,64,32,-,MC,-,MC,32,-,-,-,-,-,-,-,9,15,-,-,18,45/1,Bet 365,Further details
Richy Werenski,-,-,-,-,MC^,-,19^,MC^,68^,-,-,-,-,-,-,-,-,72,-,MC,-,28,21,18,175/1,Bet 365,Further details
Troy Merritt,-,-,-,-,-,-,MC,MC,MC,-,MC,37,-,-,MC,-,-,-,-,-,-,-,-,23,200/1,Bet 365,Further details
Aaron Baddeley,-,-,-,-,76,MC,32,-,-,-,34,-,-,-,-,-,8,-,2,-,30,28,-,23,150/1,Bet 365,Further details
Cody Gribble,-,-,-,-,MC^,-,MC^,MC^,72^,-,-,-,-,-,-,-,-,-,-,-,-,MC,7,23,750/1,Bet 365,Further details
Kevin Chappell,-,-,-,-,24^,-,27^,WD^,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,15,23,80/1,Bet 365,Further details
Tyler Duncan,-,-,-,-,65^,-,26^,17^,MC^,-,-,7^,-,-,-,-,-,-,62,-,-,35,-,23,80/1,Bet 365,Further details
Rico Hoey,-,-,-,-,59,58,MC,-,MC,-,MC,25,-,-,-,-,-,-,-,-,-,-,-,32,40/1,Bet 365,Further details
Garrick Higgo,-,-,-,-,59^,-,42,-,26^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,66/1,Bet 365,Further details
Kevin Tway,-,-,-,-,53^,-,52,-,-,-,-,-,-,-,MC,-,-,32,-,-,-,-,-,32,80/1,Bet 365,Further details
Tommy Gainey,-,-,-,-,MC^,-,MC^,WD^,-,-,-,-,,-,-,MC,MC,-,MC,-,68,3,MC,32,1000/1,Bet 365,Further details
Pierceson Coody,-,-,-,-,7^,-,MC,9^,2^,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,32,35/1,Bet 365,Further details
Patrick Fishburn,-,-,-,-,6,MC,MC,-,MC,-,MC,48,-,-,-,-,-,-,-,-,-,-,-,42,35/1,Bet 365,Further details
Scott Piercy,-,-,-,-,MC^,-,MC^,-,-,-,55,-,-,-,-,-,-,-,-,-,-,-,21,42,175/1,Bet 365,Further details
Jim Herman,-,-,-,-,MC^,-,-,MC^,-,-,-,-,-,39,49,-,-,-,-,-,-,7,44,49,1500/1,Bet 365,Further details
Chris Nido,-,-,-,-,-,-,-,-,-,-,-,3^,-,-,-,-,-,MC,-,MC,MC,-,MC,49,150/1,Bet 365,Further details
Ryan Brehm,-,-,-,-,76^,-,56^,MC^,74^,-,-,-,-,-,-,-,-,MC,-,35,11,1,-,55,350/1,Bet 365,Further details
Chan Kim,-,-,-,-,53,MC,42,-,MC,-,17,32,-,-,-,-,-,-,-,-,-,16,-,61,33/1,Bet 365,Further details
Kyle Stanley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,3,-,16,54,61,2000/1,Bet 365,Further details
SangMoon Bae,-,-,-,-,-,-,-,WD^,39^,-,-,-,-,67,-,-,-,-,MC,35,MC,50,MC,61,500/1,Bet 365,Further details
Sean O'Hair,-,-,-,-,MC^,-,MC^,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,61,61,500/1,Bet 365,Further details
Brian Stuard,-,-,-,-,-,-,-,-,-,-,-,-,-,4,43,-,MC,-,-,-,-,22,MC,68,1000/1,Bet 365,Further details
Chris Stroud,-,-,-,-,-,-,-,-,-,-,-,-,-,18,9,27,26,8,-,-,-,-,15,71,TBC,Bet 365,Further details
Angel Ayora,-,5,36,-,-,-,27,MC,14,-,20,MC,-,-,-,-,-,-,-,-,-,-,-,72,55/1,Bet 365,Further details
Niklas Norgaard Moller,48,-,-,-,-,4,MC,-,-,-,34,25,-,-,-,-,-,-,-,-,-,-,-,-,22/1,Bet 365,Further details
Ryan Gerard,-,-,-,-,37,51,15,-,-,-,17,25,-,-,-,-,-,-,-,-,-,-,11,-,20/1,Bet 365,Further details
Taylor Montgomery,-,-,-,-,65,58,MC,-,69,-,45,25,-,-,-,-,-,-,-,-,-,-,-,-,66/1,Bet 365,Further details
Quade Cummins,-,-,-,-,MC,34,MC,-,-,-,32,32,,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Karl Vilips,-,-,-,-,-,-,-,-,-,-,72,39,-,-,-,-,-,-,-,-,-,-,-,-,55/1,Bet 365,Further details
Michael Thorbjornsen,-,-,-,-,-,MC,MC,-,74,-,MC,39,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Davis Riley,-,-,-,WD,-,MC,MC,-,MC,-,MC,48,-,-,-,-,-,-,-,-,39,-,-,-,175/1,Bet 365,Further details
Rikuya Hoshino,-,-,-,-,MC,43,MC,-,-,-,MC,48,-,-,-,-,-,-,-,-,-,-,-,-,66/1,Bet 365,Further details
Bud Cauley,-,-,-,-,30,-,-,-,21,-,-,56,-,-,29,-,-,-,-,-,-,-,-,-,30/1,Bet 365,Further details
Ricky Castillo,-,-,-,-,MC,43,15,-,-,-,55,56,-,-,-,-,-,-,-,-,-,-,-,-,50/1,Bet 365,Further details
Antoine Rozner,-,-,MC,-,-,MC,48,-,4,-,55,62,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Ben Polland,-,-,-,-,MC,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Matthew Riedel,-,-,-,-,-,51,MC,-,-,-,MC,65,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Anders Albertson,-,-,-,-,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,21,-,450/1,Bet 365,Further details
Andrew Filbert,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Ben Warian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Blades Brown,-,-,-,-,-,MC,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Brett White,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Carl Yuan,-,-,-,-,53^,-,MC,MC^,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,225/1,Bet 365,Further details
Chesson Hadley,-,-,-,-,-,MC,-,MC^,MC^,-,-,-,-,-,1,16,MC,76,-,MC,-,61,-,-,175/1,Bet 365,Further details
Chez Reavie,-,-,-,-,-,71,-,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Connor Williams,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Danny Walker,-,-,-,-,MC,MC,42,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,66/1,Bet 365,Further details
David Hearn,-,-,-,-,-,-,-,-,-,-,-,-,-,8,24,-,-,17,25,MC,MC,MC,MC,-,2500/1,Bet 365,Further details
Gustavo Rangel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Hayden Buckley,-,-,-,-,-,MC,WD,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Jimmy Walker,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
John Pak,-,-,-,-,MC,MC,56,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Kaito Onishi,-,-,-,-,MC,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Kieron Van Wyk,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Lanto Griffin,-,-,-,-,MC,34,9,-,MC,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Matthew Jordan,2,-,-,-,-,27,MC,MC,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Matthew NeSmith,-,-,-,-,-,39,MC,22,39,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,100/1,Bet 365,Further details
Max Kennedy,-,-,-,-,-,-,MC^,MC^,MC^,19^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Noah Goodwin,-,-,-,-,MC,MC,63,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,33,-,150/1,Bet 365,Further details
Philip Knowles,-,-,-,-,-,MC,WD,MC^,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Rasmus Neergaard-Petersen,-,-,-,-,-,10,MC,MC,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28/1,Bet 365,Further details
Reinaldo Simoni,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Robby Shelton IV,-,-,-,-,31^,-,5^,-,33^,-,-,-,-,-,-,-,-,MC,-,52,-,-,-,-,66/1,Bet 365,Further details
Santiago De La Fuente,71^,-,-,-,-,-,31^,19^,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Takumi Kanaya,-,-,-,-,MC,MC,MC,-,MC,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,40/1,Bet 365,Further details
Trevor Cone,-,-,-,-,MC,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,70,-,200/1,Bet 365,Further details
Vince Covello,-,-,-,-,65^,-,MC^,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Zac Blair,-,-,-,-,-,MC,32,-,-,-,-,-,-,-,-,38,-,62,59,MC,-,-,-,-,80/1,Bet 365,Further details
Connor Creasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Chris Korte,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Dawson Jones,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Maxwell Sear,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Joseph Bramlett,-,-,-,-,MC^,-,MC,22^,-,-,-,29^,-,-,-,-,-,-,-,9,49,28,-,-,45/1,Bet 365,Further details
Adam Schenk,-,-,-,-,6,WD,25,-,25,-,-,MC,-,-,-,-,-,-,16,14,27,-,-,-,33/1,Bet 365,Further details
Adam Svensson,-,-,-,-,30,MC,MC,-,36,-,59,MC,-,-,-,-,47,-,MC,-,-,-,-,-,33/1,Bet 365,Further details
Braden Thornberry,-,-,-,-,MC,MC,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Carson Young,-,-,-,-,MC,29,MC,-,57,-,MC,MC,-,-,-,-,-,-,-,-,MC,-,3,-,45/1,Bet 365,Further details
Chad Ramey,-,-,-,-,MC,MC,48,-,MC,-,34,MC,-,-,-,-,-,-,-,-,-,5,-,-,60/1,Bet 365,Further details
Cristobal Del Solar,42^,-,-,-,70,MC,66,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Danny Willett,21,-,-,-,-,MC,9,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
David Lipsky,-,-,-,-,45,MC,WD,-,MC,-,76,MC,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Dylan Wu,-,-,-,-,15^,-,MC,2^,MC^,-,-,MC,-,-,-,-,-,-,-,-,-,MC,48,-,60/1,Bet 365,Further details
Jeremy Paul,-,-,-,-,45,64,MC,-,-,-,25,MC,-,-,-,-,-,-,-,-,-,-,-,-,60/1,Bet 365,Further details
