Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jon Rahm,1,7,-,3,1,-,39,WD,-,31,-,1,-,-,-,-,-,-,-,-,-,33,-,-,11100,9/1,Bet 365,Further details,15
Scottie Scheffler,11,-,-,1,12,-,4,1,-,4,-,10,-,-,-,-,-,-,-,-,-,-,-,-,11000,9/1,Bet 365,Further details,11
Jordan Spieth,-,-,63,6,MC,-,4,19,3,31,-,4,-,-,9,12,11,-,-,-,54,68,-,1,10400,20/1,Bet 365,Further details,2
Patrick Cantlay,26,-,-,MC,3,-,4,19,-,9,-,14,-,-,-,-,-,-,3,7,3,-,MC,2,10300,12/1,Bet 365,Further details,3
Collin Morikawa,-,3,-,MC,6,-,MC,13,-,28,-,10,-,-,-,-,-,-,-,-,-,64,7,26,10000,20/1,Bet 365,Further details,31
Viktor Hovland,-,-,13,42,20,-,10,3,-,31,-,7,-,-,-,-,-,-,-,-,-,21,-,-,9800,22/1,Bet 365,Further details,59
Cameron Young,26,-,2^,64,20,-,10,51,-,2,-,7,-,-,-,-,-,-,-,-,-,-,-,3,9600,22/1,Bet 365,Further details,51
Tony Finau,16,9,-,14,20,-,24,19,-,17,-,26,-,-,-,-,MC,39,-,-,-,33,-,-,9400,22/1,Bet 365,Further details,31
Xander Schauffele,3,13,-,10,33,-,39,19,-,5,-,10,-,-,-,-,-,-,-,32,63,64,-,-,9300,25/1,Bet 365,Further details,4
Max Homa,-,1,-,39,2,-,14,6,-,9,-,43,-,-,-,-,-,-,-,-,-,41,-,-,9100,28/1,Bet 365,Further details,MC
Justin Thomas,-,25,-,4,20,-,21,60,10,-,-,MC,-,-,-,-,11,75,-,-,-,8,-,35,8900,25/1,Bet 365,Further details,25
Sam Burns,11,-,-,6,MC,-,MC,35,6,1,-,29,-,-,-,-,-,-,-,-,9,MC,39,-,8700,40/1,Bet 365,Further details,15
Sungjae Im,18,4,-,6,56,42,21,6,-,17,-,16,-,-,-,-,-,-,-,-,MC,MC,13,21,8600,25/1,Bet 365,Further details,7
Tom Kim,6,-,-,50,45,-,34,51,-,31,-,16,-,-,-,-,-,-,-,-,-,-,-,-,8500,33/1,Bet 365,Further details,MC
Matthew Fitzpatrick,-,-,MC,29,MC,-,14,MC,MC,31,-,10,-,-,-,23,-,MC,MC,14,39,14,4,MC,8400,28/1,Bet 365,Further details,1
Shane Lowry,28,MC,-,MC,14,5,67,35,-,31,-,16,-,-,-,-,-,-,44,-,3,MC,9,3,8300,28/1,Bet 365,Further details,67
Tyrrell Hatton,7,38,-,6,40,-,4,2,-,59,MC,34,-,-,-,-,-,-,29,MC,-,3,39,26,8200,40/1,Bet 365,Further details,19
