Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,6,3,10,-,-,1,1,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,11,13300,Further details,4/1,Bet 365,Further details
Rory McIlroy,-,66,-,24,-,21,21,19,-,-,3,22,-,-,-,-,-,-,-,-,41,-,-,-,11200,Further details,12/1,Bet 365,Further details
Xander Schauffele,9,54,-,4,-,-,25,2,5,-,-,8,-,-,-,-,-,-,32,63,64,-,-,4,10800,Further details,11/1,Bet 365,Further details
Ludvig Aberg,9,2,-,19,-,-,25,8,-,-,14,2,-,-,-,-,-,-,-,-,-,-,-,-,10400,Further details,14/1,Bet 365,Further details
Patrick Cantlay,56,11,-,4,-,-,36,68,-,-,-,22,-,-,-,-,-,3,7,3,-,MC,2,3,10200,Further details,16/1,Bet 365,Further details
Collin Morikawa,MC,14,-,19,-,-,MC,45,-,-,75,3,-,-,-,-,-,-,-,-,64,7,26,31,10000,Further details,20/1,Bet 365,Further details
Tommy Fleetwood,-,31,-,10,-,-,MC,35,-,-,7,3,-,-,-,-,-,-,-,25,-,MC,10,15,9800,Further details,20/1,Bet 365,Further details
Max Homa,13,66,MC,16,-,-,8,64,-,-,25,3,-,-,-,-,-,-,-,-,41,-,-,MC,9700,Further details,22/1,Bet 365,Further details
Matthew Fitzpatrick,-,58,15,MC,-,21,MC,5,-,-,10,22,-,-,23,-,MC,MC,14,39,14,4,MC,1,9600,Further details,20/1,Bet 365,Further details
Jordan Spieth,-,39,6,DQ,-,-,30,MC,MC,-,10,MC,-,9,12,11,-,-,-,54,68,-,1,2,9400,Further details,25/1,Bet 365,Further details
Wyndham Clark,-,1,41,MC,-,-,2,2,-,31,-,MC,-,-,-,-,-,-,-,54,64,64,35,29,9200,Further details,28/1,Bet 365,Further details
Will Zalatoris,13,-,-,2,-,-,4,MC,-,74,-,9,-,-,-,-,-,-,-,-,-,42,-,-,9000,Further details,25/1,Bet 365,Further details
Sahith Theegala,64,20,5,37,-,-,6,9,-,28,-,45,-,-,-,-,-,-,-,-,-,-,70,5,8900,Further details,33/1,Bet 365,Further details
Cameron Young,-,70,8,16,-,4,36,54,2,-,-,9,-,-,-,-,-,-,-,-,-,-,3,51,8700,Further details,28/1,Bet 365,Further details
Tony Finau,6,47,-,19,13,-,-,45,MC,2,-,55,-,-,-,MC,39,-,-,-,33,-,-,31,8600,Further details,35/1,Bet 365,Further details
Shane Lowry,25,-,60,-,-,4,3,19,29,-,-,43,-,-,-,-,-,44,-,3,MC,9,3,67,8500,Further details,50/1,Bet 365,Further details
Justin Thomas,-,6,12,MC,-,-,12,MC,64,-,-,MC,-,-,-,11,75,-,-,-,8,-,35,25,8400,Further details,40/1,Bet 365,Further details
Corey Conners,-,31,28,24,-,41,18,13,-,-,25,35,-,-,-,MC,-,-,MC,MC,21,4,12,31,8300,Further details,40/1,Bet 365,Further details
Sam Burns,-,10,3,10,-,-,30,45,MC,-,-,MC,-,-,-,-,-,-,-,9,MC,39,-,15,8200,Further details,35/1,Bet 365,Further details
Russell Henley,-,58,-,24,-,41,4,MC,-,-,4,39,-,6,MC,MC,23,26,-,MC,MC,9,MC,19,8100,Further details,35/1,Bet 365,Further details
Siwoo Kim,-,14,12,44,-,-,30,6,-,17,-,30,-,-,-,-,14,-,2,MC,MC,33,42,MC,8000,Further details,35/1,Bet 365,Further details
An Byeong-Hun,-,31,66,16,-,21,8,MC,-,-,MC,16,-,-,-,-,-,-,7,MC,MC,MC,-,-,7900,Further details,50/1,Bet 365,Further details
Jason Day,MC,6,-,9,-,-,36,35,-,MC,-,30,-,30,-,-,23,-,-,-,MC,-,-,-,7900,Further details,50/1,Bet 365,Further details
Denny McCarthy,-,26,22,39,-,MC,48,35,-,-,2,45,-,-,-,-,-,-,-,33,MC,13,56,25,7800,Further details,60/1,Bet 365,Further details
Brian Harman,-,54,60,44,-,-,12,2,MC,-,25,MC,-,59,7,44,MC,9,23,MC,28,13,35,7,7800,Further details,40/1,Bet 365,Further details
Chris Kirk,-,26,-,MC,-,28,44,26,-,-,-,16,-,30,27,69,23,MC,55,MC,-,7,MC,41,7700,Further details,50/1,Bet 365,Further details
Akshay Bhatia,13,-,MC,-,-,MC,-,MC,17,11,1,35,-,-,-,-,-,-,-,-,-,-,-,MC,7700,Further details,55/1,Bet 365,Further details
JT Poston,-,20,MC,10,-,66,55,45,-,-,-,30,-,-,-,-,-,-,-,6,8,MC,3,MC,7600,Further details,55/1,Bet 365,Further details
Christiaan Bezuidenhout,MC,20,28,24,-,MC,44,13,9,-,25,-,-,-,-,-,-,-,-,-,28,33,-,19,7600,Further details,60/1,Bet 365,Further details
Harris English,64,76,17,7,-,-,21,19,-,-,MC,22,-,MC,31,-,WD,MC,32,25,17,MC,-,63,7500,Further details,66/1,Bet 365,Further details
Cameron Davis,-,20,-,49,-,-,18,MC,-,21,-,12,-,-,-,-,-,-,-,-,-,25,3,7,7400,Further details,55/1,Bet 365,Further details
Taylor Moore,70,47,39,31,-,-,48,31,12,2,-,20,-,-,-,-,-,-,-,-,-,-,-,11,7400,Further details,66/1,Bet 365,Further details
Tom Kim,-,31,17,24,-,62,52,WD,-,-,MC,30,-,-,-,-,-,-,-,-,-,-,-,MC,7400,Further details,50/1,Bet 365,Further details
Keegan Bradley,43,11,-,MC,-,-,36,MC,MC,-,-,22,-,-,-,-,-,44,-,-,-,-,-,48,7300,Further details,75/1,Bet 365,Further details
Sungjae Im,MC,66,66,44,-,MC,18,31,MC,-,-,MC,-,-,-,-,-,-,-,MC,MC,13,21,7,7300,Further details,66/1,Bet 365,Further details
Sepp Straka,MC,26,-,MC,-,MC,57,16,MC,-,-,16,-,-,-,-,-,-,-,-,33,59,3,MC,7200,Further details,66/1,Bet 365,Further details
Stephan Jaeger,3,71,-,-,3,MC,44,MC,-,1,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,7200,Further details,80/1,Bet 365,Further details
Adam Schenk,25,47,17,MC,-,56,MC,19,33,-,5,12,-,-,-,-,-,-,-,MC,MC,25,MC,31,7100,Further details,80/1,Bet 365,Further details
Brendon Todd,-,58,22,31,-,MC,6,MC,33,-,5,-,-,-,38,4,MC,-,-,-,MC,39,26,51,7100,Further details,90/1,Bet 365,Further details
Matthieu Pavon,1,3,-,-,-,28,52,MC,5,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,80/1,Bet 365,Further details
Tom Hoge,56,6,17,8,-,28,12,54,-,14,-,-,-,-,-,-,-,-,55,MC,MC,25,MC,MC,7000,Further details,90/1,Bet 365,Further details
Kurt Kitayama,-,39,8,39,-,-,MC,19,-,36,-,35,-,-,-,-,-,-,-,-,-,-,-,MC,6900,Further details,90/1,Bet 365,Further details
Emiliano Grillo,20,14,22,44,33,-,8,54,-,-,-,MC,-,-,-,-,-,-,16,33,MC,2,MC,7,6900,Further details,140/1,Bet 365,Further details
Lucas Glover,-,58,-,35,-,35,30,MC,11,-,25,20,-,MC,MC,18,33,32,32,MC,21,33,48,MC,6800,Further details,110/1,Bet 365,Further details
Rickie Fowler,-,47,MC,35,-,41,36,68,-,-,MC,30,-,-,-,-,-,-,-,-,MC,-,MC,15,6800,Further details,100/1,Bet 365,Further details
Eric Cole,MC,14,49,10,-,MC,21,MC,33,-,MC,52,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,90/1,Bet 365,Further details
Adam Hadwin,-,39,MC,4,-,-,52,MC,5,-,-,53,-,-,-,MC,30,22,-,48,41,MC,26,MC,6700,Further details,80/1,Bet 365,Further details
Erik van Rooyen,-,20,MC,-,8,2,25,MC,-,-,MC,55,-,-,-,-,-,-,-,-,21,-,10,MC,6700,Further details,125/1,Bet 365,Further details
Mackenzie Hughes,64,71,-,31,MC,-,30,26,3,14,-,-,-,-,-,-,-,-,MC,63,70,52,MC,MC,6600,Further details,110/1,Bet 365,Further details
Justin Rose,56,11,-,-,-,64,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,14,-,-,25,6600,Further details,90/1,Bet 365,Further details
Nick Taylor,-,71,1,39,-,-,12,26,64,-,-,MC,-,-,-,74,76,22,MC,58,-,MC,MC,41,6600,Further details,110/1,Bet 365,Further details
Grayson Murray,-,66,MC,MC,-,-,25,42,-,-,MC,51,-,-,-,-,-,59,MC,-,-,-,-,-,6500,Further details,400/1,Bet 365,Further details
Jake Knapp,3,-,28,-,1,4,57,45,-,MC,-,55,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,160/1,Bet 365,Further details
Nick Dunlap,-,80,-,MC,-,53,48,MC,-,11,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,175/1,Bet 365,Further details
Adam Svensson,MC,47,MC,10,-,MC,MC,MC,49,57,51,-,-,-,-,-,-,-,-,-,-,-,26,41,6400,Further details,150/1,Bet 365,Further details
Andrew Putnam,-,39,MC,44,-,-,8,53,MC,-,14,-,-,-,-,-,-,-,-,MC,MC,MC,MC,59,6400,Further details,125/1,Bet 365,Further details
Austin Eckroat,37,-,MC,-,38,1,36,45,-,-,33,MC,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,140/1,Bet 365,Further details
Thomas Detry,20,4,28,-,MC,MC,-,62,17,2,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6300,Further details,110/1,Bet 365,Further details
Lee Hodges,MC,58,MC,24,-,MC,12,35,26,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,41,6300,Further details,225/1,Bet 365,Further details
Peter Malnati,MC,14,MC,-,-,9,-,68,1,36,-,MC,-,-,-,-,MC,44,67,16,70,MC,42,MC,6300,Further details,300/1,Bet 365,Further details
Patrick Rodgers,9,79,-,MC,6,-,25,MC,MC,74,WD,-,-,-,-,-,-,-,-,-,MC,MC,-,19,6200,Further details,160/1,Bet 365,Further details
Webb Simpson,-,39,-,-,-,-,30,MC,54,-,45,-,-,2,-,51,66,11,5,16,1,9,59,MC,6200,Further details,175/1,Bet 365,Further details
Gary Woodland,MC,-,MC,39,-,MC,-,72,MC,21,-,MC,-,78,-,-,-,-,-,-,62,-,-,31,6200,Further details,300/1,Bet 365,Further details
Alejandro Tosti,43,-,-,-,MC,MC,MC,-,75,2,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,300/1,Bet 365,Further details
Seamus Power,MC,31,66,31,-,-,21,64,26,-,MC,-,-,-,-,-,-,-,-,6,-,-,-,MC,6100,Further details,250/1,Bet 365,Further details
Kevin Kisner,-,-,-,-,-,MC,MC,-,MC,MC,72,-,-,-,38,2,69,11,7,41,MC,MC,MC,WD,6100,Further details,1000/1,Bet 365,Further details
Brice Garnett,MC^,MC^,51^,-,-,-,1,35,MC,-,-,-,-,-,53,11,-,-,42,MC,17,52,MC,-,6000,Further details,500/1,Bet 365,Further details
Chandler Phillips,76,-,-,-,24,WD,MC,-,3,45,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,300/1,Bet 365,Further details
Erik Barnes,43,-,-,-,58,-,2,-,WD,17,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,500/1,Bet 365,Further details
