Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Tom Kim,MC,30,18,-,52,47,26,24,4,43,26,2,-,-,-,-,7,MC,11000,Further details,14/1,Bet 365,Further details
Cameron Young,-,9,62,-,-,34,63,-,MC,50,67,9,-,-,-,-,2,-,10700,Further details,16/1,Bet 365,Further details
Minwoo Lee,-,22,-,-,24,-,26,24,-,-,21,-,-,-,-,-,-,-,10500,Further details,20/1,Bet 365,Further details
Alexander Noren,14,-,23,-,3,24,12,-,MC,22,MC,-,-,-,MC,4,-,9,10200,Further details,25/1,Bet 365,Further details
Akshay Bhatia,1,35,18,-,-,42,MC,MC,60,22,16,5,-,-,-,-,-,MC,9800,Further details,22/1,Bet 365,Further details
Taylor Pendrith,MC,-,11,11^^,1,10,MC,-,21,33,16,23,-,-,-,-,2,14,9600,Further details,33/1,Bet 365,Further details
Stephan Jaeger,-,MC,18,-,20,21,76,-,-,MC,21,31,-,MC,-,-,5,9,9400,Further details,30/1,Bet 365,Further details
Will Zalatoris,-,9,44,MC^^,-,60,43,-,-,41,MC,42,-,-,-,77,20,-,9200,Further details,33/1,Bet 365,Further details
Rickie Fowler,MC,30,18,-,-,43,63,37,-,MC,MC,20,-,46,12,32,MC,1,9000,Further details,40/1,Bet 365,Further details
Maverick McNealy,58,-,-,MC^^,41,-,23,17,7,-,-,-,-,-,8,21,MC,-,8900,Further details,28/1,Bet 365,Further details
Aaron Rai,58,-,MC,23^^,4,-,39,32,14,-,19,-,-,-,-,-,-,9,8800,Further details,35/1,Bet 365,Further details
Robert MacIntyre,-,-,-,8^^,MC,13,8,MC,1,-,MC,16,-,-,-,-,-,-,8700,Further details,40/1,Bet 365,Further details
Keith Mitchell,14,-,-,28^^,20,-,MC,37,10,-,-,-,-,MC,-,-,-,-,8500,Further details,33/1,Bet 365,Further details
Davis Thompson,45,-,18,23^^,MC,2,-,17,MC,27,9,-,-,-,-,58,-,24,8300,Further details,35/1,Bet 365,Further details
Ryan Fox,MC,39,-,4^^,MC,4,75,32,7,-,56,-,-,-,-,-,-,-,8200,Further details,50/1,Bet 365,Further details
Chris Kirk,-,16,10,-,-,43,MC,MC,-,MC,26,63,-,-,21,12,17,14,8100,Further details,45/1,Bet 365,Further details
Michael Thorbjornsen,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,MC,-,8000,Further details,60/1,Bet 365,Further details
Benjamin Griffin,39,-,14,MC^^,13,16,WD,MC,2,MC,-,67,-,-,-,-,-,33,7900,Further details,45/1,Bet 365,Further details
Erik Van Rooyen,MC,55,33,-,-,4,53,-,42,-,MC,-,-,-,MC,-,-,MC,7800,Further details,55/1,Bet 365,Further details
Mark Hubbard,25,-,36,3^^,52,-,26,65,42,-,50,-,-,-,12,MC,MC,MC,7700,Further details,66/1,Bet 365,Further details
Adam Svensson,51,-,44,-,-,47,43,24,51,27,56,16,-,MC,-,-,24,40,7600,Further details,75/1,Bet 365,Further details
Taylor Moore,-,20,58,MC^^,-,38,12,MC,-,MC,MC,68,-,-,-,-,6,4,7500,Further details,50/1,Bet 365,Further details
Patrick Rodgers,WD,-,5,-,-,29,MC,45,-,MC,-,16,-,-,45,41,44,-,7500,Further details,66/1,Bet 365,Further details
Matt Wallace,-,-,-,36^^,4,20,43,-,27,-,-,15,-,-,12,-,10,78,7400,Further details,55/1,Bet 365,Further details
Nick Dunlap,-,MC,69,-,30,24,MC,-,-,12,MC,66,-,-,-,-,-,-,7400,Further details,60/1,Bet 365,Further details
Nicolai Hojgaard,75,16,MC,MC^^,-,-,68,MC,35,-,50,-,-,-,-,-,-,21,7300,Further details,50/1,Bet 365,Further details
Beau Hossler,78,-,-,MC^^,52,4,MC,MC,14,-,MC,-,-,MC,MC,25,69,MC,7300,Further details,60/1,Bet 365,Further details
Cameron Davis,-,12,49,-,-,38,MC,56,-,50,MC,48,-,MC,MC,1,14,17,7200,Further details,70/1,Bet 365,Further details
Samuel Stevens,14,-,40,4^^,62,10,-,MC,14,-,-,-,-,-,-,-,-,74,7200,Further details,66/1,Bet 365,Further details
Lee Hodges,MC,MC,58,MC^^,-,24,12,12,-,45,-,31,-,-,-,-,44,MC,7100,Further details,70/1,Bet 365,Further details
Kevin Yu,39,-,MC,28^^,MC,4,-,61,42,-,-,-,-,-,-,-,-,MC,7100,Further details,60/1,Bet 365,Further details
Eric Cole,MC,52,33,MC^^,-,68,MC,MC,MC,45,MC,48,-,-,-,-,-,-,7000,Further details,80/1,Bet 365,Further details
Daniel Berger,-,-,50,MC^^,13,36,-,45,MC,-,21,-,-,-,-,-,-,-,7000,Further details,80/1,Bet 365,Further details
