Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Ludvig Aberg,4,1,-,10,-,-,2,13,-,-,10,-,-,-,-,-,-,-,-,-,-,-,MC,-,10900,12/1,Bet 365,Further details,1
Cameron Young,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-,-,-,-,-,29,-,10600,16/1,Bet 365,Further details,38
Brian Harman,25,-,-,-,-,-,-,-,-,-,-,-,-,27,10,41,MC,MC,4,32,14,MC,61,2,10300,16/1,Bet 365,Further details,44
Corey Conners,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,23,-,10,22,-,9900,28/1,Bet 365,Further details,44
Russell Henley,13,-,-,-,-,-,-,-,-,-,-,-,-,-,65,4,6,10,-,MC,MC,30,22,-,9700,22/1,Bet 365,Further details,13
Alexander Noren,-,-,-,MC,-,-,43,3,48,-,-,2,-,-,-,-,-,-,-,-,10,18,MC,-,9400,28/1,Bet 365,Further details,23
JT Poston,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,MC,MC,MC,14,MC,MC,21,9300,33/1,Bet 365,Further details,44
Justin Suh,-,24,-,30,-,-,-,56,10,-,4,-,-,-,-,-,-,-,-,-,-,-,-,66,9200,25/1,Bet 365,Further details,64
Siwoo Kim,17,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,18,MC,MC,-,MC,-,-,-,9100,33/1,Bet 365,Further details,71
Eric Cole,-,-,-,4,-,-,35,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,9000,33/1,Bet 365,Further details,3
Matt Kuchar,-,-,-,7,-,-,67,-,19,-,2,-,-,-,7,22,25,MC,29,-,MC,37,37,MC,8900,35/1,Bet 365,Further details,53
Stephan Jaeger,-,-,-,45,-,-,25,-,-,-,45,-,-,-,-,-,-,-,29,MC,-,-,MC,46,8800,40/1,Bet 365,Further details,28
Denny McCarthy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,46,8,MC,10,46,8700,40/1,Bet 365,Further details,5
Adam Svensson,-,-,-,-,-,-,16,18,41,-,45,-,-,-,-,-,MC,-,-,MC,-,-,MC,1,8600,33/1,Bet 365,Further details,5
Brendon Todd,-,-,-,6,-,-,-,-,-,-,-,20,-,MC,16,48,83,-,-,54,4,37,MC,MC,8500,50/1,Bet 365,Further details,28
Billy Horschel,-,-,45,18,20,-,14,-,-,-,-,-,-,43,-,-,-,2,-,-,MC,-,-,-,8400,40/1,Bet 365,Further details,MC
Luke List,-,-,-,25,-,-,1,18,-,-,45,20,-,-,-,-,MC,13,-,4,53,MC,10,MC,8300,45/1,Bet 365,Further details,19
Keith Mitchell,-,-,-,-,-,-,MC,-,21,-,38,-,-,-,-,-,-,-,54,MC,14,44,12,39,8200,40/1,Bet 365,Further details,MC
Akshay Bhatia,-,-,-,MC,-,-,43,35,21,-,10,20,-,-,-,-,-,-,-,-,MC,-,-,45,8100,50/1,Bet 365,Further details,38
Alex Smalley,-,-,-,-,-,-,16,61,-,-,-,30,-,-,-,-,-,-,-,-,-,-,MC,5,8000,45/1,Bet 365,Further details,44
J.J Spaun,-,-,-,11,-,-,-,46,6,-,67,-,-,-,-,-,-,57,2,37,MC,59,16,15,8000,40/1,Bet 365,Further details,13
Chesson Hadley,-,-,-,62,-,-,35,7,-,-,7,-,-,-,MC,32,MC,45,37,MC,50,23,MC,MC,7900,55/1,Bet 365,Further details,38
Chris Kirk,-,-,-,-,-,-,-,-,-,-,MC,-,-,64,1,4,18,MC,4,46,MC,18,MC,MC,7900,45/1,Bet 365,Further details,28
Harris English,-,-,-,-,-,-,-,-,-,-,-,-,-,15,27,MC,25,MC,MC,46,MC,6,MC,29,7800,60/1,Bet 365,Further details,28
Davis Thompson,-,-,-,30,-,-,16,35,-,-,15,-,-,-,-,-,-,-,-,-,23,MC,MC,MC,7800,55/1,Bet 365,Further details,53
Thomas Detry,-,-,23,33,35,-,-,-,51,-,38,MC,-,-,-,-,-,-,-,-,-,-,-,-,7700,50/1,Bet 365,Further details,28
Camilo Villegas,43^,-,-,MC^,37^,-,MC,-,-,-,2,1,-,20,40,54,75,2,MC,-,-,6,MC,MC,7700,55/1,Bet 365,Further details,58
Taylor Pendrith,-,-,-,MC,-,-,-,3,-,-,15,8,-,-,-,-,-,-,-,-,-,-,26,15,7600,45/1,Bet 365,Further details,MC
Taylor Montgomery,-,-,-,MC,-,-,-,35,16,-,31,-,-,-,-,-,-,-,-,-,-,-,-,15,7600,66/1,Bet 365,Further details,8
Cameron Champ,-,-,-,MC,-,-,9,18,59,-,45,-,-,-,-,-,-,-,MC,6,-,-,-,MC,7600,66/1,Bet 365,Further details,58
Benjamin Griffin,-,-,-,-,-,-,2,MC,64,-,23,37,-,-,-,-,-,-,-,MC,-,-,-,29,7500,70/1,Bet 365,Further details,8
Kyounghoon Lee,-,-,-,14,-,-,MC,7,41,-,54,-,-,-,-,-,-,-,-,MC,5,MC,-,-,7500,50/1,Bet 365,Further details,58
Matthias Schmid,MC,24,79,MC,-,-,MC,26,2,-,38,3,-,-,-,-,-,-,-,-,-,-,-,MC,7500,50/1,Bet 365,Further details,MC
Adam Long,-,-,-,MC,-,-,35,35,-,-,23,13,-,-,-,-,-,-,-,MC,35,30,16,MC,7500,80/1,Bet 365,Further details,MC
Carl Yuan,-,-,-,68,-,-,6,52,-,-,MC,4,-,-,-,-,-,-,-,-,-,-,-,39,7400,80/1,Bet 365,Further details,68
