Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 Odds,Bookmaker,New Account Offer
Ludvig Aberg,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,1,9/1,Bet 365,Further details
Mackenzie Hughes,-,-,4,-,-,8,-,-,-,-,-,67,-,-,-,-,1,MC,MC,65,MC,2,MC,2,33/1,Bet 365,Further details
Tyler Duncan,-,-,MC,-,-,MC,25,61,-,-,MC,29,-,-,-,-,-,25,74,1,MC,MC,MC,3,250/1,Bet 365,Further details
Eric Cole,-,-,MC,-,-,16,-,MC,6,-,-,-,-,-,-,-,-,-,-,-,-,-,39,3,35/1,Bet 365,Further details
Ben Kohles,-,-,64,-,-,16,46,MC,56,-,-,57,-,-,-,-,-,-,-,-,-,MC,-,5,125/1,Bet 365,Further details
Adam Svensson,-,-,13,-,-,MC,25,MC,46,-,39,-,-,-,-,MC,-,-,MC,-,-,MC,1,5,50/1,Bet 365,Further details
Denny McCarthy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,46,8,MC,10,46,5,25/1,Bet 365,Further details
Benjamin Griffin,-,-,-,-,-,37,11,MC,22,-,24,8,-,-,-,-,-,-,MC,-,-,-,29,8,30/1,Bet 365,Further details
Greyson Sigg,-,-,4,-,-,MC,11,23,-,-,-,9,-,-,-,-,-,49,-,MC,-,MC,15,8,60/1,Bet 365,Further details
Ryan Moore,-,-,MC,-,-,-,MC,34,-,-,MC,23,-,-,-,-,-,-,-,-,-,-,-,8,200/1,Bet 365,Further details
Austin Eckroat,-,-,-,-,-,-,-,46,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,8,33/1,Bet 365,Further details
Taylor Montgomery,-,-,MC,-,-,WD,MC,MC,-,-,64,-,-,-,-,-,-,-,-,-,-,-,15,8,350/1,Bet 365,Further details
Sam Ryder,-,-,MC,-,-,MC,40,MC,-,-,30,5,-,-,-,-,-,61,MC,MC,MC,MC,MC,13,150/1,Bet 365,Further details
Vincent Whaley,-,-,MC,-,-,16,67,16,-,-,55,5,-,-,-,-,-,-,-,65,MC,63,-,13,80/1,Bet 365,Further details
J.J Spaun,-,-,26,-,-,WD,25,34,6,-,30,-,-,-,-,-,57,2,37,MC,59,16,15,13,35/1,Bet 365,Further details
Adam Schenk,-,-,MC,-,-,MC,-,46,67,-,MC,-,-,-,-,-,-,MC,23,MC,48,-,MC,19,250/1,Bet 365,Further details
Luke List,-,-,-,-,-,42,MC,41,16,-,54,-,-,-,-,MC,13,-,4,53,MC,10,MC,19,100/1,Bet 365,Further details
Kelly Kraft,-,-,MC,-,-,-,MC,-,-,-,24,MC,-,-,-,MC,21,22,MC,-,-,MC,MC,19,300/1,Bet 365,Further details
Kevin Tway,-,-,13,-,-,MC,35,-,-,-,57,MC,-,MC,-,-,71,MC,-,-,MC,MC,MC,23,200/1,Bet 365,Further details
Nick Hardy,-,-,50,-,-,28,8,MC,-,-,30,MC,-,-,-,-,-,-,-,-,-,63,MC,23,100/1,Bet 365,Further details
William McGirt,-,-,MC,-,-,-,-,-,-,-,-,37,-,MC,32,-,27,8,-,-,-,51,-,28,500/1,Bet 365,Further details
Brendon Todd,-,-,44,-,-,-,-,MC,75,-,-,57,-,16,48,83,-,-,54,4,37,MC,MC,28,125/1,Bet 365,Further details
Chris Kirk,24,-,-,-,-,-,35,-,-,-,-,-,-,1,4,18,MC,4,46,MC,18,MC,MC,28,40/1,Bet 365,Further details
Harris English,-,-,MC,-,-,MC,6,9,-,-,14,-,-,27,MC,25,MC,MC,46,MC,6,MC,29,28,33/1,Bet 365,Further details
Matthew NeSmith,-,-,MC,-,-,48,MC,MC,-,-,MC,MC,-,-,-,-,-,-,-,14,15,29,MC,28,300/1,Bet 365,Further details
William Gordon,-,-,MC,-,-,48,35,MC,-,-,MC,47,-,-,-,-,-,-,-,10,MC,-,15,36,300/1,Bet 365,Further details
Wesley Bryan,-,-,13,-,-,37,21,-,-,-,6,17,-,-,-,-,MC,-,WD,-,-,-,-,44,100/1,Bet 365,Further details
Alex Smalley,-,-,MC,-,-,5,25,65,-,-,39,29,-,-,-,-,-,-,-,-,-,MC,5,44,110/1,Bet 365,Further details
Nicolas Echavarria,-,-,MC,-,-,MC,11,MC,1,-,6,29,-,-,-,-,-,-,-,-,-,-,MC,44,90/1,Bet 365,Further details
Russell Knox,-,-,MC,-,-,-,-,-,-,-,-,55,-,32,MC,-,-,37,-,20,MC,40,21,44,500/1,Bet 365,Further details
Brian Harman,-,-,-,-,-,-,13^,-,-,-,-,-,-,10,41,MC,MC,4,32,14,MC,61,2,44,22/1,Bet 365,Further details
JT Poston,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,MC,MC,MC,14,MC,MC,21,44,28/1,Bet 365,Further details
Patton Kizzire,-,-,1,-,-,11,43,MC,-,-,MC,-,-,-,54,MC,MC,45,15,68,10,MC,35,44,100/1,Bet 365,Further details
Stewart Cink,-,3^,MC,-,-,-,11^,5^,5^,-,6^,-,-,MC,32,63,10,25,MC,43,MC,MC,MC,44,225/1,Bet 365,Further details
Austin Smotherman,-,-,7,-,-,42,MC,-,-,-,MC,55,-,-,-,-,-,-,-,-,-,40,MC,53,200/1,Bet 365,Further details
Cody Gribble,-,-,MC,-,-,MC,MC,-,-,-,-,73,-,-,-,-,MC,-,71,-,-,-,-,53,1500/1,Bet 365,Further details
Davis Thompson,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,23,MC,MC,MC,53,20/1,Bet 365,Further details
Matt Kuchar,-,-,13,-,-,MC,-,14,37,-,30,-,-,7,22,25,MC,29,-,MC,37,37,MC,53,55/1,Bet 365,Further details
Tommy Gainey,-,-,MC^,70^,-,44^,-,-,-,-,-,-,-,MC,32,MC,MC,MC,MC,MC,-,-,-,53,2500/1,Bet 365,Further details
Maverick McNealy,-,-,MC,-,-,MC,-,16,WD,-,6,17,-,-,-,-,-,-,-,53,MC,-,-,58,33/1,Bet 365,Further details
Brandon Wu,-,-,13,-,-,55,MC,MC,-,-,30,23,-,-,-,-,-,-,-,-,-,MC,54,58,250/1,Bet 365,Further details
Camilo Villegas,-,-,MC,-,-,MC,MC,54,-,-,MC,47,-,40,54,75,2,MC,-,-,6,MC,MC,58,1000/1,Bet 365,Further details
Cameron Champ,-,-,MC,-,-,MC,46,WD,-,-,MC,MC,-,-,-,-,-,MC,6,-,-,-,MC,58,200/1,Bet 365,Further details
Kyounghoon Lee,-,-,MC,-,-,23,46,5,63,-,MC,MC,-,-,-,-,-,-,MC,5,MC,-,-,58,150/1,Bet 365,Further details
Aaron Baddeley,-,-,50,-,-,MC,MC,MC,-,-,64,70,-,40,48,MC,-,MC,59,MC,57,-,39,64,1000/1,Bet 365,Further details
Robert Streb,-,-,MC^,-,-,-,-,-,-,-,-,70,-,-,1,25,57,MC,32,MC,1,MC,MC,64,350/1,Bet 365,Further details
Justin Suh,-,-,37,-,-,MC,46,46,-,-,45,MC,-,-,-,-,-,-,-,-,-,-,66,64,150/1,Bet 365,Further details
Carson Young,-,-,MC,-,-,48,11,MC,37,-,2,62,-,-,-,-,-,-,-,-,-,-,MC,71,90/1,Bet 365,Further details
Siwoo Kim,-,-,-,18,-,-,-,-,6,-,-,-,-,-,-,18,MC,MC,-,MC,-,-,-,71,25/1,Bet 365,Further details
Andrew Novak,-,-,-,-,-,23,MC,MC,16,-,-,2,-,-,-,-,-,MC,-,-,-,26,MC,73,40/1,Bet 365,Further details
