Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,1,1,-,2,-,1,1,-,-,-,8,-,-,-,-,-,-,-,-,55,MC,2,3,13300,Further details,11/4,Bet 365,Further details
Collin Morikawa,-,MC,45,-,-,75,3,9,23^^,-,16,4,-,-,-,-,-,-,-,-,2,14,40,29,11000,Further details,12/1,Bet 365,Further details
Jordan Spieth,-,30,MC,MC,-,10,MC,39,-,MC,29,43,-,7,14,2,1,2,32,8,10,2,7,MC,10600,Further details,20/1,Bet 365,Further details
Max Homa,-,8,64,-,-,25,3,55,-,-,8,35,-,-,-,MC,-,-,-,27,MC,-,23,9,10400,Further details,22/1,Bet 365,Further details
Tony Finau,-,-,45,MC,2,-,55,12,-,-,52,18,-,-,-,19,34,29,-,2,23,20,4,MC,9900,Further details,30/1,Bet 365,Further details
MinWoo Lee,2,44,54,MC,-,-,22,-,-,24,-,26,-,-,-,-,-,-,-,-,-,-,MC,40,9700,Further details,35/1,Bet 365,Further details
Siwoo Kim,-,30,6,-,17,-,30,18,-,13,16,MC,-,-,-,-,MC,MC,66,MC,MC,WD,-,29,9600,Further details,35/1,Bet 365,Further details
Brian Harman,-,12,2,MC,-,25,MC,12,-,-,47,26,-,-,30,10,25,7,14,31,23,8,MC,29,9500,Further details,40/1,Bet 365,Further details
Sungjae Im,MC,18,31,MC,-,-,MC,12,1^,-,4,MC,-,-,-,-,-,-,-,MC,10,MC,15,MC,9400,Further details,40/1,Bet 365,Further details
Tom Hoge,28,12,54,-,14,-,-,18,MC^^,41,38,23,-,-,-,-,17,-,42,40,MC,MC,MC,52,9300,Further details,45/1,Bet 365,Further details
Adam Scott,-,MC,45,-,-,14,22,-,-,30,29,MC,-,-,1,24,55,-,52,-,-,-,-,-,9200,Further details,45/1,Bet 365,Further details
Harris English,-,21,19,-,-,MC,22,28,-,-,34,18,-,MC,30,-,2,29,20,-,MC,-,-,12,9000,Further details,35/1,Bet 365,Further details
Christiaan Bezuidenhout,MC,44,13,9,-,25,-,28,3,-,16,MC,-,-,-,-,-,-,-,-,MC,-,15,21,8900,Further details,50/1,Bet 365,Further details
Billy Horschel,9,-,MC,12,7,MC,-,1,MC^^,-,52,8,-,-,-,-,-,34,-,19,38,40,MC,40,8800,Further details,55/1,Bet 365,Further details
Denny McCarthy,MC,48,35,-,-,2,45,28,-,-,6,MC,-,-,-,-,-,-,-,MC,66,MC,27,MC,8700,Further details,50/1,Bet 365,Further details
