Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Scottie Scheffler,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,13,-,7,11000,6/1,Bet 365,Further details,5
Viktor Hovland,-,-,-,-,-,-,-,-,2,-,10,-,-,-,-,-,-,-,-,-,-,31,30,18,10500,8/1,Bet 365,Further details,22
Xander Schauffele,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,22,1,2,5,12,WD,10000,16/1,Bet 365,Further details,10
Patrick Cantlay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,4,13,4,16,9900,16/1,Bet 365,Further details,12
Max Homa,-,-,-,-,-,-,-,1,-,-,13,-,-,-,-,-,-,-,-,-,25,-,15,3,9700,14/1,Bet 365,Further details,14
Wyndham Clark,-,-,-,-,56,-,-,-,37^,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,9600,35/1,Bet 365,Further details,29
Matthew Fitzpatrick,-,-,1,-,-,-,-,-,27,-,4,-,-,-,-,-,-,-,-,-,-,-,-,7,9500,25/1,Bet 365,Further details,14
Brian Harman,-,-,-,-,-,-,-,-,44,-,8,-,-,-,-,17,-,-,3,-,-,-,-,16,9300,55/1,Bet 365,Further details,5
Tyrrell Hatton,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9200,28/1,Bet 365,Further details,14
Collin Morikawa,-,-,-,-,1,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,7,7,5,2,9100,16/1,Bet 365,Further details,5
Tommy Fleetwood,-,-,84,-,-,-,-,12,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9000,28/1,Bet 365,Further details,47
Tom Kim,6,-,-,1,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8900,25/1,Bet 365,Further details,45
Jordan Spieth,-,-,-,-,-,-,-,-,-,-,6,-,-,-,2,-,1,3,9,-,-,-,21,13,8800,25/1,Bet 365,Further details,3
Ludvig Aberg,-,-,2,13,-,-,10,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8700,14/1,Bet 365,Further details,47
Rickie Fowler,-,-,-,-,64,-,-,-,-,-,17,-,-,6,-,-,5,-,4,-,5,-,-,-,8600,35/1,Bet 365,Further details,56
Jason Day,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,3,10,12,-,13,-,-,-,-,8500,50/1,Bet 365,Further details,10
Tony Finau,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,9,-,-,-,31,19,7,8400,28/1,Bet 365,Further details,38
Cameron Young,-,-,-,-,-,-,54,-,38,-,15,-,-,-,-,-,-,-,-,-,-,-,-,13,8300,35/1,Bet 365,Further details,33
Sam Burns,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,19,32,8200,33/1,Bet 365,Further details,33
Sungjae Im,-,-,-,2^,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,13,8100,28/1,Bet 365,Further details,5
Hideki Matsuyama,-,-,-,-,51,-,-,-,10^,-,-,-,-,-,-,3,-,2,4,-,-,41,13,21,8000,35/1,Bet 365,Further details,58
Keegan Bradley,-,-,-,-,19,-,-,-,-,-,13,-,-,4,-,-,-,-,-,27,-,-,-,34,7900,45/1,Bet 365,Further details,45
Sepp Straka,-,-,-,-,-,-,-,-,22,-,2,-,-,-,-,-,-,-,-,-,-,-,-,21,7800,45/1,Bet 365,Further details,12
Russell Henley,-,-,-,-,-,-,-,-,13,-,-,-,-,-,27,3,-,-,17,-,-,-,-,30,7700,40/1,Bet 365,Further details,52
Sahith Theegala,-,-,-,-,19,-,MC,-,31^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,7600,66/1,Bet 365,Further details,2
Justin Rose,-,-,-,57,-,-,-,51,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,7600,60/1,Bet 365,Further details,40
Lucas Glover,-,-,-,-,-,-,59,45,-,-,12,-,-,-,-,-,-,-,-,-,-,-,35,-,7500,90/1,Bet 365,Further details,29
Corey Conners,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,19,-,-,18,7500,60/1,Bet 365,Further details,33
