Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2024 Odds,Bookmaker,New Account Offer
Chris Kirk,-,-,35,-,-,-,-,-,MC,-,-,-,-,16,14,24,-,-,-,-,-,-,-,1,80/1,Bet 365,Further details
Sahith Theegala,-,-,-,-,56,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,33,2,25/1,Bet 365,Further details
An Byeong-Hun,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,33/1,Bet 365,Further details
Sungjae Im,-,-,-,-,13,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,5,8,13,5,18/1,Bet 365,Further details
Brian Harman,-,-,13^,-,-,-,-,-,25,-,12,-,-,-,17,-,-,3,-,-,-,-,16,5,45/1,Bet 365,Further details
Collin Morikawa,-,-,-,-,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,5,2,5,10/1,Bet 365,Further details
JT Poston,-,-,-,1,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,11,-,-,21,5,40/1,Bet 365,Further details
Jason Day,-,-,-,-,-,-,-,-,8,-,19,-,-,-,3,10,12,-,13,-,-,-,-,10,50/1,Bet 365,Further details
Xander Schauffele,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,22,1,2,5,12,WD,10,5/1,Bet 365,Further details
Sepp Straka,29,-,-,-,-,-,-,-,MC,-,9,-,-,-,-,-,-,-,-,-,-,-,21,12,80/1,Bet 365,Further details
Patrick Cantlay,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,15,-,4,13,4,16,12,16/1,Bet 365,Further details
Akshay Bhatia,-,-,-,-,-,-,-,2^,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,14,30/1,Bet 365,Further details
Max Homa,-,-,-,-,27,-,-,-,-,-,14,-,-,-,-,-,-,-,-,25,-,15,3,14,50/1,Bet 365,Further details
Adam Hadwin,-,-,-,MC,-,-,-,-,53,-,-,-,-,-,-,-,-,32,-,-,-,-,-,14,150/1,Bet 365,Further details
Eric Cole,-,16,-,MC,6,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,80/1,Bet 365,Further details
Matthew Fitzpatrick,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,14,50/1,Bet 365,Further details
Viktor Hovland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,30,18,22,25/1,Bet 365,Further details
Nicolas Echavarria,-,MC,11,MC,1,-,6,29,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,125/1,Bet 365,Further details
