Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Ludvig Aberg,-,64,14,-,-,4,1,-,10,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,11000,14/1,Bet 365,Further details,13
Tom Kim,2,-,-,24,10,17,-,-,18,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10900,14/1,Bet 365,Further details,1
Cameron Davis,-,10,7,6,40,-,-,-,3,-,-,-,-,-,-,-,-,-,-,28,-,52,27,37,10300,22/1,Bet 365,Further details,7
JT Poston,41,2,7,24,22,-,-,-,-,-,-,-,-,-,-,-,-,MC,4,MC,MC,27,MC,20,10000,33/1,Bet 365,Further details,3
Siwoo Kim,MC,-,33,16,31,17,-,-,-,-,-,-,-,-,-,-,25,-,-,15,55,8,MC,8,9900,25/1,Bet 365,Further details,MC
Eric Cole,-,30,14,31,25,-,-,-,4,-,-,35,-,-,-,-,-,-,-,-,-,-,-,MC,9800,30/1,Bet 365,Further details,3
Nicolai Hojgaard,23,MC,14,-,-,3,5,-,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9600,33/1,Bet 365,Further details,56
Emiliano Grillo,6,10,-,20,31,29,-,-,-,-,-,MC,-,-,-,-,MC,-,-,-,MC,34,47,73,9400,35/1,Bet 365,Further details,MC
Adam Hadwin,-,MC,MC,16,44,-,-,-,-,-,-,-,-,-,-,10,MC,27,-,-,4,34,6,10,9300,45/1,Bet 365,Further details,2
Adam Schenk,MC,-,64,6,34,6,-,-,-,-,-,-,-,-,-,-,-,-,20,MC,18,27,3,12,9200,33/1,Bet 365,Further details,MC
Lucas Herbert,MC,-,-,-,-,-,-,-,30,-,-,28,-,-,-,-,-,-,-,-,-,-,-,20,9000,45/1,Bet 365,Further details,MC
J.J Spaun,10,37,38,24,-,-,-,-,11,-,-,-,-,-,-,-,-,MC,10,15,MC,-,35,15,8900,40/1,Bet 365,Further details,46
Aaron Rai,-,20,MC,49,-,-,-,39,2,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,20,8800,40/1,Bet 365,Further details,28
Vincent Norrman,25,50,58,49,-,-,-,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,8800,35/1,Bet 365,Further details,MC
Tom Hoge,MC,20,-,43,21,-,-,88,14,-,-,13,-,-,-,67,67,-,7,MC,-,24,14,4,8700,35/1,Bet 365,Further details,MC
Alex Smalley,-,-,MC,65,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,47,-,8500,45/1,Bet 365,Further details,61
Luke List,-,-,-,-,-,-,-,-,25,-,-,1,-,-,-,-,-,15,20,-,13,MC,MC,-,8400,50/1,Bet 365,Further details,18
Andrew Putnam,55,-,27,24,10,-,-,-,MC,-,-,-,-,-,-,33,-,-,MC,-,18,58,11,12,8300,40/1,Bet 365,Further details,MC
Adam Svensson,-,37,7,37,15,-,-,-,-,-,-,16,-,-,-,-,-,-,-,MC,-,-,MC,69,8200,40/1,Bet 365,Further details,18
Beau Hossler,6,13,MC,20,-,-,-,-,30,-,-,28,-,-,-,-,-,-,7,23,29,34,-,64,8100,50/1,Bet 365,Further details,7
Christiaan Bezuidenhout,49,MC,51,-,-,-,-,-,WD,-,-,6,-,-,-,-,-,-,-,-,-,-,-,20,8000,50/1,Bet 365,Further details,56
Mark Hubbard,10,MC,MC,66,-,-,-,-,17,-,-,6,-,-,-,MC,35,MC,-,-,42,MC,44,28,8000,50/1,Bet 365,Further details,MC
Garrick Higgo,-,13,MC,-,-,-,-,-,MC,-,-,16,-,-,-,-,-,-,-,-,-,-,MC,MC,7900,45/1,Bet 365,Further details,46
Justin Suh,34,43,MC,-,-,-,24,-,30,-,-,-,-,-,-,-,-,-,-,-,-,8,-,MC,7900,50/1,Bet 365,Further details,56
Davis Thompson,-,MC,22,-,-,-,-,-,30,-,-,16,-,-,-,-,-,-,-,-,-,-,-,12,7800,45/1,Bet 365,Further details,35
Doug Ghim,-,27,51,-,-,-,-,-,17,-,-,MC,-,-,-,-,-,-,-,MC,-,-,40,56,7800,60/1,Bet 365,Further details,MC
Patrick Rodgers,2,37,MC,52,37,-,-,-,-,-,-,-,-,-,-,MC,13,MC,MC,41,MC,MC,-,28,7700,50/1,Bet 365,Further details,WD
Alexander Noren,23,13,38,-,-,-,-,-,MC,-,-,43,-,-,-,-,-,-,-,-,-,-,-,44,7700,66/1,Bet 365,Further details,3
Seonghyeon Kim,MC,27,MC,-,-,-,-,MC^,2,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,4,7600,45/1,Bet 365,Further details,MC
Kyounghoon Lee,MC,MC,MC,-,-,-,-,-,14,-,-,MC,-,-,-,-,-,-,-,MC,MC,MC,14,37,7600,60/1,Bet 365,Further details,7
Taylor Pendrith,MC,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,47,44,7600,66/1,Bet 365,Further details,3
Matt Wallace,MC,43,45,-,-,2,24,61,57,-,-,6,-,-,-,-,-,-,-,-,-,-,14,28,7500,70/1,Bet 365,Further details,28
Benjamin Griffin,MC,20,MC,24,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,60,7500,50/1,Bet 365,Further details,MC
Samuel Stevens,39,10,MC,37,-,-,-,-,45,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7500,70/1,Bet 365,Further details,46
Taylor Montgomery,-,MC,-,37,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,7400,60/1,Bet 365,Further details,35
Sam Ryder,-,7,38,31,-,-,-,-,14,-,-,51,-,-,-,-,-,-,MC,3,18,MC,MC,28,7400,66/1,Bet 365,Further details,28
Akshay Bhatia,1,-,MC,-,-,-,-,-,MC,-,-,43,-,-,-,-,-,-,-,-,MC,-,-,-,7400,80/1,Bet 365,Further details,35
Joseph Bramlett,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,MC,MC,7400,70/1,Bet 365,Further details,NR
Kevin Streelman,-,2,MC,-,-,-,-,-,56,-,-,MC,-,22,-,2,16,61,67,51,MC,MC,47,20,7300,80/1,Bet 365,Further details,MC
Nick Hardy,63,13,27,49,-,-,-,-,MC,-,-,35,-,-,-,-,-,-,-,MC,-,-,-,44,7300,70/1,Bet 365,Further details,55
Austin Eckroat,-,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,7300,75/1,Bet 365,Further details,MC
Davis Riley,MC,-,MC,43,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,56,-,7300,80/1,Bet 365,Further details,28
Scott Stallings,60,-,62,-,-,-,-,-,56,-,-,2,-,MC,MC,-,16,MC,41,69,55,MC,MC,-,7200,80/1,Bet 365,Further details,MC
C.T. Pan,-,70,64,-,-,-,-,-,MC,-,-,9,-,-,-,-,-,57,MC,-,MC,52,-,-,7200,100/1,Bet 365,Further details,WD
Peter Kuest,59,50,45,-,-,-,-,-,MC,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,7200,70/1,Bet 365,Further details,MC
Cameron Champ,17,-,MC,-,-,-,-,-,MC,-,-,9,-,-,-,-,-,-,-,28,MC,MC,-,MC,7200,80/1,Bet 365,Further details,18
Callum Tarren,-,13,MC,-,-,-,-,-,7,-,-,43,-,-,-,-,-,-,-,-,-,-,-,MC,7200,70/1,Bet 365,Further details,23
Matthew NeSmith,28,MC,62,58,-,-,-,-,MC,-,-,25,-,-,-,-,-,-,-,-,18,8,14,2,7100,66/1,Bet 365,Further details,42
Hayden Buckley,-,-,-,52,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,8,20,7100,80/1,Bet 365,Further details,64
Chesson Hadley,6,27,33,-,-,-,-,-,62,-,-,35,-,-,5,MC,62,-,4,7,18,MC,27,37,7100,90/1,Bet 365,Further details,7
Martin Laird,20,2,58,-,-,-,-,-,19,-,-,56,-,-,MC,18,43,27,MC,28,48,1,11,37,7100,90/1,Bet 365,Further details,MC
Nick Taylor,MC,-,-,24,47,21,-,-,-,-,-,-,-,-,-,56,25,54,32,36,29,MC,47,MC,7100,80/1,Bet 365,Further details,13
Chad Ramey,17,53,MC,-,-,-,-,-,19,-,-,16,-,-,-,-,-,-,-,-,-,-,14,28,7000,90/1,Bet 365,Further details,46
Kevin Yu,-,37,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,27,37,7000,90/1,Bet 365,Further details,MC
David Lipsky,34,43,45,-,-,-,-,-,30,-,-,51,-,-,-,-,-,-,-,-,-,-,-,44,7000,100/1,Bet 365,Further details,MC
Webb Simpson,-,-,5,-,-,-,-,-,MC,-,-,-,-,-,1,4,56,31,20,15,7,13,MC,-,7000,100/1,Bet 365,Further details,46
Troy Merritt,50,MC,58,-,-,-,-,-,7,-,-,9,-,-,-,49,MC,48,51,57,63,43,MC,MC,7000,100/1,Bet 365,Further details,64
MJ Daffue,34,43,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,MC,7000,80/1,Bet 365,Further details,MC
Stewart Cink,23,37,MC,-,16^,-,-,-,MC,7^,-,-,-,36,-,33,56,15,-,-,-,64,MC,44,6900,100/1,Bet 365,Further details,MC
Greyson Sigg,MC,MC,38,-,-,-,-,-,25,-,-,MC,-,-,-,-,-,-,-,-,-,-,47,44,6900,90/1,Bet 365,Further details,28
Carl Yuan,34,MC,73,-,-,-,-,-,68,-,-,6,-,-,-,-,-,-,-,-,-,-,-,MC,6900,100/1,Bet 365,Further details,52
Michael Kim,MC,MC,5,-,-,-,-,-,-,-,-,-,-,-,-,-,16,54,MC,MC,MC,MC,-,MC,6900,100/1,Bet 365,Further details,18
Carson Young,43,MC,67,-,-,-,-,-,19,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6900,125/1,Bet 365,Further details,MC
Nate Lashley,-,57,51,-,-,-,-,-,30,-,-,MC,-,-,-,-,-,-,MC,-,62,52,35,MC,6900,80/1,Bet 365,Further details,42
Robby Shelton IV,-,MC,MC,-,-,-,-,-,19,-,-,MC,-,-,-,-,-,-,-,-,42,34,-,15,6800,110/1,Bet 365,Further details,MC
Tyler Duncan,-,20,38,-,-,-,-,-,MC,-,-,16,-,-,-,-,-,-,MC,MC,-,MC,-,72,6800,125/1,Bet 365,Further details,18
Erik Van Rooyen,6,MC,MC,-,-,-,8,16,30,-,-,16,-,-,-,-,-,-,-,-,-,-,MC,-,6800,110/1,Bet 365,Further details,23
Peter Malnati,MC,MC,MC,-,-,-,-,-,11,-,-,51,-,-,-,-,56,MC,32,15,MC,5,MC,-,6800,150/1,Bet 365,Further details,MC
Ryan Palmer,MC,MC,MC,-,-,-,-,-,MC,-,-,68,-,46,MC,-,16,-,-,7,37,34,MC,MC,6800,100/1,Bet 365,Further details,MC
Chez Reavie,55,MC,27,-,-,-,-,-,66,-,-,MC,-,-,MC,MC,67,24,-,-,MC,63,MC,MC,6800,125/1,Bet 365,Further details,MC
Harry Hall,MC,MC,MC,-,-,-,-,-,45,-,-,MC,-,-,-,-,-,-,-,-,-,-,8,15,6700,100/1,Bet 365,Further details,26
Joel Dahmen,10,MC,64,-,-,-,-,-,MC,-,-,13,-,-,-,-,-,-,MC,69,9,58,24,37,6700,125/1,Bet 365,Further details,7
William Gordon,-,MC,MC,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,44,6700,125/1,Bet 365,Further details,MC
Ben Martin,-,MC,MC,-,-,-,-,-,MC,-,-,16,-,-,MC,1,25,MC,MC,-,-,-,-,64,6700,125/1,Bet 365,Further details,MC
Matthias Schmid,MC,20,22,-,-,MC,24,79,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6700,150/1,Bet 365,Further details,26
Marty Dou Zecheng,39,MC,51,-,-,-,-,-,MC,-,-,12,-,-,-,-,-,-,MC,-,-,-,-,MC,6700,150/1,Bet 365,Further details,MC
Vincent Whaley,-,-,-,-,-,-,-,-,25,-,-,28,-,-,-,-,-,-,-,-,-,-,-,MC,6700,110/1,Bet 365,Further details,13
Justin Lower,MC,43,MC,-,-,-,-,-,45,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,20,6600,150/1,Bet 365,Further details,MC
Patton Kizzire,-,MC,MC,-,-,-,-,-,56,-,-,MC,-,-,-,-,2,MC,4,-,42,24,MC,75,6600,150/1,Bet 365,Further details,46
Lanto Griffin,-,MC,-,20^,MC^,-,-,-,MC,-,-,28,-,-,-,-,-,-,MC,-,18,MC,6,-,6600,140/1,Bet 365,Further details,13
Henrik Norlander,MC,57,MC,-,-,-,-,-,MC,-,-,2,-,-,-,-,MC,-,-,-,MC,58,65,MC,6600,140/1,Bet 365,Further details,35
Russell Knox,47,53,MC,-,-,-,-,-,30,-,-,28,-,13,30,3,38,-,72,-,48,MC,MC,MC,6600,250/1,Bet 365,Further details,MC
Jimmy Walker,-,MC,MC,-,-,-,-,-,30,-,-,43,-,10,12,4,50,MC,MC,-,-,MC,24,MC,6600,200/1,Bet 365,Further details,MC
Charley Hoffman,31,MC,12,-,-,-,-,-,MC,-,-,MC,-,MC,4,MC,MC,MC,18,-,74,MC,44,MC,6600,175/1,Bet 365,Further details,MC
Ryan Moore,MC,MC,MC,-,-,-,-,-,45,-,-,MC,-,1,9,MC,43,15,51,36,13,-,MC,28,6500,175/1,Bet 365,Further details,13
Adam Long,MC,37,MC,-,-,-,-,-,MC,-,-,35,-,-,-,-,-,-,-,-,-,-,MC,-,6500,200/1,Bet 365,Further details,35
Doc Redman,MC,30,MC,-,-,-,-,-,MC,-,-,56,-,-,-,-,-,-,-,-,42,MC,MC,-,6500,250/1,Bet 365,Further details,66
Brandt Snedeker,MC,53,45,-,-,-,-,-,-,-,-,65,-,-,-,10,MC,-,-,-,48,43,MC,-,6500,250/1,Bet 365,Further details,52
Kramer Hickok,MC,30,MC,-,-,-,-,-,MC,-,-,35,-,-,-,-,-,-,-,23,MC,-,-,MC,6500,200/1,Bet 365,Further details,MC
