Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 Odds,Bookmaker,New Account Offer
Tom Kim,-,8,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,12/1,Bet 365,Further details
Adam Hadwin,MC,-,28,50,41,-,-,-,-,-,-,-,-,-,10,MC,27,-,-,4,34,6,10,2,33/1,Bet 365,Further details
Eric Cole,-,-,7,18,46,-,-,MC,-,-,16,-,-,-,-,-,-,-,-,-,-,-,MC,3,33/1,Bet 365,Further details
JT Poston,MC,-,MC,33,33,-,-,-,-,-,-,-,-,-,-,-,MC,4,MC,MC,27,MC,20,3,40/1,Bet 365,Further details
Taylor Pendrith,5,-,-,22,13,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,44,3,25/1,Bet 365,Further details
Beau Hossler,MC,-,12,-,-,-,-,MC,-,-,2,11,-,-,-,-,-,7,23,29,34,-,64,7,30/1,Bet 365,Further details
Joel Dahmen,MC,-,64,-,-,-,-,50,-,-,MC,40,-,-,-,-,-,MC,69,9,58,24,37,7,150/1,Bet 365,Further details
Kyounghoon Lee,9,-,41,-,-,-,-,MC,-,-,23,46,-,-,-,-,-,-,MC,MC,MC,14,37,7,80/1,Bet 365,Further details
Chesson Hadley,MC,-,MC,-,-,-,-,50,-,-,55,64,-,5,MC,62,-,4,7,18,MC,27,37,7,80/1,Bet 365,Further details
Cameron Davis,19,-,MC,40,5,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,52,27,37,7,40/1,Bet 365,Further details
Nick Taylor,-,30,MC,65,-,-,-,MC,-,-,-,25,-,-,56,25,54,32,36,29,MC,47,MC,13,80/1,Bet 365,Further details
Vincent Whaley,-,-,63,-,-,-,-,MC,-,-,16,67,-,-,-,-,-,-,-,-,-,-,MC,13,100/1,Bet 365,Further details
Ryan Moore,MC,-,45,-,-,-,-,MC,-,-,-,MC,-,9,MC,43,15,51,36,13,-,MC,28,13,125/1,Bet 365,Further details
Adam Svensson,37,-,7,-,-,-,-,13,-,-,MC,25,-,-,-,-,-,-,MC,-,-,MC,69,18,66/1,Bet 365,Further details
Tyler Duncan,53,-,MC,-,-,-,-,MC,-,-,MC,25,-,-,-,-,-,MC,MC,-,MC,-,72,18,225/1,Bet 365,Further details
Cameron Champ,12,-,45,-,-,-,-,MC,-,-,MC,46,-,-,-,-,-,-,28,MC,MC,-,MC,18,110/1,Bet 365,Further details
Luke List,MC,-,MC,-,-,-,-,-,-,-,42,MC,-,-,-,-,15,20,-,13,MC,MC,-,18,150/1,Bet 365,Further details
Michael Kim,MC,-,WD,-,-,-,-,MC,-,-,MC,MC,-,-,-,16,54,MC,MC,MC,MC,-,MC,18,125/1,Bet 365,Further details
Erik Van Rooyen,MC,17,MC,33,-,-,MC,12,-,-,-,43,-,-,-,-,-,-,-,-,-,MC,-,23,50/1,Bet 365,Further details
