Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Ludvig Aberg,13,-,-,10,-,1,-,-,-,-,-,47,-,-,-,-,-,-,-,-,-,-,-,-,10500,12/1,Bet 365,Further details,30
Tyrrell Hatton,-,-,-,-,-,11,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,10300,14/1,Bet 365,Further details,13
Matthew Fitzpatrick,-,-,-,-,-,27,-,4,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,10200,14/1,Bet 365,Further details,MC
Sahith Theegala,-,19,-,MC,-,31^,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,48,-,10000,33/1,Bet 365,Further details,MC
Brian Harman,-,-,-,-,-,44,-,8,-,-,-,5,-,MC,32,13,13,20,4,MC,32,56,48,32,9900,22/1,Bet 365,Further details,18
Corey Conners,-,-,-,-,-,44,-,-,-,-,-,33,-,-,-,-,-,-,39,3,12,-,11,12,9800,33/1,Bet 365,Further details,57
Eric Cole,3,2,-,-,-,3,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,61,9700,30/1,Bet 365,Further details,13
Russell Henley,-,-,-,-,-,13,-,-,-,-,-,52,-,1,51,17,MC,13,MC,66,MC,11,2,32,9600,25/1,Bet 365,Further details,4
Chris Kirk,-,-,-,MC,-,28,-,-,-,-,-,1,-,5,2,26,MC,MC,10,MC,MC,2,27,3,9500,33/1,Bet 365,Further details,18
Will Zalatoris,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9300,35/1,Bet 365,Further details,MC
JT Poston,3,-,-,-,-,44,-,-,-,-,-,5,-,-,-,-,-,64,-,20,MC,MC,42,21,9100,40/1,Bet 365,Further details,6
Hideki Matsuyama,-,51,-,-,-,10^,-,-,-,-,-,58,-,MC,-,78,-,27,-,51,12,19,1,48,9000,40/1,Bet 365,Further details,30
An Byeong-Hun,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,12,8700,40/1,Bet 365,Further details,2
Siwoo Kim,MC,-,-,-,-,71,-,-,-,-,-,25,-,-,-,-,4,-,58,MC,-,25,55,1,8600,40/1,Bet 365,Further details,42
Cameron Davis,7,12,-,-,-,-,7,42,-,-,-,52,-,-,-,-,-,-,-,MC,9,31,27,32,8500,40/1,Bet 365,Further details,30
Denny Mccarthy,-,-,-,-,-,5,-,-,-,-,-,43,-,-,-,-,-,-,-,-,-,-,48,32,8400,45/1,Bet 365,Further details,24
Harris English,-,-,-,-,-,28,-,-,-,-,-,14,-,9,4,3,56,MC,64,22,-,32,55,73,8300,50/1,Bet 365,Further details,10
Justin Rose,57,-,-,-,51,-,-,8,-,-,-,40,-,-,-,-,-,2,-,-,-,-,-,-,8200,55/1,Bet 365,Further details,57
Stephan Jaeger,-,-,-,45,-,28,-,-,-,-,-,-,-,-,-,-,-,-,54,43,-,-,MC,28,8100,45/1,Bet 365,Further details,18
Adam Hadwin,2,-,-,-,-,-,-,-,-,-,-,14,-,-,-,MC,67,-,-,57,-,-,-,-,8000,50/1,Bet 365,Further details,MC
Keegan Bradley,-,19,-,-,-,-,-,13,-,-,-,45,-,49,-,-,MC,MC,39,29,12,MC,12,MC,8000,60/1,Bet 365,Further details,2
Brendon Todd,-,-,-,-,20,28,-,-,-,-,-,33,-,-,20,44,MC,-,-,-,21,41,48,21,7900,45/1,Bet 365,Further details,30
Alexander Noren,3,48,-,-,2,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,7900,55/1,Bet 365,Further details,42
Akshay Bhatia,35,21,-,10,20,38,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,7800,50/1,Bet 365,Further details,13
Matt Kuchar,-,19,-,2,-,53,-,-,-,-,-,-,-,5,8,3,13,-,-,1,MC,MC,7,7,7800,50/1,Bet 365,Further details,MC
Lucas Glover,-,-,-,59,45,-,-,12,-,-,-,29,-,-,-,76,50,-,-,-,-,-,5,MC,7700,66/1,Bet 365,Further details,MC
Adam Svensson,18,41,-,45,-,5,-,-,-,-,-,33,-,-,-,-,-,-,-,43,-,-,7,41,7700,66/1,Bet 365,Further details,30
Luke List,18,-,-,45,20,19,-,-,-,-,-,22,-,MC,-,-,MC,13,MC,-,MC,MC,-,-,7600,66/1,Bet 365,Further details,66
Tom Hoge,MC,48,-,-,-,-,-,-,-,-,-,38,-,-,-,71,MC,-,3,MC,12,MC,MC,41,7600,90/1,Bet 365,Further details,MC
J.J Spaun,46,6,-,67,-,13,-,-,-,-,-,-,-,-,-,-,-,MC,47,-,MC,MC,MC,12,7600,66/1,Bet 365,Further details,MC
Andrew Putnam,MC,-,-,5,-,-,-,-,-,-,-,40,-,-,-,MC,-,-,69,2,57,MC,27,4,7500,66/1,Bet 365,Further details,10
Aaron Rai,28,21,9,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,61,7500,66/1,Bet 365,Further details,57
Keith Mitchell,-,21,-,38,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,25,16,MC,14,7,MC,7500,50/1,Bet 365,Further details,30
Emiliano Grillo,MC,10,-,MC,-,-,-,-,-,-,-,43,-,-,-,-,33,-,47,22,21,47,MC,MC,7400,80/1,Bet 365,Further details,7
Benjamin Griffin,MC,64,-,23,37,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,7400,66/1,Bet 365,Further details,30
Justin Suh,56,10,-,4,-,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,7400,66/1,Bet 365,Further details,MC
Billy Horschel,-,-,-,-,-,MC,-,-,-,-,-,-,-,54,-,-,-,68,-,-,-,7,36,MC,7400,66/1,Bet 365,Further details,18
Patrick Rodgers,WD,-,-,-,-,-,-,16,-,-,-,14,-,-,-,-,-,MC,WD,MC,38,-,-,-,7300,80/1,Bet 365,Further details,24
Kurt Kitayama,-,16,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,MC,73,7300,80/1,Bet 365,Further details,24
Matt Wallace,28,68,9,-,15,2,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,7300,90/1,Bet 365,Further details,52
Adrien Dumont de Chassart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,TBC,Bet 365,Further details,MC
Erik van Rooyen,23,-,-,1,-,-,-,-,32,-,-,22,-,-,-,-,-,-,-,-,-,MC,20,-,7200,80/1,Bet 365,Further details,52
Nick Taylor,13,21,-,-,-,-,-,-,-,-,-,52,-,-,-,68,74,MC,-,MC,32,11,-,7,7200,100/1,Bet 365,Further details,7
Vincent Norrman,MC,38,-,-,15,27,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,MC,7200,80/1,Bet 365,Further details,MC
Alexander Bjork,-,MC,MC,-,10,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,100/1,Bet 365,Further details,MC
Taylor Pendrith,3,-,-,15,8,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,7200,80/1,Bet 365,Further details,10
Nick Hardy,55,41,-,23,45,23,-,MC,-,-,-,47,-,-,-,-,-,-,-,-,-,14,MC,41,7100,100/1,Bet 365,Further details,42
Taylor Montgomery,35,16,-,31,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,7100,90/1,Bet 365,Further details,13
Ryo Hisatsune,45^,6,21,-,9,18,13,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,100/1,Bet 365,Further details,30
Alex Smalley,61,-,-,-,30,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,7100,80/1,Bet 365,Further details,MC
Gary Woodland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,13,6,7,80,-,-,-,MC,7100,125/1,Bet 365,Further details,MC
Austin Eckroat,MC,68,-,23,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,7000,90/1,Bet 365,Further details,42
Seonghyeon Kim,MC,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,7000,90/1,Bet 365,Further details,30
Davis Thompson,35,-,-,15,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,7000,90/1,Bet 365,Further details,57
Ben Kohles,-,-,-,-,-,5,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,27,-,7000,100/1,Bet 365,Further details,52
Mark Hubbard,MC,31,-,MC,20,MC,-,-,-,-,-,-,-,-,-,60,56,MC,-,-,MC,32,MC,MC,7000,100/1,Bet 365,Further details,57
Seamus Power,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,49,54,MC,-,MC,3,-,6900,125/1,Bet 365,Further details,74
Kyounghoon Lee,7,41,-,54,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,19,48,28,6900,100/1,Bet 365,Further details,30
Ryan Palmer,MC,-,-,5,8,MC,-,-,-,-,-,-,-,66,8,17,13,MC,58,-,4,41,12,32,6900,80/1,Bet 365,Further details,MC
Robert MacIntyre,-,26,6,-,58,18,33,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,125/1,Bet 365,Further details,52
Vincent Whaley,13,-,-,59,8,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,17,-,6900,125/1,Bet 365,Further details,MC
Michael Kim,18,41,-,23,-,-,-,-,-,-,-,-,-,-,-,-,MC,20,MC,MC,-,65,-,MC,6900,125/1,Bet 365,Further details,42
Davis Riley,28,31,-,MC,45,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,20,-,6800,100/1,Bet 365,Further details,MC
Maverick Mcnealy,-,-,-,MC,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,7,6800,100/1,Bet 365,Further details,57
Patton Kizzire,46,-,-,15,37,44,-,-,-,-,-,-,-,-,-,-,MC,-,1,13,MC,7,42,76,6800,150/1,Bet 365,Further details,13
Doug Ghim,MC,-,-,15,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,6800,100/1,Bet 365,Further details,MC
Garrick Higgo,46,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,125/1,Bet 365,Further details,80
