Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,2,-,1,41,1,-,-,-,7,-,1,-,-,-,MC,-,-,-,43,-,15,14,MC,31,12400,Further details,15/4,Bet 365,Further details
Xander Schauffele,-,-,8,7,13,-,-,15,1,-,9,-,-,-,-,-,-,52,-,27,6,46,57,24,11400,Further details,8/1,Bet 365,Further details
Rory McIlroy,-,4,15,2,-,-,-,4,MC,-,5,-,-,-,-,-,-,-,-,4,47,12,MC,3,11100,Further details,9/1,Bet 365,Further details
Ludvig Aberg,-,-,5,12,27,-,-,4,MC,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,10200,Further details,20/1,Bet 365,Further details
Collin Morikawa,4,-,2,14,13,-,-,4,16,-,24,-,-,-,-,-,-,-,-,-,20,26,5,13,10000,Further details,12/1,Bet 365,Further details
Tommy Fleetwood,-,21,20,16,15,-,-,34,MC,-,2,-,-,-,-,-,-,-,-,4,35,46,-,3,9800,Further details,20/1,Bet 365,Further details
Patrick Cantlay,-,-,MC,3,5,-,-,-,25,-,-,-,-,-,-,-,-,-,-,12,35,23,57,2,9700,Further details,22/1,Bet 365,Further details
Viktor Hovland,-,-,15,MC,20,-,-,46,MC,-,30,-,-,-,-,-,-,-,-,-,59,36,20,13,9500,Further details,33/1,Bet 365,Further details
Hideki Matsuyama,-,-,8,6,23,-,-,MC,66,-,3,-,-,-,-,-,-,-,-,43,20,2,-,16,9300,Further details,28/1,Bet 365,Further details
Corey Conners,-,6,20,9,27,-,-,10,25,-,9,-,-,-,-,MC,-,-,68,27,30,36,28,6,9100,Further details,33/1,Bet 365,Further details
Russell Henley,-,-,27,7,48,-,-,-,5,-,-,-,-,27,MC,-,7,MC,-,-,-,-,MC,6,9000,Further details,35/1,Bet 365,Further details
Tom Kim,24,4,43,26,2,MC,-,15,MC,-,8,-,-,-,-,-,-,-,-,-,-,-,13,24,8900,Further details,30/1,Bet 365,Further details
Tony Finau,17,-,8,3,5,-,-,-,MC,12,-,-,-,-,-,-,-,-,MC,27,65,34,5,64,8800,Further details,33/1,Bet 365,Further details
Sungjae Im,9,-,8,MC,3,-,12,4,7,-,-,41,-,-,-,-,-,-,-,-,35,46,12,6,8700,Further details,40/1,Bet 365,Further details
Sahith Theegala,-,MC,12,32,48,-,-,4,MC,6,-,-,-,-,-,-,-,-,-,-,-,-,13,13,8600,Further details,40/1,Bet 365,Further details
Billy Horschel,24,-,15,41,55,-,-,MC,2,-,-,7,-,10,6,8,-,4,51,9,25,17,MC,-,8500,Further details,40/1,Bet 365,Further details
