Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,1,41,1,-,-,-,7,-,1,-,4,33,-,-,-,-,-,-,-,-,2,17,13,21,12200,Further details,11/10,Bet 365,Further details
Xander Schauffele,8,7,13,-,-,15,1,-,9,-,2,5,-,-,-,-,-,1,7,2,1,3,6,1,11000,Further details,12/5,Bet 365,Further details
Hideki Matsuyama,8,6,23,-,-,MC,66,-,3,-,1,WD,-,-,22,12,5,26,4,12,17,26,9,-,10100,Further details,10/1,Bet 365,Further details
Ludvig Aberg,5,12,27,-,-,4,MC,-,18,-,40,2,-,-,-,-,-,-,-,-,-,-,-,-,9900,Further details,16/1,Bet 365,Further details
Rory McIlroy,15,2,-,-,-,4,MC,-,5,-,68,11,-,-,2,16,1,-,7,1,7,14,1,11,9600,Further details,20/1,Bet 365,Further details
Patrick Cantlay,MC,3,5,-,-,-,25,-,-,-,12,13,-,-,-,-,-,20,21,28,-,4,16,6,9400,Further details,25/1,Bet 365,Further details
Collin Morikawa,2,14,13,-,-,4,16,-,24,-,22,28,-,-,-,-,-,-,-,-,7,28,19,4,9100,Further details,25/1,Bet 365,Further details
Keegan Bradley,43,32,39,-,-,-,MC,46,-,22,59,1,-,12,-,-,-,-,26,-,-,-,-,11,8700,Further details,25/1,Bet 365,Further details
Sam Burns,15,9,55,-,-,-,31,12,-,-,5,2,-,-,-,-,-,-,-,-,-,17,25,4,8500,Further details,30/1,Bet 365,Further details
Viktor Hovland,15,MC,20,-,-,46,MC,-,30,-,2,26,-,-,-,-,-,-,-,-,14,4,15,1,8300,Further details,60/1,Bet 365,Further details
Wyndham Clark,MC,56,9,-,-,10,MC,-,14,-,7,13,-,-,-,-,-,-,-,-,-,-,-,3,8100,Further details,30/1,Bet 365,Further details
Adam Scott,-,32,39,-,-,2,10,-,-,-,18,2,-,14,9,-,8,-,-,5,-,-,24,-,7900,Further details,50/1,Bet 365,Further details
Tony Finau,8,3,5,-,-,-,MC,12,-,-,16,13,-,-,-,-,-,7,15,7,14,24,9,17,7700,Further details,50/1,Bet 365,Further details
Tommy Fleetwood,20,16,15,-,-,34,MC,-,2,-,22,5,-,-,-,-,-,-,11,13,-,-,-,9,7600,Further details,100/1,Bet 365,Further details
Sungjae Im,8,MC,3,-,12,4,7,-,-,41,40,11,-,-,-,-,-,-,-,15,12,23,2,21,7500,Further details,66/1,Bet 365,Further details
Russell Henley,27,7,48,-,-,-,5,-,-,-,30,22,-,-,12,-,-,3,-,-,-,-,-,13,7400,Further details,80/1,Bet 365,Further details
Shane Lowry,49,19,9,-,-,-,6,-,26,MC,50,13,-,-,-,-,-,-,-,-,-,-,-,-,7300,Further details,100/1,Bet 365,Further details
An Byeong-Hun,22,MC,-,-,-,MC,13,-,24,-,33,13,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,200/1,Bet 365,Further details
Billy Horschel,15,41,55,-,-,MC,2,-,-,7,10,22,-,7,1,-,-,-,2,-,30,7,19,-,7100,Further details,175/1,Bet 365,Further details
Sahith Theegala,12,32,48,-,-,4,MC,6,-,-,46,48,-,-,-,-,-,-,-,-,-,-,28,-,7000,Further details,100/1,Bet 365,Further details
Akshay Bhatia,22,16,5,2,-,-,MC,64,-,MC,12,45,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,200/1,Bet 365,Further details
Justin Thomas,33,MC,5,-,-,62,31,-,-,-,30,39,-,-,-,-,6,2,7,9,3,4,4,-,6800,Further details,250/1,Bet 365,Further details
Sepp Straka,5,56,23,-,61,MC,22,-,35,-,61,13,-,-,-,-,-,-,-,-,-,-,6,6,6700,Further details,350/1,Bet 365,Further details
Robert MacIntyre,-,MC,16,MC,-,1,50,-,-,MC,7,WD,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,275/1,Bet 365,Further details
Taylor Pendrith,33,16,23,72,-,-,5,5,-,-,22,13,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,500/1,Bet 365,Further details
Aaron Rai,-,19,-,2,7,4,75,-,-,1,16,43,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,350/1,Bet 365,Further details
Christiaan Bezuidenhout,4,32,23,-,-,WD,MC,-,16,22,22,33,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,500/1,Bet 365,Further details
Chris Kirk,MC,26,63,44,-,-,31,-,-,-,50,9,-,-,4,-,-,-,-,-,-,-,-,-,6200,Further details,500/1,Bet 365,Further details
Tom Hoge,45,MC,3,-,-,MC,72,MC,-,-,46,13,-,-,-,-,-,-,-,-,-,-,5,-,6100,Further details,500/1,Bet 365,Further details
Matthieu Pavon,MC,5,16,-,-,MC,50,-,58,-,46,33,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,750/1,Bet 365,Further details
