Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,2,-,1,1,-,-,-,8,2,-,1,41,-,-,-,-,-,-,-,-,MC,47,13,4,12500,Further details,7/2,Bet 365,Further details
Xander Schauffele,-,-,8,18,23^^,-,2,1,-,-,8,7,-,-,-,-,-,14,MC,-,20,-,1,19,11200,Further details,15/2,Bet 365,Further details
Ludvig Aberg,-,14,2,10,-,-,-,MC,-,-,5,12,-,-,-,-,-,-,-,-,-,-,-,24,10200,Further details,16/1,Bet 365,Further details
Collin Morikawa,-,75,3,9,23^^,-,16,4,4,-,2,14,-,-,-,-,-,-,-,36,MC,-,-,MC,9800,Further details,14/1,Bet 365,Further details
Patrick Cantlay,-,-,22,3,23^^,-,29,53,-,-,MC,3,-,-,87,-,-,-,15,15,11,13,13,4,9600,Further details,22/1,Bet 365,Further details
Viktor Hovland,-,-,MC,-,-,-,24,3,-,-,15,MC,-,-,-,-,-,-,-,54,11,-,-,29,9300,Further details,20/1,Bet 365,Further details
Hideki Matsuyama,-,7,39,-,-,-,-,35,-,-,8,6,-,-,-,-,-,-,-,-,-,-,-,13,9200,Further details,25/1,Bet 365,Further details
Tommy Fleetwood,-,7,3,49,-,-,13,26,-,21,20,16,-,-,-,-,-,-,-,13,-,-,46,MC,9100,Further details,33/1,Bet 365,Further details
Sam Burns,-,-,MC,44,-,-,13,MC,-,10,15,9,-,-,-,-,-,-,-,43,24,13,MC,-,9000,Further details,33/1,Bet 365,Further details
Tony Finau,2,-,55,12,-,-,52,18,17,-,8,3,-,-,-,25,25,17,-,MC,MC,MC,13,45,8900,Further details,33/1,Bet 365,Further details
Sahith Theegala,28,-,45,2,MC^^,-,52,12,-,MC,12,32,-,-,-,-,-,-,-,-,MC,-,2,52,8800,Further details,33/1,Bet 365,Further details
Keegan Bradley,-,-,22,55,-,-,21,18,2,-,43,32,-,18,31,39,25,8,47,2,MC,MC,19,1,8700,Further details,45/1,Bet 365,Further details
Russell Henley,-,4,39,12,-,-,10,23,-,-,27,7,-,-,-,-,11,-,6,MC,32,19,-,19,8600,Further details,30/1,Bet 365,Further details
Justin Thomas,-,-,MC,5,-,-,21,8,-,-,33,MC,-,30,-,MC,3,MC,56,36,MC,-,-,9,8500,Further details,35/1,Bet 365,Further details
Corey Conners,-,25,35,44,11^^,-,13,26,-,6,20,9,-,-,-,-,-,-,MC,-,MC,-,-,9,8400,Further details,40/1,Bet 365,Further details
Brian Harman,-,25,MC,12,-,-,47,26,24,-,33,21,-,51,42,3,MC,35,6,8,MC,5,8,2,8300,Further details,40/1,Bet 365,Further details
Jordan Spieth,-,10,MC,39,-,MC,29,43,37,-,MC,41,-,-,-,-,-,1,42,MC,54,-,MC,-,8200,Further details,40/1,Bet 365,Further details
Tom Kim,-,MC,30,18,-,52,47,26,24,4,43,26,-,-,-,-,-,-,-,-,-,-,-,38,8100,Further details,55/1,Bet 365,Further details
Matthew Fitzpatrick,-,10,22,28,11^^,-,52,MC,-,-,5,64,-,-,-,-,-,-,-,-,MC,-,-,49,8000,Further details,50/1,Bet 365,Further details
Sungjae Im,-,-,MC,12,1^,-,4,MC,9,-,8,MC,-,-,-,-,-,-,-,21,58,-,-,29,7900,Further details,45/1,Bet 365,Further details
Sepp Straka,-,-,16,5,11^^,-,8,MC,5,-,5,56,-,-,-,-,-,-,-,MC,MC,10,MC,38,7900,Further details,50/1,Bet 365,Further details
Shane Lowry,-,-,43,64,1^^,-,47,6,-,33,49,19,-,-,-,-,MC,-,-,-,60,-,-,19,7800,Further details,55/1,Bet 365,Further details
Max Homa,-,25,3,55,-,-,8,35,MC,-,22,MC,-,-,-,MC,-,-,-,MC,MC,MC,-,MC,7800,Further details,45/1,Bet 365,Further details
Adam Scott,-,14,22,-,-,30,29,MC,12,42,-,32,-,-,-,-,-,-,-,-,-,13,-,19,7700,Further details,55/1,Bet 365,Further details
Wyndham Clark,31,-,MC,3,-,-,47,MC,-,-,MC,56,-,-,-,-,-,MC,-,15,MC,MC,35,29,7700,Further details,55/1,Bet 365,Further details
Cameron Young,-,-,9,62,-,-,34,63,-,MC,50,67,-,-,-,-,-,-,-,-,-,-,-,60,7600,Further details,66/1,Bet 365,Further details
An Byeong-Hun,-,MC,16,67,-,4,3,43,-,-,22,MC,-,-,-,-,-,66,-,MC,46,MC,-,MC,7600,Further details,50/1,Bet 365,Further details
Denny McCarthy,-,2,45,28,-,-,6,MC,24,-,39,32,-,-,-,-,-,-,47,MC,WD,73,MC,7,7500,Further details,66/1,Bet 365,Further details
Siwoo Kim,17,-,30,18,-,13,16,MC,56,-,15,32,-,-,-,-,25,-,26,MC,11,MC,MC,MC,7500,Further details,45/1,Bet 365,Further details
Jason Day,MC,-,30,18,-,59,4,43,-,-,33,MC,-,-,18,-,-,MC,12,8,46,10,MC,45,7400,Further details,60/1,Bet 365,Further details
Christiaan Bezuidenhout,-,25,-,28,3,-,16,MC,17,-,4,32,-,-,-,-,-,-,-,-,-,-,MC,MC,7400,Further details,80/1,Bet 365,Further details
JT Poston,-,-,30,5,-,-,60,MC,12,-,22,32,-,-,-,-,-,MC,MC,MC,MC,-,2,MC,7300,Further details,80/1,Bet 365,Further details
Billy Horschel,7,MC,-,1,MC^^,-,52,8,24,-,15,41,-,-,-,25,-,-,MC,-,MC,-,-,MC,7300,Further details,70/1,Bet 365,Further details
Akshay Bhatia,11,1,35,18,-,-,42,MC,MC,60,22,16,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,80/1,Bet 365,Further details
Taylor Pendrith,36,MC,-,11,11^^,1,10,MC,-,21,33,16,-,-,-,-,-,-,-,-,-,-,-,MC,7200,Further details,110/1,Bet 365,Further details
Harris English,-,MC,22,28,-,-,34,18,MC,-,MC,41,-,43,7,25,-,MC,MC,71,-,1,19,60,7100,Further details,75/1,Bet 365,Further details
Will Zalatoris,74,-,9,44,MC^^,-,60,43,-,-,41,MC,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,66/1,Bet 365,Further details
Thomas Detry,2,-,-,28,8^^,MC,-,4,56,-,41,14,-,-,-,-,-,-,-,-,-,-,-,MC,7100,Further details,100/1,Bet 365,Further details
Tom Hoge,14,-,-,18,MC^^,41,38,23,17,-,45,MC,-,-,-,64,MC,35,MC,80,37,66,MC,60,7000,Further details,80/1,Bet 365,Further details
Stephan Jaeger,1,-,MC,18,-,20,21,76,-,-,MC,21,-,-,-,-,-,-,-,30,-,-,MC,64,7000,Further details,90/1,Bet 365,Further details
Robert MacIntyre,MC,-,-,-,8^^,MC,13,8,MC,1,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
