Player,Masters,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Tyrrell Hatton,✅,-,-,7,38,-,6,40,-,4,2,-,59,-,-,-,-,-,-,-,-,-,-,-,-,10900,12/1,Bet 365,Further details,MC
Hideki Matsuyama,✅,21,48,-,9,-,29,MC,-,MC,5,-,31,-,-,-,-,-,-,-,-,-,-,30,WD,10500,25/1,Bet 365,Further details,15
Rickie Fowler,-,-,-,54,11,-,10,20,-,31,13,-,17,-,-,-,-,-,-,-,-,-,17,17,MC,10200,22/1,Bet 365,Further details,10
Corey Conners,✅,18,12,-,-,-,50,61,-,21,MC,-,17,-,-,-,-,-,-,-,-,26,1,14,35,10100,20/1,Bet 365,Further details,1
Taylor Montgomery,-,-,12,5,31,-,MC,MC,-,39,44,-,17,-,-,-,-,-,-,-,-,-,-,-,-,9900,25/1,Bet 365,Further details,22
Siwoo Kim,✅,-,1,22,25,-,23,MC,-,39,27,-,17,-,-,-,-,-,-,MC,22,45,4,23,13,9700,22/1,Bet 365,Further details,39
Davis Riley,-,-,-,65,MC,MC,MC,-,29,8,MC,19,28,-,-,-,-,-,-,-,-,-,-,-,63,9500,25/1,Bet 365,Further details,WD
Chris Kirk,✅,-,3,3,-,-,MC,-,1,39,MC,-,52,-,48,-,-,-,8,13,MC,8,MC,6,35,9300,33/1,Bet 365,Further details,10
Matt Kuchar,-,-,7,-,-,MC,32,8,MC,-,MC,-,9,-,-,13,22,4,15,42,40,51,7,12,2,9200,28/1,Bet 365,Further details,3
Ryan Fox,✅,-,-,65,20,11,17,-,-,14,27,-,17,-,-,-,-,-,-,-,-,-,-,-,-,9000,45/1,Bet 365,Further details,MC
J.J Spaun,-,5,12,-,MC,-,MC,33,-,MC,MC,-,9,-,-,-,-,-,-,-,49,26,MC,MC,1,8900,33/1,Bet 365,Further details,22
Alexander Noren,✅,-,-,5,-,-,MC,MC,-,61,MC,-,52,-,-,-,-,-,-,-,-,-,-,-,-,8800,35/1,Bet 365,Further details,15
Benjamin Griffin,-,-,12,32,31,MC,-,-,21,14,35,45,31,-,-,-,-,-,-,-,-,-,-,-,-,8700,40/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,-,-,MC,11,-,-,MC,58,42,MC,13,-,59,-,-,-,-,-,-,-,-,-,-,-,-,8600,35/1,Bet 365,Further details,28
Matt Wallace,-,-,-,20,16,-,MC,MC,29,-,MC,7,1,-,-,-,-,-,-,-,-,-,-,3,MC,8500,50/1,Bet 365,Further details,28
Thomas Detry,-,-,-,26,37,37,-,33,WD,24,MC,-,8,-,-,-,-,-,-,-,-,-,-,-,-,8400,50/1,Bet 365,Further details,64
Cameron Davis,-,-,31,MC,MC,-,-,MC,MC,MC,6,-,17,-,-,-,-,-,-,-,-,-,MC,69,-,8300,45/1,Bet 365,Further details,MC
Adam Schenk,-,-,67,MC,20,37,23,50,42,31,MC,2,-,-,-,-,-,-,-,-,-,58,7,MC,MC,8200,60/1,Bet 365,Further details,MC
Davis Thompson,-,-,54,2,69,-,MC,MC,-,53,68,-,31,-,-,-,-,-,-,-,-,-,-,-,-,8100,60/1,Bet 365,Further details,NR
Nicolai Hojgaard,-,-,-,10,38,13,-,5,32,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,8000,50/1,Bet 365,Further details,28
Brendon Todd,-,-,20,MC,-,2,MC,MC,-,39,27,-,-,-,-,-,61,6,30,MC,-,-,-,-,8,7900,40/1,Bet 365,Further details,53
Aaron Rai,-,-,61,MC,52,-,42,29,MC,53,19,-,-,-,-,-,-,-,-,-,-,-,-,-,29,7900,55/1,Bet 365,Further details,28
Andrew Putnam,-,-,4,36,-,MC,MC,MC,-,34,MC,-,9,-,-,-,-,-,72,-,-,8,36,MC,41,7800,55/1,Bet 365,Further details,28
