Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Akshay Bhatia,-,37,-,22,32,9,9,-,MC,3,-,-,-,-,-,-,-,-,-,-,MC,-,46,1,22/1,Bet 365,Further details
Denny McCarthy,16,-,-,58,16,5,-,48,18,14,-,-,-,-,-,-,-,-,20,MC,34,18,-,2,28/1,Bet 365,Further details
Adam Schenk,6,WD,25,-,25,-,-,MC,45,MC,MC,MC,-,-,-,-,-,-,58,7,MC,MC,MC,5,200/1,Bet 365,Further details
Hideki Matsuyama,16,-,32,48,25,13,-,-,22,MC,-,-,-,-,-,-,-,-,-,-,30,WD,15,7,18/1,Bet 365,Further details
Tommy Fleetwood,-,21,-,22,-,5,-,-,11,14,16,-,-,-,-,-,-,-,-,-,-,-,-,7,14/1,Bet 365,Further details
Ben Martin,59,MC,-,40^,MC,-,45,MC,-,-,MC,MC,-,-,MC,-,-,-,45,-,34,63,10,7,200/1,Bet 365,Further details
Mac Meissner,21,68,52,-,MC,-,MC,MC,-,42,28,39,-,-,-,-,-,-,-,-,MC,-,-,10,100/1,Bet 365,Further details
Jordan Spieth,-,-,-,69,4,MC,-,9,-,59,28,-,-,MC,10,2,-,-,-,30,1,35,-,10,22/1,Bet 365,Further details
Matthew Fitzpatrick,-,-,-,48,MC,49,-,-,22,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,10,55/1,Bet 365,Further details
Rico Hoey,59,58,MC,-,MC,-,MC,25,26,33,MC,11,-,-,-,-,-,-,-,-,-,-,-,14,60/1,Bet 365,Further details
Keith Mitchell,30,21,-,33,25,-,-,42,-,MC,54,18,-,-,-,-,-,-,26,-,17,-,-,14,35/1,Bet 365,Further details
Samuel Stevens,59,51,2,17,44,31,MC,-,40,MC,64,18,-,-,-,-,-,-,-,-,-,-,2,14,50/1,Bet 365,Further details
Chan Kim,53,MC,42,-,MC,-,17,32,16,MC,MC,39,-,-,-,-,-,-,-,-,-,-,-,14,125/1,Bet 365,Further details
Andrew Putnam,30,MC,32,-,25,-,49,11,-,MC,MC,-,-,-,-,72,-,-,8,36,MC,41,28,14,90/1,Bet 365,Further details
Ludvig Aberg,-,-,42,WD,-,1,-,-,22,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,14,12/1,Bet 365,Further details
Thorbjorn Olesen,-,31,27,MC,-,-,49,MC,-,-,36,MC,-,-,-,-,-,-,-,-,-,-,-,14,100/1,Bet 365,Further details
Brian Harman,21,MC,-,53,25,17,-,32,40,MC,-,-,-,22,16,MC,51,-,-,MC,-,-,-,25,66/1,Bet 365,Further details
Corey Conners,MC,-,-,65,74,24,-,-,3,6,8,-,-,-,-,-,-,-,26,1,14,35,1,25,16/1,Bet 365,Further details
Max Homa,-,-,WD,53,MC,MC,-,-,MC,MC,-,-,-,-,-,56,-,MC,-,42,-,-,-,25,110/1,Bet 365,Further details
Justin Lower,37,3,MC,62,-,-,MC,MC,-,38,MC,MC,-,-,-,-,-,-,-,-,-,MC,70,25,175/1,Bet 365,Further details
Mark Hubbard,21,12,68,73,MC,MC,-,MC,-,MC,47,MC,-,-,-,MC,42,-,-,-,-,-,MC,25,250/1,Bet 365,Further details
Nick Hardy,MC,MC,MC,-,MC,-,MC,MC,64,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,28,25,250/1,Bet 365,Further details
Benjamin Griffin,45,7,MC,69,36,44,4,4,45,MC,MC,18,-,-,-,-,-,-,-,-,-,-,MC,39,55/1,Bet 365,Further details
Nate Lashley,37,MC,WD,-,MC,-,MC,MC,-,MC,64,27,-,-,-,-,-,-,MC,-,MC,18,MC,39,400/1,Bet 365,Further details
Bud Cauley,30,-,-,-,21,-,-,56,MC,6,4,-,-,31,MC,-,-,10,-,MC,-,-,-,39,45/1,Bet 365,Further details
Aaron Baddeley,76,MC,32,-,-,-,34,-,MC,-,78,MC,-,15,67,20,29,5,16,30,-,18,-,39,750/1,Bet 365,Further details
Victor Perez,-,34,MC,-,MC,-,72,18,-,-,22,18,-,-,-,-,-,-,-,-,-,-,-,45,100/1,Bet 365,Further details
Webb Simpson,16,-,-,-,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,45,250/1,Bet 365,Further details
Adam Svensson,30,MC,MC,-,36,-,59,MC,MC,MC,MC,67,-,-,-,-,-,-,-,42,-,MC,-,51,200/1,Bet 365,Further details
Martin Laird,-,-,MC,-,-,-,-,-,68,-,-,-,-,1,MC,50,-,18,11,36,30,29,MC,51,300/1,Bet 365,Further details
C.T. Pan,21,-,-,-,57,-,68,MC,-,69,57,MC,-,-,-,-,-,MC,MC,MC,-,41,-,51,225/1,Bet 365,Further details
Lanto Griffin,MC,34,9,-,MC,-,25,-,72,MC,MC,MC,-,-,-,-,-,-,58,-,34,53,15,51,300/1,Bet 365,Further details
Harry Hall,10,21,-,58,MC,-,34,MC,-,MC,54,18,-,-,-,-,-,-,-,-,-,-,28,58,60/1,Bet 365,Further details
Maverick Mcnealy,45,-,52,40,9,2,-,-,MC,MC,-,32,-,-,-,-,-,-,-,-,-,35,-,58,55/1,Bet 365,Further details
Andrew Novak,MC,MC,3,13,MC,13,-,MC,34,MC,42,MC,-,-,-,-,-,-,-,-,-,MC,9,58,60/1,Bet 365,Further details
Bronson Burgoon,-,MC,-,MC^,MC^,-,-,MC^,-,-,-,MC,-,-,-,-,72,-,MC,-,MC,MC,-,58,2000/1,Bet 365,Further details
David Lipsky,45,MC,WD,-,MC,-,76,MC,78,MC,57,MC,-,-,-,-,-,-,-,-,-,MC,-,58,750/1,Bet 365,Further details
Charley Hoffman,59,5,25,-,MC,-,MC,25,-,54,-,64,-,3,11,11,1,40,64,2,2,MC,22,69,80/1,Bet 365,Further details
Matthias Schmid,MC,MC,25,-,MC,-,MC,18,6,MC,28,MC,-,-,-,-,-,-,-,-,-,-,46,69,125/1,Bet 365,Further details
Vincent Whaley,72,64,32,-,MC,-,MC,32,16,MC,MC,MC,-,-,-,-,-,-,-,-,34,29,-,69,225/1,Bet 365,Further details
Kevin Kisner,-,MC,-,-,MC,-,-,MC,-,-,70,-,-,-,MC,26,-,-,-,-,-,-,-,72,1000/1,Bet 365,Further details
Brandt Snedeker,53,51,32,-,66,-,-,MC,10,-,57,MC,-,-,-,-,25,-,15,-,6,18,-,72,400/1,Bet 365,Further details
Ryo Hisatsune,65,43,MC,-,MC,-,10,MC,-,MC,4,47,-,-,-,-,-,-,-,-,-,-,-,78,125/1,Bet 365,Further details
Beau Hossler,-,12,15,69,32,-,MC,32,-,50,70,MC,-,-,-,-,-,MC,51,36,69,4,46,78,90/1,Bet 365,Further details
Ben Kohles,53,21,-,-,MC,-,25,MC,34,MC,MC,MC,-,37,-,-,-,-,-,-,-,MC,-,78,400/1,Bet 365,Further details
Benjamin Silverman,69,MC,MC,-,16,-,MC,MC,-,MC,MC,MC,-,-,-,-,-,-,45,MC,-,-,-,81,450/1,Bet 365,Further details
Gary Woodland,16,-,-,22,21,MC,-,MC,-,MC,47,2,-,75,-,26,-,-,-,-,6,8,-,-,50/1,Bet 365,Further details
Sami Valimaki,-,MC,15,-,MC,-,34,48,-,69,36,4,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Ryan Gerard,37,51,15,-,-,-,17,25,MC,42,57,9,-,-,-,-,-,-,-,-,-,-,56,-,70/1,Bet 365,Further details
Isaiah Salinda,MC,MC,42,-,-,-,3,39,45,68,-,11,-,-,-,-,-,-,-,-,-,-,-,-,90/1,Bet 365,Further details
Jake Knapp,-,MC,32,33,44,17,25,6,-,12,MC,27,-,-,-,-,-,-,-,-,-,-,-,-,60/1,Bet 365,Further details
