Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Xander Schauffele,-,10,-,3,9,54,-,4,-,-,25,2,-,-,-,-,-,-,-,-,-,-,12,-,11200,9/1,Bet 365,Further details,5
Sam Burns,-,33,-,6,-,10,3,10,-,-,30,45,-,-,-,-,-,-,-,12,30,1,1,6,10900,11/1,Bet 365,Further details,MC
Justin Thomas,-,-,-,3,-,6,12,MC,-,-,12,MC,-,-,-,-,10,18,MC,-,-,13,3,10,10400,14/1,Bet 365,Further details,64
Jordan Spieth,-,3,-,-,-,39,6,DQ,-,-,30,MC,-,-,7,20,1,18,-,MC,-,-,-,3,10200,14/1,Bet 365,Further details,MC
Brian Harman,-,5,18,70,-,54,60,44,-,-,12,2,-,MC,14,25,MC,MC,MC,-,MC,-,5,MC,9800,22/1,Bet 365,Further details,MC
Cameron Young,-,33,-,3,-,70,8,16,-,4,36,54,-,-,-,-,-,-,-,-,-,-,-,-,9600,25/1,Bet 365,Further details,2
Sungjae Im,-,5,-,25,MC,66,66,44,-,MC,18,31,-,-,-,-,-,-,-,-,4,29,-,-,9400,25/1,Bet 365,Further details,MC
Tony Finau,-,38,-,25,6,47,-,19,13,-,-,45,-,-,-,-,MC,MC,5,MC,-,-,-,-,9300,22/1,Bet 365,Further details,MC
Nick Taylor,-,52,7,MC,-,71,1,39,-,-,12,26,-,-,-,-,24,MC,62,MC,24,MC,70,10,9100,33/1,Bet 365,Further details,64
Minwoo Lee,-,-,-,21,43,-,71,-,-,2,44,54,-,-,-,-,-,-,-,-,-,-,-,-,9000,30/1,Bet 365,Further details,MC
Keith Mitchell,-,-,30,9,MC,54,17,-,19,9,-,73,-,-,-,-,-,-,11,-,-,69,-,-,8900,40/1,Bet 365,Further details,17
Christiaan Bezuidenhout,-,-,-,2,MC,20,28,24,-,MC,44,13,-,-,-,-,-,-,-,-,-,-,62,-,8800,50/1,Bet 365,Further details,9
Eric Cole,-,14,13,21,MC,14,49,10,-,MC,21,MC,-,-,-,-,-,-,-,-,-,-,-,MC,8700,35/1,Bet 365,Further details,33
Keegan Bradley,-,45,2,-,43,11,-,MC,-,-,36,MC,-,-,-,-,-,MC,58,31,MC,2,MC,-,8600,40/1,Bet 365,Further details,MC
Aaron Rai,-,-,57,MC,33,-,MC,-,19,-,23,35,-,-,-,-,-,-,-,-,-,-,-,-,8500,55/1,Bet 365,Further details,MC
Doug Ghim,-,-,MC,MC,13,-,12,-,8,16,-,16,-,-,-,-,-,-,-,-,-,MC,-,27,8400,50/1,Bet 365,Further details,67
Beau Hossler,-,-,-,47,6,14,41,24,-,28,-,MC,-,-,-,-,-,-,MC,MC,MC,39,-,MC,8300,50/1,Bet 365,Further details,MC
Adam Hadwin,-,14,MC,6,-,39,MC,4,-,-,52,MC,-,-,-,-,71,MC,1,12,MC,MC,7,MC,8200,45/1,Bet 365,Further details,5
Maverick Mcnealy,-,-,57,MC,37,39,6,-,13,41,-,9,-,-,-,-,-,-,-,-,-,-,-,36,8100,60/1,Bet 365,Further details,45
Patrick Rodgers,-,14,24,-,9,79,-,MC,6,-,25,MC,-,-,-,-,-,MC,MC,59,MC,MC,-,36,8000,60/1,Bet 365,Further details,MC
Sepp Straka,-,12,-,-,MC,26,-,MC,-,MC,57,16,-,-,-,-,-,-,-,-,46,-,-,-,7900,60/1,Bet 365,Further details,MC
Taylor Moore,-,25,-,-,70,47,39,31,-,-,48,31,-,-,-,-,-,-,-,-,-,-,MC,1,7800,70/1,Bet 365,Further details,12
Andrew Putnam,-,40,10,47,-,39,MC,44,-,-,8,53,-,-,-,-,-,-,-,MC,-,MC,MC,-,7700,70/1,Bet 365,Further details,MC
Thorbjorn Olesen,-,-,8,21,1,-,-,-,46,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,7600,60/1,Bet 365,Further details,MC
Taylor Montgomery,-,-,13,61,13,39,39,MC,-,60,-,11,-,-,-,-,-,-,-,-,-,-,-,-,7500,66/1,Bet 365,Further details,MC
Billy Horschel,-,-,18,MC,MC,-,41,-,-,9,-,MC,-,-,56,-,-,-,MC,MC,-,-,-,-,7400,66/1,Bet 365,Further details,12
Brendon Todd,-,33,30,-,-,58,22,31,-,MC,6,MC,-,MC,-,44,24,MC,MC,-,-,-,MC,-,7400,75/1,Bet 365,Further details,33
Sam Ryder,-,-,-,62,MC,31,MC,MC,-,21,-,16,-,-,-,-,-,-,-,68,MC,MC,MC,19,7300,80/1,Bet 365,Further details,33
Lucas Glover,-,29,MC,-,-,58,-,35,-,35,30,MC,-,MC,38,MC,24,MC,18,74,13,48,-,36,7300,70/1,Bet 365,Further details,11
Daniel Berger,-,-,-,39,MC,-,28,-,-,MC,MC,-,-,-,-,-,MC,11,MC,-,-,-,-,-,7200,66/1,Bet 365,Further details,MC
Ryan Fox,-,-,14,31,MC,-,41,-,MC,35,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7200,70/1,Bet 365,Further details,MC
Adam Schenk,-,29,-,MC,25,47,17,MC,-,56,MC,19,-,-,-,-,-,-,-,59,MC,18,MC,2,7100,70/1,Bet 365,Further details,33
Akshay Bhatia,-,14,13,MC,13,-,MC,-,-,MC,-,MC,-,-,-,-,-,-,-,-,MC,-,-,MC,7100,90/1,Bet 365,Further details,17
Davis Thompson,-,-,57,21,MC,-,15,-,24,47,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,80/1,Bet 365,Further details,MC
Ryo Hisatsune,-,-,30,11,33,-,MC,-,48,MC,18,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,90/1,Bet 365,Further details,33
Jimmy Stanger,-,-,MC,14,MC,-,-,-,38,35,6,35,-,-,-,-,-,-,MC,MC,-,-,-,-,6900,125/1,Bet 365,Further details,MC
Victor Perez,-,-,-,-,MC,-,MC,-,52,16,3,-,-,-,-,-,-,-,-,-,-,-,-,45,6900,100/1,Bet 365,Further details,MC
Kevin Yu,-,-,MC,3,6,58,MC,MC,-,9,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6900,90/1,Bet 365,Further details,MC
Joel Dahmen,-,-,72,MC,MC,-,41,-,-,MC,49,11,-,-,-,-,-,-,-,-,30,-,39,61,6800,100/1,Bet 365,Further details,49
Thomas Detry,-,-,-,MC,20,4,28,-,MC,MC,-,62,-,-,-,-,-,-,-,-,-,-,-,-,6800,100/1,Bet 365,Further details,17
Benjamin Griffin,-,-,30,9,MC,58,28,37,-,MC,55,MC,-,-,-,-,-,-,-,-,-,-,-,45,6800,100/1,Bet 365,Further details,17
Mackenzie Hughes,-,25,-,-,64,71,-,31,MC,-,30,26,-,-,-,-,-,-,-,MC,13,MC,MC,-,6700,100/1,Bet 365,Further details,3
Webb Simpson,-,-,66,-,-,39,-,-,-,-,30,MC,-,10,17,MC,-,MC,41,8,MC,-,48,7,6700,100/1,Bet 365,Further details,54
Andrew Novak,-,-,MC,MC,MC,-,8,-,8,9,-,MC,-,-,-,-,-,-,-,-,-,-,MC,27,6700,125/1,Bet 365,Further details,17
Chesson Hadley,-,-,-,56,25,-,MC,-,24,35,-,MC,-,-,-,14,44,69,-,MC,65,MC,MC,MC,6700,110/1,Bet 365,Further details,MC
Lee Hodges,-,57,-,MC,MC,58,MC,24,-,MC,12,35,-,-,-,-,-,-,-,-,-,-,MC,63,6600,125/1,Bet 365,Further details,26
Seamus Power,-,50,74,-,MC,31,66,31,-,-,21,64,-,-,-,-,-,-,27,MC,MC,-,-,-,6600,125/1,Bet 365,Further details,26
Adam Svensson,-,33,30,-,MC,47,MC,10,-,MC,MC,MC,-,-,-,-,-,-,-,-,MC,-,39,-,6600,100/1,Bet 365,Further details,49
Taylor Pendrith,-,-,10,MC,9,-,-,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,100/1,Bet 365,Further details,MC
Matthew NeSmith,-,-,80,56,MC,-,71,-,MC,MC,-,26,-,-,-,-,-,-,-,-,-,21,3,-,6500,125/1,Bet 365,Further details,MC
Erik Barnes,-,-,-,52,43,-,-,-,58,-,2,-,-,-,-,-,-,-,-,-,-,-,-,MC,6500,125/1,Bet 365,Further details,WD
