Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Lucas Glover,-,-,21,MC,-,3,MC,31,-,MC,36,3,-,38,MC,24,MC,18,74,13,48,-,36,11,45/1,Bet 365,Further details
Akshay Bhatia,-,32,-,37,-,22,32,9,9,-,MC,3,-,-,-,-,-,-,-,MC,-,-,MC,17,28/1,Bet 365,Further details
Corey Conners,-,5,MC,-,-,65,74,24,-,-,3,6,-,-,-,-,-,-,16,-,21,-,-,-,22/1,Bet 365,Further details
Danny Walker,-,-,MC,MC,42,-,-,-,13,-,64,6,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Bud Cauley,-,-,30,-,-,-,21,-,-,56,MC,6,-,WD,-,-,-,58,MC,MC,-,-,-,MC,66/1,Bet 365,Further details
Jake Knapp,-,56,-,MC,32,33,44,17,25,6,-,12,-,-,-,-,-,-,-,-,-,-,-,-,50/1,Bet 365,Further details
Sam Ryder,-,-,21,43,25,-,36,-,59,48,-,14,-,-,-,-,-,-,68,MC,MC,MC,19,33,150/1,Bet 365,Further details
Tommy Fleetwood,-,-,-,21,-,22,-,5,-,-,11,14,-,-,-,-,-,-,-,-,-,16,3,-,14/1,Bet 365,Further details
Alex Smalley,-,-,16,11,MC,-,21,-,10,18,-,14,-,-,-,-,-,-,-,-,-,MC,27,MC,40/1,Bet 365,Further details
Sepp Straka,-,15,30,1,-,7,15,MC,-,11,5,14,-,-,-,-,-,-,-,46,-,-,-,MC,20/1,Bet 365,Further details
Matt McCarty,-,53,65,MC,MC,-,MC,-,63,48,-,20,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Max Mcgreevy,-,-,MC,MC,WD,-,MC,-,25,4,40,20,-,-,-,-,-,-,-,-,-,48,MC,-,100/1,Bet 365,Further details
Shane Lowry,-,-,-,-,MC,2,-,39,-,11,7,20,-,-,-,-,-,-,49,-,-,12,-,-,25/1,Bet 365,Further details
Stephan Jaeger,-,36,3,-,MC,40,-,44,6,-,MC,20,-,-,-,-,-,-,49,MC,-,MC,27,-,60/1,Bet 365,Further details
Joe Highsmith,-,-,MC,66,MC,-,MC,-,17,1,MC,20,-,-,-,-,-,-,-,-,-,-,-,MC,90/1,Bet 365,Further details
Ryan Fox,-,-,-,10,27,-,63,-,MC,MC,-,20,-,-,-,-,-,-,-,-,-,-,-,MC,150/1,Bet 365,Further details
Will Zalatoris,-,26,-,12,-,48,-,24,-,-,22,30,-,-,-,-,-,-,-,-,-,-,-,-,25/1,Bet 365,Further details
Taylor Moore,-,-,MC,7,56,22,9,-,34,42,-,33,-,-,-,-,-,-,-,-,-,MC,1,12,45/1,Bet 365,Further details
Rico Hoey,-,-,59,58,MC,-,MC,-,MC,25,26,33,-,-,-,-,-,-,-,-,-,-,-,54,125/1,Bet 365,Further details
Justin Thomas,-,26,-,2,-,48,6,9,-,-,36,33,-,-,-,10,18,MC,-,-,13,3,10,64,12/1,Bet 365,Further details
JT Poston,-,40,MC,12,-,53,16,39,-,-,50,33,-,-,-,-,-,14,-,MC,54,MC,10,-,40/1,Bet 365,Further details
Kurt Kitayama,-,-,37,58,MC,-,49,-,MC,MC,-,33,-,-,-,-,-,-,-,-,-,MC,-,-,66/1,Bet 365,Further details
