Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Sungjae Im,1^,MC,MC,41,-,MC,29,24,-,MC,20,MC,-,-,-,-,-,-,-,-,6,9,24,2,10800,18/1,Bet 365,Further details,14
Hideki Matsuyama,23,29,-,16,-,32,13,MC,-,-,13,30,-,-,15,MC,MC,3,-,11,MC,-,MC,-,10600,18/1,Bet 365,Further details,MC
Russell Henley,-,MC,16,16,-,14,19,-,35,-,MC,-,-,-,-,-,-,46,-,MC,31,9,7,5,10200,22/1,Bet 365,Further details,2
Sam Burns,-,MC,6,16,MC,32,-,-,-,19,MC,-,-,-,-,-,-,-,-,-,-,13,-,-,10000,20/1,Bet 365,Further details,14
Adam Scott,8,29,-,9,-,MC,19,-,-,MC,33,-,-,-,-,-,63,-,-,-,-,-,2,76,9700,28/1,Bet 365,Further details,7
Shane Lowry,-,12,-,16,43,20,19,-,-,12,MC,-,-,-,-,-,-,42,7,MC,-,23,-,83,9500,28/1,Bet 365,Further details,51
Ludvig Aberg,-,-,-,-,25,-,24,40,4,MC,-,64,-,-,-,-,-,-,-,-,-,-,-,-,9300,30/1,Bet 365,Further details,14
JT Poston,-,40,MC,38,-,MC,MC,-,6,6,41,2,-,-,-,-,-,-,50,MC,1,MC,MC,21,9200,30/1,Bet 365,Further details,7
Justin Thomas,-,65,-,MC,-,MC,9,MC,-,60,MC,MC,-,-,-,-,56,MC,-,-,-,-,-,-,9100,30/1,Bet 365,Further details,12
SiWoo Kim,2,MC,29,4,-,39,MC,-,-,-,MC,-,-,-,MC,-,-,1,-,MC,5,3,2,WD,9000,28/1,Bet 365,Further details,33
Stephan Jaeger,11,50,68,24,-,-,64,9,13,-,34,30,-,-,-,-,-,-,-,70,MC,-,-,13,8900,35/1,Bet 365,Further details,14
Cameron Davis,-,4,MC,MC,-,MC,33,17,-,MC,-,10,-,-,-,-,-,-,-,-,22,15,-,-,8800,40/1,Bet 365,Further details,7
Denny McCarthy,-,29,MC,2,-,20,7,-,6,-,MC,-,-,-,-,-,-,-,-,36,22,9,15,MC,8700,33/1,Bet 365,Further details,MC
Aaron Rai,MC,-,12,MC,3,-,24,9,-,MC,-,20,-,-,-,-,-,-,-,-,-,-,-,71,8600,40/1,Bet 365,Further details,MC
