Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Sungjae Im,MC,9,-,8,MC,3,-,12,4,7,-,-,-,-,-,-,-,-,-,6,9,24,2,14,10700,Further details,16/1,Bet 365,Further details
Shane Lowry,6,-,33,49,19,9,-,-,-,6,-,26,-,-,-,-,42,7,MC,-,23,-,83,51,10300,Further details,25/1,Bet 365,Further details
Billy Horschel,8,24,-,15,41,55,-,-,MC,2,-,-,-,-,47,MC,5,60,11,6,2,-,27,4,10200,Further details,22/1,Bet 365,Further details
SiWoo Kim,MC,56,-,15,32,31,-,-,26,43,-,-,-,MC,-,-,1,-,MC,5,3,2,WD,33,10000,Further details,22/1,Bet 365,Further details
Cameron Young,63,-,MC,50,67,9,6,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9700,Further details,28/1,Bet 365,Further details
Jordan Spieth,43,37,-,MC,41,63,-,26,MC,25,-,-,-,2,-,-,-,-,-,78,72,-,-,-,9500,Further details,30/1,Bet 365,Further details
Brian Harman,26,24,-,33,21,9,-,-,21,60,-,-,-,3,MC,MC,MC,-,-,6,27,MC,71,-,9300,Further details,28/1,Bet 365,Further details
Davis Thompson,-,17,MC,27,9,-,2,1,46,66,-,-,-,-,-,-,-,-,-,-,-,MC,-,22,9200,Further details,33/1,Bet 365,Further details
Akshay Bhatia,MC,MC,60,22,16,5,2,-,-,MC,64,-,-,-,-,-,-,-,-,-,MC,MC,-,MC,9100,Further details,33/1,Bet 365,Further details
Minwoo Lee,26,24,-,-,21,-,2,-,73,MC,-,22,-,-,-,-,-,-,-,-,-,-,-,-,9000,Further details,33/1,Bet 365,Further details
Cameron Davis,MC,56,-,50,MC,48,1,-,26,-,19,-,-,-,-,-,-,-,-,22,15,-,-,7,8900,Further details,40/1,Bet 365,Further details
Aaron Rai,39,32,14,-,19,-,2,7,4,75,-,-,-,-,-,-,-,-,-,-,-,-,71,MC,8800,Further details,33/1,Bet 365,Further details
Christiaan Bezuidenhout,MC,17,-,4,32,23,-,-,WD,MC,-,16,-,-,-,-,-,-,-,-,37,-,47,51,8700,Further details,40/1,Bet 365,Further details
Luke Clanton,-,-,-,-,41,-,10,2,37,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,8600,Further details,45/1,Bet 365,Further details
