Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Xander Schauffele,-,-,24,8,1,-,-,-,-,-,-,-,-,10,17,28,9,11100,Further details,15/2,Bet 365,Further details,38
Collin Morikawa,-,-,13,25,4,-,-,-,-,-,-,-,-,22,50,7,45,10800,Further details,11/1,Bet 365,Further details,1
Sungjae Im,MC,14,6,7,21,-,-,-,-,-,-,2^,-,3,41,-,29,10200,Further details,14/1,Bet 365,Further details,12
Rickie Fowler,-,-,58,25,16,-,-,-,-,-,-,-,-,-,57,44,2,10000,Further details,14/1,Bet 365,Further details,64
Hideki Matsuyama,30,MC,16,WD,-,-,-,-,-,-,-,-,-,2,28,1,40,9800,Further details,16/1,Bet 365,Further details,51
Cameron Davis,10,7,6,40,-,-,-,3,-,-,-,7,-,-,-,-,29,9500,Further details,20/1,Bet 365,Further details,12
Adam Scott,-,7,-,-,-,-,MC,7,-,-,-,MC^,-,33,-,-,-,9300,Further details,25/1,Bet 365,Further details,41
Keegan Bradley,-,-,43,29,11,-,-,-,-,-,-,-,-,13,-,7,1,9200,Further details,22/1,Bet 365,Further details,19
Minwoo Lee,-,-,-,-,-,-,7,14,64,-,-,1^,-,-,-,-,-,9100,Further details,20/1,Bet 365,Further details,6
Sahith Theegala,MC,-,13,15,-,-,-,1,-,-,-,-,-,-,-,-,5,9000,Further details,18/1,Bet 365,Further details,19
Eric Cole,30,14,31,25,-,-,-,4,-,-,35,3,-,-,-,-,-,8900,Further details,28/1,Bet 365,Further details,2
Thomas Detry,-,21,61,-,-,-,23,33,35,-,-,-,-,-,-,-,-,8800,Further details,40/1,Bet 365,Further details,51
Nicolai Hojgaard,MC,14,-,-,3,5,-,64,-,-,-,56,-,-,-,-,-,8700,Further details,40/1,Bet 365,Further details,31
Emiliano Grillo,10,-,20,31,29,-,-,-,-,-,MC,MC,-,30,-,73,4,8600,Further details,45/1,Bet 365,Further details,10
Beau Hossler,13,MC,20,-,-,-,-,30,-,-,28,7,-,-,-,-,16,8500,Further details,40/1,Bet 365,Further details,2
Vincent Norrman,50,58,49,-,-,-,1,18,-,-,-,MC,-,-,-,-,-,8400,Further details,45/1,Bet 365,Further details,38
Keith Mitchell,5,-,43,-,-,-,-,-,-,-,MC,-,-,27,-,-,-,8300,Further details,45/1,Bet 365,Further details,21
Adam Svensson,37,7,37,15,-,-,-,-,-,-,16,18,-,-,-,-,59,8200,Further details,35/1,Bet 365,Further details,41
Alexander Noren,13,38,-,-,-,-,-,MC,-,-,43,3,-,-,17,18,-,8100,Further details,50/1,Bet 365,Further details,48
Adam Schenk,-,64,6,34,6,-,-,-,-,-,-,MC,-,22,-,28,16,8000,Further details,35/1,Bet 365,Further details,51
