Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 Odds,Bookmaker,New Account Offer
Collin Morikawa,24,-,22,28,1,-,-,-,-,-,-,-,-,22,50,7,45,1,7/1,Bet 365,Further details
Beau Hossler,-,12,-,-,-,-,MC,-,-,2,11,23,-,-,-,-,16,2,33/1,Bet 365,Further details
Eric Cole,-,7,18,46,-,-,MC,-,-,16,-,MC,-,-,-,-,-,2,45/1,Bet 365,Further details
Ryo Ishikawa,-,MC^,-,56^,MC^,20^,44^,48^,-,MC^,8^,-,-,51,63,-,-,4,400/1,Bet 365,Further details
J.J Spaun,-,3,-,-,-,-,26,-,-,WD,25,34,-,-,-,-,25,6,35/1,Bet 365,Further details
Kensei Hirata,-,10^,-,10^,1^,1^,44^,1^,5^,55^,17^,-,-,-,-,-,-,6,110/1,Bet 365,Further details
MinWoo Lee,22,MC,22,-,-,-,32,-,-,-,-,-,-,-,-,-,-,6,28/1,Bet 365,Further details
Ryo Hisatsune,-,3,MC,-,-,77,MC,MC,-,MC,25,-,-,-,-,52,12,6,80/1,Bet 365,Further details
Satoshi Kodaira,-,-,-,38^,WD^,-,MC^,26^,48^,14^,39^,-,-,37,35,57,16,12,400/1,Bet 365,Further details
Sungjae Im,-,41,40,11,6,-,-,-,-,-,-,-,-,3,41,-,29,12,14/1,Bet 365,Further details
Matthew Nesmith,-,MC,-,-,-,-,MC,-,-,48,MC,MC,-,-,-,48,9,15,TBC,Bet 365,Further details
Kurt Kitayama,-,MC,-,-,-,-,-,-,-,-,25,9,-,-,-,-,29,16,28/1,Bet 365,Further details
Taylor Montgomery,-,-,-,-,-,-,MC,-,-,WD,MC,MC,-,-,-,-,-,16,TBC,Bet 365,Further details
Sahith Theegala,-,-,46,48,2,-,7,-,-,-,-,-,-,-,-,-,5,19,16/1,Bet 365,Further details
Harry Hall,-,MC,-,-,12,-,MC,18,-,-,35,9,-,-,-,-,-,21,45/1,Bet 365,Further details
Taylor Moore,-,52,66,-,-,-,-,-,-,42,-,29,-,-,-,-,12,21,50/1,Bet 365,Further details
Nick Taylor,30,MC,65,-,-,-,MC,-,-,-,25,54,-,-,63,-,-,21,80/1,Bet 365,Further details
Lee Hodges,-,MC,-,-,-,-,MC,-,-,48,8,MC,-,-,-,-,23,21,125/1,Bet 365,Further details
Mark Hubbard,-,MC,61,-,-,-,MC,MC,-,63,MC,14,-,-,41,-,66,31,100/1,Bet 365,Further details
Davis Riley,-,38,-,-,-,-,-,-,-,MC,-,41,-,-,-,-,67,31,200/1,Bet 365,Further details
Takumi Kanaya,-,7^,-,29^,16^,-,14^,40^,2^,1^,4^,-,-,-,41,7,53,31,80/1,Bet 365,Further details
Zac Blair,-,45,-,-,-,-,13,-,-,MC,66,61,-,-,-,-,-,38,300/1,Bet 365,Further details
Xander Schauffele,9,-,2,5,13,-,-,-,-,-,-,-,-,10,17,28,9,38,9/2,Bet 365,Further details
KyoungHoon Lee,-,41,-,-,-,-,MC,-,-,23,46,5,-,-,-,18,59,41,90/1,Bet 365,Further details
Michael Kim,-,WD,-,-,-,-,MC,-,-,MC,MC,5,-,-,-,-,-,41,TBC,Bet 365,Further details
Nate Lashley,-,59,-,-,-,-,MC,-,-,55,61,29,-,WD,-,-,-,41,150/1,Bet 365,Further details
Adam Svensson,-,7,-,-,-,-,13,-,-,MC,25,MC,-,-,-,-,59,41,70/1,Bet 365,Further details
Justin Lower,-,33,-,-,-,-,7,-,-,28,MC,MC,-,-,-,-,-,41,100/1,Bet 365,Further details
Tom Hoge,-,-,46,13,29,-,7,-,-,-,-,MC,-,-,47,17,9,48,45/1,Bet 365,Further details
Adam Schenk,-,MC,-,-,-,-,MC,-,-,MC,-,46,-,22,-,28,16,51,175/1,Bet 365,Further details
Seonghyeon Kim,-,66,-,-,-,MC^,MC,-,-,MC,64,51,-,-,-,-,-,51,300/1,Bet 365,Further details
Hideki Matsuyama,3,-,1,WD,16,-,-,-,-,-,-,-,-,2,28,1,40,51,8/1,Bet 365,Further details
Andrew Novak,-,52,-,-,-,-,-,-,-,23,MC,MC,-,-,-,-,-,51,80/1,Bet 365,Further details
Samuel Stevens,-,MC,-,-,-,-,37,-,-,37,-,23,-,-,-,-,-,59,55/1,Bet 365,Further details
Dylan Wu,-,MC,-,-,-,-,MC,-,-,MC,69,MC,-,-,-,-,-,59,TBC,Bet 365,Further details
Kevin Yu,52,MC,-,-,-,-,-,-,-,1,-,MC,-,-,-,-,-,59,100/1,Bet 365,Further details
Joel Dahmen,-,64,-,-,-,-,50,-,-,MC,40,WD,-,76,8,-,16,59,200/1,Bet 365,Further details
Rickie Fowler,-,-,-,-,-,-,-,-,-,16,-,23,-,-,57,44,2,64,66/1,Bet 365,Further details
Kaito Onishi,67^,MC^,MC^,46^,-,-,12^,76^,-,13^,-,-,-,-,-,-,76,64,300/1,Bet 365,Further details
Benjamin Griffin,-,7,50,-,-,-,-,-,-,37,11,MC,-,-,-,-,-,64,55/1,Bet 365,Further details
Shugo Imahira,-,MC^,-,MC^,22^,-,4^,MC^,5^,6^,1^,-,-,59,66,18,78,68,125/1,Bet 365,Further details
Doug Ghim,-,41,-,-,-,-,47,-,-,33,25,2,-,-,-,66,-,-,35/1,Bet 365,Further details
Matthias Schmid,26,64,-,-,-,17,58,40,-,16,5,3,-,-,-,-,-,-,TBC,Bet 365,Further details
Rico Hoey,-,22,-,-,-,-,37,-,-,68,21,3,-,-,-,-,-,-,55/1,Bet 365,Further details
Gary Woodland,-,28,-,-,-,-,MC,-,-,16,-,9,-,5,-,-,-,-,55/1,Bet 365,Further details
Matt Kuchar,-,12,-,-,-,-,13,-,-,MC,-,14,-,-,54,-,-,-,70/1,Bet 365,Further details
Andrew Putnam,-,MC,-,-,-,-,44,-,-,25,-,16,-,59,-,39,2,-,55/1,Bet 365,Further details
Maverick Mcnealy,-,45,12,-,-,-,MC,-,-,MC,-,16,-,-,-,25,12,-,35/1,Bet 365,Further details
Vincent Whaley,-,63,-,-,-,-,MC,-,-,16,67,16,-,-,-,-,-,-,TBC,Bet 365,Further details
C.T. Pan,18,WD,-,-,-,-,WD,-,-,MC,MC,23,-,59,-,57,59,-,125/1,Bet 365,Further details
Chad Ramey,-,52,-,-,-,-,58,-,-,WD,21,23,-,-,-,-,69,-,125/1,Bet 365,Further details
Jacob Bridgeman,-,12,-,-,-,-,MC,-,-,11,46,29,-,-,-,-,-,-,TBC,Bet 365,Further details
Patrick Fishburn,-,MC,-,-,-,-,3,-,-,48,MC,34,-,-,-,-,-,-,66/1,Bet 365,Further details
Ryan Fox,WD,MC,-,-,-,-,MC,61,-,11,46,34,-,-,-,-,-,-,66/1,Bet 365,Further details
Victor Perez,4,33,40,-,-,-,-,48,45,-,32,36,-,-,-,-,-,-,66/1,Bet 365,Further details
Pierceson Coody,-,61,-,-,-,-,58,-,-,MC,MC,39,-,-,-,-,-,-,TBC,Bet 365,Further details
Luke List,-,MC,-,-,-,-,-,-,-,42,MC,41,-,-,-,7,29,-,200/1,Bet 365,Further details
Christopher Gotterup,-,22,-,-,-,-,MC,-,-,MC,-,45,-,-,-,-,-,-,150/1,Bet 365,Further details
Jhonattan Vegas,-,61,40,-,-,-,32,-,-,23,-,52,-,-,-,54,-,-,50/1,Bet 365,Further details
Benjamin Silverman,-,MC,-,-,-,-,4,-,-,-,-,59,-,-,-,-,-,-,80/1,Bet 365,Further details
David Skinns,-,MC,-,-,-,-,44,-,-,37,MC,66,-,-,-,-,-,-,200/1,Bet 365,Further details
Hiroshi Iwata,-,7^,-,43^,30^,MC^,MC^,MC^,-,MC^,WD^,-,-,-,-,18,69,-,1000/1,Bet 365,Further details
Justin Thomas,-,-,30,39,7,-,-,-,-,-,-,-,-,17,2,-,-,-,20/1,Bet 365,Further details
Kevin Tway,-,52,-,-,-,-,13,-,-,MC,35,-,-,37,-,-,-,-,TBC,Bet 365,Further details
Mac Meissner,-,12,-,-,-,-,MC,-,-,37,25,-,-,-,-,-,-,-,66/1,Bet 365,Further details
Max Greyserman,-,2,33,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40/1,Bet 365,Further details
Max Homa,-,-,70,33,-,-,MC,-,-,-,-,-,-,46,-,-,-,-,45/1,Bet 365,Further details
Naoyuki Kataoka,-,3^,-,MC^,MC^,29^,8^,31^,30^,55^,31^,-,-,-,-,66,64,-,750/1,Bet 365,Further details
Patrick Rodgers,-,33,33,-,-,-,37,-,-,MC,11,-,-,-,-,-,16,-,45/1,Bet 365,Further details
Ren Yonezawa,-,1^,-,43^,14^,-,59^,MC^,MC^,MC^,MC^,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Ryosuke Kinoshita,-,4^,-,51^,5^,-,7^,MC^,17^,6^,2^,-,-,-,-,66,-,-,175/1,Bet 365,Further details
Siwoo Kim,-,MC,50,5,-,-,-,18,-,-,-,-,-,37,-,18,45,-,30/1,Bet 365,Further details
Taisei Shimizu,-,52^,-,MC^,22^,-,29^,2^,28^,44^,MC^,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Takahiro Hataji,-,MC^,-,29^,56^,9^,MC^,WD^,1^,19^,56^,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Takashi Ogiso,-,48^,-,29^,MC^,40^,8^,4^,5^,46^,20^,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Will Zalatoris,-,MC,12,13,-,-,-,-,-,-,-,-,-,-,-,54,-,-,33/1,Bet 365,Further details
Yuta Sugiura,-,59^,-,WD^,-,-,-,-,48^,-,MC^,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Yuto Katsuragawa,-,MC^,-,-,12,MC,MC,MC,MC,-,MC,-,-,-,-,-,53,-,300/1,Bet 365,Further details
Ben Kohles,-,MC,-,-,-,-,64,-,-,16,46,MC,-,-,-,-,-,-,150/1,Bet 365,Further details
Brendon Todd,-,12,22,-,-,-,44,-,-,-,-,MC,-,-,47,62,-,-,125/1,Bet 365,Further details
Carson Young,-,MC,-,-,-,-,MC,-,-,48,11,MC,-,-,-,-,-,-,150/1,Bet 365,Further details
Chan Kim,-,12,-,-,-,-,26,-,-,33,46,MC,-,41,60,15,-,-,66/1,Bet 365,Further details
Chandler Phillips,-,38,-,-,-,-,13,-,-,33,MC,MC,-,-,-,-,-,-,150/1,Bet 365,Further details
Charley Hoffman,-,12,-,-,-,-,26,-,-,28,-,MC,-,-,-,28,-,-,100/1,Bet 365,Further details
Nicolas Echavarria,35,22,-,-,-,-,MC,-,-,MC,11,MC,-,-,-,-,-,-,250/1,Bet 365,Further details
Sami Valimaki,45,-,12,-,MC,-,9,57,-,63,MC,MC,-,-,-,-,-,-,250/1,Bet 365,Further details
Seamus Power,-,28,10,-,-,-,26,-,-,11,11,MC,-,-,-,-,-,-,45/1,Bet 365,Further details
