Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Scottie Scheffler,-,-,-,-,-,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-,3,MC,25,11,11400,6/1,Bet 365,Further details,17
Xander Schauffele,38,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,MC,MC,-,-,-,-,-,3,10900,10/1,Bet 365,Further details,3
Patrick Cantlay,-,-,-,-,-,-,-,-,-,-,12,-,-,MC,-,-,-,-,-,9,-,2,9,26,10800,17/2,Bet 365,Further details,52
Sungjae Im,12,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,12,10,12,11,18,10100,18/1,Bet 365,Further details,25
Tom Kim,-,-,-,-,15,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,MC,-,6,9900,25/1,Bet 365,Further details,MC
Justin Thomas,-,-,-,4,-,-,3,-,-,-,-,-,-,-,MC,7,-,-,-,-,-,-,-,-,9800,22/1,Bet 365,Further details,3
Jason Day,-,-,-,-,-,-,11,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,49,18,9600,35/1,Bet 365,Further details,34
Minwoo Lee,6,-,-,-,15,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9500,28/1,Bet 365,Further details,21
Sam Burns,-,-,-,-,-,-,16,-,-,-,33,-,-,-,-,-,-,-,-,18,6,MC,-,11,9400,33/1,Bet 365,Further details,6
Tony Finau,-,-,-,-,-,-,4,-,-,-,38,-,-,-,-,59,MC,-,-,-,14,4,40,16,9300,35/1,Bet 365,Further details,25
Rickie Fowler,64,-,-,-,-,-,17,-,-,-,56,-,-,-,33,-,-,-,-,-,10,21,MC,54,9200,40/1,Bet 365,Further details,MC
JT Poston,-,-,-,-,44,-,-,-,-,-,5,6,-,-,-,-,-,34,MC,7,37,MC,25,6,9100,28/1,Bet 365,Further details,11
Chris Kirk,-,-,MC,-,28,-,-,-,-,-,1,18,-,MC,-,56,-,21,MC,MC,-,16,MC,3,9000,45/1,Bet 365,Further details,47
Wyndham Clark,56,-,-,-,37^,-,19,-,-,-,29,-,-,-,-,-,-,-,-,18,MC,54,13,50,8900,40/1,Bet 365,Further details,39
Eric Cole,2,-,-,-,3,-,-,-,-,-,14,13,-,-,-,-,-,-,-,-,-,-,-,36,8800,35/1,Bet 365,Further details,21
Shane Lowry,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8700,50/1,Bet 365,Further details,MC
Siwoo Kim,-,-,-,-,71,-,-,-,-,-,25,42,-,-,-,-,9,-,-,40,WD,1,11,22,8600,45/1,Bet 365,Further details,25
Cameron Davis,12,-,-,-,-,7,42,-,-,-,52,30,-,-,-,-,-,-,-,28,29,3,-,MC,8400,55/1,Bet 365,Further details,MC
Adam Hadwin,-,-,-,-,-,-,-,-,-,-,14,MC,-,-,-,48,6,2,3,2,-,32,25,18,8300,60/1,Bet 365,Further details,6
Akshay Bhatia,21,-,10,20,38,-,-,-,-,-,14,13,-,-,-,-,-,-,-,-,MC,MC,-,-,8200,60/1,Bet 365,Further details,MC
