Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2024 Odds,Bookmaker,New Account Offer
Nick Dunlap,-,-,-,-,-,-,-,16,-,-,55,10,-,-,-,-,-,-,-,-,-,-,-,1,45/1,Bet 365,Further details
Christiaan Bezuidenhout,-,-,-,-,-,-,-,6,36,-,40,-,-,-,-,-,-,-,-,-,-,40,11,2,75/1,Bet 365,Further details
Justin Thomas,-,2,-,-,-,-,-,3,-,-,26,-,-,MC,7,-,-,-,-,-,-,-,-,3,14/1,Bet 365,Further details
Kevin Yu,MC,16,-,-,MC,11,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,MC,3,90/1,Bet 365,Further details
Adam Hadwin,MC,-,-,-,-,53,-,-,-,-,29,59,-,-,48,6,2,3,2,-,32,25,18,6,70/1,Bet 365,Further details
Sam Burns,-,-,-,-,-,-,-,14,-,-,8,-,-,-,-,-,-,-,18,6,MC,-,11,6,18/1,Bet 365,Further details
Michael Kim,5,-,-,30,12,11,-,-,-,-,-,MC,-,-,-,70,21,50,-,-,MC,-,MC,6,110/1,Bet 365,Further details
Keith Mitchell,MC,-,-,MC,-,MC,-,-,-,-,-,30,-,-,-,-,-,69,-,-,-,-,22,9,90/1,Bet 365,Further details
Benjamin Griffin,MC,22,-,24,8,15,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,32,9,50/1,Bet 365,Further details
Ryo Hisatsune,-,46,-,-,29,17,-,55,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,11,350/1,Bet 365,Further details
Chan Kim,MC,54,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,MC,-,14,125/1,Bet 365,Further details
Bronson Burgoon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,42,MC,43,37,49,-,14,1000/1,Bet 365,Further details
Tom Hoge,MC,56,-,45,-,-,-,-,-,-,8,45,-,-,MC,MC,-,57,MC,6,MC,2,32,17,55/1,Bet 365,Further details
Greyson Sigg,23,-,-,-,9,MC,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,25,MC,17,200/1,Bet 365,Further details
Carson Young,MC,37,-,2,62,35,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,17,200/1,Bet 365,Further details
Eric Cole,MC,6,-,-,-,15,-,-,-,-,52,5,-,-,-,-,-,-,-,-,-,-,36,21,45/1,Bet 365,Further details
Alex Smalley,65,-,-,39,29,MC,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,25,22,21,110/1,Bet 365,Further details
Davis Thompson,5,-,-,-,-,60,-,-,-,-,36,MC,-,-,-,-,-,-,-,-,-,-,2,21,40/1,Bet 365,Further details
Zach Johnson,-,-,-,-,-,MC,-,-,-,-,-,21,-,3,MC,MC,MC,20,28,MC,62,14,41,25,250/1,Bet 365,Further details
Erik van Rooyen,46,-,-,64,-,-,-,24,42,-,-,30,-,-,-,-,-,-,-,-,56,-,6,25,125/1,Bet 365,Further details
Sungjae Im,-,13,-,-,-,-,-,9,-,-,3,-,-,-,-,-,-,-,12,10,12,11,18,25,14/1,Bet 365,Further details
Tony Finau,-,-,-,-,-,-,-,-,-,-,15,-,-,-,59,MC,-,-,-,14,4,40,16,25,22/1,Bet 365,Further details
Chandler Phillips,MC,33,-,20,-,11,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,25,175/1,Bet 365,Further details
Kyounghoon Lee,5,63,-,MC,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,MC,21,32,63,MC,25,400/1,Bet 365,Further details
Siwoo Kim,-,6,-,-,-,WD,-,-,-,-,32,MC,-,-,-,9,-,-,40,WD,1,11,22,25,33/1,Bet 365,Further details
Vincent Whaley,16,-,-,55,5,8,-,-,-,-,-,72,-,-,-,-,-,-,-,29,MC,40,-,34,225/1,Bet 365,Further details
Jason Day,-,-,-,-,-,8,-,19,-,-,40,-,-,-,-,-,-,-,-,-,-,49,18,34,66/1,Bet 365,Further details
Will Zalatoris,-,41,-,-,-,-,-,18,-,-,26,-,-,-,-,-,-,-,-,-,-,6,36,34,45/1,Bet 365,Further details
Joe Highsmith,16,-,-,5,-,11,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,34,125/1,Bet 365,Further details
Justin Lower,MC,56,-,2,5,MC,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,MC,41,39,150/1,Bet 365,Further details
Wyndham Clark,-,-,-,-,-,-,-,17,-,-,15,-,-,-,-,-,-,-,18,MC,54,13,50,39,30/1,Bet 365,Further details
Daniel Berger,39,-,-,20,62,2,-,-,-,-,-,MC,-,-,MC,-,-,-,12,29,-,-,-,39,100/1,Bet 365,Further details
Jacob Bridgeman,29,-,-,14,12,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,39,200/1,Bet 365,Further details
Lanto Griffin,29,-,-,60,12,68,-,-,-,-,-,MC,-,-,-,-,-,MC,-,-,MC,3,-,39,200/1,Bet 365,Further details
Mark Hubbard,14,41,-,-,3,35,-,-,-,-,-,21,-,-,20,28,MC,-,-,43,MC,-,MC,47,100/1,Bet 365,Further details
Andrew Putnam,16,27,-,-,MC,MC,-,-,-,-,-,30,-,-,MC,-,-,17,34,10,21,14,36,47,125/1,Bet 365,Further details
Ben Kohles,MC,56,-,-,57,MC,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,MC,-,47,500/1,Bet 365,Further details
Beau Hossler,23,56,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,20,MC,MC,MC,-,50,47,80/1,Bet 365,Further details
