Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Keith Mitchell,28^^,20,-,MC,37,10,-,-,-,MC,18,MC,-,-,-,-,-,-,-,-,-,-,-,MC,10700,Further details,16/1,Bet 365,Further details
Michael Thorbjornsen,-,-,-,-,-,-,-,-,39,MC,2,MC,-,-,-,-,-,-,-,-,-,-,-,-,10400,Further details,22/1,Bet 365,Further details
Samuel Stevens,4^^,62,10,-,MC,14,-,2^,-,10,34,57,-,-,-,-,-,-,-,-,-,-,-,39,10100,Further details,25/1,Bet 365,Further details
Taylor Pendrith,11^^,1,10,MC,-,21,33,16,23,72,-,-,-,-,-,-,-,-,-,-,-,13,11,MC,9900,Further details,22/1,Bet 365,Further details
Mark Hubbard,3^^,52,-,26,65,42,-,50,-,52,32,MC,-,MC,-,144,20,18,-,-,-,43,4,10,9700,Further details,33/1,Bet 365,Further details
Patrick Rodgers,-,-,29,MC,45,-,MC,-,16,31,34,-,-,-,39,269,59,-,37,59,19,13,-,2,9500,Further details,25/1,Bet 365,Further details
Chan Kim,28^^,MC,40,-,MC,MC,-,-,-,MC,12,10,-,-,-,-,-,-,-,-,-,-,-,-,9400,Further details,28/1,Bet 365,Further details
Kevin Yu,28^^,MC,4,-,61,42,-,-,-,31,20,MC,-,-,-,-,-,-,-,-,-,-,-,-,9300,Further details,30/1,Bet 365,Further details
Neal Shipley,-,-,-,-,-,-,-,26,-,20,MC,6,-,-,-,-,-,-,-,-,-,-,-,-,9200,Further details,33/1,Bet 365,Further details
Mac Meissner,23^^,MC,13,-,5,57,-,MC,-,MC,20,16,-,-,-,-,-,-,-,-,-,-,-,-,9100,Further details,30/1,Bet 365,Further details
J.J Spaun,MC^^,MC,26,-,MC,MC,-,-,-,10,23,45,-,-,-,-,-,29,3,46,48,MC,-,10,9000,Further details,45/1,Bet 365,Further details
Adam Svensson,-,-,47,43,24,51,27,56,16,MC,34,-,-,-,-,-,-,-,-,65,-,-,-,-,8900,Further details,33/1,Bet 365,Further details
Beau Hossler,MC^^,52,4,MC,MC,14,-,MC,-,31,61,-,-,-,-,-,-,-,-,35,21,MC,-,6,8800,Further details,35/1,Bet 365,Further details
Andrew Putnam,MC^^,-,29,53,MC,-,45,-,44,-,MC,MC,-,-,-,287,-,-,1,-,-,2,MC,-,8700,Further details,45/1,Bet 365,Further details
Max Greyserman,4^^,MC,40,-,MC,MC,-,21,-,31,26,21,-,-,-,-,-,-,-,-,-,-,-,-,8600,Further details,40/1,Bet 365,Further details
Benjamin Silverman,MC^^,MC,16,-,32,35,-,-,-,17,18,31,-,-,-,-,-,-,11,MC,-,-,-,-,8500,Further details,45/1,Bet 365,Further details
