Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,1,41,1,-,-,-,7,-,1,-,4,-,-,-,-,-,-,-,-,20,22,3,2,12300,Further details,7/2,Bet 365,Further details
Xander Schauffele,-,8,7,13,-,-,15,1,-,9,-,2,-,-,-,-,-,20,3,19,25,49,3,8,11100,Further details,6/1,Bet 365,Further details
Rory McIlroy,4,15,2,-,-,-,4,MC,-,5,-,68,-,59,8,4,42,58,5,19,12,4,8,4,10800,Further details,12/1,Bet 365,Further details
Hideki Matsuyama,-,8,6,23,-,-,MC,66,-,3,-,1,-,-,20,7,24,47,15,3,3,46,35,WD,10500,Further details,18/1,Bet 365,Further details
Viktor Hovland,-,15,MC,20,-,-,46,MC,-,30,-,2,-,-,-,-,-,-,-,-,40,17,35,1,10400,Further details,16/1,Bet 365,Further details
Collin Morikawa,-,2,14,13,-,-,4,16,-,24,-,22,-,-,-,-,-,-,-,48,20,63,44,25,10100,Further details,14/1,Bet 365,Further details
Ludvig Aberg,-,5,12,27,-,-,4,MC,-,18,-,40,-,-,-,-,-,-,-,-,-,-,-,-,10000,Further details,22/1,Bet 365,Further details
Patrick Cantlay,-,MC,3,5,-,-,-,25,-,-,-,12,-,-,-,-,-,9,55,2,12,1,1,15,9800,Further details,20/1,Bet 365,Further details
Tony Finau,-,8,3,5,-,-,-,MC,12,-,-,16,-,-,-,47,66,7,8,4,5,15,28,37,9700,Further details,30/1,Bet 365,Further details
Tommy Fleetwood,21,20,16,15,-,-,34,MC,-,2,-,22,-,-,-,-,-,-,8,11,-,-,-,25,9600,Further details,25/1,Bet 365,Further details
Sam Burns,10,15,9,55,-,-,-,31,12,-,-,5,-,-,-,-,-,-,-,-,-,8,19,15,9400,Further details,35/1,Bet 365,Further details
Billy Horschel,-,15,41,55,-,-,MC,2,-,-,7,10,-,18,1,32,10,62,3,37,33,52,35,-,9300,Further details,35/1,Bet 365,Further details
Wyndham Clark,-,MC,56,9,-,-,10,MC,-,14,-,7,-,-,-,-,-,-,-,31,-,-,64,15,9200,Further details,35/1,Bet 365,Further details
Russell Henley,-,27,7,48,-,-,-,5,-,-,-,30,-,39,59,49,-,47,-,-,25,60,35,8,9100,Further details,45/1,Bet 365,Further details
Sungjae Im,-,8,MC,3,-,12,4,7,-,-,41,40,-,-,-,-,-,-,-,11,56,3,15,7,9000,Further details,45/1,Bet 365,Further details
