Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Rory McIlroy,-,3,-,MC,-,-,-,47,-,7,-,7,-,-,-,-,-,-,-,-,-,-,1,1,11500,9/2,Bet 365,Further details,9
Sam Burns,6,1,-,29,15,11^^,-,MC,-,MC,6,16,-,-,-,-,-,-,-,-,-,-,-,4,10500,12/1,Bet 365,Further details,MC
Tyrrell Hatton,-,59,MC,34,19,-,-,3,5,15,-,12,-,-,-,-,-,-,-,-,-,-,-,MC,10200,14/1,Bet 365,Further details,3
Matthew Fitzpatrick,MC,31,-,10,1,-,-,35,-,MC,-,9,-,-,-,-,-,-,-,81,-,-,-,10,9900,14/1,Bet 365,Further details,20
Corey Conners,-,17,1,MC,31,-,-,8,-,12,-,MC,-,-,-,-,MC,MC,MC,80,-,MC,MC,6,9800,16/1,Bet 365,Further details,20
Justin Rose,36,-,-,16,25,-,-,-,-,9,12,-,-,-,-,-,-,-,-,-,-,-,-,4,9700,20/1,Bet 365,Further details,8
Tommy Fleetwood,3,52,-,33,15,-,-,5,-,18,MC,-,-,-,-,-,-,-,-,-,-,6,-,-,9600,20/1,Bet 365,Further details,2
Shane Lowry,-,31,-,16,67,-,-,MC,-,12,-,16,-,-,-,-,-,-,-,-,MC,12,2,10,9400,20/1,Bet 365,Further details,43
Cameron Young,-,2,-,7,51,-,-,59,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,9300,14/1,Bet 365,Further details,57
Sahith Theegala,-,31,-,9,5,23^^,-,56,-,40,-,58,-,-,-,-,-,-,-,-,-,-,-,53,9200,28/1,Bet 365,Further details,38
Matt Kuchar,-,9,3,-,19,-,-,23,43,MC,-,62,-,4,MC,34,2,4,7,9,32,MC,4,-,9100,40/1,Bet 365,Further details,20
Keith Mitchell,-,52,-,53,MC,6^^,-,59,-,58,-,48,-,-,-,-,-,-,-,-,-,65,-,7,8900,35/1,Bet 365,Further details,MC
Adam Hadwin,MC,31,-,-,MC,2^^,-,MC,34,40,-,MC,-,37,4,MC,MC,53,7,49,MC,MC,6,35,8700,40/1,Bet 365,Further details,12
Adrian Meronk,-,17,-,MC,-,-,21,1,-,40,5,-,-,-,-,-,-,-,-,-,-,-,-,-,8600,45/1,Bet 365,Further details,MC
Adam Svensson,-,52,-,MC,41,-,-,27,-,40,-,MC,-,-,-,-,MC,MC,34,-,-,MC,MC,21,8500,66/1,Bet 365,Further details,MC
Nicolai Hojgaard,-,2,28,-,-,32^^,33,5,-,50,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,8400,45/1,Bet 365,Further details,MC
Ludvig Aberg,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8300,50/1,Bet 365,Further details,25
Joseph Bramlett,36,-,MC,-,-,26^^,10,40,19,-,MC,16,-,-,MC,-,-,-,-,-,-,-,-,MC,8200,75/1,Bet 365,Further details,NR
Nick Taylor,10,31,15,-,41,2^^,-,-,-,MC,MC,-,-,MC,MC,MC,-,-,56,MC,MC,71,27,28,8100,66/1,Bet 365,Further details,1
Michael Kim,45,26,46,-,-,19^^,30,7,MC,-,6,-,-,-,-,-,-,-,-,49,MC,-,-,-,8000,80/1,Bet 365,Further details,43
Brendon Todd,-,-,53,-,51,26^^,-,8,-,MC,57,WD,-,-,-,19,-,-,-,MC,-,-,MC,13,7900,90/1,Bet 365,Further details,34
Eric Cole,MC,-,39,-,MC^,MC^^,5,MC,23,15,MC,24,-,-,-,-,-,-,-,-,-,-,-,-,7900,80/1,Bet 365,Further details,6
Alex Smalley,27,-,MC,-,MC,-,MC,18,-,23,40,MC,-,-,-,-,-,-,-,-,-,-,-,21,7800,90/1,Bet 365,Further details,25
Aaron Wise,-,31,-,-,-,-,-,-,50,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,7800,75/1,Bet 365,Further details,MC
Taylor Pendrith,-,70,MC,-,MC,13^^,30,MC,-,29,-,60,-,-,-,-,-,43,MC,-,-,-,-,-,7700,90/1,Bet 365,Further details,65
Maverick McNealy,36,52,-,-,MC,-,60,-,MC,MC,52,-,-,-,-,-,-,-,-,-,-,-,-,-,7700,80/1,Bet 365,Further details,MC
Aaron Rai,-,-,28,-,48,13^^,MC,MC,MC,-,12,MC,-,-,-,-,-,-,-,-,-,-,-,13,7600,90/1,Bet 365,Further details,3
Harry Hall,MC,13,28,-,-,MC^^,10,MC,83,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,7600,80/1,Bet 365,Further details,34
Michael Thorbjornsen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7600,66/1,Bet 365,Further details,MC
Lee Hodges,63,-,6,-,41,MC^^,73,MC,-,55,29,12,-,-,-,-,-,-,-,-,-,-,-,48,7500,110/1,Bet 365,Further details,25
Sam Stevens,MC,3,2,-,MC,MC^^,-,47,34,72,29,41,-,-,-,-,-,-,-,-,-,-,-,-,7500,90/1,Bet 365,Further details,NR
Vincent Norrman,MC,16,MC,-,-,9^^,18,-,8,-,48,-,-,-,-,-,-,-,-,-,-,-,-,-,7500,110/1,Bet 365,Further details,MC
Brandon Wu,MC,-,58,-,MC,26^^,3,-,23,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7500,100/1,Bet 365,Further details,9
Mackenzie Hughes,-,5,-,29,MC,-,-,MC,14,MC,-,MC,-,-,-,MC,MC,-,-,-,32,8,14,28,7400,90/1,Bet 365,Further details,MC
Luke List,MC,-,39,-,MC,23^^,MC,MC,34,-,57,16,-,-,-,-,21,-,-,14,30,-,-,-,7400,100/1,Bet 365,Further details,NR
William Gordon,36,-,MC,-,-,MC^^,24,MC,70,-,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,7400,100/1,Bet 365,Further details,18
David Lipsky,36,-,-,-,MC,13^^,60,MC,MC,-,16,12,-,-,-,-,-,-,-,-,-,-,-,MC,7400,110/1,Bet 365,Further details,MC
Mark Hubbard,MC,29,MC,-,11,MC^^,18,27,-,75,9,30,-,-,-,-,-,-,MC,49,62,-,-,44,7300,110/1,Bet 365,Further details,6
Ben Martin,45,8,10,-,41,MC^^,46,MC,-,-,57,-,-,-,31,-,-,-,-,MC,MC,-,-,53,7300,110/1,Bet 365,Further details,MC
Seonghyeon Kim,45,-,15,-,-,13^^,24,MC,50,-,MC,41,-,-,-,-,-,-,-,-,-,-,-,-,7300,125/1,Bet 365,Further details,25
Nate Lashley,MC,-,MC,-,31,-,39,27,23,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,7300,125/1,Bet 365,Further details,17
Webb Simpson,7,-,-,-,MC,-,-,64,-,MC,-,-,-,37,-,-,-,-,-,-,-,-,2,-,7300,110/1,Bet 365,Further details,NR
Doug Ghim,27,16,MC,-,54,MC^^,MC,27,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,7200,110/1,Bet 365,Further details,12
Charley Hoffman,MC,MC,22,-,-,19^^,55,-,MC,-,-,-,-,4,-,MC,16,MC,7,-,2,29,-,35,7200,150/1,Bet 365,Further details,NR
Aaron Baddeley,-,46,-,-,-,MC^^,39,-,23,-,21,-,-,54,-,-,9,MC,MC,-,-,65,-,-,7200,125/1,Bet 365,Further details,MC
Akshay Bhatia,MC,24,46,-,MC,MC^^,4,43,-,-,56,MC,-,-,-,-,-,-,-,-,-,-,-,-,7200,100/1,Bet 365,Further details,68
