Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Wyndham Clark,-,-,-,50,37,-,10,33,-,34,27,5,-,-,-,-,-,-,-,22,10500,Further details,11/1,Bet 365,Further details,6
Joel Dahmen,-,-,-,-,-,41,50,MC,-,MC,60,61,-,11,-,13,12,-,1,WD,10300,Further details,18/1,Bet 365,Further details,50
Stephan Jaeger,-,-,27,36,53,-,MC,40,14,-,44,27,-,11,MC,54,26,-,48,-,9900,Further details,25/1,Bet 365,Further details,NR
Taylor Pendrith,-,-,-,MC,61,7,57,-,42,MC,69,-,-,-,-,-,-,-,34,-,9700,Further details,25/1,Bet 365,Further details,70
Thomas Detry,-,-,-,26,37,37,-,33,WD,24,MC,-,-,-,-,-,33,33,13,15,9600,Further details,22/1,Bet 365,Further details,8
Ben Martin,-,-,31,MC,MC,13,-,-,5,-,54,45,-,-,-,-,-,52,9,2,9400,Further details,30/1,Bet 365,Further details,8
Matt Wallace,-,-,-,20,16,-,MC,MC,29,-,MC,7,-,-,-,-,-,-,-,-,9300,Further details,22/1,Bet 365,Further details,1
Jhonattan Vegas,-,-,-,MC,25,-,23,56,21,-,MC,MC,-,-,-,-,26,MC,18,4,9200,Further details,33/1,Bet 365,Further details,NR
Erik Van Rooyen,-,-,-,6,-,MC,50,-,MC,32,-,10,-,-,-,-,-,-,-,-,9100,Further details,25/1,Bet 365,Further details,56
Patrick Rodgers,-,-,-,MC,MC,-,14,MC,-,MC,MC,36,-,-,-,22,-,11,43,MC,9000,Further details,35/1,Bet 365,Further details,MC
Emiliano Grillo,-,-,MC,MC,44,-,MC,67,-,39,MC,-,-,-,-,50,-,21,6,MC,8900,Further details,33/1,Bet 365,Further details,70
Nicolai Hojgaard,-,-,-,10,38,13,-,5,32,-,-,-,-,-,-,-,-,-,-,MC,8800,Further details,28/1,Bet 365,Further details,2
Kramer Hickok,-,-,MC,MC,-,-,MC,29,14,-,44,45,-,MC,-,-,10,21,-,13,8700,Further details,35/1,Bet 365,Further details,46
Chad Ramey,-,38,54,-,-,70,MC,MC,MC,-,27,27,-,-,-,-,-,-,-,1,8600,Further details,33/1,Bet 365,Further details,WD
Tyler Duncan,-,-,MC,41,MC,-,MC,33,3,-,54,MC,-,33,3,MC,59,-,48,28,8500,Further details,28/1,Bet 365,Further details,3
Adam Long,-,-,48,MC,73,48,42,50,MC,-,MC,19,-,MC,8,-,-,5,-,-,8400,Further details,35/1,Bet 365,Further details,MC
Cameron Percy,-,-,-,-,MC,WD,-,-,12,MC,-,16,-,-,-,54,-,8,-,4,8300,Further details,40/1,Bet 365,Further details,68
Fabrizio Zanotti,-,-,-,MC,38,MC,23,9,-,-,-,-,-,-,-,50,-,-,22,-,8200,Further details,55/1,Bet 365,Further details,29
Michael Kim,-,-,MC,MC,44,11,-,-,MC,5,-,45,-,-,-,43,-,MC,MC,-,8100,Further details,40/1,Bet 365,Further details,26
Nick Hardy,-,-,41,-,44,41,-,MC,MC,MC,MC,MC,-,-,-,-,MC,-,-,MC,8000,Further details,66/1,Bet 365,Further details,13
Sam Stevens,-,-,MC,67,13,34,-,-,MC,15,-,MC,-,-,-,-,-,-,-,-,7900,Further details,40/1,Bet 365,Further details,3
Mark Hubbard,-,-,MC,MC,-,20,MC,MC,42,-,35,MC,-,-,-,-,-,-,-,MC,7900,Further details,60/1,Bet 365,Further details,29
