Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jon Rahm,-,-,-,1,-,8,-,-,-,1,-,1,-,-,-,-,-,-,1,29,5,2,7,3,11600,4/1,Bet 365,Further details,7
Tony Finau,-,MC,1,-,-,7,-,-,-,7,-,16,-,-,-,-,24,18,4,6,13,6,2,MC,10500,14/1,Bet 365,Further details,9
Xander Schauffele,-,-,-,-,-,4,-,-,-,WD,-,3,-,-,-,-,-,MC,MC,MC,25,MC,2,34,10300,14/1,Bet 365,Further details,13
Collin Morikawa,-,15,-,-,-,6,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,21,-,-,10000,16/1,Bet 365,Further details,3
Will Zalatoris,-,-,-,-,-,-,-,-,-,11,-,36,-,-,-,-,-,-,-,MC,-,-,7,2,9700,18/1,Bet 365,Further details,MC
Justin Thomas,-,-,-,-,-,5,-,-,-,25,-,-,-,-,-,10,MC,-,-,-,-,-,-,20,9400,14/1,Bet 365,Further details,25
Sungjae Im,-,-,-,-,-,8,-,-,-,13,MC,18,-,-,-,-,-,-,-,-,52,36,32,6,9300,20/1,Bet 365,Further details,4
Taylor Montgomery,-,10,57,15,-,-,-,-,-,-,12,5,-,-,-,-,-,-,-,-,-,-,-,11,9200,25/1,Bet 365,Further details,31
Max Homa,-,-,-,-,-,17,4^^,-,-,3,-,-,-,-,-,MC,MC,-,MC,-,-,9,18,MC,9100,20/1,Bet 365,Further details,1
Hideki Matsuyama,-,-,WD,-,-,-,-,-,-,21,48,-,-,-,-,16,MC,MC,33,12,3,45,53,30,9000,30/1,Bet 365,Further details,9
Siwoo Kim,-,-,35,-,-,-,-,-,-,-,1,22,-,-,-,-,-,18,WD,35,29,-,MC,11,8900,30/1,Bet 365,Further details,25
Jason Day,-,21,16,MC,-,-,10^^,-,-,-,-,18,-,-,9,2,1,MC,MC,1,5,16,MC,3,8800,22/1,Bet 365,Further details,7
Sahith Theegala,-,-,22,2,-,-,1^^,-,-,33,-,54,-,-,-,-,-,-,-,-,-,-,-,25,8700,50/1,Bet 365,Further details,4
Maverick McNealy,-,10,27,-,-,-,10^^,-,-,-,7,-,-,-,-,-,-,-,-,29,-,15,MC,30,8600,35/1,Bet 365,Further details,31
J.J Spaun,-,15,-,15,-,-,12^^,-,-,5,12,-,-,-,-,-,-,-,9,23,MC,30,MC,34,8500,55/1,Bet 365,Further details,MC
Cameron Davis,-,-,-,-,7,MC,-,-,-,-,31,MC,-,-,-,-,-,-,-,58,57,36,32,56,8400,60/1,Bet 365,Further details,MC
