Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New  Account  Offer,2024 Result
Xander Schauffele,-,-,-,-,-,-,-,-,-,10,-,3,-,-,-,-,MC,MC,MC,25,MC,2,34,13,10600,9/1,Bet 365,Further details,9
Patrick Cantlay,-,-,-,-,-,-,-,-,-,12,-,52,-,MC,-,-,-,-,51,MC,-,-,-,-,10500,10/1,Bet 365,Further details,56
Collin Morikawa,-,-,-,-,-,7,-,-,-,5,-,-,-,-,-,-,-,-,-,-,21,-,-,3,10200,11/1,Bet 365,Further details,MC
Max Homa,-,-,1,-,-,13,-,-,-,14,-,-,-,-,MC,MC,-,MC,-,-,9,18,MC,1,10100,10/1,Bet 365,Further details,13
Sungjae Im,-,-,-,-,-,-,-,-,-,5,-,25,-,-,-,-,-,-,-,52,36,32,6,4,9900,22/1,Bet 365,Further details,MC
Ludvig Aberg,-,10,-,1,-,-,-,-,-,47,30,-,-,-,-,-,-,-,-,-,-,-,-,-,9700,18/1,Bet 365,Further details,9
Jason Day,-,-,-,-,-,11,-,-,-,10,-,34,-,9,2,1,MC,MC,1,5,16,MC,3,7,9500,25/1,Bet 365,Further details,MC
Tony Finau,-,-,-,-,-,4,-,-,-,38,-,25,-,-,-,24,18,4,6,13,6,2,MC,9,9300,25/1,Bet 365,Further details,6
Minwoo Lee,-,-,-,15,1,3,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,9100,28/1,Bet 365,Further details,43
Eric Cole,-,-,-,3,-,-,-,-,-,14,13,21,-,-,-,-,-,-,-,-,-,-,-,MC,9000,33/1,Bet 365,Further details,MC
Keegan Bradley,-,-,-,-,-,13,-,-,-,45,2,-,-,MC,16,41,MC,4,5,35,16,-,65,2,8900,33/1,Bet 365,Further details,43
Harris English,-,-,-,28,-,-,-,-,-,14,10,-,-,73,-,2,31,14,8,MC,71,MC,-,MC,8800,55/1,Bet 365,Further details,64
Sahith Theegala,-,MC,-,31^,-,-,-,-,-,2,MC,-,-,-,-,-,-,-,-,-,-,-,25,4,8700,40/1,Bet 365,Further details,64
Sepp Straka,-,-,-,22,-,2,-,-,-,12,-,-,-,-,-,-,-,-,-,13,MC,32,16,-,8600,50/1,Bet 365,Further details,MC
Hideki Matsuyama,-,-,-,10^,-,-,-,-,-,58,30,-,-,-,16,MC,MC,33,12,3,45,53,30,9,8500,40/1,Bet 365,Further details,13
Nicolai Hojgaard,-,-,2,1,-,-,-,-,-,-,25,7,-,-,-,-,-,-,-,-,-,-,-,-,8400,45/1,Bet 365,Further details,2
Justin Rose,-,-,51,-,-,8,-,-,-,40,57,-,-,-,-,MC,MC,4,8,1,MC,-,6,18,8300,45/1,Bet 365,Further details,56
Adrian Meronk,-,-,15,32,40,8,-,-,-,-,10,2,-,-,-,-,-,-,-,-,-,-,-,-,8200,45/1,Bet 365,Further details,NR
Daniel Berger,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,24,MC,MC,-,MC,-,-,20,-,8100,55/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,-,-,-,-,9,17,3,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,46,-,8000,66/1,Bet 365,Further details,MC
Will Zalatoris,-,-,-,-,-,20,-,-,-,-,MC,34,-,-,-,-,-,-,MC,-,-,7,2,MC,8000,45/1,Bet 365,Further details,13
Keith Mitchell,-,38,-,MC,-,-,-,-,-,-,30,9,-,-,-,-,-,-,63,MC,MC,MC,MC,-,7900,75/1,Bet 365,Further details,MC
Shane Lowry,-,-,-,18,-,-,-,-,-,-,-,MC,-,-,-,7,13,33,MC,-,-,-,-,-,7900,50/1,Bet 365,Further details,25
Luke List,-,45,20,19,-,-,-,-,-,22,66,-,-,68,-,-,MC,MC,12,40,36,10,1,25,7800,66/1,Bet 365,Further details,50
Stephan Jaeger,-,45,-,28,-,-,-,-,-,-,18,52,-,-,-,-,-,-,MC,66,-,-,MC,53,7800,70/1,Bet 365,Further details,3
Benjamin Griffin,-,23,37,8,-,-,-,-,-,-,30,9,-,-,-,-,-,-,-,-,-,-,-,31,7700,80/1,Bet 365,Further details,MC
Patrick Rodgers,-,-,-,-,-,16,-,-,-,14,24,-,-,-,-,-,MC,4,MC,MC,9,MC,62,MC,7700,70/1,Bet 365,Further details,9
Nick Dunlap,-,-,MC,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,7600,80/1,Bet 365,Further details,NR
Beau Hossler,-,15,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,49,35,57,9,MC,MC,MC,7600,66/1,Bet 365,Further details,6
Adam Svensson,-,45,-,5,-,-,-,-,-,33,30,-,-,-,-,-,-,-,-,35,-,-,79,MC,7600,70/1,Bet 365,Further details,MC
Emiliano Grillo,-,MC,-,-,-,-,-,-,-,43,7,-,-,-,-,-,MC,33,12,52,MC,MC,MC,44,7500,100/1,Bet 365,Further details,20
Ryo Hisatsune,21,-,9,18,13,8,-,-,-,-,30,11,-,-,-,-,-,-,-,-,-,-,-,-,7500,110/1,Bet 365,Further details,33
Ryan Fox,-,-,51,34,-,-,-,-,-,-,14,31,-,-,-,-,-,-,-,-,-,-,-,-,7500,70/1,Bet 365,Further details,MC
Akshay Bhatia,-,10,20,38,-,-,-,-,-,14,13,MC,-,-,-,-,-,-,-,-,-,-,-,-,7500,75/1,Bet 365,Further details,13
Taylor Montgomery,-,31,-,8,-,-,-,-,-,-,13,61,-,-,-,-,-,-,-,-,-,-,11,31,7400,80/1,Bet 365,Further details,13
Aaron Rai,9,-,10,-,-,-,-,-,-,-,57,MC,-,-,-,-,-,-,-,-,-,-,6,52,7400,80/1,Bet 365,Further details,33
Taylor Pendrith,-,15,8,MC,-,-,-,-,-,-,10,MC,-,-,-,-,-,-,-,-,-,-,16,60,7400,75/1,Bet 365,Further details,9
Billy Horschel,-,-,-,MC,-,-,-,-,-,-,18,MC,-,39,23,MC,8,64,54,8,68,MC,11,-,7400,75/1,Bet 365,Further details,MC
Taylor Moore,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,MC,11,7300,110/1,Bet 365,Further details,70
Adam Schenk,-,-,-,19,-,-,-,-,-,29,-,MC,-,-,-,-,-,-,MC,57,-,MC,56,20,7300,100/1,Bet 365,Further details,25
Michael Kim,-,23,-,-,-,-,-,-,-,-,42,6,-,-,MC,-,31,54,23,MC,-,53,-,44,7300,125/1,Bet 365,Further details,37
Mackenzie Hughes,-,7,-,2,-,-,-,-,-,25,-,-,-,-,-,-,-,54,MC,29,MC,MC,MC,-,7300,110/1,Bet 365,Further details,64
J.J Spaun,-,67,-,13,-,-,-,-,-,-,MC,-,-,-,-,-,-,9,23,MC,30,MC,34,MC,7300,90/1,Bet 365,Further details,MC
Sam Ryder,-,10,-,13,-,-,-,-,-,-,-,62,-,-,-,-,-,-,MC,43,MC,10,MC,4,7200,110/1,Bet 365,Further details,MC
Justin Suh,-,4,-,64,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,MC,37,-,20,7200,125/1,Bet 365,Further details,77
Alex Smalley,-,-,30,44,-,-,-,-,-,-,MC,21,-,-,-,-,-,-,-,-,-,-,56,37,7200,110/1,Bet 365,Further details,MC
Kevin Yu,-,MC,30,MC,-,-,-,-,-,-,MC,3,-,-,-,-,-,-,-,-,-,-,MC,44,7200,110/1,Bet 365,Further details,6
Davis Thompson,-,15,-,53,-,-,-,-,-,-,57,21,-,-,-,-,-,-,-,-,-,-,-,69,7200,125/1,Bet 365,Further details,MC
Tom Hoge,-,-,-,-,-,-,-,-,-,38,MC,17,-,-,-,MC,MC,-,12,MC,5,MC,MC,-,7200,110/1,Bet 365,Further details,56
Thomas Detry,-,38,MC,28,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,37,7100,100/1,Bet 365,Further details,20
Alexander Bjork,MC,-,10,36,-,-,-,-,-,-,MC,11,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,70
Kyounghoon Lee,-,54,-,58,-,-,-,-,-,-,30,25,-,-,-,-,-,-,-,MC,MC,MC,-,-,7100,125/1,Bet 365,Further details,MC
Matthieu Pavon,47,-,15,5,-,-,-,MC,-,-,7,39,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,1
Chesson Hadley,-,7,-,38,-,-,-,-,-,-,-,56,-,-,MC,-,58,-,23,MC,MC,MC,MC,-,7100,125/1,Bet 365,Further details,25
Matt Wallace,9,-,15,2,-,-,-,-,-,40,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,MC
Austin Eckroat,-,23,-,8,-,-,-,-,-,-,42,25,-,-,-,-,-,-,-,-,-,-,MC,MC,7100,125/1,Bet 365,Further details,37
Samuel Stevens,-,-,-,MC,-,-,-,-,-,-,24,65,-,-,-,-,-,-,-,-,-,-,-,13,7000,200/1,Bet 365,Further details,43
Seonghyeon Kim,-,-,-,-,-,-,-,-,-,-,30,MC,-,-,-,-,-,-,-,-,-,-,-,20,7000,150/1,Bet 365,Further details,50
Nick Hardy,-,23,45,23,-,MC,-,-,-,47,42,-,-,-,-,-,-,-,-,MC,-,-,MC,44,7000,150/1,Bet 365,Further details,37
Gary Woodland,-,-,-,-,-,-,-,-,-,-,MC,-,-,27,10,45,18,20,12,9,MC,48,39,62,7000,125/1,Bet 365,Further details,MC
Ben Kohles,-,-,-,5,-,-,-,-,-,-,52,47,-,MC,-,-,-,-,-,-,-,-,MC,-,7000,150/1,Bet 365,Further details,MC
Mark Hubbard,-,MC,20,MC,-,-,-,-,-,-,57,47,-,-,-,61,MC,-,-,-,-,-,MC,-,7000,175/1,Bet 365,Further details,20
Nicholas Lindheim,-,-,-,28,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,MC,43,-,-,-,-,7000,125/1,Bet 365,Further details,MC
Scott Stallings,-,-,-,MC,-,-,-,-,-,-,42,MC,-,MC,1,2,25,MC,MC,43,49,MC,46,MC,7000,150/1,Bet 365,Further details,25
Maverick McNealy,-,MC,-,58,-,-,-,-,-,-,57,MC,-,-,-,-,-,-,29,-,15,MC,30,31,6900,150/1,Bet 365,Further details,37
Vincent Norrman,-,-,15,27,-,-,-,-,-,59,MC,-,-,-,-,-,-,-,-,-,-,-,-,44,6900,150/1,Bet 365,Further details,56
Greyson Sigg,-,MC,-,8,-,-,-,-,-,-,66,17,-,-,-,-,-,-,-,-,-,-,34,-,6900,200/1,Bet 365,Further details,MC
Victor Perez,-,-,33,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,150/1,Bet 365,Further details,MC
Stewart Cink,-,MC,7,44,-,-,-,-,-,-,24,5^,-,MC,28,MC,MC,20,MC,MC,55,-,-,-,6900,175/1,Bet 365,Further details,MC
William Gordon,-,15,-,36,-,-,-,-,-,-,42,67,-,-,-,-,-,-,-,-,21,42,-,MC,6900,250/1,Bet 365,Further details,MC
Carl Yuan,-,MC,4,68,-,-,-,-,-,-,4,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6900,200/1,Bet 365,Further details,MC
Lee Hodges,-,-,-,-,-,-,-,-,-,57,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6900,300/1,Bet 365,Further details,MC
Joseph Bramlett,-,-,-,-,-,-,-,-,-,-,52,MC,-,-,-,-,-,-,-,-,45,18,67,13,6800,300/1,Bet 365,Further details,25
Lanto Griffin,-,54,53,MC,-,-,-,-,-,-,72,39,-,-,-,-,-,-,12,-,MC,7,30,37,6800,275/1,Bet 365,Further details,64
Cameron Champ,-,45,-,58,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,MC,16,MC,46,53,6800,200/1,Bet 365,Further details,MC
Taiga Semikawa,-,3^,MC^,2^,10^,1^,-,-,-,-,30,MC,-,-,-,-,-,-,-,-,-,-,-,67,6800,275/1,Bet 365,Further details,64
Vincent Whaley,-,59,8,13,-,-,-,-,-,-,MC,34,-,-,-,-,-,-,-,-,MC,MC,MC,-,6800,150/1,Bet 365,Further details,MC
Robert MacIntyre,6,-,58,18,33,MC,-,-,-,-,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Tyler Duncan,-,MC^,-,3,-,-,-,-,-,-,65,34,-,-,-,-,-,-,MC,MC,-,MC,-,MC,6800,250/1,Bet 365,Further details,MC
Doug Ghim,-,15,MC,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,20,MC,37,34,MC,6800,200/1,Bet 365,Further details,13
Jhonattan Vegas,-,-,22^,-,MC,17,-,-,-,-,MC,MC,-,MC,59,11,18,28,MC,MC,30,MC,39,25,6700,250/1,Bet 365,Further details,MC
Chan Kim,-,-,-,-,-,-,-,-,-,-,MC,14,-,-,-,-,-,-,-,-,-,-,-,-,6700,300/1,Bet 365,Further details,MC
Seamus Power,-,-,-,-,-,-,-,-,-,50,74,-,-,-,-,-,-,MC,MC,MC,-,MC,-,-,6700,250/1,Bet 365,Further details,MC
Francesco Molinari,-,-,60,MC,-,-,-,-,-,-,5,MC,-,-,-,-,MC,14,45,-,MC,10,62,-,6700,300/1,Bet 365,Further details,73
Joel Dahmen,-,-,-,-,-,-,-,-,-,-,72,MC,-,-,-,-,-,-,MC,9,55,MC,MC,-,6700,275/1,Bet 365,Further details,MC
Carson Young,-,9,-,71,-,-,-,-,-,-,MC,17,-,-,-,-,-,-,-,-,-,-,-,MC,6700,350/1,Bet 365,Further details,56
Zac Blair,-,MC,-,MC,-,-,-,-,-,-,30,62,-,-,-,11,MC,41,MC,-,21,-,-,MC,6700,300/1,Bet 365,Further details,73
Matthias Schmid,-,38,3,MC,-,17,4,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6700,225/1,Bet 365,Further details,MC
Kevin Streelman,-,-,-,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,3,67,29,MC,45,37,39,60,6600,350/1,Bet 365,Further details,WD
Robby Shelton IV,-,59,-,MC,-,-,-,-,-,-,57,MC,-,-,-,-,-,-,-,-,36,16,-,67,6600,350/1,Bet 365,Further details,25
Alejandro Tosti,-,-,-,MC^,-,-,-,-,-,-,70,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,350/1,Bet 365,Further details,43
Ryan Moore,-,38,5,8,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,MC,-,MC,-,-,6600,225/1,Bet 365,Further details,MC
Troy Merritt,-,65,72,MC,-,-,-,-,-,-,24,MC,-,-,MC,MC,-,MC,MC,-,-,72,-,-,6600,350/1,Bet 365,Further details,MC
Matthew NeSmith,-,-,-,28,-,-,-,-,-,-,80,56,-,-,-,-,-,-,-,-,30,48,34,MC,6600,350/1,Bet 365,Further details,MC
Dylan Wu,-,-,30,MC,-,-,-,-,-,-,42,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6600,250/1,Bet 365,Further details,50
Harry Hall,-,MC,MC,-,-,-,-,-,-,-,42,MC,-,-,-,-,-,-,-,-,MC,-,-,MC,6600,350/1,Bet 365,Further details,MC
Garrick Higgo,-,-,-,-,-,-,-,-,-,-,80,MC,-,-,-,-,-,-,-,-,-,-,-,53,6500,300/1,Bet 365,Further details,MC
Chandler Phillips,-,-,-,-,-,-,-,-,-,-,57,25,-,-,-,-,-,-,-,-,-,-,-,-,6500,500/1,Bet 365,Further details,76
Joe Highsmith,-,-,-,-,-,-,-,-,-,-,MC,34,-,-,-,-,-,-,-,-,-,-,-,-,6500,400/1,Bet 365,Further details,33
Jacob Bridgeman,-,-,-,-,-,-,-,-,-,-,MC,39,-,-,-,-,-,-,-,-,-,-,-,-,6500,250/1,Bet 365,Further details,70
Chad Ramey,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,39,-,6500,300/1,Bet 365,Further details,78
Christopher Gotterup,-,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,50
Nate Lashley,-,10,-,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,MC,-,-,-,-,-,6500,300/1,Bet 365,Further details,3
Justin Lower,-,23,20,MC,-,-,-,-,-,-,74,39,-,-,-,-,-,-,-,-,-,-,MC,MC,6500,500/1,Bet 365,Further details,43
Charley Hoffman,-,MC,45,13,-,-,-,-,-,-,42,MC,-,34,7,MC,43,54,35,MC,9,WD,-,MC,6500,400/1,Bet 365,Further details,56
Callum Tarren,-,MC,-,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,25,6400,400/1,Bet 365,Further details,MC
Jimmy Stanger,-,-,-,-,-,-,-,-,-,-,MC,14,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,MC
Chez Reavie,-,72,-,-,-,-,-,-,-,-,MC,52,-,21,-,MC,MC,-,-,-,-,-,70,-,6400,400/1,Bet 365,Further details,MC
Adrien Dumont de Chassart,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,75
Benjamin Silverman,-,-,-,-,-,-,-,-,-,-,18,MC,-,-,-,-,-,-,67,62,-,-,-,-,6400,400/1,Bet 365,Further details,56
Jake Knapp,-,-,-,-,-,-,-,-,-,-,70,MC,-,-,-,MC,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,3
Harrison Endycott,-,MC,MC,MC,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,MC,6400,300/1,Bet 365,Further details,MC
Ben Martin,-,MC,27,MC,-,-,-,-,-,-,MC,56,-,-,MC,MC,-,-,-,-,MC,-,-,MC,6400,400/1,Bet 365,Further details,37
Davis Riley,-,MC,45,-,-,-,-,-,-,52,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6400,400/1,Bet 365,Further details,MC
Peter Malnati,-,59,37,MC,-,-,-,-,-,-,MC,MC,-,-,MC,-,-,MC,MC,-,MC,10,25,20,6300,350/1,Bet 365,Further details,MC
Max Greyserman,-,-,-,-,-,-,-,-,-,-,MC,56,-,-,-,-,-,-,-,-,-,-,-,-,6300,300/1,Bet 365,Further details,MC
Norman Xiong,-,-,-,MC^,-,-,-,-,-,-,79,MC,-,-,-,-,-,-,MC,-,-,-,-,-,6300,500/1,Bet 365,Further details,MC
Parker Coody,-,-,-,-,-,-,-,-,-,-,74,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,25
Patrick Fishburn,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,300/1,Bet 365,Further details,MC
Sami Valimaki,1,-,26,38,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,350/1,Bet 365,Further details,43
Nicolas Echavarria,-,31,76,44,-,-,-,-,-,25,66,65,-,-,-,-,-,-,-,-,-,-,-,MC,6300,400/1,Bet 365,Further details,MC
Aaron Baddeley,-,-,-,64,-,21,-,-,-,-,-,MC,-,6,74,MC,8,MC,MC,-,64,MC,-,MC,6300,350/1,Bet 365,Further details,37
Martin Laird,-,31,59,MC,-,-,-,-,-,-,MC,MC,-,60,37,7,8,74,MC,43,55,MC,46,MC,6300,400/1,Bet 365,Further details,MC
Andrew Novak,-,-,45,73,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,70,69,6200,600/1,Bet 365,Further details,MC
Brandt Snedeker,-,WD,-,-,-,-,-,-,-,-,MC,MC,-,2,MC,19,1,9,45,62,3,32,MC,-,6200,400/1,Bet 365,Further details,78
