Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Max Homa,MC,21,-,12,10,-,-,6,5,13,-,-,-,-,9,39,-,MC,-,60,62,-,1,1,11000,15/2,Bet 365,Further details,7
Justin Thomas,9,MC,-,60,MC,MC,12,-,-,-,-,-,-,-,72,MC,3,8,-,-,4,-,-,-,10500,14/1,Bet 365,Further details,5
Stephan Jaeger,64,9,13,-,34,30,14,20,-,-,-,-,-,-,-,-,-,-,30,MC,-,-,MC,43,10200,25/1,Bet 365,Further details,45
Cameron Davis,33,17,-,MC,-,10,7,6,40,-,-,-,-,-,-,-,-,-,-,17,MC,36,-,MC,10100,25/1,Bet 365,Further details,3
Sahith Theegala,52,-,-,MC,MC,MC,-,13,15,-,-,-,-,-,-,-,-,-,-,-,-,14,47,6,9800,20/1,Bet 365,Further details,1
Eric Cole,24,-,42,60,-,30,14,31,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,9500,33/1,Bet 365,Further details,4
Brendon Todd,MC,56,2,-,49,-,7,43,41,-,-,-,-,MC,26,-,26,-,-,-,MC,-,22,9,9400,35/1,Bet 365,Further details,6
Beau Hossler,MC,MC,26,-,6,13,MC,20,-,-,-,-,-,-,-,-,-,-,74,MC,MC,23,16,25,9300,33/1,Bet 365,Further details,30
J.J Spaun,MC,33,-,-,10,37,38,24,-,-,-,-,-,-,-,-,-,55,MC,41,MC,9,MC,59,9200,35/1,Bet 365,Further details,11
Andrew Putnam,45,-,-,42,55,-,27,24,10,-,-,-,-,-,-,MC,-,-,30,-,-,36,30,43,9100,40/1,Bet 365,Further details,MC
Alexander Noren,-,9,-,MC,23,13,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,9000,45/1,Bet 365,Further details,MC
Webb Simpson,52,MC,-,-,-,-,5,-,-,-,-,-,-,-,-,-,MC,MC,17,-,-,-,30,MC,8900,50/1,Bet 365,Further details,MC
Lucas Herbert,15,-,-,60,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,8800,40/1,Bet 365,Further details,30
Akshay Bhatia,-,MC,35,9,1,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,9,-,-,8700,45/1,Bet 365,Further details,MC
Justin Suh,56,78,-,-,34,43,MC,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,58,MC,8600,45/1,Bet 365,Further details,30
Chez Reavie,4,29,35,-,55,MC,27,-,-,-,-,-,-,16,51,53,17,22,13,33,33,3,28,MC,8500,50/1,Bet 365,Further details,66
Taylor Montgomery,-,-,MC,MC,-,MC,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8400,40/1,Bet 365,Further details,MC
Mark Hubbard,MC,MC,6,-,10,MC,MC,66,-,-,-,-,-,-,69,53,30,MC,-,-,13,MC,16,21,8300,40/1,Bet 365,Further details,17
Nick Hardy,38,MC,21,-,63,13,27,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,67,8200,50/1,Bet 365,Further details,MC
Matt Kuchar,MC,-,67,-,-,43,38,61,-,-,-,-,-,-,-,21,-,MC,-,-,-,-,36,12,8100,40/1,Bet 365,Further details,7
Kevin Streelman,MC,-,51,MC,-,2,MC,-,-,-,-,-,-,69,-,MC,41,MC,13,25,MC,3,-,59,8000,55/1,Bet 365,Further details,56
Doug Ghim,15,33,26,MC,-,27,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,MC,72,8000,50/1,Bet 365,Further details,17
Davis Thompson,MC,24,31,-,-,MC,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7900,40/1,Bet 365,Further details,30
Peter Kuest,-,4,17,MC,59,50,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,7900,55/1,Bet 365,Further details,MC
Austin Eckroat,24,MC,-,65,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,7800,55/1,Bet 365,Further details,MC
Taylor Pendrith,MC,14,-,6,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,67,7800,66/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,MC,56,MC,MC,49,MC,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7800,55/1,Bet 365,Further details,WD
