Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jon Rahm,1,-,8,-,-,-,1,-,1,7,-,3,-,-,-,-,-,-,-,-,9,17,5,21,11100,15/2,Bet 365,Further details,1
Scottie Scheffler,-,-,2,-,-,-,7,-,11,-,-,1,-,-,-,-,-,-,-,MC,-,30,20,7,10700,10/1,Bet 365,Further details,12
Rory McIlroy,4,-,-,-,-,-,-,-,-,1,-,32,-,-,-,-,-,20,-,20,4,5,MC,10,10500,10/1,Bet 365,Further details,29
Justin Thomas,-,-,5,-,-,-,25,-,-,25,-,4,-,-,-,-,41,54,39,9,2,MC,MC,6,10100,16/1,Bet 365,Further details,20
Xander Schauffele,-,-,4,-,-,-,WD,-,3,13,-,10,-,-,-,-,-,-,-,9,15,23,15,13,9900,18/1,Bet 365,Further details,33
Max Homa,-,-,17,4^^,-,-,3,-,-,1,-,39,-,-,-,MC,MC,-,-,-,37,5,1,10,9700,20/1,Bet 365,Further details,2
Tony Finau,-,-,7,-,-,-,7,-,16,9,-,14,-,-,-,-,56,MC,MC,2,15,51,2,33,9500,18/1,Bet 365,Further details,20
Sungjae Im,-,-,8,-,-,-,13,MC,18,4,-,6,-,-,-,-,-,-,-,-,MC,MC,-,33,9400,25/1,Bet 365,Further details,56
Collin Morikawa,-,-,6,-,-,-,2,-,-,3,-,MC,-,-,-,-,-,-,-,-,-,26,43,2,9300,22/1,Bet 365,Further details,6
Sam Burns,-,-,12,-,-,-,32,-,11,-,-,6,-,-,-,-,-,-,-,-,MC,23,3,MC,9100,30/1,Bet 365,Further details,MC
Patrick Cantlay,-,-,-,-,-,-,16,-,26,-,-,MC,-,MC,MC,-,-,-,-,4,15,17,15,33,9000,30/1,Bet 365,Further details,3
Viktor Hovland,23,-,1,-,-,-,18,-,-,-,13,42,-,-,-,-,-,-,-,-,-,-,5,4,8900,28/1,Bet 365,Further details,20
Cameron Young,-,-,3,7^^,-,-,13,-,26,-,2^,64,-,-,-,-,-,-,-,-,-,-,-,2,8800,30/1,Bet 365,Further details,20
Will Zalatoris,-,-,-,-,-,-,11,-,36,MC,-,-,-,-,-,-,MC,-,-,-,-,-,15,26,8700,35/1,Bet 365,Further details,4
Jordan Spieth,-,-,15,-,-,-,13,MC,-,-,63,6,-,MC,-,12,4,MC,22,9,51,59,15,26,8600,35/1,Bet 365,Further details,MC
Tom Kim,4^,-,10,-,-,-,5,MC,6,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,8500,33/1,Bet 365,Further details,45
Jason Day,MC,-,-,10^^,-,-,-,-,18,7,-,5,-,62,-,-,-,-,64,-,-,MC,-,-,8400,40/1,Bet 365,Further details,9
Matthew Fitzpatrick,5,-,13,-,-,-,7,-,-,-,MC,29,-,-,-,-,-,-,-,-,-,30,5,-,8300,35/1,Bet 365,Further details,MC
