Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Sungjae Im,-,8,-,-,-,13,MC,18,4,-,6,56,-,-,-,-,-,-,-,-,51,1,8,MC,10700,8/1,Bet 365,Further details,42
Shane Lowry,-,18,-,-,-,-,-,28,MC,-,MC,14,-,-,-,-,-,53,-,49,-,21,36,2,10400,14/1,Bet 365,Further details,5
Chris Kirk,-,-,-,-,-,-,3,3,-,-,MC,-,-,56,51,12,MC,MC,-,33,MC,MC,25,7,9900,25/1,Bet 365,Further details,1
Billy Horschel,-,13,10^^,-,-,30,MC,-,-,-,32,MC,-,-,46,MC,MC,8,4,MC,16,42,-,16,9700,28/1,Bet 365,Further details,42
MinWoo Lee,4,-,-,-,-,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9400,22/1,Bet 365,Further details,26
Matt Kuchar,-,-,3^^,-,-,-,7,-,-,MC,32,8,-,-,-,-,-,-,-,-,-,-,-,-,9300,22/1,Bet 365,Further details,MC
Aaron Wise,-,-,-,-,-,18,-,MC,-,-,MC,-,-,-,-,-,-,-,-,33,-,35,13,MC,9200,25/1,Bet 365,Further details,29
Denny McCarthy,-,-,5^^,-,-,-,31,50,-,4,MC,14,-,-,-,-,-,-,-,MC,MC,MC,3,30,9100,25/1,Bet 365,Further details,MC
Thomas Detry,-,-,-,68,-,-,-,26,37,37,-,33,-,-,-,-,-,-,-,-,-,-,-,-,9000,33/1,Bet 365,Further details,WD
Taylor Pendrith,-,-,-,-,-,-,-,MC,61,7,57,-,-,-,-,-,-,-,-,-,-,-,-,25,8900,33/1,Bet 365,Further details,42
JT Poston,-,-,-,-,-,21,20,6,-,-,MC,MC,-,-,-,-,-,-,27,-,36,35,MC,42,8800,35/1,Bet 365,Further details,63
Adam Svensson,-,-,-,-,-,37,41,-,MC,-,MC,9,-,-,-,-,-,-,-,-,59,-,-,9,8700,33/1,Bet 365,Further details,49
Jhonattan Vegas,-,-,-,-,-,-,-,MC,25,-,23,56,-,67,-,12,MC,-,4,72,16,27,30,42,8600,35/1,Bet 365,Further details,21
Sepp Straka,-,10,8^^,-,-,21,-,MC,MC,-,-,45,-,-,-,-,-,-,-,-,MC,27,33,1,8500,40/1,Bet 365,Further details,5
Harris English,-,-,3^^,-,-,-,73,MC,MC,-,MC,12,-,18,MC,-,MC,-,60,33,12,17,-,-,8400,33/1,Bet 365,Further details,MC
Adrian Meronk,34,1,-,-,-,-,-,10,MC,4,-,45,-,-,-,-,-,-,-,-,-,-,-,-,8300,40/1,Bet 365,Further details,14
Christiaan Bezuidenhout,3,-,26,-,-,-,MC,11,-,-,MC,58,-,-,-,-,-,-,-,-,-,-,-,25,8200,40/1,Bet 365,Further details,42
Cameron Davis,7,MC,-,-,-,-,31,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,59,8,33,-,8100,40/1,Bet 365,Further details,MC
Garrick Higgo,-,-,-,-,-,-,-,11,53,20,MC,-,-,-,-,-,-,-,-,-,-,-,-,66,8000,50/1,Bet 365,Further details,29
Benjamin Griffin,-,-,-,-,-,-,12,32,31,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7900,60/1,Bet 365,Further details,21
Stephan Jaeger,-,-,-,-,-,-,27,36,53,-,MC,40,-,-,-,-,-,-,-,MC,78,-,-,48,7800,55/1,Bet 365,Further details,14
Robby Shelton IV,-,-,-,-,-,-,MC,6,67,20,-,-,-,-,-,-,-,-,-,-,-,11,MC,-,7800,55/1,Bet 365,Further details,21
Lee Hodges,-,-,-,-,-,-,-,MC,MC,-,MC,18,-,-,-,-,-,-,-,-,-,-,-,9,7700,50/1,Bet 365,Further details,14
Aaron Rai,-,-,-,-,-,-,61,MC,52,-,42,29,-,-,-,-,-,-,-,-,-,-,-,66,7700,60/1,Bet 365,Further details,MC
Justin Suh,-,-,-,-,-,-,41,54,20,WD,-,40,-,-,-,-,-,-,-,-,-,-,-,-,7600,55/1,Bet 365,Further details,5
An Byeong-Hun,-,-,-,-,-,-,12,41,63,37,-,-,-,-,-,-,-,-,-,5,36,4,MC,-,7600,60/1,Bet 365,Further details,21
Hayden Buckley,-,-,-,-,-,-,2,-,MC,-,29,MC,-,-,-,-,-,-,-,-,-,69,-,MC,7600,60/1,Bet 365,Further details,MC
Joseph Bramlett,-,-,-,-,-,-,54,54,13,7,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,7500,66/1,Bet 365,Further details,55
William Gordon,-,-,-,-,-,-,27,MC,MC,WD,-,-,-,-,-,-,-,-,-,-,-,-,36,-,7500,70/1,Bet 365,Further details,42
