Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Scottie Scheffler,5,-,17,-,6,3,10,-,-,1,1,-,-,-,-,-,-,-,-,-,28,32,2,9,13000,3/1,Bet 365,Further details,2
Wyndham Clark,29,-,39,-,1,41,MC,-,-,2,2,-,-,-,-,-,-,-,-,-,-,MC,41,16,10900,12/1,Bet 365,Further details,31
Sahith Theegala,2,MC,-,64,20,5,37,-,-,6,9,-,-,-,-,-,-,-,-,-,-,-,61,22,10300,20/1,Bet 365,Further details,28
Will Zalatoris,-,MC,34,13,-,-,2,-,-,4,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,10100,18/1,Bet 365,Further details,74
Tony Finau,38,-,25,6,47,-,19,13,-,-,45,MC,-,-,-,-,42,MC,34,24,-,24,MC,1,9900,20/1,Bet 365,Further details,2
Siwoo Kim,25,42,25,-,14,12,44,-,-,30,6,-,-,-,-,-,-,13,WD,-,-,MC,-,35,9700,30/1,Bet 365,Further details,17
Jason Day,10,-,34,MC,6,-,9,-,-,36,35,-,-,-,-,-,-,-,-,-,-,7,54,16,9500,25/1,Bet 365,Further details,MC
Alexander Noren,-,42,25,-,26,53,-,-,9,-,19,-,-,-,-,-,-,-,-,-,-,MC,-,4,9400,33/1,Bet 365,Further details,11
Keith Mitchell,-,30,9,MC,54,17,-,19,9,-,73,17,-,-,-,-,-,-,-,6,-,MC,41,9,9200,40/1,Bet 365,Further details,MC
Tom Hoge,38,MC,17,56,6,17,8,-,28,12,54,-,-,-,-,-,65,-,65,60,MC,MC,46,-,9000,40/1,Bet 365,Further details,14
Stephan Jaeger,-,18,52,3,71,-,-,3,MC,44,MC,-,-,-,-,-,-,-,-,MC,-,-,35,9,8900,35/1,Bet 365,Further details,1
Beau Hossler,-,-,47,6,14,41,24,-,28,-,MC,MC,-,-,-,-,-,-,39,2,13,MC,-,MC,8700,45/1,Bet 365,Further details,57
