Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025 Odds,Bookmaker,New Account Offer
Stephan Jaeger,36,3,-,MC,40,-,44,6,-,MC,20,36,-,-,-,-,-,-,MC,-,-,35,9,1,40/1,Bet 365,Further details
Scottie Scheffler,-,-,-,-,9,25,3,-,-,11,20,-,-,-,-,-,-,-,-,28,32,2,9,2,7/2,Bet 365,Further details
Taylor Moore,-,MC,7,56,22,9,-,34,42,-,33,MC,-,-,-,-,-,-,-,-,-,MC,MC,2,60/1,Bet 365,Further details
Thomas Detry,5,53,-,15,48,1,53,-,-,MC,MC,22,-,-,-,-,-,-,-,-,-,-,-,2,50/1,Bet 365,Further details
Tony Finau,15,-,MC,MC,13,-,5,-,-,36,MC,-,-,-,-,42,MC,34,24,-,24,MC,1,2,33/1,Bet 365,Further details
Alejandro Tosti,-,MC,58,MC,-,-,-,10,68,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,2,250/1,Bet 365,Further details
Aaron Rai,15,-,-,MC,40,-,37,4,-,11,14,-,-,-,-,-,-,-,-,-,-,19,7,7,25/1,Bet 365,Further details
Max Greyserman,24,-,7,48,WD,49,24,-,11,22,MC,-,-,-,-,-,-,-,-,-,-,-,-,7,60/1,Bet 365,Further details
David Skinns,-,MC,MC,MC,-,49,-,MC,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,7,750/1,Bet 365,Further details
Nick Dunlap,55,10,34,-,58,57,17,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,11,110/1,Bet 365,Further details
Davis Riley,WD,-,MC,MC,-,MC,-,MC,48,6,38,7,-,-,-,-,-,-,-,-,-,29,27,14,80/1,Bet 365,Further details
Mackenzie Hughes,-,MC,58,-,40,36,52,-,MC,22,MC,36,-,-,-,-,-,23,MC,55,7,29,16,14,80/1,Bet 365,Further details
Siwoo Kim,32,MC,51,MC,12,21,24,-,-,19,38,-,-,-,-,-,13,WD,-,-,MC,-,35,17,33/1,Bet 365,Further details
Victor Perez,-,-,34,MC,-,MC,-,72,18,-,-,22,-,-,-,-,-,-,-,-,-,-,-,17,100/1,Bet 365,Further details
Chad Ramey,-,MC,MC,48,-,MC,-,34,MC,26,MC,MC,-,-,-,-,-,-,-,-,-,MC,MC,17,300/1,Bet 365,Further details
Davis Thompson,36,MC,51,-,58,36,13,-,MC,MC,10,-,-,-,-,-,-,-,-,-,-,-,43,21,25/1,Bet 365,Further details
Joe Highsmith,-,MC,66,MC,-,MC,-,17,1,MC,20,22,-,-,-,-,-,-,-,-,-,-,-,21,55/1,Bet 365,Further details
Jacob Bridgeman,-,MC,21,MC,-,MC,-,34,2,15,50,3,-,-,-,-,-,-,-,-,-,-,-,21,35/1,Bet 365,Further details
Matthias Schmid,-,MC,MC,25,-,MC,-,MC,18,6,MC,28,-,-,-,-,-,-,-,-,-,-,-,21,125/1,Bet 365,Further details
Gary Woodland,-,16,-,-,22,21,MC,-,MC,-,MC,47,-,50,-,-,33,-,-,-,-,MC,9,21,125/1,Bet 365,Further details
Nate Lashley,-,37,MC,WD,-,MC,-,MC,MC,-,MC,64,-,-,-,-,-,-,18,-,38,MC,-,21,450/1,Bet 365,Further details
Justin Lower,-,37,3,MC,62,-,-,MC,MC,-,38,MC,-,-,-,-,-,-,-,-,-,-,MC,28,125/1,Bet 365,Further details
Sahith Theegala,36,37,-,52,53,57,17,-,-,MC,52,36,-,-,-,-,-,-,-,-,-,61,22,28,55/1,Bet 365,Further details
Harry Hall,8,10,21,-,58,MC,-,34,MC,-,MC,54,-,-,-,-,-,-,-,-,-,-,39,28,80/1,Bet 365,Further details
Mark Hubbard,-,21,12,68,73,MC,MC,-,MC,-,MC,47,-,-,-,MC,19,MC,-,2,50,-,DQ,31,350/1,Bet 365,Further details
KyoungHoon Lee,-,MC,MC,9,-,67,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,MC,-,-,31,500/1,Bet 365,Further details
Wyndham Clark,15,-,MC,-,73,16,31,-,-,22,WD,-,-,-,-,-,-,-,-,-,MC,41,16,31,35/1,Bet 365,Further details
J.J Spaun,-,3,29,15,33,WD,34,-,2,31,2,-,-,-,-,-,-,44,-,73,-,46,-,36,28/1,Bet 365,Further details
Kurt Kitayama,-,37,58,MC,-,49,-,MC,MC,-,33,MC,-,-,-,-,-,-,-,-,-,-,-,36,70/1,Bet 365,Further details
Taylor Pendrith,13,45,-,7,9,-,50,-,MC,MC,38,-,-,-,-,-,-,-,-,-,-,MC,66,36,40/1,Bet 365,Further details
Jhonattan Vegas,4,-,MC,42,40,-,-,-,61,-,60,MC,-,-,72,55,19,15,87,MC,44,26,-,36,125/1,Bet 365,Further details
Benjamin Griffin,-,45,7,MC,69,36,44,4,4,45,MC,MC,-,-,-,-,-,-,-,-,-,-,16,36,55/1,Bet 365,Further details
Benjamin Silverman,-,69,MC,MC,-,16,-,MC,MC,-,MC,MC,-,-,-,-,-,-,80,-,-,MC,-,36,400/1,Bet 365,Further details
Peter Malnati,53,MC,MC,MC,-,49,-,68,MC,-,MC,MC,-,-,-,-,MC,MC,MC,17,-,MC,MC,36,1500/1,Bet 365,Further details
Chandler Phillips,-,MC,MC,70,-,49,-,34,MC,-,61,42,-,-,-,-,-,-,-,70,-,-,-,45,350/1,Bet 365,Further details
Seonghyeon Kim,-,2^,-,MC,27^,39^,-,-,2^,34^,-,-,-,-,-,-,-,-,-,-,-,-,47,45,TBC,Bet 365,Further details
Greyson Sigg,-,70,MC,9,-,32,-,17,64,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,45,175/1,Bet 365,Further details
Andrew Novak,-,MC,MC,3,13,MC,13,-,MC,34,MC,42,-,-,-,-,-,-,-,-,-,-,-,53,90/1,Bet 365,Further details
Chan Kim,-,53,MC,42,-,MC,-,17,32,16,MC,MC,-,-,-,-,-,-,-,-,-,-,-,53,150/1,Bet 365,Further details
Beau Hossler,-,-,12,15,69,32,-,MC,32,-,50,70,-,-,-,-,-,39,2,13,MC,-,MC,57,100/1,Bet 365,Further details
Pierceson Coody,-,7^,-,MC,9^,2^,-,-,MC,40,-,-,-,-,-,-,-,-,-,-,-,-,-,57,TBC,Bet 365,Further details
Nick Hardy,-,MC,MC,MC,-,MC,-,MC,MC,64,-,MC,-,-,-,-,-,-,-,-,-,-,-,57,400/1,Bet 365,Further details
Samuel Stevens,-,59,51,2,17,44,31,MC,-,40,MC,64,-,-,-,-,-,-,-,-,-,-,57,57,80/1,Bet 365,Further details
Adam Svensson,-,30,MC,MC,-,36,-,59,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,MC,39,57,300/1,Bet 365,Further details
Christopher Gotterup,46,MC,MC,25,-,MC,-,MC,MC,16,MC,MC,-,-,-,-,-,-,-,-,-,-,-,57,250/1,Bet 365,Further details
Lanto Griffin,-,MC,34,9,-,MC,-,25,-,72,MC,MC,-,-,-,-,-,-,MC,1,58,64,-,57,350/1,Bet 365,Further details
Sam Ryder,-,21,43,25,-,36,-,59,48,-,14,16,-,-,-,-,-,-,5,28,MC,MC,-,64,110/1,Bet 365,Further details
Michael Kim,-,MC,43,MC,-,2,13,13,6,4,MC,28,-,-,-,-,27,12,MC,WD,MC,-,47,64,33/1,Bet 365,Further details
Ryan Palmer,-,MC,34,MC,-,77,-,MC,MC,45,-,-,-,MC,7,-,38,MC,MC,-,-,26,MC,74,2000/1,Bet 365,Further details
Patrick Rodgers,-,MC,70,56,22,MC,3,25,18,22,MC,-,-,-,-,-,MC,-,MC,51,MC,-,16,74,80/1,Bet 365,Further details
Ryan Fox,-,-,10,27,-,63,-,MC,MC,-,20,47,-,-,-,-,-,-,-,-,-,-,-,78,150/1,Bet 365,Further details
Dylan Wu,-,15^,-,MC,2^,MC^,-,-,MC,45,-,-,-,-,-,-,-,-,-,-,-,-,-,78,TBC,Bet 365,Further details
Aaron Baddeley,-,76,MC,32,-,-,-,34,-,MC,-,78,-,31,MC,MC,MC,15,74,MC,-,-,-,82,1500/1,Bet 365,Further details
Vincent Norrman,-,37,29,40,-,71,-,75,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,83,600/1,Bet 365,Further details
Rory McIlroy,-,-,4,-,1,-,17,-,-,15,1,-,-,45,7,-,-,-,-,-,-,-,-,-,15/2,Bet 365,Further details
Danny Walker,-,MC,MC,42,-,-,-,13,-,64,6,MC,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Matt McCarty,53,65,MC,MC,-,MC,-,63,48,-,20,16,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Max Mcgreevy,-,MC,MC,WD,-,MC,-,25,4,40,20,54,-,-,-,-,-,-,-,-,-,19,67,-,90/1,Bet 365,Further details
Minwoo Lee,-,-,17,-,17,12,48,-,11,MC,20,-,-,-,-,-,-,-,-,-,-,-,-,-,33/1,Bet 365,Further details
Harris English,-,MC,43,1,73,-,24,-,-,MC,30,-,-,50,-,-,57,61,MC,4,-,-,39,-,80/1,Bet 365,Further details
Ryan Gerard,-,37,51,15,-,-,-,17,25,MC,42,57,-,-,-,-,-,-,-,-,-,-,-,-,110/1,Bet 365,Further details
Jesper Svensson,-,10,MC,MC,-,63,-,49,32,-,42,64,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Camilo Villegas,-,MC,7,MC,-,44,-,-,MC,MC,54,70,-,-,43,-,MC,-,MC,-,MC,-,-,-,750/1,Bet 365,Further details
Charley Hoffman,-,59,5,25,-,MC,-,MC,25,-,54,-,-,20,37,11,33,23,-,-,29,-,MC,-,150/1,Bet 365,Further details
Will Chandler,-,-,MC,MC,-,6,-,MC,MC,MC,61,69,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Austin Eckroat,15,MC,-,MC,13,MC,MC,-,MC,34,61,-,-,-,-,-,-,-,-,-,-,-,MC,-,100/1,Bet 365,Further details
Sungjae Im,3,-,MC,4,33,57,MC,-,MC,19,61,-,-,-,-,-,-,-,-,-,50,19,-,-,33/1,Bet 365,Further details
Trey Mullinax,-,-,18,MC,-,32,-,MC,MC,16,61,-,-,-,-,-,-,MC,-,-,-,MC,4,-,200/1,Bet 365,Further details
Emiliano Grillo,-,MC,MC,WD,-,76,-,65,MC,-,67,22,-,-,-,-,-,-,3,-,MC,-,-,-,250/1,Bet 365,Further details
Isaiah Salinda,-,MC,MC,42,-,-,-,3,39,45,68,-,-,-,-,-,-,-,-,-,50,-,-,-,125/1,Bet 365,Further details
Sami Valimaki,-,-,MC,15,-,MC,-,34,48,-,69,36,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
C.T. Pan,-,21,-,-,-,57,-,68,MC,-,69,57,-,-,-,-,-,MC,MC,-,58,MC,-,-,250/1,Bet 365,Further details
Rickie Fowler,-,-,21,-,53,WD,39,-,18,-,71,-,-,-,6,71,10,3,43,-,-,-,-,-,90/1,Bet 365,Further details
Jeremy Paul,-,45,64,MC,-,-,-,25,MC,16,-,22,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Steven Fisk,-,MC,MC,63,-,MC,-,17,MC,4,-,28,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
