Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Luke Clanton,-,-,-,-,-,-,-,-,41,-,10,2,-,-,-,-,-,-,-,-,-,10500,Further details,14/1,Bet 365,Further details
Michael Thorbjornsen,-,-,-,-,-,-,-,-,-,39,MC,2,-,-,-,-,-,-,-,-,-,10300,Further details,18/1,Bet 365,Further details
J.J Spaun,-,MC^^,MC,26,-,MC,MC,-,-,-,10,23,-,-,-,-,-,-,47,-,-,10100,Further details,35/1,Bet 365,Further details
Benjamin Silverman,MC,MC^^,MC,16,-,32,35,-,-,-,17,18,-,-,-,-,12,39,-,-,-,10000,Further details,30/1,Bet 365,Further details
Daniel Berger,50,MC^^,13,36,-,45,MC,-,21,-,MC,MC,-,-,-,-,-,-,-,-,-,9600,Further details,28/1,Bet 365,Further details
Chan Kim,6,28^^,MC,40,-,MC,MC,-,-,-,MC,12,-,-,-,-,-,-,-,-,-,9400,Further details,30/1,Bet 365,Further details
Michael Kim,14,11^^,MC,20,-,MC,14,-,-,-,52,MC,-,-,11,-,-,-,72,7,-,9300,Further details,33/1,Bet 365,Further details
Mac Meissner,MC,23^^,MC,13,-,5,57,-,MC,-,MC,20,-,-,-,-,-,-,-,-,-,9200,Further details,33/1,Bet 365,Further details
Carson Young,MC,MC^^,30,32,-,MC,14,-,-,-,MC,5,-,-,-,-,-,-,-,-,-,9100,Further details,40/1,Bet 365,Further details
Neal Shipley,-,-,-,-,-,-,-,-,26,-,20,MC,-,-,-,-,-,-,-,-,-,9000,Further details,45/1,Bet 365,Further details
Seonghyeon Kim,36,MC^^,4,50,63,61,MC,-,56,-,MC,34,-,-,-,-,-,-,-,-,-,8900,Further details,40/1,Bet 365,Further details
Joel Dahmen,67,28^^,62,59,-,56,10,-,-,-,25,46,-,-,-,MC,15,-,-,-,-,8800,Further details,45/1,Bet 365,Further details
Jacob Bridgeman,23,19^^,MC,46,-,-,14,MC^,-,-,31,MC,-,-,-,-,-,-,-,78,-,8700,Further details,50/1,Bet 365,Further details
Dylan Wu,-,28^^,30,16,-,MC,MC,-,-,-,10,MC,-,-,-,-,-,-,-,21,-,8600,Further details,50/1,Bet 365,Further details
Hayden Springer,MC,MC^^,MC,MC,-,MC,MC,-,54^,-,10,7,-,-,-,-,-,-,-,-,-,8500,Further details,50/1,Bet 365,Further details
