Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Denny McCarthy,25,11^^,-,8,-,29,MC,2,-,20,7,-,-,-,-,-,-,-,-,34,MC,MC,6,10600,14/1,Bet 365,Further details,6
Russell Henley,19,-,-,-,-,MC,16,16,-,14,19,-,-,-,-,27,-,-,-,-,2,11,-,10400,16/1,Bet 365,Further details,35
Ludvig Aberg,-,-,-,-,-,-,-,-,25,-,24,40,-,-,-,-,-,-,-,-,-,-,-,10100,22/1,Bet 365,Further details,4
Cameron Young,51,-,-,59,-,MC,-,MC,57,32,60,-,-,-,-,-,-,-,-,-,-,-,-,10000,16/1,Bet 365,Further details,6
Adam Hadwin,MC,2^^,-,MC,34,40,-,MC,12,59,-,2,-,-,-,-,18,8,-,-,-,-,MC,9800,22/1,Bet 365,Further details,MC
Eric Cole,MC^,MC^^,5,MC,23,15,MC,24,6,39,24,-,-,-,-,-,-,-,-,-,-,MC,-,9700,33/1,Bet 365,Further details,42
Keith Mitchell,MC,6^^,-,59,-,58,-,48,MC,20,-,-,-,-,-,-,-,-,-,7,-,MC,-,9600,28/1,Bet 365,Further details,42
Adam Schenk,31,-,-,MC,MC,MC,2,7,-,MC,MC,7,-,-,-,-,-,-,-,MC,6,4,WD,9500,30/1,Bet 365,Further details,4
Taylor Moore,11,4^^,-,27,-,72,MC,-,-,MC,MC,4,-,-,-,-,-,-,-,-,-,-,24,9400,28/1,Bet 365,Further details,MC
Chris Kirk,41,-,-,56,-,29,MC,MC,-,MC,-,14,-,30,22,MC,-,-,60,23,-,-,-,9300,28/1,Bet 365,Further details,21
Emiliano Grillo,7,-,5,23,-,MC,1,48,-,MC,15,-,-,-,-,-,-,-,-,-,-,-,2,9200,33/1,Bet 365,Further details,MC
Seamus Power,MC,-,-,18,19,MC,-,41,-,MC,MC,-,-,-,-,-,-,-,25,16,61,8,-,9100,35/1,Bet 365,Further details,13
JT Poston,MC,-,-,MC,-,40,MC,38,-,MC,MC,-,-,-,-,-,-,-,64,65,MC,MC,1,9000,33/1,Bet 365,Further details,6
Alex Smalley,MC,-,MC,18,-,23,40,MC,25,-,9,47,-,-,-,-,-,-,-,-,-,47,16,8900,33/1,Bet 365,Further details,2
Stephan Jaeger,MC,-,18,27,11,50,68,24,-,-,64,9,-,-,-,-,-,-,-,MC,-,-,30,8800,40/1,Bet 365,Further details,13
An Byeong-Hun,-,13^^,33,MC,14,-,21,24,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,8700,40/1,Bet 365,Further details,51
Sepp Straka,MC,-,-,MC,-,7,29,16,-,MC,38,64,-,-,-,-,-,-,-,-,26,MC,-,8600,50/1,Bet 365,Further details,1
Christiaan Bezuidenhout,19,MC,-,-,23,MC,21,38,-,-,MC,56,-,-,-,-,-,-,-,-,-,-,2,8500,40/1,Bet 365,Further details,MC
Taylor Montgomery,MC,19^^,-,MC,50,65,-,41,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,8400,40/1,Bet 365,Further details,MC
Patrick Rodgers,19,-,10,MC,-,29,57,30,-,32,MC,-,-,MC,15,MC,MC,27,2,43,-,23,30,8300,40/1,Bet 365,Further details,MC
Nick Taylor,41,2^^,-,-,-,MC,MC,-,1,MC,-,-,-,-,-,-,MC,MC,MC,34,33,28,MC,8200,45/1,Bet 365,Further details,MC
Matt Kuchar,19,-,-,23,43,MC,-,62,20,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,8100,45/1,Bet 365,Further details,67
Doug Ghim,54,MC^^,MC,27,19,-,-,-,12,-,15,33,-,-,-,-,-,-,-,WD,-,18,MC,8000,55/1,Bet 365,Further details,26
KyoungHoon Lee,41,-,-,8,50,29,57,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,7900,50/1,Bet 365,Further details,MC
Ryan Palmer,MC,MC^^,-,35,8,-,MC,-,-,-,33,33,-,MC,-,-,-,-,MC,77,18,-,-,7800,60/1,Bet 365,Further details,MC
Mark Hubbard,11,MC^^,18,27,-,75,9,30,6,-,MC,MC,-,-,-,-,24,MC,MC,-,-,41,13,7700,66/1,Bet 365,Further details,6
Chez Reavie,11,-,49,MC,-,40,40,58,25,-,4,29,-,68,15,-,65,-,39,MC,-,18,MC,7700,70/1,Bet 365,Further details,35
Brendon Todd,51,26^^,-,8,-,MC,57,WD,34,-,MC,56,-,MC,MC,-,-,MC,MC,MC,18,-,43,7600,60/1,Bet 365,Further details,2
Michael Kim,-,19^^,30,7,MC,-,6,-,43,MC,38,-,-,-,-,-,-,47,71,1,MC,MC,-,7600,80/1,Bet 365,Further details,MC
Beau Hossler,31,3^^,10,47,-,40,70,24,-,-,MC,MC,-,-,-,-,-,-,-,-,26,MC,-,7600,55/1,Bet 365,Further details,26
Dylan Wu,-,MC^^,15,21,MC,-,MC,-,25,32,MC,24,-,-,-,-,-,-,-,-,-,-,43,7500,90/1,Bet 365,Further details,MC
Aaron Baddeley,-,MC^^,39,-,23,-,21,-,MC,-,-,MC,-,-,MC,-,MC,-,-,MC,-,MC,51,7500,125/1,Bet 365,Further details,31
Gordon Sargent,-,-,-,-,-,-,-,-,-,39,-,MC,-,-,-,-,-,-,-,-,-,-,-,7500,55/1,Bet 365,Further details,57
Joseph Bramlett,-,26^^,10,40,19,-,MC,16,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,MC,7500,60/1,Bet 365,Further details,MC
Peter Kuest,-,-,-,-,14,-,-,-,57,-,-,4,-,-,-,-,-,-,-,-,-,-,-,7400,80/1,Bet 365,Further details,17
Sam Stevens,MC,MC^^,-,47,34,72,29,41,-,43,MC,74,-,-,-,-,-,-,-,-,-,-,-,7400,70/1,Bet 365,Further details,MC
Seonghyeon Kim,-,13^^,24,MC,50,-,MC,41,25,-,MC,74,-,-,-,-,-,-,-,-,-,-,-,7400,75/1,Bet 365,Further details,MC
Luke List,MC,23^^,MC,MC,34,-,57,16,-,MC,33,WD,-,-,MC,-,-,56,68,-,-,4,-,7400,75/1,Bet 365,Further details,NR
Callum Tarren,MC,MC^^,MC,64,-,29,MC,-,43,-,33,29,-,-,-,-,-,-,-,-,-,-,6,7300,80/1,Bet 365,Further details,MC
Adam Svensson,41,-,-,27,-,40,-,MC,MC,60,MC,40,-,-,-,-,-,-,-,-,18,-,24,7300,50/1,Bet 365,Further details,21
