Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Scottie Scheffler,-,11,-,-,1,12,-,4,1,-,4,-,-,-,-,-,-,-,-,-,-,19,18,1,11100,7/1,Bet 365,Further details,10
Jon Rahm,-,1,7,-,3,1,-,39,WD,-,31,-,-,-,-,-,-,-,27,4,9,7,5,27,10800,9/1,Bet 365,Further details,1
Rory McIlroy,-,-,1,-,32,29,-,2,MC,-,3,-,-,40,25,8,4,10,7,5,21,5,MC,2,10600,7/1,Bet 365,Further details,MC
Cameron Smith,-,-,-,MC^,-,-,5^,-,-,24^^,-,26^^,-,-,-,-,-,55,-,5,51,2,10,3,9800,22/1,Bet 365,Further details,34
Jordan Spieth,MC,-,-,63,6,MC,-,4,19,3,31,-,-,-,-,2,1,2,11,3,21,46,3,MC,9700,16/1,Bet 365,Further details,4
Patrick Cantlay,-,26,-,-,MC,3,-,4,19,-,9,-,-,47,-,-,-,-,-,MC,9,17,MC,39,9500,18/1,Bet 365,Further details,14
Justin Thomas,-,-,25,-,4,20,-,21,60,10,-,-,-,-,-,-,-,39,22,17,12,4,21,8,9300,20/1,Bet 365,Further details,MC
Max Homa,-,-,1,-,39,2,-,14,6,-,9,-,-,-,-,-,-,-,-,-,-,MC,MC,48,9200,30/1,Bet 365,Further details,43
Collin Morikawa,-,-,3,-,MC,6,-,MC,13,-,28,-,-,-,-,-,-,-,-,-,-,44,18,5,9100,25/1,Bet 365,Further details,10
Xander Schauffele,-,3,13,-,10,33,-,39,19,-,5,-,-,-,-,-,-,-,-,50,2,17,3,MC,9000,22/1,Bet 365,Further details,10
Tony Finau,-,16,9,-,14,20,-,24,19,-,17,-,-,-,-,-,-,-,-,10,5,38,10,35,8900,22/1,Bet 365,Further details,26
Dustin Johnson,-,-,-,-,-,-,35^,-,-,13^^,-,7^^,-,-,13,MC,6,4,-,10,2,1,MC,12,8800,25/1,Bet 365,Further details,48
Jason Day,-,18,7,-,5,9,-,10,19,-,5,-,-,WD,3,20,28,10,22,20,5,MC,MC,-,8700,25/1,Bet 365,Further details,39
Cameron Young,-,26,-,2^,64,20,-,10,51,-,2,-,-,-,-,-,-,-,-,-,-,-,-,MC,8600,28/1,Bet 365,Further details,7
Viktor Hovland,-,-,-,13,42,20,-,10,3,-,31,-,-,-,-,-,-,-,-,-,32,-,21,27,8500,35/1,Bet 365,Further details,7
Hideki Matsuyama,48,-,9,-,29,MC,-,MC,5,-,31,15,-,54,-,MC,5,7,11,19,32,13,1,14,8400,40/1,Bet 365,Further details,16
Sam Burns,-,11,-,-,6,MC,-,MC,35,6,1,-,-,-,-,-,-,-,-,-,-,-,-,MC,8300,35/1,Bet 365,Further details,29
Will Zalatoris,-,36,MC,-,-,4,-,53,73,-,59,-,-,-,-,-,-,-,-,-,-,-,2,6,8200,40/1,Bet 365,Further details,WD
Sungjae Im,MC,18,4,-,6,56,42,21,6,-,17,-,-,-,-,-,-,-,-,-,-,2,MC,8,8100,33/1,Bet 365,Further details,16
Matthew Fitzpatrick,-,-,-,MC,29,MC,-,14,MC,MC,31,-,-,-,-,MC,-,7,32,38,21,46,34,14,8000,45/1,Bet 365,Further details,10
Shane Lowry,-,28,MC,-,MC,14,5,67,35,-,31,-,-,-,-,-,MC,39,MC,-,MC,25,21,3,7900,50/1,Bet 365,Further details,16
Tyrrell Hatton,-,7,38,-,6,40,-,4,2,-,59,MC,-,-,-,-,-,-,MC,44,56,MC,18,52,7900,55/1,Bet 365,Further details,34
Joaquin Niemann,-,-,-,10^,5^,-,11^,-,-,36^^,-,31^^,-,-,-,-,-,-,-,MC,-,-,40,35,7800,70/1,Bet 365,Further details,16
Justin Rose,-,26,18,1,-,MC,-,MC,6,36,-,-,-,8,25,14,2,10,2,12,MC,23,7,MC,7800,55/1,Bet 365,Further details,16
Tom Kim,MC,6,-,-,50,45,-,34,51,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,7700,80/1,Bet 365,Further details,16
Tommy Fleetwood,-,38,59,-,MC,20,-,61,27,3,52,-,-,-,-,-,-,-,MC,17,36,19,46,14,7700,50/1,Bet 365,Further details,33
Brooks Koepka,-,-,-,46^,87^,-,27^,-,-,24^^,-,1^^,-,-,-,-,33,21,11,-,2,7,MC,MC,7600,40/1,Bet 365,Further details,2
Corey Conners,12,-,-,-,50,61,-,21,MC,-,17,1,-,-,-,-,MC,-,-,-,46,10,8,6,7600,45/1,Bet 365,Further details,MC
MinWoo Lee,-,2,13,-,-,-,26,MC,6,-,31,-,-,-,-,-,-,-,-,-,-,-,-,14,7600,55/1,Bet 365,Further details,MC
Adam Scott,20,-,-,-,-,65,-,31,71,-,31,-,-,8,1,14,37,42,9,32,18,34,54,48,7500,90/1,Bet 365,Further details,39
Bryson DeChambeau,-,-,-,MC^,-,-,23^,-,-,44^^,-,16^^,-,-,-,-,-,21,-,38,29,34,46,MC,7500,110/1,Bet 365,Further details,MC
Sahith Theegala,-,54,4,-,39,6,-,14,74,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,7500,80/1,Bet 365,Further details,9
Abraham Ancer,-,-,MC,1^,-,-,15^,-,-,24^^,-,26^^,-,-,-,-,-,-,-,-,-,13,26,MC,7400,110/1,Bet 365,Further details,39
Keegan Bradley,MC,-,2,-,20,MC,-,10,MC,-,28,-,-,27,54,MC,22,52,-,-,43,-,-,-,7400,110/1,Bet 365,Further details,23
Siwoo Kim,1,22,25,-,23,MC,-,39,27,-,17,39,-,-,-,-,-,-,MC,24,21,34,12,39,7400,90/1,Bet 365,Further details,29
Patrick Reed,-,MC,2,25^,-,-,38^,-,-,18^^,-,3^^,-,-,-,MC,22,49,MC,1,36,10,8,35,7300,66/1,Bet 365,Further details,4
Taylor Moore,-,MC,11,15,14,MC,-,39,35,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,200/1,Bet 365,Further details,39
Tiger Woods,-,-,-,-,-,45,-,-,-,-,-,-,-,40,4,-,17,-,-,32,1,38,-,47,7300,75/1,Bet 365,Further details,WD
Guillermo Mito Pereira,-,-,-,6^,11^,-,15^,-,-,6^^,-,5^^,-,-,-,-,-,-,-,-,-,-,-,-,7200,100/1,Bet 365,Further details,43
Louis Oosthuizen,-,-,-,28^,87^,-,41^,-,-,2^^,-,41^^,-,2,MC,25,19,15,41,12,29,23,26,WD,7200,100/1,Bet 365,Further details,WD
Chris Kirk,3,3,-,-,MC,-,1,39,MC,-,52,10,-,-,-,20,33,MC,-,-,-,-,-,-,7100,150/1,Bet 365,Further details,23
Keith Mitchell,MC,22,-,4,42,5,-,24,35,-,52,-,-,-,-,-,-,-,-,-,43,-,-,-,7100,110/1,Bet 365,Further details,53
Kurt Kitayama,73,-,MC,29,23,MC,-,1,MC,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,MC
Billy Horschel,MC,-,-,-,32,MC,42,MC,MC,-,9,-,-,-,-,37,MC,17,-,MC,56,38,50,43,7000,175/1,Bet 365,Further details,52
Russell Henley,31,-,-,-,MC,MC,-,53,19,-,17,-,-,-,MC,31,21,-,11,15,-,-,-,30,7000,150/1,Bet 365,Further details,4
Sergio Garcia,-,-,-,28^,5^,-,23^,-,-,6^^,-,45^^,-,12,8,MC,17,34,1,MC,MC,-,MC,23,7000,125/1,Bet 365,Further details,MC
Bubba Watson,-,-,-,MC^,-,-,40^,-,-,20^^,-,40^^,-,1,50,1,37,37,MC,5,12,57,26,39,6900,225/1,Bet 365,Further details,MC
Thomas Pieters,-,MC,6,-,-,-,32^,-,-,33^^,-,16^^,-,-,-,-,-,-,4,MC,-,-,-,MC,6900,150/1,Bet 365,Further details,48
Tom Hoge,41,32,-,48,MC,14,-,MC,3,-,59,-,-,-,-,-,-,-,-,-,-,-,-,39,6900,100/1,Bet 365,Further details,MC
Alexander Noren,-,5,-,-,MC,MC,-,61,MC,-,52,15,-,-,-,-,-,-,MC,MC,62,-,-,-,6800,200/1,Bet 365,Further details,MC
Seamus Power,-,20,-,15,20,14,-,72,MC,-,31,-,-,-,-,-,-,-,-,-,-,-,-,27,6800,140/1,Bet 365,Further details,46
Talor Gooch,-,-,-,12^,-,-,11^,-,-,13^^,-,16^^,-,-,-,-,-,-,-,-,-,-,-,14,6800,150/1,Bet 365,Further details,34
Brian Harman,31,MC,-,-,42,MC,-,MC,44,MC,17,-,-,-,-,-,MC,-,-,44,-,-,12,MC,6700,200/1,Bet 365,Further details,MC
Gary Woodland,MC,-,63,-,42,9,-,MC,54,45,-,-,-,WD,-,26,MC,-,MC,MC,32,MC,40,MC,6700,200/1,Bet 365,Further details,14
Harris English,73,MC,MC,-,MC,12,MC,2,MC,-,31,-,-,-,-,MC,-,42,-,-,-,-,21,-,6700,250/1,Bet 365,Further details,43
Ryan Fox,-,65,20,11,17,-,-,14,27,-,17,MC,-,-,-,-,-,-,-,-,-,-,-,-,6700,175/1,Bet 365,Further details,26
Cameron Champ,-,-,53,35^,MC,MC,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,19,26,10,6600,250/1,Bet 365,Further details,MC
Danny Willett,-,MC,-,41,-,18,29,34,27,-,-,-,-,-,-,-,37,1,MC,MC,MC,25,MC,12,6600,125/1,Bet 365,Further details,MC
Francesco Molinari,-,5,MC,-,MC,MC,-,14,60,-,-,MC,-,19,MC,50,-,-,33,20,5,MC,52,MC,6600,225/1,Bet 365,Further details,MC
JT Poston,20,6,-,-,MC,MC,63,-,MC,10,9,-,-,-,-,-,-,-,-,-,-,MC,-,-,6600,225/1,Bet 365,Further details,34
Adam Svensson,41,-,MC,-,MC,9,49,24,13,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,MC
Harold Varner III,-,-,-,46^,-,-,27^,-,-,24^^,-,16^^,-,-,-,-,-,-,-,-,-,-,-,23,6500,200/1,Bet 365,Further details,29
Jason Kokrak,-,-,-,18^,13^,-,19^,-,-,36^^,-,11^^,-,-,-,-,-,-,-,-,-,MC,49,14,6500,200/1,Bet 365,Further details,MC
Kevin Na,-,-,-,MC^,-,-,20^,-,-,6^^,-,22^^,-,12,59,-,12,55,MC,-,46,13,12,14,6500,250/1,Bet 365,Further details,WD
Adrian Meronk,-,10,MC,4,-,45,14,MC,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,250/1,Bet 365,Further details,MC
Charl Schwartzel,-,-,-,12^,96^,13^,35^,-,-,46^^,-,16^^,-,50,25,MC,37,MC,3,MC,MC,25,26,10,6400,250/1,Bet 365,Further details,50
KyoungHoon Lee,27,MC,-,-,42,MC,-,53,MC,19,59,-,-,-,-,-,-,-,-,-,-,-,-,MC,6400,300/1,Bet 365,Further details,23
Phil Mickelson,-,-,-,MC^,-,-,27^,-,-,30^^,-,41^^,-,3,54,MC,2,MC,22,36,18,55,21,-,6400,200/1,Bet 365,Further details,2
Kazuki Higa,72,-,-,36,13^,11,4,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,MC
Mackenzie Hughes,MC,-,-,-,MC,50,-,61,MC,-,5,-,-,-,-,-,-,-,MC,-,-,-,40,50,6300,300/1,Bet 365,Further details,29
Scott Stallings,-,-,MC,15,23,MC,-,MC,69,-,31,-,-,27,-,MC,-,-,-,-,-,-,-,-,6300,350/1,Bet 365,Further details,26
Sepp Straka,-,MC,MC,-,-,45,5,MC,65,-,59,22,-,-,-,-,-,-,-,-,-,-,-,30,6300,300/1,Bet 365,Further details,46
Zach Johnson,75,41,-,-,32,-,12,68,-,MC,-,-,-,32,35,MC,9,MC,MC,36,58,51,MC,MC,6300,500/1,Bet 365,Further details,34
Aldrich Potgieter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2000/1,Bet 365,Further details,MC
Harrison Crowe,-,-,-,-,MC^,-,-,-,-,29^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2000/1,Bet 365,Further details,MC
Kevin Kisner,-,-,-,34,MC,MC,-,MC,75,MC,31,-,-,-,-,-,-,37,43,28,21,MC,MC,44,6200,350/1,Bet 365,Further details,MC
Matthew McClean,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Sam Bennett,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,1250/1,Bet 365,Further details,16
Ben Carr,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Bernhard Langer,-,10^,-,-,39^,1^,-,19^,-,7^,19^,-,-,MC,25,8,MC,24,MC,38,62,29,MC,MC,6100,1000/1,Bet 365,Further details,MC
Gordon Sargent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,400/1,Bet 365,Further details,MC
Larry Mize,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,51,MC,52,52,MC,MC,MC,MC,MC,6100,2500/1,Bet 365,Further details,MC
Mateo Fernandez de Oliveira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Fred Couples,-,12^,-,-,-,8^,-,36^,-,15^,10^,-,-,12,13,20,MC,-,18,38,MC,MC,MC,MC,6000,1000/1,Bet 365,Further details,50
Jose Maria Olazabal,-,-,-,-,52^,-,-,-,-,61^,73^,-,-,MC,50,34,MC,-,MC,MC,MC,MC,50,MC,6000,2500/1,Bet 365,Further details,MC
Mike Weir,-,2^,-,-,-,55^,-,8^,-,31^,26^,-,-,MC,MC,44,MC,MC,MC,MC,MC,51,MC,MC,6000,2000/1,Bet 365,Further details,MC
Sandy Lyle,-,-,-,-,-,-,-,78^,-,67^,76^,-,-,MC,54,44,MC,MC,MC,MC,MC,MC,MC,MC,6000,2500/1,Bet 365,Further details,MC
Vijay Singh,-,15^,-,-,-,-,-,-,-,37^,5^,-,-,27,38,37,53,MC,MC,49,MC,WD,MC,MC,6000,2500/1,Bet 365,Further details,MC
